% Sweep Step 155/200  Vcmd=4.4000V  CW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0020653000         4.4000000000         1.3301823480         4.5600568256        -0.1815103951
        0.0053932000         4.4000000000         1.3403916554         4.5651605806         0.0844389018
        0.0103834000         4.4000000000         1.3352870017         4.5677124580        -0.0485357467
        0.0153954000         4.4000000000         1.3327346748         4.5626087031        -0.1150230709
        0.0204012000         4.4000000000         1.3403916554         4.5677124580         0.0844389018
        0.0254064000         4.4000000000         1.3454963091         4.5753680904         0.2174135502
        0.0303847000         4.4000000000         1.3378393285         4.5626087031         0.0179515775
        0.0354254000         4.4000000000         1.3454963091         4.5677124580         0.2174135502
        0.0404501000         4.4000000000         1.4093044805         4.5779199678         1.8795966559
        0.0454271000         4.4000000000         1.6007289948         4.6187500072         6.8661459729
        0.0503980000         4.4000000000         1.7819442016         4.6774431887        11.5867459930
        0.0554036000         4.4000000000         1.9070082175         4.7284807379        14.8446248801
        0.0604118000         4.4000000000         1.9350838130         4.7897257969        15.5759854466
        0.0654311000         4.4000000000         1.9452931204         4.8560746109        15.8419347435
        0.0704991000         4.4000000000         1.9376361398         4.9198715474        15.6424727708
        0.0754048000         4.4000000000         1.9427407935         4.9862203613        15.7754474193
        0.0804241000         4.4000000000         1.9401884667         5.0117391359        15.7089600950
        0.0854069000         4.4000000000         1.9580547547         5.0117391359        16.1743713646
        0.0903903000         4.4000000000         1.9682640621         1.1073666236        16.4403206615
        0.0954000000         4.4000000000         1.9810256964         0.0024036839        16.7727572827
        0.1003900000         4.4000000000         1.9810256964        -0.0027000711        16.7727572827
        0.1053898000         4.4000000000         2.0065489649         0.0534412330        17.4376305249
        0.1103877000         4.4000000000         2.0091012918         0.1248938019        17.5041178492
        0.1154523000         4.4000000000         2.0193105992         0.1963463707        17.7700671461
        0.1204181000         4.4000000000         2.0269675798         0.2677989396        17.9695291187
        0.1256492000         4.4000000000         2.0346245604         0.3418033859        18.1689910914
        0.1304980000         4.4000000000         2.0448338678         0.4183597097        18.4349403883
        0.1354248000         4.4000000000         2.0499385215         0.4923641560        18.5679150368
        0.1404134000         4.4000000000         2.0499385215         0.5587129699        18.5679150368
        0.1454190000         4.4000000000         2.0524908483         0.6327174162        18.6344023610
        0.1504074000         4.4000000000         2.0601478289         0.7067218625        18.8338643337
        0.1554046000         4.4000000000         2.0678048095         0.7832781863        19.0333263064
        0.1604199000         4.4000000000         2.0703571363         0.8521788777        19.0998136306
        0.1654025000         4.4000000000         2.0831187706         0.9338389564        19.4322502517
        0.1704048000         4.4000000000         2.0805664438         1.0027396478        19.3657629275
        0.1753877000         4.4000000000         2.0907757512         1.0792959716        19.6317122244
        0.1803756000         4.4000000000         2.0856710975         1.1430929080        19.4987375760
        0.1854044000         4.4000000000         2.0907757512         1.2196492318        19.6317122244
        0.1903910000         4.4000000000         2.1086420392         1.3064130654        20.0971234940
        0.1954034000         4.4000000000         2.1009850586         1.3727618793        19.8976615213
        0.2004120000         4.4000000000         2.0984327318         1.4442144482        19.8311741971
        0.2053960000         4.4000000000         2.1060897123         1.5258745269        20.0306361698
        0.2103764000         4.4000000000         2.1111943660         1.6100864830        20.1636108182
        0.2154405000         4.4000000000         2.1086420392         1.6764352970        20.0971234940
        0.2204234000         4.4000000000         2.1060897123         1.7555434982        20.0306361698
        0.2254070000         4.4000000000         2.1086420392         1.8295479445        20.0971234940
        0.2304028000         4.4000000000         2.1086420392         1.9035523908        20.0971234940
        0.2354316000         4.4000000000         2.1060897123         1.9775568371        20.0306361698
        0.2404121000         4.4000000000         2.1086420392         2.0643206707        20.0971234940
        0.2454356000         4.4000000000         2.1035373855         2.1306694847        19.9641488455
        0.2503922000         4.4000000000         2.1086420392         2.2148814408        20.0971234940
        0.2554898000         4.4000000000         2.1111943660         2.2965415195        20.1636108182
        0.2604494000         4.4000000000         2.1137466929         2.3756497207        20.2300981425
        0.2655097000         4.4000000000         2.1086420392         2.4496541670        20.0971234940
        0.2704138000         4.4000000000         2.1188513466         2.5262104908        20.3630727909
        0.2754181000         4.4000000000         2.1111943660         2.6027668146        20.1636108182
        0.2803946000         4.4000000000         2.1162990198         2.6844268933        20.2965854667
        0.2853858000         4.4000000000         2.1137466929         2.7635350945        20.2300981425
        0.2904102000         4.4000000000         2.1162990198         2.8528508056        20.2965854667
        0.2954130000         4.4000000000         2.1086420392         2.9243033744        20.0971234940
        0.3004096000         4.4000000000         2.1137466929         3.0085153306        20.2300981425
        0.3054208000         4.4000000000         2.1214036735         3.0799678994        20.4295601151
        0.3104030000         4.4000000000         2.1341653078         3.1514204683        20.7619967363
        0.3154145000         4.4000000000         2.1443746152         3.2458399342        21.0279460332
        0.3203866000         4.4000000000         2.1520315957         3.3198443806        21.2274080059
        0.3253894000         4.4000000000         2.1392699615         3.3989525818        20.8949713847
        0.3304330000         4.4000000000         2.1392699615         3.4882682929        20.8949713847
        0.3354188000         4.4000000000         2.1239560003         3.5597208617        20.4960474394
        0.3404321000         4.4000000000         2.1214036735         3.6413809404        20.4295601151
        0.3454327000         4.4000000000         2.1316129809         3.7255928965        20.6955094120
        0.3504267000         4.4000000000         2.1341653078         3.8021492203        20.7619967363
        0.3554234000         4.4000000000         2.1341653078         3.8812574215        20.7619967363
        0.3604252000         4.4000000000         2.1341653078         3.9552618679        20.7619967363
        0.3654408000         4.4000000000         2.1418222883         4.0496813338        20.9614587089
        0.3704008000         4.4000000000         2.1469269420         4.1262376576        21.0944333574
        0.3755138000         4.4000000000         2.1520315957         4.2104496138        21.2274080059
        0.3804509000         4.4000000000         2.1520315957         4.2946615699        21.2274080059
        0.3854154000         4.4000000000         2.1571362495         4.3814254035        21.3603826543
        0.3904093000         4.4000000000         2.1494792689         4.4579817273        21.1609206816
        0.3953922000         4.4000000000         2.1571362495         4.5498493158        21.3603826543
        0.4003997000         4.4000000000         2.1443746152         4.6264056396        21.0279460332
        0.4053883000         4.4000000000         2.1545839226         4.7131694732        21.2938953301
        0.4103986000         4.4000000000         2.1571362495         4.8050370617        21.3603826543
        0.4154263000         4.4000000000         2.1673455569         4.8969046502        21.6263319512
        0.4204466000         4.4000000000         2.1647932300         4.9862203613        21.5598446270
        0.4254215000         4.4000000000         2.1647932300         5.0091872584        21.5598446270
