% Sweep Step 19/200  Vcmd=2.6000V  CW 
% Vg_offset=1.337074V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0017174000         2.6000000000         1.3352870017         2.8477470506        -0.0465411270
        0.0054786000         2.6000000000         1.3403916554         2.8554026830         0.0864335215
        0.0105169000         2.6000000000         1.3352870017         2.8477470506        -0.0465411270
        0.0160899000         2.6000000000         1.3327346748         2.8426432957        -0.1130284512
        0.0205254000         2.6000000000         1.3301823480         2.8400914183        -0.1795157754
        0.0255854000         2.6000000000         1.3352870017         2.8477470506        -0.0465411270
        0.0305914000         2.6000000000         1.3352870017         2.8528508056        -0.0465411270
        0.0356201000         2.6000000000         1.3429439823         2.8502989281         0.1529208457
        0.0405751000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.0456017000         2.6000000000         1.3378393285         2.8502989281         0.0199461973
        0.0505467000         2.6000000000         1.3429439823         2.8477470506         0.1529208457
        0.0555858000         2.6000000000         1.3480486360         2.8451951732         0.2858954942
        0.0605744000         2.6000000000         1.3378393285         2.8502989281         0.0199461973
        0.0654319000         2.6000000000         1.3352870017         2.8502989281        -0.0465411270
        0.0705230000         2.6000000000         1.3301823480         2.8426432957        -0.1795157754
        0.0754964000         2.6000000000         1.3327346748         2.8502989281        -0.1130284512
        0.0805452000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.0855662000         2.6000000000         1.3327346748         2.8400914183        -0.1130284512
        0.0905546000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.0954243000         2.6000000000         1.3454963091         2.8554026830         0.2194081699
        0.1004287000         2.6000000000         1.3301823480         2.8477470506        -0.1795157754
        0.1054300000         2.6000000000         1.3429439823         2.8554026830         0.1529208457
        0.1104051000         2.6000000000         1.3301823480         2.8426432957        -0.1795157754
        0.1154253000         2.6000000000         1.3352870017         2.8477470506        -0.0465411270
        0.1204511000         2.6000000000         1.3378393285         2.8426432957         0.0199461973
        0.1255049000         2.6000000000         1.3301823480         2.8400914183        -0.1795157754
        0.1304941000         2.6000000000         1.3403916554         2.8528508056         0.0864335215
        0.1354505000         2.6000000000         1.3301823480         2.8426432957        -0.1795157754
        0.1404080000         2.6000000000         1.3429439823         2.8554026830         0.1529208457
        0.1454205000         2.6000000000         1.3327346748         2.8400914183        -0.1130284512
        0.1503942000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.1555557000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.1604952000         2.6000000000         1.3378393285         2.8502989281         0.0199461973
        0.1654545000         2.6000000000         1.3352870017         2.8502989281        -0.0465411270
        0.1704298000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.1754011000         2.6000000000         1.3403916554         2.8477470506         0.0864335215
        0.1804173000         2.6000000000         1.3327346748         2.8426432957        -0.1130284512
        0.1854295000         2.6000000000         1.3327346748         2.8400914183        -0.1130284512
        0.1904182000         2.6000000000         1.3403916554         2.8477470506         0.0864335215
        0.1953969000         2.6000000000         1.3403916554         2.8477470506         0.0864335215
        0.2004172000         2.6000000000         1.3454963091         2.8579545605         0.2194081699
        0.2054339000         2.6000000000         1.3480486360         2.8477470506         0.2858954942
        0.2104264000         2.6000000000         1.3301823480         2.8400914183        -0.1795157754
        0.2154153000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.2204289000         2.6000000000         1.3327346748         2.8400914183        -0.1130284512
        0.2254000000         2.6000000000         1.3429439823         2.8528508056         0.1529208457
        0.2303868000         2.6000000000         1.3429439823         2.8554026830         0.1529208457
        0.2354185000         2.6000000000         1.3327346748         2.8400914183        -0.1130284512
        0.2403998000         2.6000000000         1.3301823480         2.8426432957        -0.1795157754
        0.2453957000         2.6000000000         1.3454963091         2.8554026830         0.2194081699
        0.2504054000         2.6000000000         1.3378393285         2.8477470506         0.0199461973
        0.2554462000         2.6000000000         1.3327346748         2.8400914183        -0.1130284512
        0.2603855000         2.6000000000         1.3403916554         2.8477470506         0.0864335215
        0.2654718000         2.6000000000         1.3301823480         2.8400914183        -0.1795157754
