% Sweep Step 81/200  Vcmd=2.9100V  CW 
% Vg_offset=1.337508V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0013494000         2.9100000000         1.3378393285         1.3880731441         0.0086433521
        0.0054039000         2.9100000000         1.3454963091         1.3906250215         0.2081053248
        0.0104146000         2.9100000000         1.3352870017         1.3829693892        -0.0578439721
        0.0154233000         2.9100000000         1.3378393285         1.3880731441         0.0086433521
        0.0203981000         2.9100000000         1.3352870017         1.3855212666        -0.0578439721
        0.0254459000         2.9100000000         1.3378393285         1.3855212666         0.0086433521
        0.0303917000         2.9100000000         1.3506009628         1.3880731441         0.3410799733
        0.0355218000         2.9100000000         1.4450370565         1.3982806539         2.8011109697
        0.0404257000         2.9100000000         1.4067521537         1.3982806539         1.8038011063
        0.0453982000         2.9100000000         1.3914381925         1.4110400412         1.4048771609
        0.0504075000         2.9100000000         1.4093044805         1.4084881638         1.8702884305
        0.0553962000         2.9100000000         1.4118568074         1.4161437961         1.9367757547
        0.0603999000         2.9100000000         1.4093044805         1.4186956736         1.8702884305
        0.0654029000         2.9100000000         1.4246184417         1.4365588158         2.2692123759
        0.0703926000         2.9100000000         1.4195137880         1.4391106933         2.1362377274
        0.0754734000         2.9100000000         1.4195137880         1.4467663256         2.1362377274
        0.0803805000         2.9100000000         1.4220661148         1.4569738355         2.2027250516
        0.0853940000         2.9100000000         1.4246184417         1.4646294679         2.2692123759
        0.0903975000         2.9100000000         1.4169614611         1.4697332228         2.0697504032
        0.0954100000         2.9100000000         1.4246184417         1.4824926101         2.2692123759
        0.1003993000         2.9100000000         1.4144091342         1.4824926101         2.0032630790
        0.1054009000         2.9100000000         1.4373800759         1.4952519974         2.6016489970
        0.1104054000         2.9100000000         1.4144091342         1.5105632621         2.0032630790
        0.1153957000         2.9100000000         1.4348277491         1.5233226494         2.5351616728
        0.1204014000         2.9100000000         1.4220661148         1.5182188945         2.2027250516
        0.1253889000         2.9100000000         1.4246184417         1.5258745269         2.2692123759
        0.1303907000         2.9100000000         1.4297230954         1.5411857916         2.4021870243
        0.1354137000         2.9100000000         1.4271707685         1.5513933015         2.3356997001
        0.1404121000         2.9100000000         1.4348277491         1.5667045662         2.5351616728
        0.1454225000         2.9100000000         1.4271707685         1.5667045662         2.3356997001
        0.1504052000         2.9100000000         1.4246184417         1.5743601986         2.2692123759
        0.1554197000         2.9100000000         1.4246184417         1.5794639535         2.2692123759
        0.1604104000         2.9100000000         1.4271707685         1.5947752183         2.3356997001
        0.1653847000         2.9100000000         1.4297230954         1.6024308506         2.4021870243
        0.1703935000         2.9100000000         1.4271707685         1.6151902379         2.3356997001
        0.1754224000         2.9100000000         1.4348277491         1.6253977478         2.5351616728
        0.1804162000         2.9100000000         1.4322754222         1.6330533802         2.4686743485
