% Sweep Step 165/200  Vcmd=4.6500V  CW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0028310000         4.6500000000         1.3429439823         5.0117391359         0.1509262260
        0.0054387000         4.6500000000         1.3378393285         5.0091872584         0.0179515775
        0.0104304000         4.6500000000         1.3403916554         5.0040835035         0.0844389018
        0.0154936000         4.6500000000         1.3327346748         5.0015316260        -0.1150230709
        0.0204010000         4.6500000000         1.3403916554         5.0040835035         0.0844389018
        0.0254004000         4.6500000000         1.3429439823         5.0066353810         0.1509262260
        0.0303949000         4.6500000000         1.3454963091         5.0066353810         0.2174135502
        0.0354005000         4.6500000000         1.3582579434         5.0066353810         0.5498501714
        0.0404114000         4.6500000000         1.4603510177         5.0040835035         3.2093431404
        0.0454112000         4.6500000000         1.6670894930         5.0117391359         8.5948164028
        0.0504050000         4.6500000000         1.8457523730         5.0091872584        13.2489290987
        0.0554122000         4.6500000000         1.9657117352         1.1073666236        16.3738333373
        0.0604108000         4.6500000000         1.9886826769         0.0024036839        16.9722192553
        0.0654279000         4.6500000000         1.9912350038         0.0075074388        17.0387065796
        0.0704071000         4.6500000000         1.9912350038         0.0789600076        17.0387065796
        0.0754250000         4.6500000000         2.0014443112         0.1555163314        17.3046558765
        0.0804042000         4.6500000000         2.0014443112         0.2142095129        17.3046558765
        0.0854130000         4.6500000000         2.0346245604         0.2882139593        18.1689910914
        0.0903963000         4.6500000000         2.0499385215         0.3622184056        18.5679150368
        0.0954087000         4.6500000000         2.0499385215         0.4311190970        18.5679150368
        0.1003953000         4.6500000000         2.0703571363         0.5178829306        19.0998136306
        0.1054182000         4.6500000000         2.0805664438         0.5918873769        19.3657629275
        0.1104084000         4.6500000000         2.0754617901         0.6582361908        19.2327882791
        0.1154175000         4.6500000000         2.0958804049         0.7398962695        19.7646868729
        0.1203937000         4.6500000000         2.1035373855         0.8164525933        19.9641488455
        0.1254090000         4.6500000000         2.1060897123         0.8879051621        20.0306361698
        0.1304232000         4.6500000000         2.1137466929         0.9746689957        20.2300981425
        0.1354645000         4.6500000000         2.1214036735         1.0486734420        20.4295601151
        0.1404402000         4.6500000000         2.1367176346         1.1354372756        20.8284840605
        0.1454189000         4.6500000000         2.1367176346         1.2043379670        20.8284840605
        0.1504277000         4.6500000000         2.1418222883         1.2808942908        20.9614587089
        0.1554207000         4.6500000000         2.1469269420         1.3651062470        21.0944333574
        0.1605883000         4.6500000000         2.1520315957         1.4442144482        21.2274080059
        0.1654599000         4.6500000000         2.1571362495         1.5258745269        21.3603826543
        0.1704139000         4.6500000000         2.1571362495         1.6024308506        21.3603826543
        0.1754021000         4.6500000000         2.1673455569         1.6891946843        21.6263319512
        0.1804007000         4.6500000000         2.1520315957         1.7631991306        21.2274080059
        0.1854033000         4.6500000000         2.1622409032         1.8499629642        21.4933573028
        0.1903955000         4.6500000000         2.1571362495         1.9290711654        21.3603826543
        0.1954291000         4.6500000000         2.1443746152         2.0081793666        21.0279460332
        0.2004204000         4.6500000000         2.1392699615         2.0949432002        20.8949713847
        0.2053961000         4.6500000000         2.1571362495         2.1766032789        21.3603826543
        0.2103995000         4.6500000000         2.1520315957         2.2531596027        21.2274080059
        0.2153918000         4.6500000000         2.1647932300         2.3501309461        21.5598446270
        0.2203997000         4.6500000000         2.1622409032         2.4266872699        21.4933573028
        0.2254083000         4.6500000000         2.1647932300         2.5134511035        21.5598446270
        0.2304065000         4.6500000000         2.1571362495         2.5900074273        21.3603826543
        0.2354189000         4.6500000000         2.1622409032         2.6793231383        21.4933573028
        0.2404179000         4.6500000000         2.1622409032         2.7686388494        21.4933573028
        0.2453857000         4.6500000000         2.1520315957         2.8400914183        21.2274080059
        0.2503995000         4.6500000000         2.1545839226         2.9319590068        21.2938953301
        0.2554007000         4.6500000000         2.1647932300         3.0161709629        21.5598446270
        0.2604108000         4.6500000000         2.1673455569         3.0901754092        21.6263319512
        0.2654010000         4.6500000000         2.1852118449         3.1871467527        22.0917432208
        0.2704093000         4.6500000000         2.1852118449         3.2688068314        22.0917432208
        0.2753891000         4.6500000000         2.1877641717         3.3504669101        22.1582305450
        0.2804049000         4.6500000000         2.1801071912         3.4321269888        21.9587685723
        0.2853838000         4.6500000000         2.1826595180         3.5290983322        22.0252558966
        0.2904419000         4.6500000000         2.1673455569         3.6082065334        21.6263319512
        0.2954090000         4.6500000000         2.1724502106         3.6924184896        21.7593065997
        0.3004145000         4.6500000000         2.1775548643         3.7766304457        21.8922812481
        0.3054189000         4.6500000000         2.1750025375         3.8531867695        21.8257939239
        0.3104081000         4.6500000000         2.1826595180         3.9476062355        22.0252558966
        0.3153849000         4.6500000000         2.1979734792         4.0420257015        22.4241798419
        0.3203996000         4.6500000000         2.1979734792         4.1262376576        22.4241798419
        0.3254140000         4.6500000000         2.2005258060         4.2104496138        22.4906671662
        0.3303863000         4.6500000000         2.1928688255         4.2946615699        22.2912051935
        0.3353962000         4.6500000000         2.2056304597         4.3941847908        22.6236418146
        0.3404082000         4.6500000000         2.1903164986         4.4732929920        22.2247178693
        0.3453893000         4.6500000000         2.2005258060         4.5651605806        22.4906671662
        0.3503976000         4.6500000000         2.2056304597         4.6544762916        22.6236418146
        0.3554076000         4.6500000000         2.2056304597         4.7488957576        22.6236418146
        0.3604260000         4.6500000000         2.2158397672         4.8484189785        22.8895911115
        0.3654038000         4.6500000000         2.2056304597         4.9326309346        22.6236418146
        0.3704058000         4.6500000000         2.2132874403         5.0066353810        22.8231037873
        0.3754182000         4.6500000000         2.2234967477         5.0066353810        23.0890530842
        0.3804250000         4.6500000000         2.2081827866        -0.0052519485        22.6901291388
        0.3854407000         4.6500000000         2.2056304597        -0.0052519485        22.6236418146
        0.3903937000         4.6500000000         2.2183920940         0.0815118851        22.9560784357
        0.3954079000         4.6500000000         2.2158397672         0.1657238412        22.8895911115
        0.4004217000         4.6500000000         2.2158397672         0.2575914298        22.8895911115
        0.4054173000         4.6500000000         2.2183920940         0.3494590183        22.9560784357
        0.4104146000         4.6500000000         2.2132874403         0.4413266068        22.8231037873
        0.4154227000         4.6500000000         2.2158397672         0.5331941953        22.8895911115
        0.4204283000         4.6500000000         2.2158397672         0.6250617838        22.8895911115
        0.4254284000         4.6500000000         2.2260490746         0.7194812498        23.1555404084
        0.4304103000         4.6500000000         2.2132874403         0.7985894511        22.8231037873
