% Sweep Step 150/200  Vcmd=0.7500V  CCW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0021947000         0.7500000000         1.3327346748         2.1817070338        -0.1150230709
        0.0054646000         0.7500000000         1.3429439823         2.1919145437         0.1509262260
        0.0104174000         0.7500000000         1.3352870017         2.1842589113        -0.0485357467
        0.0154180000         0.7500000000         1.3378393285         2.1842589113         0.0179515775
        0.0204001000         0.7500000000         1.3327346748         2.1868107888        -0.1150230709
        0.0254252000         0.7500000000         1.3352870017         2.1919145437        -0.0485357467
        0.0303977000         0.7500000000         1.3276300211         2.1842589113        -0.2479977194
        0.0353791000         0.7500000000         1.3225253674         2.1817070338        -0.3809723678
        0.0403914000         0.7500000000         1.2944497720         2.1714995240        -1.1123329343
        0.0454004000         0.7500000000         1.0979206040         2.1408769945        -6.2318568998
        0.0503880000         0.7500000000         0.9269147047         2.0974950777       -10.6865076230
        0.0553897000         0.7500000000         0.7865367276         2.0388018961       -14.3433104554
        0.0603995000         0.7500000000         0.7788797470         1.9954199793       -14.5427724281
        0.0654061000         0.7500000000         0.7635657858         1.9341749203       -14.9416963735
        0.0703945000         0.7500000000         0.7610134590         1.8780336162       -15.0081836977
        0.0754087000         0.7500000000         0.7737750933         1.8269960670       -14.6757470766
        0.0804659000         0.7500000000         0.7661181127         1.7683028855       -14.8752090492
        0.0854122000         0.7500000000         0.7635657858         1.7096097039       -14.9416963735
        0.0904055000         0.7500000000         0.7686704396         1.6585721547       -14.8087217250
        0.0954092000         0.7500000000         0.7559088053         1.5947752183       -15.1411583461
        0.1003968000         0.7500000000         0.7405948441         1.5386339142       -15.5400822915
        0.1053972000         0.7500000000         0.7329378636         1.4824926101       -15.7395442642
        0.1103854000         0.7500000000         0.7125192487         1.4110400412       -16.2714428580
        0.1154059000         0.7500000000         0.7074145950         1.3548987371       -16.4044175065
        0.1203959000         0.7500000000         0.7023099413         1.2911018006       -16.5373921549
        0.1253862000         0.7500000000         0.6946529607         1.2324086191       -16.7368541276
        0.1303999000         0.7500000000         0.6793389996         1.1609560502       -17.1357780729
        0.1353729000         0.7500000000         0.6767866727         1.1048147461       -17.2022653972
        0.1404059000         0.7500000000         0.6691296922         1.0359140547       -17.4017273699
        0.1453962000         0.7500000000         0.6563680579         0.9695652408       -17.7341639910
        0.1503827000         0.7500000000         0.6818913264         0.9032164269       -17.0692907487
        0.1554129000         0.7500000000         0.6436064236         0.8343157355       -18.0666006121
        0.1604247000         0.7500000000         0.6410540967         0.7603112892       -18.1330879363
        0.1653970000         0.7500000000         0.6461587505         0.6990662302       -18.0001132879
        0.1703908000         0.7500000000         0.6282924625         0.6199580289       -18.4655245575
        0.1753909000         0.7500000000         0.6231878087         0.5434017052       -18.5984992059
