% Sweep Step 120/200  Vcmd=1.5000V  CCW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0021315000         1.5000000000         1.3582579434         4.6110943748         0.5498501714
        0.0054280000         1.5000000000         1.3429439823         4.6110943748         0.1509262260
        0.0104417000         1.5000000000         1.3378393285         4.6034387424         0.0179515775
        0.0154705000         1.5000000000         1.3454963091         4.6136462523         0.2174135502
        0.0204128000         1.5000000000         1.3276300211         4.6008868650        -0.2479977194
        0.0254383000         1.5000000000         1.3352870017         4.6034387424        -0.0485357467
        0.0304283000         1.5000000000         1.3250776943         4.5983349875        -0.3144850436
        0.0354864000         1.5000000000         1.3276300211         4.6034387424        -0.2479977194
        0.0404292000         1.5000000000         1.3250776943         4.5983349875        -0.3144850436
        0.0454314000         1.5000000000         1.3327346748         4.6085424974        -0.1150230709
        0.0504609000         1.5000000000         1.3327346748         4.6034387424        -0.1150230709
        0.0554368000         1.5000000000         1.2970020988         4.5906793551        -1.0458456101
        0.0604195000         1.5000000000         1.1719380829         4.5881274777        -4.3037244972
        0.0654321000         1.5000000000         1.0239031252         4.5498493158        -8.1599893023
        0.0704418000         1.5000000000         0.9779612418         4.5090192765        -9.3567611384
        0.0754566000         1.5000000000         0.9881705492         4.4835005019        -9.0908118415
        0.0804353000         1.5000000000         0.9958275298         4.4528779724        -8.8913498688
        0.0853989000         1.5000000000         0.9958275298         4.4120479330        -8.8913498688
        0.0904013000         1.5000000000         1.0085891641         4.3839772810        -8.5589132477
        0.0954163000         1.5000000000         1.0034845104         4.3431472416        -8.6918878962
        0.1003921000         1.5000000000         1.0136938178         4.3099728347        -8.4259385992
        0.1054115000         1.5000000000         1.0187984715         4.2767984277        -8.2929639508
        0.1104205000         1.5000000000         1.0315601058         4.2538315306        -7.9605273297
        0.1154232000         1.5000000000         1.0290077789         4.2104496138        -8.0270146539
        0.1204053000         1.5000000000         1.0417694132         4.1900345941        -7.6945780328
        0.1253916000         1.5000000000         1.0239031252         4.1619639420        -8.1599893023
