% Sweep Step 31/200  Vcmd=2.6600V  CW 
% Vg_offset=1.337661V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0018451000         2.6600000000         1.3429439823         1.2528236388         0.1376287611
        0.0054916000         2.6600000000         1.3352870017         1.2451680064        -0.0618332115
        0.0105856000         2.6600000000         1.3301823480         1.2400642515        -0.1948078600
        0.0154963000         2.6600000000         1.3378393285         1.2451680064         0.0046541127
        0.0205800000         2.6600000000         1.3378393285         1.2477198838         0.0046541127
        0.0255855000         2.6600000000         1.3327346748         1.2400642515        -0.1283205358
        0.0304427000         2.6600000000         1.3327346748         1.2400642515        -0.1283205358
        0.0354888000         2.6600000000         1.3429439823         1.2502717613         0.1376287611
        0.0406210000         2.6600000000         1.3301823480         1.2477198838        -0.1948078600
        0.0455034000         2.6600000000         1.3276300211         1.2375123740        -0.2612951842
        0.0504986000         2.6600000000         1.3429439823         1.2528236388         0.1376287611
        0.0555130000         2.6600000000         1.3276300211         1.2451680064        -0.2612951842
        0.0605069000         2.6600000000         1.3378393285         1.2451680064         0.0046541127
        0.0654374000         2.6600000000         1.3429439823         1.2528236388         0.1376287611
        0.0705153000         2.6600000000         1.3352870017         1.2477198838        -0.0618332115
        0.0755487000         2.6600000000         1.3352870017         1.2477198838        -0.0618332115
        0.0805617000         2.6600000000         1.3327346748         1.2400642515        -0.1283205358
        0.0855378000         2.6600000000         1.3301823480         1.2400642515        -0.1948078600
        0.0904893000         2.6600000000         1.3352870017         1.2400642515        -0.0618332115
        0.0955591000         2.6600000000         1.3506009628         1.2477198838         0.3370907338
        0.1004820000         2.6600000000         1.3327346748         1.2426161289        -0.1283205358
        0.1055478000         2.6600000000         1.3327346748         1.2426161289        -0.1283205358
        0.1105543000         2.6600000000         1.3403916554         1.2451680064         0.0711414369
        0.1154317000         2.6600000000         1.3352870017         1.2502717613        -0.0618332115
        0.1204772000         2.6600000000         1.3378393285         1.2477198838         0.0046541127
        0.1254884000         2.6600000000         1.3454963091         1.2477198838         0.2041160854
