% Sweep Step 92/200  Vcmd=2.0400V  CCW 
% Vg_offset=1.338337V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0026528000         2.0400000000         1.3378393285         1.9545899400        -0.0129650282
        0.0056937000         2.0400000000         1.3352870017         1.9545899400        -0.0794523525
        0.0107805000         2.0400000000         1.3301823480         1.9520380625        -0.2124270009
        0.0155736000         2.0400000000         1.3454963091         1.9494861851         0.1864969445
        0.0208372000         2.0400000000         1.3301823480         1.9520380625        -0.2124270009
        0.0255318000         2.0400000000         1.3403916554         1.9647974498         0.0535222960
        0.0305572000         2.0400000000         1.2638218497         1.9494861851        -1.9410974308
        0.0354923000         2.0400000000         1.2408509080         1.9443824302        -2.5394833488
        0.0404686000         2.0400000000         1.2816881377         1.9494861851        -1.4756861612
        0.0455853000         2.0400000000         1.2714788303         1.9418305527        -1.7416354581
        0.0505242000         2.0400000000         1.2255369469         1.9188636556        -2.9384072942
        0.0555374000         2.0400000000         1.2510602154         1.9137599006        -2.2735340519
        0.0605651000         2.0400000000         1.2331939274         1.9061042683        -2.7389453215
        0.0656205000         2.0400000000         1.2408509080         1.9035523908        -2.5394833488
        0.0705007000         2.0400000000         1.2382985811         1.8805854937        -2.6059706731
        0.0755099000         2.0400000000         1.2331939274         1.8729298613        -2.7389453215
        0.0805378000         2.0400000000         1.2229846200         1.8652742289        -3.0048946184
        0.0854686000         2.0400000000         1.2459555617         1.8576185965        -2.4065087004
        0.0904933000         2.0400000000         1.2255369469         1.8397554543        -2.9384072942
        0.0955228000         2.0400000000         1.2331939274         1.8397554543        -2.7389453215
        0.1005373000         2.0400000000         1.2306416006         1.8320998220        -2.8054326457
        0.1054783000         2.0400000000         1.2434032349         1.8244441896        -2.4729960246
        0.1105247000         2.0400000000         1.2331939274         1.8142366797        -2.7389453215
        0.1155070000         2.0400000000         1.2255369469         1.7938216601        -2.9384072942
        0.1205801000         2.0400000000         1.2178799663         1.7836141502        -3.1378692669
        0.1255198000         2.0400000000         1.2255369469         1.7683028855        -2.9384072942
        0.1305160000         2.0400000000         1.2025660052         1.7580953756        -3.5367932122
        0.1355558000         2.0400000000         1.2102229857         1.7529916207        -3.3373312396
