% Sweep Step 119/200  Vcmd=3.5000V  CW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0019823000         3.5000000000         1.3352870017         2.6257337117        -0.0485357467
        0.0054808000         3.5000000000         1.3531532897         2.6257337117         0.4168755229
        0.0104808000         3.5000000000         1.3352870017         2.6257337117        -0.0485357467
        0.0154780000         3.5000000000         1.3352870017         2.6257337117        -0.0485357467
        0.0206678000         3.5000000000         1.3327346748         2.6206299568        -0.1150230709
        0.0255523000         3.5000000000         1.3352870017         2.6231818342        -0.0485357467
        0.0304674000         3.5000000000         1.3454963091         2.6308374666         0.2174135502
        0.0355446000         3.5000000000         1.3403916554         2.6231818342         0.0844389018
        0.0404718000         3.5000000000         1.3378393285         2.6282855892         0.0179515775
        0.0454727000         3.5000000000         1.3352870017         2.6257337117        -0.0485357467
        0.0504695000         3.5000000000         1.3327346748         2.6180780793        -0.1150230709
        0.0554702000         3.5000000000         1.3557056165         2.6308374666         0.4833628471
        0.0605043000         3.5000000000         1.4680079982         2.6384930990         3.4088051131
        0.0657547000         3.5000000000         1.6517755319         2.6716675060         8.1958924574
        0.0712892000         3.5000000000         1.7104790496         2.7022900355         9.7251009146
        0.0755029000         3.5000000000         1.7002697422         2.7456719523         9.4591516177
        0.0804748000         3.5000000000         1.7028220690         2.7762944818         9.5256389420
        0.0854581000         3.5000000000         1.6721941467         2.8018132564         8.7277910512
        0.0904517000         3.5000000000         1.6721941467         2.8528508056         8.7277910512
        0.0954870000         3.5000000000         1.6543278587         2.8783695801         8.2623797817
        0.1004548000         3.5000000000         1.6517755319         2.9140958646         8.1958924574
        0.1054942000         3.5000000000         1.6415662245         2.9421665166         7.9299431605
        0.1104644000         3.5000000000         1.6441185513         2.9727890461         7.9964304847
        0.1154446000         3.5000000000         1.6543278587         3.0059634531         8.2623797817
        0.1204496000         3.5000000000         1.6772988005         3.0314822277         8.8607656997
        0.1254533000         3.5000000000         1.7257930107         3.0748641445        10.1240248600
        0.1304456000         3.5000000000         1.7104790496         3.1054866740         9.7251009146
        0.1354433000         3.5000000000         1.7155837033         3.1488685908         9.8580755631
        0.1404451000         3.5000000000         1.7181360302         3.1922505076         9.9245628873
        0.1454444000         3.5000000000         1.7155837033         3.2203211597         9.8580755631
        0.1504486000         3.5000000000         1.7385546450         3.2713587088        10.4564614811
        0.1554435000         3.5000000000         1.7334499913         3.3019812383        10.3234868327
        0.1604483000         3.5000000000         1.7308976644         3.3377075228        10.2569995085
        0.1655250000         3.5000000000         1.7436592987         3.3938488269        10.5894361296
        0.1704523000         3.5000000000         1.7334499913         3.4193676015        10.3234868327
        0.1754442000         3.5000000000         1.7462116256         3.4729570281        10.6559234538
        0.1804440000         3.5000000000         1.7411069719         3.5035795576        10.5229488054
        0.1854415000         3.5000000000         1.7513162793         3.5520652293        10.7888981023
        0.1904488000         3.5000000000         1.7615255867         3.5979990236        11.0548473992
        0.1954436000         3.5000000000         1.7615255867         3.6337253080        11.0548473992
        0.2004603000         3.5000000000         1.7717348941         3.6847628572        11.3207966961
        0.2054488000         3.5000000000         1.7615255867         3.7179372642        11.0548473992
        0.2104499000         3.5000000000         1.7589732599         3.7562154260        10.9883600749
        0.2154426000         3.5000000000         1.7666302404         3.8072529752        11.1878220476
        0.2204414000         3.5000000000         1.7717348941         3.8480830146        11.3207966961
        0.2254414000         3.5000000000         1.7691825673         3.8838092990        11.2543093719
        0.2304414000         3.5000000000         1.7870488553         3.9399506031        11.7197206414
        0.2354489000         3.5000000000         1.7870488553         3.9807806424        11.7197206414
        0.2404475000         3.5000000000         1.7896011821         4.0292663142        11.7862079657
        0.2454416000         3.5000000000         1.7921535090         4.0777519859        11.8526952899
        0.2504424000         3.5000000000         1.7972581627         4.1211339027        11.9856699383
        0.2554406000         3.5000000000         1.7998104896         4.1721714519        12.0521572626
        0.2604412000         3.5000000000         1.7870488553         4.2078977363        11.7197206414
        0.2654463000         3.5000000000         1.8023628164         4.2665909178        12.1186445868
        0.2704486000         3.5000000000         1.7921535090         4.2997653248        11.8526952899
        0.2754416000         3.5000000000         1.7972581627         4.3559066289        11.9856699383
        0.2804403000         3.5000000000         1.8100197970         4.4018404232        12.3181065595
        0.2855282000         3.5000000000         1.8151244507         4.4528779724        12.4510812079
        0.2905181000         3.5000000000         1.8227814313         4.5064673990        12.6505431806
        0.2954490000         3.5000000000         1.8049151433         4.5447455609        12.1851319110
        0.3004414000         3.5000000000         1.8151244507         4.5957831101        12.4510812079
        0.3054443000         3.5000000000         1.8151244507         4.6468206592        12.4510812079
        0.3104483000         3.5000000000         1.8202291044         4.6978582084        12.5840558564
        0.3154453000         3.5000000000         1.8304384118         4.7565513900        12.8500051533
        0.3204400000         3.5000000000         1.8227814313         4.7948295519        12.6505431806
        0.3254571000         3.5000000000         1.8380953924         4.8586264883        13.0494671260
        0.3304437000         3.5000000000         1.8278860850         4.8994565277        12.7835178291
        0.3354403000         3.5000000000         1.8457523730         4.9658053416        13.2489290987
        0.3404463000         3.5000000000         1.8355430655         5.0015316260        12.9829798017
        0.3454394000         3.5000000000         1.8329907387         5.0015316260        12.9164924775
        0.3504568000         3.5000000000         1.8432000461         5.0040835035        13.1824417744
        0.3554413000         3.5000000000         1.8508570267         1.1175741334        13.3819037471
        0.3604506000         3.5000000000         1.8380953924        -0.0027000711        13.0494671260
        0.3654451000         3.5000000000         1.8585140073         0.0024036839        13.5813657198
        0.3704391000         3.5000000000         1.8432000461         0.0151630711        13.1824417744
        0.3754444000         3.5000000000         1.8406477193         0.0559931105        13.1159544502
        0.3804393000         3.5000000000         1.8432000461         0.1121344146        13.1824417744
        0.3854443000         3.5000000000         1.8559616804         0.1733794736        13.5148783956
        0.3904393000         3.5000000000         1.8432000461         0.2142095129        13.1824417744
        0.3954386000         3.5000000000         1.8457523730         0.2703508170        13.2489290987
        0.4004373000         3.5000000000         1.8457523730         0.3264921211        13.2489290987
        0.4054437000         3.5000000000         1.8559616804         0.3826334252        13.5148783956
        0.4104388000         3.5000000000         1.8483046998         0.4285672195        13.3154164229
        0.4155099000         3.5000000000         1.8508570267         0.4847085236        13.3819037471
        0.4204535000         3.5000000000         1.8508570267         0.5357460728        13.3819037471
        0.4254555000         3.5000000000         1.8508570267         0.5867836220        13.3819037471
        0.4304413000         3.5000000000         1.8534093535         0.6429249261        13.4483910713
        0.4354382000         3.5000000000         1.8661709878         0.6990662302        13.7808276925
        0.4404376000         3.5000000000         1.8738279684         0.7475519019        13.9802896651
        0.4454441000         3.5000000000         1.8585140073         0.8011413285        13.5813657198
        0.4504535000         3.5000000000         1.8661709878         0.8572826326        13.7808276925
        0.4554455000         3.5000000000         1.8636186610         0.9032164269        13.7143403682
        0.4604372000         3.5000000000         1.8610663341         0.9568058535        13.6478530440
        0.4654379000         3.5000000000         1.8661709878         1.0154990351        13.7808276925
        0.4704425000         3.5000000000         1.8534093535         1.0563290744        13.4483910713
        0.4754423000         3.5000000000         1.8559616804         1.1124703785        13.5148783956
        0.4804434000         3.5000000000         1.8610663341         1.1686116826        13.6478530440
        0.4854490000         3.5000000000         1.8483046998         1.2094417220        13.3154164229
        0.4904433000         3.5000000000         1.8457523730         1.2553755162        13.2489290987
        0.4954432000         3.5000000000         1.8559616804         1.3166205752        13.5148783956
        0.5004430000         3.5000000000         1.8457523730         1.3574506146        13.2489290987
        0.5054435000         3.5000000000         1.8636186610         1.4212475511        13.7143403682
        0.5104361000         3.5000000000         1.8661709878         1.4620775904        13.7808276925
        0.5154397000         3.5000000000         1.8585140073         1.5207707720        13.5813657198
        0.5204440000         3.5000000000         1.8508570267         1.5667045662        13.3819037471
        0.5254914000         3.5000000000         1.8432000461         1.6126383605        13.1824417744
        0.5304468000         3.5000000000         1.8432000461         1.6687796646        13.1824417744
        0.5354852000         3.5000000000         1.8380953924         1.7198172138        13.0494671260
        0.5405187000         3.5000000000         1.8380953924         1.7683028855        13.0494671260
        0.5454431000         3.5000000000         1.8125721238         1.8116848023        12.3845938837
        0.5504407000         3.5000000000         1.8253337581         1.8652742289        12.7170305048
        0.5554423000         3.5000000000         1.8176767776         1.9112080232        12.5175685322
        0.5604708000         3.5000000000         1.8176767776         1.9571418174        12.5175685322
        0.5654628000         3.5000000000         1.8151244507         2.0005237343        12.4510812079
        0.5704413000         3.5000000000         1.8278860850         2.0643206707        12.7835178291
        0.5757993000         3.5000000000         1.8304384118         2.1077025875        12.8500051533
        0.5804413000         3.5000000000         1.8661709878         2.1536363818        13.7808276925
        0.5854404000         3.5000000000         1.8585140073         2.2148814408        13.5813657198
        0.5904407000         3.5000000000         1.8585140073         2.2531596027        13.5813657198
        0.5954350000         3.5000000000         1.8636186610         2.3195084166        13.7143403682
        0.6004408000         3.5000000000         1.8559616804         2.3628903334        13.5148783956
        0.6054414000         3.5000000000         1.8534093535         2.4190316375        13.4483910713
        0.6104449000         3.5000000000         1.8508570267         2.4700691867        13.3819037471
        0.6154352000         3.5000000000         1.8559616804         2.5262104908        13.5148783956
        0.6204412000         3.5000000000         1.8559616804         2.5746961625        13.5148783956
        0.6254353000         3.5000000000         1.8534093535         2.6180780793        13.4483910713
        0.6304722000         3.5000000000         1.8432000461         2.6793231383        13.1824417744
        0.6354368000         3.5000000000         1.8534093535         2.7303606875        13.4483910713
        0.6404423000         3.5000000000         1.8508570267         2.7839501142        13.3819037471
        0.6458835000         3.5000000000         1.8559616804         2.8426432957        13.5148783956
        0.6504359000         3.5000000000         1.8534093535         2.8809214576        13.4483910713
        0.6554402000         3.5000000000         1.8534093535         2.9345108842        13.4483910713
        0.6604362000         3.5000000000         1.8585140073         2.9932040658        13.5813657198
        0.6655179000         3.5000000000         1.8585140073         3.0493453699        13.5813657198
        0.6704975000         3.5000000000         1.8585140073         3.0978310416        13.5813657198
        0.6754389000         3.5000000000         1.8585140073         3.1514204683        13.5813657198
        0.6804340000         3.5000000000         1.8559616804         3.1973542625        13.5148783956
        0.6854390000         3.5000000000         1.8636186610         3.2585993215        13.7143403682
        0.6904373000         3.5000000000         1.8661709878         3.3121887482        13.7808276925
        0.6954408000         3.5000000000         1.8610663341         3.3555706650        13.6478530440
