% Sweep Step 104/200  Vcmd=1.9000V  CCW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0015433000         1.9000000000         1.3378393285         1.5871195859         0.0179515775
        0.0053985000         1.9000000000         1.3378393285         1.5871195859         0.0179515775
        0.0103972000         1.9000000000         1.3378393285         1.5871195859         0.0179515775
        0.0153958000         1.9000000000         1.3378393285         1.5871195859         0.0179515775
        0.0203833000         1.9000000000         1.3327346748         1.5871195859        -0.1150230709
        0.0254026000         1.9000000000         1.3429439823         1.5896714634         0.1509262260
        0.0304135000         1.9000000000         1.3429439823         1.5973270957         0.1509262260
        0.0353837000         1.9000000000         1.3429439823         1.5896714634         0.1509262260
        0.0403989000         1.9000000000         1.3327346748         1.5845677084        -0.1150230709
        0.0453821000         1.9000000000         1.3429439823         1.5947752183         0.1509262260
        0.0503811000         1.9000000000         1.3378393285         1.5896714634         0.0179515775
        0.0553927000         1.9000000000         1.3301823480         1.5820158310        -0.1815103951
        0.0604183000         1.9000000000         1.3225253674         1.5871195859        -0.3809723678
        0.0657581000         1.9000000000         1.2867927914         1.5896714634        -1.3117949070
        0.0703892000         1.9000000000         1.2204322931         1.5743601986        -3.0404653369
        0.0753840000         1.9000000000         1.1744904097         1.5616008113        -4.2372371730
        0.0803910000         1.9000000000         1.1515194680         1.5437376691        -4.8356230910
        0.0853928000         1.9000000000         1.1591764486         1.5182188945        -4.6361611183
        0.0904651000         1.9000000000         1.1413101606         1.5003557523        -5.1015723879
        0.0953992000         1.9000000000         1.1515194680         1.4875963650        -4.8356230910
        0.1003922000         1.9000000000         1.1464148143         1.4646294679        -4.9685977395
        0.1053946000         1.9000000000         1.1591764486         1.4569738355        -4.6361611183
        0.1104432000         1.9000000000         1.1464148143         1.4289031834        -4.9685977395
        0.1154135000         1.9000000000         1.1642811023         1.4237994285        -4.5031864699
        0.1204144000         1.9000000000         1.1566241217         1.3957287765        -4.7026484426
        0.1254315000         1.9000000000         1.1464148143         1.3804175117        -4.9685977395
        0.1304036000         1.9000000000         1.1438624875         1.3548987371        -5.0350850637
        0.1354092000         1.9000000000         1.1515194680         1.3472431047        -4.8356230910
        0.1403909000         1.9000000000         1.1413101606         1.3217243302        -5.1015723879
        0.1454030000         1.9000000000         1.1311008532         1.2987574330        -5.3675216848
        0.1503956000         1.9000000000         1.1362055069         1.2859980457        -5.2345470364
        0.1554206000         1.9000000000         1.1387578337         1.2630311486        -5.1680597121
        0.1603802000         1.9000000000         1.1259961995         1.2349604965        -5.5004963333
        0.1654083000         1.9000000000         1.1259961995         1.2247529867        -5.5004963333
