% Sweep Step 140/200  Vcmd=1.0000V  CCW 
% Vg_offset=1.337508V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0017046000         1.0000000000         1.3429439823         1.9877643470         0.1416180006
        0.0054284000         1.0000000000         1.3378393285         1.9775568371         0.0086433521
        0.0104710000         1.0000000000         1.3352870017         1.9724530822        -0.0578439721
        0.0154272000         1.0000000000         1.3174207137         1.9750049597        -0.5232552417
        0.0204025000         1.0000000000         1.0136938178         1.9571418174        -8.4352468246
        0.0254104000         1.0000000000         1.1234438726         1.9443824302        -5.5762918829
        0.0303974000         1.0000000000         1.0239031252         1.9163117781        -8.1692975277
        0.0354081000         1.0000000000         1.0290077789         1.8754817388        -8.0363228793
        0.0406061000         1.0000000000         0.9651996075         1.8397554543        -9.6985059849
        0.0454780000         1.0000000000         0.9703042612         1.8116848023        -9.5655313365
        0.0504541000         1.0000000000         0.9779612418         1.7759585179        -9.3660693638
        0.0554880000         1.0000000000         0.8911821287         1.7325766011       -11.6266383875
        0.0606845000         1.0000000000         0.9294670315         1.6891946843       -10.6293285241
        0.0662938000         1.0000000000         0.9064960898         1.6611240322       -11.2277144422
        0.0705656000         1.0000000000         0.8962867824         1.6126383605       -11.4936637391
        0.0754599000         1.0000000000         0.8758681675         1.5667045662       -12.0255623329
        0.0804362000         1.0000000000         0.8758681675         1.5207707720       -12.0255623329
        0.0854450000         1.0000000000         0.8784204944         1.4850444875       -11.9590750087
        0.0904522000         1.0000000000         0.8631065332         1.4365588158       -12.3579989540
        0.0954535000         1.0000000000         0.8554495527         1.3829693892       -12.5574609267
        0.1004196000         1.0000000000         0.8350309378         1.3319318400       -13.0893595205
        0.1054216000         1.0000000000         0.8350309378         1.2783424134       -13.0893595205
        0.1104296000         1.0000000000         0.8222693035         1.2324086191       -13.4217961416
        0.1154218000         1.0000000000         0.8273739573         1.1839229474       -13.2888214932
        0.1204629000         1.0000000000         0.8222693035         1.1379891531       -13.4217961416
        0.1254301000         1.0000000000         0.8146123230         1.0843997265       -13.6212581143
        0.1304187000         1.0000000000         0.8171646498         1.0333621773       -13.5547707901
        0.1354241000         1.0000000000         0.7941937081         0.9746689957       -14.1531567081
        0.1404153000         1.0000000000         0.8095076693         0.9185276916       -13.7542327628
        0.1454221000         1.0000000000         0.7865367276         0.8700420199       -14.3526186808
        0.1504742000         1.0000000000         0.7992983618         0.8215563482       -14.0201820597
        0.1554376000         1.0000000000         0.8401355915         0.7603112892       -12.9563848721
        0.1604197000         1.0000000000         0.7737750933         0.7067218625       -14.6850553019
        0.1654046000         1.0000000000         0.7814320738         0.6429249261       -14.4855933293
        0.1704173000         1.0000000000         0.7763274201         0.5893354994       -14.6185679777
        0.1754032000         1.0000000000         0.7763274201         0.5357460728       -14.6185679777
        0.1804281000         1.0000000000         0.7763274201         0.4847085236       -14.6185679777
        0.1854880000         1.0000000000         0.7788797470         0.4285672195       -14.5520806535
        0.1904180000         1.0000000000         0.7737750933         0.3724259154       -14.6850553019
        0.1954301000         1.0000000000         0.7584611321         0.3060771015       -15.0839792473
        0.2004386000         1.0000000000         0.7635657858         0.2397282875       -14.9510045989
        0.2054126000         1.0000000000         0.7635657858         0.1861388609       -14.9510045989
