% Sweep Step 28/200  Vcmd=2.3600V  CCW 
% Vg_offset=1.338069V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0019147000         2.3600000000         1.3352870017         3.3657781748        -0.0724711834
        0.0055636000         2.3600000000         1.3378393285         3.3657781748        -0.0059838592
        0.0105774000         2.3600000000         1.3429439823         3.3734338072         0.1269907893
        0.0155762000         2.3600000000         1.3659149240         3.3657781748         0.7253767073
        0.0205818000         2.3600000000         1.3429439823         3.3734338072         0.1269907893
        0.0256366000         2.3600000000         1.3352870017         3.3683300523        -0.0724711834
        0.0305840000         2.3600000000         1.3429439823         3.3734338072         0.1269907893
        0.0356152000         2.3600000000         1.3378393285         3.3683300523        -0.0059838592
        0.0406650000         2.3600000000         1.3378393285         3.3657781748        -0.0059838592
        0.0455430000         2.3600000000         1.3378393285         3.3657781748        -0.0059838592
        0.0504501000         2.3600000000         1.3378393285         3.3683300523        -0.0059838592
        0.0554832000         2.3600000000         1.3429439823         3.3734338072         0.1269907893
        0.0604529000         2.3600000000         1.3454963091         3.3734338072         0.1934781135
        0.0654381000         2.3600000000         1.3301823480         3.3581225424        -0.2054458319
        0.0706265000         2.3600000000         1.3403916554         3.3657781748         0.0605034650
        0.0755291000         2.3600000000         1.3403916554         3.3708819297         0.0605034650
        0.0805144000         2.3600000000         1.3327346748         3.3581225424        -0.1389585076
        0.0855137000         2.3600000000         1.3403916554         3.3657781748         0.0605034650
        0.0906825000         2.3600000000         1.3352870017         3.3657781748        -0.0724711834
        0.0956365000         2.3600000000         1.3352870017         3.3632262974        -0.0724711834
        0.1004934000         2.3600000000         1.3454963091         3.3734338072         0.1934781135
        0.1055441000         2.3600000000         1.3429439823         3.3734338072         0.1269907893
        0.1105635000         2.3600000000         1.3327346748         3.3606744199        -0.1389585076
        0.1154442000         2.3600000000         1.3301823480         3.3606744199        -0.2054458319
        0.1204810000         2.3600000000         1.3327346748         3.3657781748        -0.1389585076
        0.1254754000         2.3600000000         1.3352870017         3.3657781748        -0.0724711834
        0.1305400000         2.3600000000         1.3378393285         3.3657781748        -0.0059838592
        0.1355313000         2.3600000000         1.3454963091         3.3708819297         0.1934781135
        0.1404876000         2.3600000000         1.3378393285         3.3657781748        -0.0059838592
        0.1454275000         2.3600000000         1.3403916554         3.3632262974         0.0605034650
        0.1505417000         2.3600000000         1.3454963091         3.3708819297         0.1934781135
        0.1554566000         2.3600000000         1.3633625971         3.3657781748         0.6588893831
        0.1605836000         2.3600000000         1.3352870017         3.3632262974        -0.0724711834
        0.1654927000         2.3600000000         1.3301823480         3.3606744199        -0.2054458319
        0.1705496000         2.3600000000         1.3301823480         3.3606744199        -0.2054458319
        0.1755517000         2.3600000000         1.3352870017         3.3657781748        -0.0724711834
        0.1805714000         2.3600000000         1.3378393285         3.3683300523        -0.0059838592
        0.1855326000         2.3600000000         1.3352870017         3.3657781748        -0.0724711834
        0.1904232000         2.3600000000         1.3454963091         3.3708819297         0.1934781135
        0.1954372000         2.3600000000         1.3327346748         3.3606744199        -0.1389585076
        0.2005048000         2.3600000000         1.3454963091         3.3708819297         0.1934781135
        0.2060017000         2.3600000000         1.3327346748         3.3657781748        -0.1389585076
