% Sweep Step 109/200  Vcmd=3.2500V  CW 
% Vg_offset=1.337150V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0020626000         3.2500000000         1.3429439823         4.4681892371         0.1509262260
        0.0053940000         3.2500000000         1.3403916554         4.4605336047         0.0844389018
        0.0104324000         3.2500000000         1.3352870017         4.4630854822        -0.0485357467
        0.0154033000         3.2500000000         1.3327346748         4.4554298498        -0.1150230709
        0.0204413000         3.2500000000         1.3378393285         4.4605336047         0.0179515775
        0.0254449000         3.2500000000         1.3378393285         4.4630854822         0.0179515775
        0.0304896000         3.2500000000         1.3352870017         4.4605336047        -0.0485357467
        0.0354236000         3.2500000000         1.3352870017         4.4630854822        -0.0485357467
        0.0404203000         3.2500000000         1.3378393285         4.4605336047         0.0179515775
        0.0453927000         3.2500000000         1.3454963091         4.4656373597         0.2174135502
        0.0504076000         3.2500000000         1.3429439823         4.4681892371         0.1509262260
        0.0553915000         3.2500000000         1.3327346748         4.4554298498        -0.1150230709
        0.0604371000         3.2500000000         1.3454963091         4.4630854822         0.2174135502
        0.0654206000         3.2500000000         1.3710195777         4.4656373597         0.8822867925
        0.0704105000         3.2500000000         1.4373800759         4.4732929920         2.6109572224
        0.0754000000         3.2500000000         1.5777580530         4.4937080117         6.2677600548
        0.0804010000         3.2500000000         1.6083859753         4.5243305412         7.0656079456
        0.0853877000         3.2500000000         1.6007289948         4.5370899285         6.8661459729
        0.0904049000         3.2500000000         1.6007289948         4.5677124580         6.8661459729
        0.0954074000         3.2500000000         1.5905196873         4.6008868650         6.6001966760
        0.1004200000         3.2500000000         1.5828627068         4.6264056396         6.4007347033
        0.1053908000         3.2500000000         1.5675487456         4.6442687818         6.0018107579
        0.1104446000         3.2500000000         1.5803103799         4.6825469437         6.3342473791
        0.1155511000         3.2500000000         1.5649964188         4.6927544535         5.9353234337
        0.1203960000         3.2500000000         1.5777580530         4.7259288605         6.2677600548
        0.1254073000         3.2500000000         1.5930720142         4.7591032674         6.6666840002
        0.1303874000         3.2500000000         1.5854150336         4.7744145322         6.4672220275
        0.1353767000         3.2500000000         1.5956243410         4.8101408166         6.7331713244
        0.1403778000         3.2500000000         1.6032813216         4.8331077137         6.9326332971
        0.1453918000         3.2500000000         1.5956243410         4.8586264883         6.7331713244
        0.1504197000         3.2500000000         1.6007289948         4.8892490178         6.8661459729
        0.1554086000         3.2500000000         1.6185952828         4.9249753023         7.3315572425
        0.1603894000         3.2500000000         1.6185952828         4.9428384445         7.3315572425
        0.1653973000         3.2500000000         1.6109383022         4.9760128515         7.1320952698
        0.1703862000         3.2500000000         1.6134906290         5.0040835035         7.1985825940
        0.1753985000         3.2500000000         1.6083859753         5.0015316260         7.0656079456
        0.1803964000         3.2500000000         1.6288045902         5.0066353810         7.5975065394
        0.1853917000         3.2500000000         1.6211476096         4.9989797486         7.3980445667
        0.1903889000         3.2500000000         1.6364615707         5.0091872584         7.7969685121
        0.1953756000         3.2500000000         1.6364615707         1.0997109912         7.7969685121
        0.2003888000         3.2500000000         1.6313569170         1.0997109912         7.6639938636
        0.2053990000         3.2500000000         1.6390138976         0.0024036839         7.8634558363
        0.2103996000         3.2500000000         1.6492232050         0.0100593162         8.1294051332
        0.2153910000         3.2500000000         1.6441185513        -0.0027000711         7.9964304847
        0.2203772000         3.2500000000         1.6619848393         0.0100593162         8.4618417543
        0.2254113000         3.2500000000         1.6594325125         0.0355780908         8.3953544301
        0.2303878000         3.2500000000         1.6543278587         0.0559931105         8.2623797817
        0.2353992000         3.2500000000         1.6568801856         0.1019269048         8.3288671059
        0.2405570000         3.2500000000         1.6619848393         0.1299975568         8.4618417543
        0.2454209000         3.2500000000         1.6645371662         0.1631719638         8.5283290786
        0.2503991000         3.2500000000         1.6645371662         0.1988982482         8.5283290786
        0.2553865000         3.2500000000         1.6670894930         0.2320726552         8.5948164028
        0.2603912000         3.2500000000         1.6721941467         0.2703508170         8.7277910512
        0.2653980000         3.2500000000         1.6721941467         0.2984214691         8.7277910512
        0.2703858000         3.2500000000         1.6696418199         0.3341477535         8.6613037270
        0.2754003000         3.2500000000         1.6824034542         0.3775296703         8.9937403481
        0.2803933000         3.2500000000         1.6721941467         0.4030484449         8.7277910512
        0.2854374000         3.2500000000         1.6747464736         0.4387747293         8.7942783755
        0.2903978000         3.2500000000         1.6798511273         0.4796047687         8.9272530239
        0.2954314000         3.2500000000         1.6721941467         0.5076754207         8.7277910512
        0.3004041000         3.2500000000         1.6824034542         0.5485054601         8.9937403481
        0.3054378000         3.2500000000         1.6747464736         0.5765761121         8.7942783755
        0.3103875000         3.2500000000         1.6824034542         0.6097505191         8.9937403481
        0.3153819000         3.2500000000         1.6772988005         0.6429249261         8.8607656997
        0.3203999000         3.2500000000         1.6875081079         0.6837549654         9.1267149966
        0.3256375000         3.2500000000         1.6900604347         0.7245850047         9.1932023208
        0.3304109000         3.2500000000         1.6875081079         0.7552075343         9.1267149966
        0.3353962000         3.2500000000         1.6900604347         0.7858300638         9.1932023208
        0.3403762000         3.2500000000         1.6926127616         0.8241082257         9.2596896451
        0.3453829000         3.2500000000         1.6824034542         0.8521788777         8.9937403481
        0.3503994000         3.2500000000         1.6977174153         0.9032164269         9.3926642935
        0.3553839000         3.2500000000         1.6875081079         0.9312870789         9.1267149966
        0.3603849000         3.2500000000         1.6926127616         0.9670133634         9.2596896451
        0.3654361000         3.2500000000         1.6875081079         1.0027396478         9.1267149966
        0.3704165000         3.2500000000         1.6875081079         1.0359140547         9.1267149966
        0.3753900000         3.2500000000         1.6900604347         1.0792959716         9.1932023208
