% Sweep Step 93/200  Vcmd=2.9700V  CW 
% Vg_offset=1.338950V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]             Omega[rad/s]
        0.0040021000         2.9700000000         1.3352870017         2.7941576240        -0.0954093103
        0.0056588000         2.9700000000         1.3403916554         2.7941576240         0.0375653382
        0.0106894000         2.9700000000         1.3327346748         2.7865019916        -0.1618966345
        0.0156621000         2.9700000000         1.3378393285         2.7916057465        -0.0289219860
        0.0211161000         2.9700000000         1.3454963091         2.8018132564         0.1705399866
        0.0256911000         2.9700000000         1.3454963091         2.7967095015         0.1705399866
        0.0305782000         2.9700000000         1.3403916554         2.7916057465         0.0375653382
        0.0355353000         2.9700000000         1.3454963091         2.7992613789         0.1705399866
        0.0404992000         2.9700000000         1.3352870017         2.7941576240        -0.0954093103
        0.0457228000         2.9700000000         1.3352870017         2.7941576240        -0.0954093103
        0.0505478000         2.9700000000         1.3378393285         2.7941576240        -0.0289219860
        0.0554813000         2.9700000000         1.3327346748         2.7865019916        -0.1618966345
        0.0607543000         2.9700000000         1.3480486360         2.7992613789         0.2370273109
        0.0656820000         2.9700000000         1.3378393285         2.7941576240        -0.0289219860
        0.0707053000         2.9700000000         1.3454963091         2.7992613789         0.1705399866
        0.0757144000         2.9700000000         1.3454963091         2.7890538691         0.1705399866
        0.0807701000         2.9700000000         1.3429439823         2.7916057465         0.1040526624
        0.0854480000         2.9700000000         1.3327346748         2.7890538691        -0.1618966345
        0.0905113000         2.9700000000         1.3352870017         2.7941576240        -0.0954093103
        0.0956207000         2.9700000000         1.3454963091         2.7992613789         0.1705399866
        0.1008183000         2.9700000000         1.3429439823         2.8018132564         0.1040526624
        0.1056862000         2.9700000000         1.3352870017         2.7941576240        -0.0954093103
        0.1105500000         2.9700000000         1.3327346748         2.7865019916        -0.1618966345
        0.1159843000         2.9700000000         1.3837812120         2.8018132564         1.1678498500
        0.1208754000         2.9700000000         1.4909789399         2.8043651338         3.9603174676
        0.1254961000         2.9700000000         1.5165022085         2.8222282761         4.6251907098
        0.1305309000         2.9700000000         1.5062929011         2.8451951732         4.3592414129
        0.1356402000         2.9700000000         1.4884266131         2.8528508056         3.8938301433
        0.1406701000         2.9700000000         1.4654556714         2.8656101929         3.2954442253
        0.1456364000         2.9700000000         1.4654556714         2.8911289674         3.2954442253
        0.1505780000         2.9700000000         1.4450370565         2.8885770900         2.7635456315
        0.1556452000         2.9700000000         1.4424847297         2.8987845998         2.6970583073
        0.1606055000         2.9700000000         1.4654556714         2.9191996195         3.2954442253
        0.1656053000         2.9700000000         1.4833219594         2.9421665166         3.7608554949
        0.1706251000         2.9700000000         1.4807696325         2.9472702715         3.6943681707
        0.1755867000         2.9700000000         1.4782173056         2.9600296588         3.6278808464
        0.1806541000         2.9700000000         1.4807696325         2.9727890461         3.6943681707
        0.1857104000         2.9700000000         1.4782173056         2.9881003109         3.6278808464
        0.1905819000         2.9700000000         1.4705603251         3.0034115756         3.4284188737
        0.1955638000         2.9700000000         1.4782173056         3.0212747179         3.6278808464
        0.2008513000         2.9700000000         1.4782173056         3.0263784728         3.6278808464
        0.2057032000         2.9700000000         1.4731126519         3.0391378601         3.4949061980
        0.2105618000         2.9700000000         1.4884266131         3.0570010023         3.8938301433
        0.2155883000         2.9700000000         1.4807696325         3.0774160220         3.6943681707
        0.2206649000         2.9700000000         1.4756649788         3.0850716543         3.5613935222
        0.2256127000         2.9700000000         1.4833219594         3.0978310416         3.7608554949
        0.2306312000         2.9700000000         1.4782173056         3.1131423064         3.6278808464
        0.2355545000         2.9700000000         1.4884266131         3.1361092035         3.8938301433
        0.2405856000         2.9700000000         1.4756649788         3.1361092035         3.5613935222
        0.2455427000         2.9700000000         1.4782173056         3.1590761006         3.6278808464
        0.2505485000         2.9700000000         1.4909789399         3.1743873654         3.9603174676
        0.2555763000         2.9700000000         1.4858742862         3.1845948752         3.8273428191
        0.2605922000         2.9700000000         1.5216068622         3.1973542625         4.7581653583
        0.2655216000         2.9700000000         1.4935312668         3.2203211597         4.0268047918
        0.2704580000         2.9700000000         1.4858742862         3.2305286695         3.8273428191
        0.2755363000         2.9700000000         1.4935312668         3.2534955666         4.0268047918
        0.2805621000         2.9700000000         1.4884266131         3.2534955666         3.8938301433
        0.2855374000         2.9700000000         1.4858742862         3.2713587088         3.8273428191
        0.2904736000         2.9700000000         1.4909789399         3.2968774834         3.9603174676
        0.2956767000         2.9700000000         1.4884266131         3.3070849933         3.8938301433
        0.3005826000         2.9700000000         1.4935312668         3.3223962580         4.0268047918
        0.3056175000         2.9700000000         1.4909789399         3.3300518904         3.9603174676
        0.3107770000         2.9700000000         1.5011882474         3.3581225424         4.2262667645
        0.3154934000         2.9700000000         1.4986359205         3.3759856847         4.1597794402
        0.3207707000         2.9700000000         1.4986359205         3.3938488269         4.1597794402
        0.3255910000         2.9700000000         1.4858742862         3.3989525818         3.8273428191
        0.3305773000         2.9700000000         1.4909789399         3.4142638465         3.9603174676
        0.3355714000         2.9700000000         1.4986359205         3.4372307437         4.1597794402
        0.3406746000         2.9700000000         1.4909789399         3.4474382535         3.9603174676
        0.3454471000         2.9700000000         1.4858742862         3.4550938859         3.8273428191
        0.3504788000         2.9700000000         1.4909789399         3.4704051506         3.9603174676
        0.3555087000         2.9700000000         1.4960835936         3.4882682929         4.0932921160
        0.3605419000         2.9700000000         1.4884266131         3.5061314351         3.8938301433
        0.3654818000         2.9700000000         1.4909789399         3.5265464547         3.9603174676
        0.3705064000         2.9700000000         1.4909789399         3.5367539646         3.9603174676
        0.3756145000         2.9700000000         1.4960835936         3.5597208617         4.0932921160
        0.3806631000         2.9700000000         1.4858742862         3.5673764941         3.8273428191
        0.3854716000         2.9700000000         1.4858742862         3.5826877588         3.8273428191
        0.3905639000         2.9700000000         1.4960835936         3.6031027785         4.0932921160
        0.3972333000         2.9700000000         1.4986359205         3.6158621658         4.1597794402
        0.4021774000         2.9700000000         1.4960835936         3.6311734306         4.0932921160
        0.4055242000         2.9700000000         1.4884266131         3.6464846953         3.8938301433
        0.4105390000         2.9700000000         1.4858742862         3.6617959601         3.8273428191
        0.4154897000         2.9700000000         1.4858742862         3.6745553474         3.8273428191
        0.4206169000         2.9700000000         1.4960835936         3.6898666121         4.0932921160
        0.4255808000         2.9700000000         1.4960835936         3.7077297543         4.0932921160
        0.4305799000         2.9700000000         1.4986359205         3.7332485289         4.1597794402
        0.4355785000         2.9700000000         1.4833219594         3.7358004064         3.7608554949
