% f=15.00Hz  Gain=0.3952(-8.06dB)  Phase=-133.26deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.4500000000        -0.4500000000         2.0730437205        -0.0541871692
        0.4550000000        -0.4009529359         2.0989852816        -0.2536491419
        0.4600000000        -0.2645033635         2.1699326868         0.0123001550
        0.4650000000        -0.0703955093         2.2679639325        -0.1871618177
        0.4700000000         0.1390576475         2.7586463122        -0.1206744935
        0.4750000000         0.3181980515         2.8630574660        -0.9185223842
        0.4800000000         0.4279754323         2.9284640853        -0.3866237904
        0.4850000000         0.4444597533         2.9383835146         0.4777114246
        0.4900000000         0.3640576475         2.8902450178         0.1452748034
        0.4950000000         0.2042957249         2.7963477207        -0.1206744935
        0.5000000000         0.0000000000         2.5000000000         0.0123001550
        0.5050000000        -0.2042957249         2.2006909874        -0.1871618177
        0.5100000000        -0.3640576475         2.1183436887         0.3447367761
        0.5150000000        -0.4444597533         2.0759860548        -0.1206744935
        0.5200000000        -0.4279754323         2.0847223900        -0.1206744935
        0.5250000000        -0.3181980515         2.1422233970        -0.3201364662
        0.5300000000        -0.1390576475         2.2336583516         0.2117621277
        0.5350000000         0.0703955093         2.7193505720        -0.3866237904
        0.5400000000         0.2645033635         2.8314669659        -0.4531111146
        0.5450000000         0.4009529359         2.9122593257        -0.5860857631
        0.5500000000         0.4500000000         2.9417232131        -0.0541871692
        0.5550000000         0.4009529359         2.9122593257         0.4112241003
        0.5600000000         0.2645033635         2.8314669659         0.0123001550
        0.5650000000         0.0703955093         2.7193505720         0.1452748034
        0.5700000000        -0.1390576475         2.2336583516         0.1452748034
        0.5750000000        -0.3181980515         2.1422233970        -0.0541871692
        0.5800000000        -0.4279754323         2.0847223900         0.2117621277
        0.5850000000        -0.4444597533         2.0759860548        -0.2536491419
        0.5900000000        -0.3640576475         2.1183436887        -0.1206744935
        0.5950000000        -0.2042957249         2.2006909874        -0.1206744935
        0.6000000000        -0.0000000000         2.5000000000        -0.1871618177
        0.6050000000         0.2042957249         2.7963477207        -0.2536491419
        0.6100000000         0.3640576475         2.8902450178        -0.9185223842
        0.6150000000         0.4444597533         2.9383835146        -0.3201364662
        0.6200000000         0.4279754323         2.9284640853         0.2782494519
        0.6250000000         0.3181980515         2.8630574660        -0.0541871692
        0.6300000000         0.1390576475         2.7586463122        -0.2536491419
        0.6350000000        -0.0703955093         2.2679639325         0.0123001550
        0.6400000000        -0.2645033635         2.1699326868         0.2117621277
        0.6450000000        -0.4009529359         2.0989852816        -0.0541871692
        0.6500000000        -0.4500000000         2.0730437205         0.0787874792
        0.6550000000        -0.4009529359         2.0989852816        -0.0541871692
        0.6600000000        -0.2645033635         2.1699326868         0.0123001550
        0.6650000000        -0.0703955093         2.2679639325        -0.1206744935
        0.6700000000         0.1390576475         2.7586463122        -0.1206744935
        0.6750000000         0.3181980515         2.8630574660        -1.0514970326
        0.6800000000         0.4279754323         2.9284640853        -0.4531111146
        0.6850000000         0.4444597533         2.9383835146         0.1452748034
        0.6900000000         0.3640576475         2.8902450178         0.2117621277
        0.6950000000         0.2042957249         2.7963477207        -0.2536491419
        0.7000000000         0.0000000000         2.5000000000         0.0123001550
        0.7050000000        -0.2042957249         2.2006909874        -0.1206744935
        0.7100000000        -0.3640576475         2.1183436887         0.3447367761
        0.7150000000        -0.4444597533         2.0759860548        -0.0541871692
        0.7200000000        -0.4279754323         2.0847223900        -0.2536491419
        0.7250000000        -0.3181980515         2.1422233970        -0.0541871692
        0.7300000000        -0.1390576475         2.2336583516         0.1452748034
        0.7350000000         0.0703955093         2.7193505720        -0.4531111146
        0.7400000000         0.2645033635         2.8314669659        -0.3866237904
        0.7450000000         0.4009529359         2.9122593257        -0.7855477357
        0.7500000000         0.4500000000         2.9417232131         0.2117621277
        0.7550000000         0.4009529359         2.9122593257         0.1452748034
        0.7600000000         0.2645033635         2.8314669659        -0.1871618177
        0.7650000000         0.0703955093         2.7193505720         0.0123001550
        0.7700000000        -0.1390576475         2.2336583516         0.1452748034
        0.7750000000        -0.3181980515         2.1422233970        -0.1206744935
        0.7800000000        -0.4279754323         2.0847223900         0.0787874792
        0.7850000000        -0.4444597533         2.0759860548        -0.1206744935
        0.7900000000        -0.3640576475         2.1183436887        -0.1871618177
        0.7950000000        -0.2042957249         2.2006909874         0.0787874792
        0.8000000000        -0.0000000000         2.5000000000         0.1452748034
        0.8050000000         0.2042957249         2.7963477207        -0.1206744935
        0.8100000000         0.3640576475         2.8902450178        -1.3839336538
        0.8150000000         0.4444597533         2.9383835146        -0.2536491419
        0.8200000000         0.4279754323         2.9284640853        -0.3866237904
        0.8250000000         0.3181980515         2.8630574660        -0.0541871692
        0.8300000000         0.1390576475         2.7586463122        -0.4531111146
        0.8350000000        -0.0703955093         2.2679639325         0.0787874792
        0.8400000000        -0.2645033635         2.1699326868        -0.1206744935
        0.8450000000        -0.4009529359         2.0989852816         0.0787874792
        0.8500000000        -0.4500000000         2.0730437205        -0.0541871692
        0.8550000000        -0.4009529359         2.0989852816        -0.3866237904
        0.8600000000        -0.2645033635         2.1699326868         0.0123001550
        0.8650000000        -0.0703955093         2.2679639325        -0.0541871692
        0.8700000000         0.1390576475         2.7586463122         0.0787874792
        0.8750000000         0.3181980515         2.8630574660        -0.9850097084
        0.8800000000         0.4279754323         2.9284640853        -0.3866237904
        0.8850000000         0.4444597533         2.9383835146         0.2782494519
        0.8900000000         0.3640576475         2.8902450178         0.1452748034
        0.8950000000         0.2042957249         2.7963477207        -0.2536491419
        0.9000000000         0.0000000000         2.5000000000         0.0787874792
        0.9050000000        -0.2042957249         2.2006909874        -0.2536491419
        0.9100000000        -0.3640576475         2.1183436887         0.0123001550
        0.9150000000        -0.4444597533         2.0759860548         0.0787874792
        0.9200000000        -0.4279754323         2.0847223900         0.0123001550
        0.9250000000        -0.3181980515         2.1422233970        -0.1871618177
        0.9300000000        -0.1390576475         2.2336583516         0.2782494519
        0.9350000000         0.0703955093         2.7193505720        -0.1871618177
        0.9400000000         0.2645033635         2.8314669659        -0.1871618177
        0.9450000000         0.4009529359         2.9122593257        -0.7855477357
        0.9500000000         0.4500000000         2.9417232131         0.1452748034
        0.9550000000         0.4009529359         2.9122593257        -0.0541871692
        0.9600000000         0.2645033635         2.8314669659        -0.1871618177
        0.9650000000         0.0703955093         2.7193505720         0.0787874792
        0.9700000000        -0.1390576475         2.2336583516         0.1452748034
        0.9750000000        -0.3181980515         2.1422233970        -0.1206744935
        0.9800000000        -0.4279754323         2.0847223900         0.1452748034
        0.9850000000        -0.4444597533         2.0759860548        -0.3201364662
        0.9900000000        -0.3640576475         2.1183436887        -0.3866237904
        0.9950000000        -0.2042957249         2.2006909874         0.0123001550
        1.0000000000        -0.0000000000         2.5000000000        -0.1206744935
        1.0050000000         0.2042957249         2.7963477207        -0.1206744935
        1.0100000000         0.3640576475         2.8902450178        -1.1179843569
        1.0150000000         0.4444597533         2.9383835146         0.1452748034
        1.0200000000         0.4279754323         2.9284640853        -0.1206744935
        1.0250000000         0.3181980515         2.8630574660        -0.1871618177
        1.0300000000         0.1390576475         2.7586463122        -0.0541871692
        1.0350000000        -0.0703955093         2.2679639325        -0.0541871692
        1.0400000000        -0.2645033635         2.1699326868        -0.1206744935
        1.0450000000        -0.4009529359         2.0989852816         0.1452748034
        1.0500000000        -0.4500000000         2.0730437205         0.0123001550
        1.0550000000        -0.4009529359         2.0989852816        -0.1871618177
        1.0600000000        -0.2645033635         2.1699326868         0.4112241003
        1.0650000000        -0.0703955093         2.2679639325        -0.1206744935
        1.0700000000         0.1390576475         2.7586463122        -0.2536491419
        1.0750000000         0.3181980515         2.8630574660        -1.3174463296
        1.0800000000         0.4279754323         2.9284640853        -0.5860857631
        1.0850000000         0.4444597533         2.9383835146        -0.1871618177
        1.0900000000         0.3640576475         2.8902450178         0.2782494519
        1.0950000000         0.2042957249         2.7963477207        -0.1206744935
        1.1000000000         0.0000000000         2.5000000000        -0.1206744935
        1.1050000000        -0.2042957249         2.2006909874        -0.1206744935
        1.1100000000        -0.3640576475         2.1183436887         0.5441987488
        1.1150000000        -0.4444597533         2.0759860548         0.0787874792
        1.1200000000        -0.4279754323         2.0847223900        -0.1206744935
        1.1250000000        -0.3181980515         2.1422233970         0.0123001550
        1.1300000000        -0.1390576475         2.2336583516         0.0123001550
        1.1350000000         0.0703955093         2.7193505720        -0.0541871692
        1.1400000000         0.2645033635         2.8314669659        -0.3201364662
        1.1450000000         0.4009529359         2.9122593257        -0.8520350600
        1.1500000000         0.4500000000         2.9417232131         0.0123001550
        1.1550000000         0.4009529359         2.9122593257        -0.1206744935
        1.1600000000         0.2645033635         2.8314669659        -0.0541871692
        1.1650000000         0.0703955093         2.7193505720         0.1452748034
        1.1700000000        -0.1390576475         2.2336583516         0.2117621277
        1.1750000000        -0.3181980515         2.1422233970        -0.1206744935
        1.1800000000        -0.4279754323         2.0847223900         0.0787874792
        1.1850000000        -0.4444597533         2.0759860548         0.0123001550
        1.1900000000        -0.3640576475         2.1183436887        -0.5195984388
        1.1950000000        -0.2042957249         2.2006909874        -0.1871618177
        1.2000000000        -0.0000000000         2.5000000000         0.0123001550
        1.2050000000         0.2042957249         2.7963477207        -0.0541871692
        1.2100000000         0.3640576475         2.8902450178        -0.7190604115
        1.2150000000         0.4444597533         2.9383835146         0.1452748034
        1.2200000000         0.4279754323         2.9284640853        -0.1206744935
        1.2250000000         0.3181980515         2.8630574660         0.0123001550
        1.2300000000         0.1390576475         2.7586463122        -0.0541871692
        1.2350000000        -0.0703955093         2.2679639325         0.0123001550
        1.2400000000        -0.2645033635         2.1699326868        -0.3201364662
        1.2450000000        -0.4009529359         2.0989852816         0.0787874792
        1.2500000000        -0.4500000000         2.0730437205        -0.1206744935
        1.2550000000        -0.4009529359         2.0989852816         0.0787874792
        1.2600000000        -0.2645033635         2.1699326868         0.1452748034
        1.2650000000        -0.0703955093         2.2679639325         0.1452748034
        1.2700000000         0.1390576475         2.7586463122        -0.1871618177
        1.2750000000         0.3181980515         2.8630574660        -1.1844716811
        1.2800000000         0.4279754323         2.9284640853         0.0787874792
        1.2850000000         0.4444597533         2.9383835146         0.0787874792
        1.2900000000         0.3640576475         2.8902450178         0.2117621277
        1.2950000000         0.2042957249         2.7963477207        -0.1871618177
        1.3000000000         0.0000000000         2.5000000000         0.1452748034
        1.3050000000        -0.2042957249         2.2006909874        -0.1206744935
        1.3100000000        -0.3640576475         2.1183436887         0.4112241003
        1.3150000000        -0.4444597533         2.0759860548         0.2782494519
        1.3200000000        -0.4279754323         2.0847223900        -0.1206744935
        1.3250000000        -0.3181980515         2.1422233970        -0.3201364662
