% f=10.00Hz  Gain=2.1044(6.46dB)  Phase=-90.80deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.1206744935
        0.0050000000         0.1390576475         2.7586463122         0.0123001550
        0.0100000000         0.2645033635         2.8314669659         0.1452748034
        0.0150000000         0.3640576475         2.8902450178        -0.2536491419
        0.0200000000         0.4279754323         2.9284640853         0.1452748034
        0.0250000000         0.4500000000         2.9417232131         0.1452748034
        0.0300000000         0.4279754323         2.9284640853         0.1452748034
        0.0350000000         0.3640576475         2.8902450178        -0.0541871692
        0.0400000000         0.2645033635         2.8314669659         1.1425846668
        0.0450000000         0.1390576475         2.7586463122         2.0069198818
        0.0500000000         0.0000000000         2.5000000000         1.2090719911
        0.0550000000        -0.1390576475         2.2336583516         1.0096100184
        0.0600000000        -0.2645033635         2.1699326868         0.5441987488
        0.0650000000        -0.3640576475         2.1183436887         0.0787874792
        0.0700000000        -0.4279754323         2.0847223900        -0.2536491419
        0.0750000000        -0.4500000000         2.0730437205        -0.1206744935
        0.0800000000        -0.4279754323         2.0847223900        -0.1206744935
        0.0850000000        -0.3640576475         2.1183436887        -0.0541871692
        0.0900000000        -0.2645033635         2.1699326868        -0.1871618177
        0.0950000000        -0.1390576475         2.2336583516        -2.4477308414
        0.1000000000        -0.0000000000         2.5000000000        -1.5169083022
        0.1050000000         0.1390576475         2.7586463122        -1.0514970326
        0.1100000000         0.2645033635         2.8314669659        -1.0514970326
        0.1150000000         0.3640576475         2.8902450178        -0.4531111146
        0.1200000000         0.4279754323         2.9284640853         0.1452748034
        0.1250000000         0.4500000000         2.9417232131        -0.0541871692
        0.1300000000         0.4279754323         2.9284640853        -0.1871618177
        0.1350000000         0.3640576475         2.8902450178         0.0123001550
        0.1400000000         0.2645033635         2.8314669659        -0.0541871692
        0.1450000000         0.1390576475         2.7586463122         0.2782494519
        0.1500000000         0.0000000000         2.5000000000         2.5388184756
        0.1550000000        -0.1390576475         2.2336583516         0.9431226942
        0.1600000000        -0.2645033635         2.1699326868         0.6106860730
        0.1650000000        -0.3640576475         2.1183436887        -0.3201364662
        0.1700000000        -0.4279754323         2.0847223900        -0.0541871692
        0.1750000000        -0.4500000000         2.0730437205         0.0787874792
        0.1800000000        -0.4279754323         2.0847223900         0.0787874792
        0.1850000000        -0.3640576475         2.1183436887        -0.1871618177
        0.1900000000        -0.2645033635         2.1699326868        -0.2536491419
        0.1950000000        -0.1390576475         2.2336583516        -2.5142181656
        0.2000000000        -0.0000000000         2.5000000000        -1.3839336538
        0.2050000000         0.1390576475         2.7586463122        -0.9185223842
        0.2100000000         0.2645033635         2.8314669659        -0.9185223842
        0.2150000000         0.3640576475         2.8902450178        -0.3866237904
        0.2200000000         0.4279754323         2.9284640853         0.2782494519
        0.2250000000         0.4500000000         2.9417232131        -0.1871618177
        0.2300000000         0.4279754323         2.9284640853        -0.1206744935
        0.2350000000         0.3640576475         2.8902450178        -0.0541871692
        0.2400000000         0.2645033635         2.8314669659        -0.1206744935
        0.2450000000         0.1390576475         2.7586463122         0.6106860730
        0.2500000000         0.0000000000         2.5000000000         2.0069198818
        0.2550000000        -0.1390576475         2.2336583516         1.1425846668
        0.2600000000        -0.2645033635         2.1699326868         0.0787874792
        0.2650000000        -0.3640576475         2.1183436887         0.0123001550
        0.2700000000        -0.4279754323         2.0847223900        -0.2536491419
        0.2750000000        -0.4500000000         2.0730437205        -0.0541871692
        0.2800000000        -0.4279754323         2.0847223900        -0.0541871692
        0.2850000000        -0.3640576475         2.1183436887         0.1452748034
        0.2900000000        -0.2645033635         2.1699326868        -0.3866237904
        0.2950000000        -0.1390576475         2.2336583516        -2.1817815445
        0.3000000000        -0.0000000000         2.5000000000        -1.6498829507
        0.3050000000         0.1390576475         2.7586463122        -1.1844716811
        0.3100000000         0.2645033635         2.8314669659        -0.9850097084
        0.3150000000         0.3640576475         2.8902450178        -0.1206744935
        0.3200000000         0.4279754323         2.9284640853         0.6771733972
        0.3250000000         0.4500000000         2.9417232131        -0.1206744935
        0.3300000000         0.4279754323         2.9284640853        -0.1871618177
        0.3350000000         0.3640576475         2.8902450178         0.3447367761
        0.3400000000         0.2645033635         2.8314669659        -0.1206744935
        0.3450000000         0.1390576475         2.7586463122         1.0096100184
        0.3500000000         0.0000000000         2.5000000000         2.1398945302
        0.3550000000        -0.1390576475         2.2336583516         0.9431226942
        0.3600000000        -0.2645033635         2.1699326868         0.6771733972
        0.3650000000        -0.3640576475         2.1183436887         0.1452748034
        0.3700000000        -0.4279754323         2.0847223900        -0.3201364662
        0.3750000000        -0.4500000000         2.0730437205        -0.3201364662
        0.3800000000        -0.4279754323         2.0847223900         0.1452748034
        0.3850000000        -0.3640576475         2.1183436887        -0.2536491419
        0.3900000000        -0.2645033635         2.1699326868        -0.7855477357
        0.3950000000        -0.1390576475         2.2336583516        -1.7163702749
        0.4000000000        -0.0000000000         2.5000000000        -1.7163702749
        0.4050000000         0.1390576475         2.7586463122        -1.0514970326
        0.4100000000         0.2645033635         2.8314669659        -0.7855477357
        0.4150000000         0.3640576475         2.8902450178        -0.3866237904
        0.4200000000         0.4279754323         2.9284640853         0.2782494519
        0.4250000000         0.4500000000         2.9417232131        -0.1871618177
        0.4300000000         0.4279754323         2.9284640853        -0.1206744935
        0.4350000000         0.3640576475         2.8902450178        -0.0541871692
        0.4400000000         0.2645033635         2.8314669659        -0.0541871692
        0.4450000000         0.1390576475         2.7586463122         0.2782494519
        0.4500000000         0.0000000000         2.5000000000         2.1398945302
        0.4550000000        -0.1390576475         2.2336583516         0.7436607215
        0.4600000000        -0.2645033635         2.1699326868         0.3447367761
        0.4650000000        -0.3640576475         2.1183436887        -0.1206744935
        0.4700000000        -0.4279754323         2.0847223900        -0.4531111146
        0.4750000000        -0.4500000000         2.0730437205        -0.1206744935
        0.4800000000        -0.4279754323         2.0847223900         0.2117621277
        0.4850000000        -0.3640576475         2.1183436887        -0.0541871692
        0.4900000000        -0.2645033635         2.1699326868        -0.1871618177
        0.4950000000        -0.1390576475         2.2336583516        -2.1817815445
        0.5000000000        -0.0000000000         2.5000000000        -1.6498829507
        0.5050000000         0.1390576475         2.7586463122        -1.1844716811
        0.5100000000         0.2645033635         2.8314669659        -0.7855477357
        0.5150000000         0.3640576475         2.8902450178        -0.3201364662
        0.5200000000         0.4279754323         2.9284640853         0.2782494519
        0.5250000000         0.4500000000         2.9417232131        -0.0541871692
        0.5300000000         0.4279754323         2.9284640853        -0.2536491419
        0.5350000000         0.3640576475         2.8902450178         0.1452748034
        0.5400000000         0.2645033635         2.8314669659        -0.2536491419
        0.5450000000         0.1390576475         2.7586463122         1.0096100184
        0.5500000000         0.0000000000         2.5000000000         2.4058438271
        0.5550000000        -0.1390576475         2.2336583516         0.8101480457
        0.5600000000        -0.2645033635         2.1699326868         0.2782494519
        0.5650000000        -0.3640576475         2.1183436887         0.0123001550
        0.5700000000        -0.4279754323         2.0847223900         0.0123001550
        0.5750000000        -0.4500000000         2.0730437205        -0.1206744935
        0.5800000000        -0.4279754323         2.0847223900         0.2782494519
        0.5850000000        -0.3640576475         2.1183436887        -0.1206744935
        0.5900000000        -0.2645033635         2.1699326868        -0.2536491419
        0.5950000000        -0.1390576475         2.2336583516        -2.3812435172
        0.6000000000        -0.0000000000         2.5000000000        -1.4504209780
        0.6050000000         0.1390576475         2.7586463122        -1.2509590053
        0.6100000000         0.2645033635         2.8314669659        -0.9185223842
        0.6150000000         0.3640576475         2.8902450178        -0.5860857631
        0.6200000000         0.4279754323         2.9284640853         0.2117621277
        0.6250000000         0.4500000000         2.9417232131        -0.1206744935
        0.6300000000         0.4279754323         2.9284640853        -0.3201364662
        0.6350000000         0.3640576475         2.8902450178        -0.0541871692
        0.6400000000         0.2645033635         2.8314669659        -0.4531111146
        0.6450000000         0.1390576475         2.7586463122         0.4777114246
        0.6500000000         0.0000000000         2.5000000000         2.3393565029
        0.6550000000        -0.1390576475         2.2336583516         0.7436607215
        0.6600000000        -0.2645033635         2.1699326868         0.4777114246
        0.6650000000        -0.3640576475         2.1183436887         0.0787874792
        0.6700000000        -0.4279754323         2.0847223900        -0.1871618177
        0.6750000000        -0.4500000000         2.0730437205        -0.0541871692
        0.6800000000        -0.4279754323         2.0847223900        -0.0541871692
        0.6850000000        -0.3640576475         2.1183436887        -0.1206744935
        0.6900000000        -0.2645033635         2.1699326868        -0.1206744935
        0.6950000000        -0.1390576475         2.2336583516        -1.9158322476
        0.7000000000        -0.0000000000         2.5000000000        -1.3839336538
        0.7050000000         0.1390576475         2.7586463122        -1.5169083022
        0.7100000000         0.2645033635         2.8314669659        -0.9850097084
        0.7150000000         0.3640576475         2.8902450178        -0.1871618177
        0.7200000000         0.4279754323         2.9284640853         0.4777114246
        0.7250000000         0.4500000000         2.9417232131        -0.2536491419
        0.7300000000         0.4279754323         2.9284640853        -0.2536491419
        0.7350000000         0.3640576475         2.8902450178         0.2117621277
        0.7400000000         0.2645033635         2.8314669659         0.0123001550
        0.7450000000         0.1390576475         2.7586463122         0.4777114246
        0.7500000000         0.0000000000         2.5000000000         1.9404325576
        0.7550000000        -0.1390576475         2.2336583516         0.6771733972
        0.7600000000        -0.2645033635         2.1699326868         0.4112241003
        0.7650000000        -0.3640576475         2.1183436887         0.1452748034
        0.7700000000        -0.4279754323         2.0847223900        -0.2536491419
        0.7750000000        -0.4500000000         2.0730437205        -0.1871618177
        0.7800000000        -0.4279754323         2.0847223900         0.0787874792
        0.7850000000        -0.3640576475         2.1183436887        -0.1871618177
        0.7900000000        -0.2645033635         2.1699326868         0.0123001550
        0.7950000000        -0.1390576475         2.2336583516        -2.4477308414
        0.8000000000        -0.0000000000         2.5000000000        -1.7163702749
        0.8050000000         0.1390576475         2.7586463122        -1.1844716811
        0.8100000000         0.2645033635         2.8314669659        -0.8520350600
        0.8150000000         0.3640576475         2.8902450178        -0.3866237904
        0.8200000000         0.4279754323         2.9284640853         0.2782494519
        0.8250000000         0.4500000000         2.9417232131        -0.2536491419
        0.8300000000         0.4279754323         2.9284640853        -0.1206744935
        0.8350000000         0.3640576475         2.8902450178         0.5441987488
        0.8400000000         0.2645033635         2.8314669659         0.2782494519
        0.8450000000         0.1390576475         2.7586463122         1.3420466395
        0.8500000000         0.0000000000         2.5000000000         2.2728691787
        0.8550000000        -0.1390576475         2.2336583516         0.6771733972
        0.8600000000        -0.2645033635         2.1699326868         0.4112241003
        0.8650000000        -0.3640576475         2.1183436887         0.2117621277
        0.8700000000        -0.4279754323         2.0847223900        -0.2536491419
        0.8750000000        -0.4500000000         2.0730437205        -0.1871618177
        0.8800000000        -0.4279754323         2.0847223900         0.2782494519
        0.8850000000        -0.3640576475         2.1183436887        -0.0541871692
        0.8900000000        -0.2645033635         2.1699326868        -0.0541871692
        0.8950000000        -0.1390576475         2.2336583516        -1.3839336538
        0.9000000000        -0.0000000000         2.5000000000        -1.8493449234
        0.9050000000         0.1390576475         2.7586463122        -1.1179843569
        0.9100000000         0.2645033635         2.8314669659        -0.8520350600
        0.9150000000         0.3640576475         2.8902450178        -0.5860857631
        0.9200000000         0.4279754323         2.9284640853         0.2117621277
        0.9250000000         0.4500000000         2.9417232131         0.1452748034
        0.9300000000         0.4279754323         2.9284640853        -0.5195984388
        0.9350000000         0.3640576475         2.8902450178         0.3447367761
        0.9400000000         0.2645033635         2.8314669659        -0.0541871692
        0.9450000000         0.1390576475         2.7586463122         0.7436607215
        0.9500000000         0.0000000000         2.5000000000         2.3393565029
        0.9550000000        -0.1390576475         2.2336583516         0.8101480457
        0.9600000000        -0.2645033635         2.1699326868         0.1452748034
        0.9650000000        -0.3640576475         2.1183436887         0.1452748034
        0.9700000000        -0.4279754323         2.0847223900        -0.1206744935
        0.9750000000        -0.4500000000         2.0730437205        -0.4531111146
        0.9800000000        -0.4279754323         2.0847223900        -0.0541871692
        0.9850000000        -0.3640576475         2.1183436887        -0.2536491419
        0.9900000000        -0.2645033635         2.1699326868        -0.3201364662
        0.9950000000        -0.1390576475         2.2336583516        -2.0488068960
        1.0000000000        -0.0000000000         2.5000000000        -1.7163702749
        1.0050000000         0.1390576475         2.7586463122        -1.1179843569
        1.0100000000         0.2645033635         2.8314669659        -0.7190604115
        1.0150000000         0.3640576475         2.8902450178        -0.4531111146
        1.0200000000         0.4279754323         2.9284640853         0.4777114246
        1.0250000000         0.4500000000         2.9417232131        -0.0541871692
        1.0300000000         0.4279754323         2.9284640853         0.0787874792
        1.0350000000         0.3640576475         2.8902450178         0.0123001550
        1.0400000000         0.2645033635         2.8314669659        -0.1206744935
        1.0450000000         0.1390576475         2.7586463122         0.9431226942
        1.0500000000         0.0000000000         2.5000000000         2.2063818545
        1.0550000000        -0.1390576475         2.2336583516         0.7436607215
        1.0600000000        -0.2645033635         2.1699326868         0.2782494519
        1.0650000000        -0.3640576475         2.1183436887        -0.0541871692
        1.0700000000        -0.4279754323         2.0847223900        -0.1871618177
        1.0750000000        -0.4500000000         2.0730437205        -0.1871618177
        1.0800000000        -0.4279754323         2.0847223900         0.0787874792
        1.0850000000        -0.3640576475         2.1183436887        -0.1871618177
        1.0900000000        -0.2645033635         2.1699326868        -0.1871618177
        1.0950000000        -0.1390576475         2.2336583516        -2.0488068960
        1.1000000000        -0.0000000000         2.5000000000        -1.3174463296
        1.1050000000         0.1390576475         2.7586463122        -1.4504209780
