% f=1.00Hz  Gain=5.5261(14.85dB)  Phase=-13.99deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000         0.0123001550
        0.0050000000         0.0141348416         2.5000000000        -0.1871618177
        0.0100000000         0.0282557338         2.5000000000         0.0123001550
        0.0150000000         0.0423487410         2.5000000000        -0.0541871692
        0.0200000000         0.0563999551         2.5000000000        -0.0541871692
        0.0250000000         0.0703955093         2.7193505720         0.0787874792
        0.0300000000         0.0843215916         2.7272892259         0.1452748034
        0.0350000000         0.0981644586         2.7351961460        -0.1206744935
        0.0400000000         0.1119104492         2.7430633162         0.1452748034
        0.0450000000         0.1255459977         2.7508827126         0.0123001550
        0.0500000000         0.1390576475         2.7586463122         0.0787874792
        0.0550000000         0.1524320641         2.7663461016         0.0123001550
        0.0600000000         0.1656560487         2.7739740854        -0.0541871692
        0.0650000000         0.1787165508         2.7815222962         0.1452748034
        0.0700000000         0.1916006812         2.7889828029         0.3447367761
        0.0750000000         0.2042957249         2.7963477207         0.2782494519
        0.0800000000         0.2167891533         2.8036092209         1.2090719911
        0.0850000000         0.2290686371         2.8107595399         0.6771733972
        0.0900000000         0.2411220577         2.8177909897         1.0760973426
        0.0950000000         0.2529375200         2.8246959675         0.8766353699
        0.1000000000         0.2645033635         2.8314669659         0.7436607215
        0.1050000000         0.2758081741         2.8380965832         0.8766353699
        0.1100000000         0.2868407954         2.8445775330         1.1425846668
        0.1150000000         0.2975903394         2.8509026551         1.0096100184
        0.1200000000         0.3080461977         2.8570649254         1.0760973426
        0.1250000000         0.3181980515         2.8630574660         1.4750212880
        0.1300000000         0.3280358823         2.8688735555         1.0096100184
        0.1350000000         0.3375499813         2.8745066394         1.4750212880
        0.1400000000         0.3467309592         2.8799503393         1.4085339637
        0.1450000000         0.3555697556         2.8851984639         1.2755593153
        0.1500000000         0.3640576475         2.8902450178         1.8074579091
        0.1550000000         0.3721862584         2.8950842116         1.3420466395
        0.1600000000         0.3799475665         2.8997104714         1.5415086122
        0.1650000000         0.3873339122         2.9041184475         1.4750212880
        0.1700000000         0.3943380060         2.9083030237         1.4750212880
        0.1750000000         0.4009529359         2.9122593257         1.6079959364
        0.1800000000         0.4071721736         2.9159827298         1.8074579091
        0.1850000000         0.4129895816         2.9194688702         1.6744832606
        0.1900000000         0.4183994186         2.9227136473         1.8074579091
        0.1950000000         0.4233963460         2.9257132345         2.0069198818
        0.2000000000         0.4279754323         2.9284640853         1.8074579091
        0.2050000000         0.4321321586         2.9309629392         2.0069198818
        0.2100000000         0.4358624225         2.9332068281         1.8739452333
        0.2150000000         0.4391625429         2.9351930813         2.2063818545
        0.2200000000         0.4420292628         2.9369193306         2.0734072060
        0.2250000000         0.4444597533         2.9383835146         2.2063818545
        0.2300000000         0.4464516156         2.9395838824         2.2728691787
        0.2350000000         0.4480028841         2.9405189971         2.1398945302
        0.2400000000         0.4491120278         2.9411877384         2.4723311514
        0.2450000000         0.4497779522         2.9415893042         2.3393565029
        0.2500000000         0.4500000000         2.9417232131         2.4058438271
        0.2550000000         0.4497779522         2.9415893042         2.6053057998
        0.2600000000         0.4491120278         2.9411877384         2.5388184756
        0.2650000000         0.4480028841         2.9405189971         2.6717931240
        0.2700000000         0.4464516156         2.9395838824         2.3393565029
        0.2750000000         0.4444597533         2.9383835146         2.5388184756
        0.2800000000         0.4420292628         2.9369193306         2.6053057998
        0.2850000000         0.4391625429         2.9351930813         2.8047677725
        0.2900000000         0.4358624225         2.9332068281         2.4058438271
        0.2950000000         0.4321321586         2.9309629392         2.4723311514
        0.3000000000         0.4279754323         2.9284640853         2.5388184756
        0.3050000000         0.4233963460         2.9257132345         2.7382804483
        0.3100000000         0.4183994186         2.9227136473         2.5388184756
        0.3150000000         0.4129895816         2.9194688702         2.5388184756
        0.3200000000         0.4071721736         2.9159827298         2.6053057998
        0.3250000000         0.4009529359         2.9122593257         2.3393565029
        0.3300000000         0.3943380060         2.9083030237         2.6717931240
        0.3350000000         0.3873339122         2.9041184475         2.4723311514
        0.3400000000         0.3799475665         2.8997104714         2.3393565029
        0.3450000000         0.3721862584         2.8950842116         2.5388184756
        0.3500000000         0.3640576475         2.8902450178         2.6053057998
        0.3550000000         0.3555697556         2.8851984639         2.4058438271
        0.3600000000         0.3467309592         2.8799503393         2.4058438271
        0.3650000000         0.3375499813         2.8745066394         2.5388184756
        0.3700000000         0.3280358823         2.8688735555         2.6053057998
        0.3750000000         0.3181980515         2.8630574660         2.2063818545
        0.3800000000         0.3080461977         2.8570649254         2.2063818545
        0.3850000000         0.2975903394         2.8509026551         2.5388184756
        0.3900000000         0.2868407954         2.8445775330         2.4058438271
        0.3950000000         0.2758081741         2.8380965832         2.2728691787
        0.4000000000         0.2645033635         2.8314669659         2.0734072060
        0.4050000000         0.2529375200         2.8246959675         2.0069198818
        0.4100000000         0.2411220577         2.8177909897         2.4058438271
        0.4150000000         0.2290686371         2.8107595399         2.0734072060
        0.4200000000         0.2167891533         2.8036092209         2.0734072060
        0.4250000000         0.2042957249         2.7963477207         2.0069198818
        0.4300000000         0.1916006812         2.7889828029         2.1398945302
        0.4350000000         0.1787165508         2.7815222962         2.0069198818
        0.4400000000         0.1656560487         2.7739740854         1.9404325576
        0.4450000000         0.1524320641         2.7663461016         1.6744832606
        0.4500000000         0.1390576475         2.7586463122         1.9404325576
        0.4550000000         0.1255459977         2.7508827126         1.8739452333
        0.4600000000         0.1119104492         2.7430633162         1.5415086122
        0.4650000000         0.0981644586         2.7351961460         1.5415086122
        0.4700000000         0.0843215916         2.7272892259         1.6744832606
        0.4750000000         0.0703955093         2.7193505720         1.4085339637
        0.4800000000         0.0563999551         2.5000000000         1.3420466395
        0.4850000000         0.0423487410         2.5000000000         1.2090719911
        0.4900000000         0.0282557338         2.5000000000         1.2090719911
        0.4950000000         0.0141348416         2.5000000000         0.8101480457
