% f=0.50Hz  Gain=6.5416(16.31dB)  Phase=-9.47deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.5195984388
        0.0050000000         0.0070682928         2.5000000000        -0.3866237904
        0.0100000000         0.0141348416         2.5000000000        -0.3866237904
        0.0150000000         0.0211979028         2.5000000000        -0.3866237904
        0.0200000000         0.0282557338         2.5000000000        -0.3201364662
        0.0250000000         0.0353065931         2.5000000000        -0.3866237904
        0.0300000000         0.0423487410         2.5000000000        -0.3201364662
        0.0350000000         0.0493804400         2.5000000000        -0.3201364662
        0.0400000000         0.0563999551         2.5000000000        -0.3201364662
        0.0450000000         0.0634055544         2.7153718456        -0.1871618177
        0.0500000000         0.0703955093         2.7193505720        -0.3866237904
        0.0550000000         0.0773680951         2.7233233652        -0.1871618177
        0.0600000000         0.0843215916         2.7272892259        -0.1206744935
        0.0650000000         0.0912542829         2.7312471534        -0.5195984388
        0.0700000000         0.0981644586         2.7351961460        -0.3866237904
        0.0750000000         0.1050504137         2.7391352012        -0.1871618177
        0.0800000000         0.1119104492         2.7430633162        -0.1871618177
        0.0850000000         0.1187428725         2.7469794876        -0.4531111146
        0.0900000000         0.1255459977         2.7508827126        -0.2536491419
        0.0950000000         0.1323181464         2.7547719882        -0.0541871692
        0.1000000000         0.1390576475         2.7586463122         1.0760973426
        0.1050000000         0.1457628382         2.7625046834        -0.0541871692
        0.1100000000         0.1524320641         2.7663461016         0.3447367761
        0.1150000000         0.1590636797         2.7701695679         0.7436607215
        0.1200000000         0.1656560487         2.7739740854         0.6106860730
        0.1250000000         0.1722075446         2.7777586591         0.2782494519
        0.1300000000         0.1787165508         2.7815222962         0.8101480457
        0.1350000000         0.1851814614         2.7852640065         0.4112241003
        0.1400000000         0.1916006812         2.7889828029         0.4777114246
        0.1450000000         0.1979726264         2.7926777011         0.5441987488
        0.1500000000         0.2042957249         2.7963477207         0.5441987488
        0.1550000000         0.2105684164         2.7999918849         0.4112241003
        0.1600000000         0.2167891533         2.8036092209         0.8101480457
        0.1650000000         0.2229564008         2.8071987605         0.6106860730
        0.1700000000         0.2290686371         2.8107595399         0.8101480457
        0.1750000000         0.2351243541         2.8142906008         0.7436607215
        0.1800000000         0.2411220577         2.8177909897         0.5441987488
        0.1850000000         0.2470602681         2.8212597592         0.8766353699
        0.1900000000         0.2529375200         2.8246959675         1.0096100184
        0.1950000000         0.2587523634         2.8280986793         1.2090719911
        0.2000000000         0.2645033635         2.8314669659         1.0096100184
        0.2050000000         0.2701891014         2.8347999054         0.8101480457
        0.2100000000         0.2758081741         2.8380965832         1.0096100184
        0.2150000000         0.2813591954         2.8413560921         0.9431226942
        0.2200000000         0.2868407954         2.8445775330         1.1425846668
        0.2250000000         0.2922516217         2.8477600148         1.0760973426
        0.2300000000         0.2975903394         2.8509026551         1.0760973426
        0.2350000000         0.3028556311         2.8540045801         1.1425846668
        0.2400000000         0.3080461977         2.8570649254         1.0096100184
        0.2450000000         0.3131607585         2.8600828358         1.4085339637
        0.2500000000         0.3181980515         2.8630574660         1.2755593153
        0.2550000000         0.3231568340         2.8659879808         1.2755593153
        0.2600000000         0.3280358823         2.8688735555         1.3420466395
        0.2650000000         0.3328339927         2.8717133761         1.2090719911
        0.2700000000         0.3375499813         2.8745066394         1.2755593153
        0.2750000000         0.3421826845         2.8772525538         1.4750212880
        0.2800000000         0.3467309592         2.8799503393         1.3420466395
        0.2850000000         0.3511936833         2.8825992279         1.3420466395
        0.2900000000         0.3555697556         2.8851984639         1.4750212880
        0.2950000000         0.3598580963         2.8877473039         1.5415086122
        0.3000000000         0.3640576475         2.8902450178         1.6744832606
        0.3050000000         0.3681673728         2.8926908882         1.4085339637
        0.3100000000         0.3721862584         2.8950842116         1.6079959364
        0.3150000000         0.3761133126         2.8974242980         1.6079959364
        0.3200000000         0.3799475665         2.8997104714         1.8074579091
        0.3250000000         0.3836880740         2.9019420702         1.8739452333
        0.3300000000         0.3873339122         2.9041184475         2.1398945302
        0.3350000000         0.3908841815         2.9062389710         1.6744832606
        0.3400000000         0.3943380060         2.9083030237         1.8074579091
        0.3450000000         0.3976945335         2.9103100039         1.9404325576
        0.3500000000         0.4009529359         2.9122593257         1.8739452333
        0.3550000000         0.4041124091         2.9141504190         1.6079959364
        0.3600000000         0.4071721736         2.9159827298         1.9404325576
        0.3650000000         0.4101314745         2.9177557205         2.2063818545
        0.3700000000         0.4129895816         2.9194688702         2.1398945302
        0.3750000000         0.4157457896         2.9211216748         2.1398945302
        0.3800000000         0.4183994186         2.9227136473         2.0734072060
        0.3850000000         0.4209498139         2.9242443179         2.0734072060
        0.3900000000         0.4233963460         2.9257132345         2.3393565029
        0.3950000000         0.4257384115         2.9271199625         2.2728691787
        0.4000000000         0.4279754323         2.9284640853         2.3393565029
        0.4050000000         0.4301068567         2.9297452043         2.2728691787
        0.4100000000         0.4321321586         2.9309629392         2.4058438271
        0.4150000000         0.4340508383         2.9321169283         2.4058438271
        0.4200000000         0.4358624225         2.9332068281         2.6053057998
        0.4250000000         0.4375664642         2.9342323143         2.4058438271
        0.4300000000         0.4391625429         2.9351930813         2.2728691787
        0.4350000000         0.4406502648         2.9360888425         2.2728691787
        0.4400000000         0.4420292628         2.9369193306         2.4723311514
        0.4450000000         0.4432991968         2.9376842975         2.4723311514
        0.4500000000         0.4444597533         2.9383835146         2.6053057998
        0.4550000000         0.4455106460         2.9390167727         2.5388184756
        0.4600000000         0.4464516156         2.9395838824         2.6053057998
        0.4650000000         0.4472824300         2.9400846739         2.6053057998
        0.4700000000         0.4480028841         2.9405189971         2.5388184756
        0.4750000000         0.4486128002         2.9408867220         2.5388184756
        0.4800000000         0.4491120278         2.9411877384         2.5388184756
        0.4850000000         0.4495004437         2.9414219558         2.4723311514
        0.4900000000         0.4497779522         2.9415893042         2.5388184756
        0.4950000000         0.4499444846         2.9416897334         2.6053057998
        0.5000000000         0.4500000000         2.9417232131         2.4058438271
        0.5050000000         0.4499444846         2.9416897334         2.9377424210
        0.5100000000         0.4497779522         2.9415893042         2.6053057998
        0.5150000000         0.4495004437         2.9414219558         2.6053057998
        0.5200000000         0.4491120278         2.9411877384         2.6053057998
        0.5250000000         0.4486128002         2.9408867220         2.6717931240
        0.5300000000         0.4480028841         2.9405189971         2.7382804483
        0.5350000000         0.4472824300         2.9400846739         2.6053057998
        0.5400000000         0.4464516156         2.9395838824         2.6717931240
        0.5450000000         0.4455106460         2.9390167727         2.8712550967
        0.5500000000         0.4444597533         2.9383835146         2.7382804483
        0.5550000000         0.4432991968         2.9376842975         2.8047677725
        0.5600000000         0.4420292628         2.9369193306         2.7382804483
        0.5650000000         0.4406502648         2.9360888425         2.5388184756
        0.5700000000         0.4391625429         2.9351930813         2.6717931240
        0.5750000000         0.4375664642         2.9342323143         2.5388184756
        0.5800000000         0.4358624225         2.9332068281         2.8047677725
        0.5850000000         0.4340508383         2.9321169283         2.7382804483
        0.5900000000         0.4321321586         2.9309629392         2.7382804483
        0.5950000000         0.4301068567         2.9297452043         2.5388184756
        0.6000000000         0.4279754323         2.9284640853         2.6053057998
        0.6050000000         0.4257384115         2.9271199625         2.7382804483
        0.6100000000         0.4233963460         2.9257132345         2.5388184756
        0.6150000000         0.4209498139         2.9242443179         2.4723311514
        0.6200000000         0.4183994186         2.9227136473         2.8712550967
        0.6250000000         0.4157457896         2.9211216748         2.7382804483
        0.6300000000         0.4129895816         2.9194688702         2.7382804483
        0.6350000000         0.4101314745         2.9177557205         2.5388184756
        0.6400000000         0.4071721736         2.9159827298         2.4723311514
        0.6450000000         0.4041124091         2.9141504190         2.4723311514
        0.6500000000         0.4009529359         2.9122593257         2.4058438271
        0.6550000000         0.3976945335         2.9103100039         2.5388184756
        0.6600000000         0.3943380060         2.9083030237         2.6053057998
        0.6650000000         0.3908841815         2.9062389710         2.6053057998
        0.6700000000         0.3873339122         2.9041184475         2.4058438271
        0.6750000000         0.3836880740         2.9019420702         2.4058438271
        0.6800000000         0.3799475665         2.8997104714         2.3393565029
        0.6850000000         0.3761133126         2.8974242980         2.4723311514
        0.6900000000         0.3721862584         2.8950842116         2.5388184756
        0.6950000000         0.3681673728         2.8926908882         2.2728691787
        0.7000000000         0.3640576475         2.8902450178         2.5388184756
        0.7050000000         0.3598580963         2.8877473039         2.5388184756
        0.7100000000         0.3555697556         2.8851984639         2.4058438271
        0.7150000000         0.3511936833         2.8825992279         2.2063818545
        0.7200000000         0.3467309592         2.8799503393         2.2728691787
        0.7250000000         0.3421826845         2.8772525538         2.1398945302
        0.7300000000         0.3375499813         2.8745066394         2.4058438271
        0.7350000000         0.3328339927         2.8717133761         2.3393565029
        0.7400000000         0.3280358823         2.8688735555         2.2063818545
        0.7450000000         0.3231568340         2.8659879808         2.1398945302
        0.7500000000         0.3181980515         2.8630574660         2.2063818545
        0.7550000000         0.3131607585         2.8600828358         2.1398945302
        0.7600000000         0.3080461977         2.8570649254         1.8739452333
        0.7650000000         0.3028556311         2.8540045801         2.4723311514
        0.7700000000         0.2975903394         2.8509026551         1.8739452333
        0.7750000000         0.2922516217         2.8477600148         2.0734072060
        0.7800000000         0.2868407954         2.8445775330         2.2063818545
        0.7850000000         0.2813591954         2.8413560921         2.1398945302
        0.7900000000         0.2758081741         2.8380965832         2.0734072060
        0.7950000000         0.2701891014         2.8347999054         2.1398945302
        0.8000000000         0.2645033635         2.8314669659         1.8074579091
        0.8050000000         0.2587523634         2.8280986793         1.8739452333
        0.8100000000         0.2529375200         2.8246959675         1.8074579091
