% f=5.00Hz  Gain=4.1166(12.29dB)  Phase=-51.36deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.0541871692
        0.0050000000         0.0703955093         2.7193505720        -0.1871618177
        0.0100000000         0.1390576475         2.7586463122        -0.1871618177
        0.0150000000         0.2042957249         2.7963477207        -0.1206744935
        0.0200000000         0.2645033635         2.8314669659        -0.0541871692
        0.0250000000         0.3181980515         2.8630574660         0.0787874792
        0.0300000000         0.3640576475         2.8902450178        -0.1871618177
        0.0350000000         0.4009529359         2.9122593257        -0.0541871692
        0.0400000000         0.4279754323         2.9284640853        -0.2536491419
        0.0450000000         0.4444597533         2.9383835146         0.6771733972
        0.0500000000         0.4500000000         2.9417232131         2.2728691787
        0.0550000000         0.4444597533         2.9383835146         1.1425846668
        0.0600000000         0.4279754323         2.9284640853         1.6744832606
        0.0650000000         0.4009529359         2.9122593257         1.6744832606
        0.0700000000         0.3640576475         2.8902450178         1.6079959364
        0.0750000000         0.3181980515         2.8630574660         1.4750212880
        0.0800000000         0.2645033635         2.8314669659         2.0734072060
        0.0850000000         0.2042957249         2.7963477207         1.6079959364
        0.0900000000         0.1390576475         2.7586463122         2.0069198818
        0.0950000000         0.0703955093         2.7193505720         1.6744832606
        0.1000000000         0.0000000000         2.5000000000         1.4750212880
        0.1050000000        -0.0703955093         2.2679639325         1.4750212880
        0.1100000000        -0.1390576475         2.2336583516         0.6771733972
        0.1150000000        -0.2042957249         2.2006909874        -0.1206744935
        0.1200000000        -0.2645033635         2.1699326868        -0.1206744935
        0.1250000000        -0.3181980515         2.1422233970        -0.1871618177
        0.1300000000        -0.3640576475         2.1183436887         0.1452748034
        0.1350000000        -0.4009529359         2.0989852816        -0.1206744935
        0.1400000000        -0.4279754323         2.0847223900        -0.1206744935
        0.1450000000        -0.4444597533         2.0759860548        -0.1206744935
        0.1500000000        -0.4500000000         2.0730437205        -1.5169083022
        0.1550000000        -0.4444597533         2.0759860548        -2.0488068960
        0.1600000000        -0.4279754323         2.0847223900        -1.6498829507
        0.1650000000        -0.4009529359         2.0989852816        -1.6498829507
        0.1700000000        -0.3640576475         2.1183436887        -2.2482688687
        0.1750000000        -0.3181980515         2.1422233970        -1.9158322476
        0.1800000000        -0.2645033635         2.1699326868        -2.0488068960
