% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0005509000         1.4016475000         2.6435968539         0.1628939444
        0.0054017000         1.3888858657         2.6308374666        -0.1695426768
        0.0104064000         1.3990951731         2.6359412215         0.0964066201
        0.0155191000         1.4041998268         2.6435968539         0.2293812686
        0.0204056000         1.3939905194         2.6384930990        -0.0365680283
        0.0253897000         1.3939905194         2.6359412215        -0.0365680283
        0.0304242000         1.3914381925         2.6333893441        -0.1030553526
        0.0355903000         1.3888858657         2.6384930990        -0.1695426768
        0.0405825000         1.3990951731         2.6359412215         0.0964066201
        0.0455758000         1.3914381925         2.6333893441        -0.1030553526
        0.0518092000         1.3914381925         2.6308374666        -0.1030553526
        0.0561452000         1.3965428462         2.6359412215         0.0299192959
        0.0609366000         1.3888858657         2.6308374666        -0.1695426768
        0.0654283000         1.3939905194         2.6384930990        -0.0365680283
        0.0703981000         1.4016475000         2.6435968539         0.1628939444
        0.0754048000         1.3914381925         2.6308374666        -0.1030553526
        0.0804172000         1.3939905194         2.6359412215        -0.0365680283
        0.0853903000         1.3965428462         2.6384930990         0.0299192959
        0.0904237000         1.3965428462         2.6384930990         0.0299192959
        0.0954155000         1.4041998268         2.6410449765         0.2293812686
        0.1004162000         1.3914381925         2.6308374666        -0.1030553526
        0.1054319000         1.4016475000         2.6435968539         0.1628939444
        0.1104176000         1.3888858657         2.6308374666        -0.1695426768
        0.1154175000         1.3939905194         2.6359412215        -0.0365680283
        0.1204279000         1.3939905194         2.6384930990        -0.0365680283
        0.1255061000         1.3914381925         2.6308374666        -0.1030553526
        0.1304113000         1.4016475000         2.6435968539         0.1628939444
        0.1354004000         1.3914381925         2.6333893441        -0.1030553526
        0.1404049000         1.3939905194         2.6384930990        -0.0365680283
        0.1454354000         1.3888858657         2.6308374666        -0.1695426768
        0.1504360000         1.4016475000         2.6435968539         0.1628939444
        0.1554150000         1.3939905194         2.6384930990        -0.0365680283
        0.1604277000         1.4016475000         2.6359412215         0.1628939444
        0.1654329000         1.3888858657         2.6384930990        -0.1695426768
        0.1704165000         1.3965428462         2.6333893441         0.0299192959
        0.1754250000         1.3965428462         2.6384930990         0.0299192959
        0.1804132000         1.4016475000         2.6435968539         0.1628939444
        0.1854655000         1.3888858657         2.6308374666        -0.1695426768
        0.1904571000         1.3939905194         2.6384930990        -0.0365680283
        0.1954297000         1.4016475000         2.6435968539         0.1628939444
        0.2004168000         1.3939905194         2.6308374666        -0.0365680283
        0.2054033000         1.4016475000         2.6435968539         0.1628939444
        0.2104207000         1.3965428462         2.6384930990         0.0299192959
        0.2154769000         1.3888858657         2.6308374666        -0.1695426768
        0.2204286000         1.3965428462         2.6384930990         0.0299192959
        0.2254199000         1.3939905194         2.6359412215        -0.0365680283
        0.2304006000         1.3965428462         2.6384930990         0.0299192959
        0.2354306000         1.4016475000         2.6384930990         0.1628939444
        0.2404142000         1.3965428462         2.6384930990         0.0299192959
        0.2453903000         1.3888858657         2.6308374666        -0.1695426768
        0.2504026000         1.4016475000         2.6435968539         0.1628939444
        0.2553940000         1.3939905194         2.6384930990        -0.0365680283
        0.2603953000         1.3965428462         2.6384930990         0.0299192959
        0.2654032000         1.3965428462         2.6384930990         0.0299192959
        0.2703851000         1.3888858657         2.6308374666        -0.1695426768
        0.2754031000         1.4041998268         2.6435968539         0.2293812686
        0.2804099000         1.3888858657         2.6308374666        -0.1695426768
        0.2853949000         1.3965428462         2.6359412215         0.0299192959
        0.2904025000         1.3965428462         2.6384930990         0.0299192959
        0.2953954000         1.4016475000         2.6435968539         0.1628939444
        0.3003992000         1.3965428462         2.6384930990         0.0299192959
        0.3053789000         1.4016475000         2.6461487314         0.1628939444
        0.3103897000         1.3965428462         2.6384930990         0.0299192959
        0.3153931000         1.3888858657         2.6308374666        -0.1695426768
        0.3204011000         1.3965428462         2.6359412215         0.0299192959
        0.3254041000         1.3965428462         2.6384930990         0.0299192959
        0.3303997000         1.3965428462         2.6435968539         0.0299192959
        0.3354001000         1.3888858657         2.6308374666        -0.1695426768
        0.3404225000         1.4016475000         2.6435968539         0.1628939444
        0.3454214000         1.3914381925         2.6333893441        -0.1030553526
        0.3504243000         1.3965428462         2.6359412215         0.0299192959
        0.3554056000         1.3965428462         2.6359412215         0.0299192959
        0.3603940000         1.3939905194         2.6308374666        -0.0365680283
        0.3654026000         1.3965428462         2.6359412215         0.0299192959
        0.3703992000         1.3965428462         2.6384930990         0.0299192959
        0.3753944000         1.3888858657         2.6308374666        -0.1695426768
        0.3804089000         1.3939905194         2.6384930990        -0.0365680283
        0.3853962000         1.3939905194         2.6384930990        -0.0365680283
        0.3904099000         1.3914381925         2.6333893441        -0.1030553526
        0.3954038000         1.3939905194         2.6384930990        -0.0365680283
        0.4003861000         1.3888858657         2.6308374666        -0.1695426768
        0.4054014000         1.4016475000         2.6435968539         0.1628939444
        0.4104098000         1.3914381925         2.6308374666        -0.1030553526
        0.4153965000         1.4016475000         2.6410449765         0.1628939444
        0.4204297000         1.4016475000         2.6435968539         0.1628939444
        0.4254622000         1.3939905194         2.6359412215        -0.0365680283
        0.4304150000         1.3888858657         2.6308374666        -0.1695426768
        0.4354312000         1.3965428462         2.6359412215         0.0299192959
        0.4404172000         1.3965428462         2.6384930990         0.0299192959
        0.4454261000         1.3888858657         2.6308374666        -0.1695426768
        0.4504285000         1.3939905194         2.6384930990        -0.0365680283
        0.4554720000         1.3965428462         2.6384930990         0.0299192959
        0.4604225000         1.3914381925         2.6333893441        -0.1030553526
        0.4654262000         1.3965428462         2.6359412215         0.0299192959
        0.4704155000         1.3939905194         2.6384930990        -0.0365680283
        0.4754220000         1.3888858657         2.6333893441        -0.1695426768
        0.4804233000         1.4016475000         2.6435968539         0.1628939444
        0.4854867000         1.3965428462         2.6410449765         0.0299192959
        0.4905305000         1.4016475000         2.6435968539         0.1628939444
        0.4954143000         1.3965428462         2.6435968539         0.0299192959
        0.5004154000         1.3939905194         2.6359412215        -0.0365680283
        0.5055339000         1.3965428462         2.6384930990         0.0299192959
        0.5104369000         1.3965428462         2.6384930990         0.0299192959
        0.5154089000         1.3965428462         2.6384930990         0.0299192959
        0.5204071000         1.3888858657         2.6359412215        -0.1695426768
        0.5254317000         1.3965428462         2.6359412215         0.0299192959
        0.5304243000         1.4016475000         2.6435968539         0.1628939444
        0.5354031000         1.3965428462         2.6384930990         0.0299192959
        0.5404244000         1.3965428462         2.6359412215         0.0299192959
        0.5455081000         1.3939905194         2.6384930990        -0.0365680283
        0.5504266000         1.3939905194         2.6384930990        -0.0365680283
        0.5554177000         1.3863335388         2.6333893441        -0.2360300010
        0.5604235000         1.3965428462         2.6384930990         0.0299192959
        0.5654045000         1.3939905194         2.6410449765        -0.0365680283
        0.5703939000         1.3914381925         2.6384930990        -0.1030553526
        0.5754241000         1.3965428462         2.6359412215         0.0299192959
        0.5803865000         1.3965428462         2.6359412215         0.0299192959
        0.5854146000         1.3939905194         2.6384930990        -0.0365680283
        0.5904294000         1.3965428462         2.6384930990         0.0299192959
        0.5954126000         1.3914381925         2.6333893441        -0.1030553526
        0.6007275000         1.3888858657         2.6308374666        -0.1695426768
        0.6054349000         1.3965428462         2.6384930990         0.0299192959
        0.6104164000         1.3939905194         2.6359412215        -0.0365680283
        0.6154103000         1.3939905194         2.6384930990        -0.0365680283
        0.6203986000         1.3965428462         2.6359412215         0.0299192959
        0.6253889000         1.4016475000         2.6461487314         0.1628939444
        0.6305435000         1.3939905194         2.6384930990        -0.0365680283
        0.6354216000         1.3888858657         2.6282855892        -0.1695426768
        0.6405255000         1.4016475000         2.6435968539         0.1628939444
        0.6454128000         1.3965428462         2.6359412215         0.0299192959
        0.6504022000         1.3888858657         2.6333893441        -0.1695426768
        0.6554157000         1.4016475000         2.6384930990         0.1628939444
        0.6604274000         1.3939905194         2.6384930990        -0.0365680283
        0.6654130000         1.3888858657         2.6308374666        -0.1695426768
        0.6704611000         1.4041998268         2.6435968539         0.2293812686
        0.6754213000         1.3888858657         2.6333893441        -0.1695426768
        0.6804105000         1.4016475000         2.6410449765         0.1628939444
        0.6854433000         1.3888858657         2.6308374666        -0.1695426768
        0.6904284000         1.3965428462         2.6359412215         0.0299192959
        0.6955015000         1.3888858657         2.6308374666        -0.1695426768
        0.7004710000         1.3914381925         2.6333893441        -0.1030553526
        0.7053922000         1.4016475000         2.6435968539         0.1628939444
        0.7104103000         1.3965428462         2.6384930990         0.0299192959
        0.7154164000         1.3965428462         2.6359412215         0.0299192959
        0.7204310000         1.3939905194         2.6384930990        -0.0365680283
        0.7253908000         1.3939905194         2.6308374666        -0.0365680283
        0.7304082000         1.4041998268         2.6461487314         0.2293812686
        0.7354087000         1.3965428462         2.6359412215         0.0299192959
        0.7403932000         1.4016475000         2.6435968539         0.1628939444
