% f=7.90Hz  n_cycles=5  N_total=126  dt=0.005000
% Amp=1.0000V  K_lin=8.382100
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3429439823         3.6924184896         0.1213393667         0.0000000000
        0.0050000000         0.2456457712         2.8573074182         1.3378393285         3.6873147347        -0.0116352817         2.0590274187
        0.0100000000         0.4762382037         2.9729137587         1.3301823480         3.6796591023        -0.2110972544         3.9918762470
        0.0150000000         0.6776464375         3.0784145605         1.3454963091         3.6949703670         0.1878266909         5.6801002035
        0.0200000000         0.8375280400         3.1655666151         1.3352870017         3.6898666121        -0.0781226060         7.0202437844
        0.0250000000         0.9460853588         3.2266517886         1.3352870017         3.6898666121        -0.0781226060         7.9301820862
        0.0300000000         0.9966659280         3.2556831662         1.3403916554         3.6898666121         0.0548520425         8.3541534754
        0.0350000000         0.9861701362         3.2496280676         1.4731126519         3.7026259994         3.5121929023         8.2661766989
        0.0400000000         0.9152411726         3.2091295530         1.4654556714         3.7051778769         3.3127309296         7.6716430330
        0.0450000000         0.7882256120         3.1383475511         1.4195137880         3.7153853867         2.1159590935         6.6069859023
        0.0500000000         0.6129070537         3.0440071908         1.4782173056         3.7306966515         3.6451675507         5.1374482144
        0.0550000000         0.4000291372         2.9341286569         1.5062929011         3.7434560388         4.3765281172         3.3530842312
        0.0600000000         0.1626371652         2.8169140413         1.4501417102         3.7638710584         2.9138069842         1.3632409824
        0.0650000000        -0.0847213221         2.2005430351         1.4577986908         3.7766304457         3.1132689569        -0.7101425943
        0.0700000000        -0.3268880297         2.0776717641         1.4858742862         3.7970454654         3.8446295234        -2.7400081534
        0.0750000000        -0.5490228180         1.9599490285         1.4220661148         3.7970454654         2.1824464177        -4.6019641627
        0.0800000000        -0.7375131174         1.8557816012         1.3939905194         3.7995973429         1.4510858512        -6.1819087010
        0.0850000000        -0.8808081149         1.7736393045         1.3659149240         3.8072529752         0.7197252848        -7.3830217001
        0.0900000000        -0.9701265965         1.7210198363         1.3378393285         3.8123567301        -0.0116352817        -8.1316981444
        0.0950000000        -0.9999950652         1.7031649606         1.2995544257         3.8021492203        -1.0089451451        -8.3820586360
        0.1000000000        -0.9685831611         1.7219388768         1.2025660052         3.7944935879        -3.5354634658        -8.1187609149
        0.1050000000        -0.8778158270         1.7753826414         1.2485078886         3.7868379556        -2.3386916297        -7.3579400432
        0.1100000000        -0.7332553462         1.8581817281         1.2153276394         3.7766304457        -3.2030268446        -6.1462196376
        0.1150000000        -0.5437604828         1.9627983982         1.1872520440         3.7689748133        -3.9343874111        -4.5578547427
        0.1200000000        -0.3209436098         2.0807532244         1.2102229857         3.7460079162        -3.3360014931        -2.6901814318
