% f=0.80Hz  n_cycles=5  N_total=1250  dt=0.005000
% Amp=1.0000V  K_lin=8.382100
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3403916554         0.9287352015         0.0804496623         0.0000000000
        0.0050000000         0.0251300954         2.5000000000         1.3378393285         0.9236314466         0.0139623381         0.2106429730
        0.0100000000         0.0502443182         2.5000000000         1.3403916554         0.9312870789         0.0804496623         0.4211528994
        0.0150000000         0.0753268055         2.7750752606         1.3352870017         0.9236314466        -0.0525249861         0.6313968166
        0.0200000000         0.1003617149         2.7870057202         1.3352870017         0.9236314466        -0.0525249861         0.8412419301
        0.0250000000         0.1253332336         2.7989586188         1.3301823480         0.9185276916        -0.1854996346         1.0505556971
        0.0300000000         0.1502255891         2.8109266561         1.3403916554         0.9312870789         0.0804496623         1.2592059106
        0.0350000000         0.1750230590         2.8229024256         1.3327346748         0.9236314466        -0.1190123104         1.4670607826
        0.0400000000         0.1997099805         2.8348784167         1.3454963091         0.9312870789         0.2134243108         1.6739890277
        0.0450000000         0.2242707609         2.8468470166         1.3301823480         0.9210795691        -0.1854996346         1.8798599454
        0.0500000000         0.2486898872         2.8588005134         1.3378393285         0.9236314466         0.0139623381         2.0845435032
        0.0550000000         0.2729519355         2.8707310989         1.3454963091         0.9287352015         0.2134243108         2.2879104187
        0.0600000000         0.2970415816         2.8826308716         1.4195137880         0.9236314466         2.1415567133         2.4898322409
        0.0650000000         0.3209436098         2.8944918404         1.3812288851         0.9363908338         1.1442468499         2.6901814318
        0.0700000000         0.3446429232         2.9063059283         1.3812288851         0.9414945888         1.1442468499         2.8888314463
        0.0750000000         0.3681245527         2.9180649764         1.4169614611         0.9414945888         2.0750693891         3.0856568131
        0.0800000000         0.3913736668         2.9297607490         1.3863335388         0.9414945888         1.2772214984         3.2805332128
        0.0850000000         0.4143755810         2.9413849376         1.3965428462         0.9542539761         1.5431707953         3.4733375574
        0.0900000000         0.4371157667         2.9529291670         1.4322754222         0.9593577310         2.4739933345         3.6639480676
        0.0950000000         0.4595798606         2.9643850003         1.3888858657         0.9644614859         1.3437088226         3.8522443497
        0.1000000000         0.4817536741         2.9757439454         1.4144091342         0.9772208732         2.0085820649         4.0381074717
        0.1050000000         0.5036232016         2.9869974614         1.4297230954         0.9848765056         2.4075060102         4.2214200384
        0.1100000000         0.5251746300         2.9981369654         1.4271707685         1.0027396478         2.3410186860         4.4020662658
        0.1150000000         0.5463943467         3.0091538399         1.4424847297         1.0129471576         2.7399426314         4.5799320538
        0.1200000000         0.5672689491         3.0200394410         1.4399324028         1.0206027900         2.6734553072         4.7549050585
        0.1250000000         0.5877852523         3.0307851060         1.4424847297         1.0257065449         2.7399426314         4.9268747632
        0.1300000000         0.6079302977         3.0413821630         1.4501417102         1.0308102998         2.9394046041         5.0957325483
        0.1350000000         0.6276913613         3.0518219394         1.4501417102         1.0563290744         2.9394046041         5.2613717595
        0.1400000000         0.6470559616         3.0620957723         1.4475893834         1.0588809519         2.8729172798         5.4236877755
        0.1450000000         0.6660118674         3.0721950182         1.4629033445         1.0665365843         3.2718412252         5.5825780740
        0.1500000000         0.6845471059         3.0821110636         1.4577986908         1.0818478490         3.1388665767         5.7379422966
        0.1550000000         0.7026499698         3.0918353367         1.4680079982         1.0971591138         3.4048158736         5.8896823119
        0.1600000000         0.7203090249         3.1013593186         1.4552463639         1.1022628687         3.0723792525         6.0377022775
        0.1650000000         0.7375131174         3.1106745551         1.4756649788         1.1201260109         3.6042778463         6.1819087010
        0.1700000000         0.7542513807         3.1197726695         1.4807696325         1.1405410306         3.7372524948         6.3222104985
        0.1750000000         0.7705132428         3.1286453753         1.4782173056         1.1430929080         3.6707651706         6.4585190523
        0.1800000000         0.7862884321         3.1372844894         1.4833219594         1.1635079277         3.8037398190         6.5907482670
        0.1850000000         0.8015669849         3.1456819454         1.4680079982         1.1839229474         3.4048158736         6.7188146239
