% f=3.10Hz  n_cycles=5  N_total=322  dt=0.005000
% Amp=1.0000V  K_lin=7.165500
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3403916554         2.7941576240         0.0721387468         0.0000000000
        0.0050000000         0.0972354939         2.7750315022         1.3352870017         2.7890538691        -0.0608359017         0.6967409317
        0.0100000000         0.1935494681         2.8133782856         1.3429439823         2.7967095015         0.1386260710         1.3868787133
        0.0150000000         0.2880291360         2.8514941024         1.3378393285         2.7865019916         0.0056514226         2.0638727741
        0.0200000000         0.3797790955         2.8890011052         1.3352870017         2.7865019916        -0.0608359017         2.7213071090
        0.0250000000         0.4679298143         2.9255121766         1.3352870017         2.7865019916        -0.0608359017         3.3529510841
        0.0300000000         0.5516458706         2.9606349116         1.3403916554         2.7865019916         0.0721387468         3.9528184860
        0.0350000000         0.6301338712         2.9939763715         1.3327346748         2.7813982367        -0.1273232259         4.5152242540
        0.0400000000         0.7026499698         3.0251486176         1.3633625971         2.7839501142         0.6705246648         5.0348383586
        0.0450000000         0.7685069172         3.0537749841         1.4552463639         2.8043651338         3.0640683370         5.5067363153
        0.0500000000         0.8270805743         3.0794969841         1.3990951731         2.7992613789         1.6013472040         5.9264458550
        0.0550000000         0.8778158270         3.1019816687         1.3939905194         2.8120207662         1.4683725555         6.2899893081
        0.0600000000         0.9202318474         3.1209291826         1.4501417102         2.8222282761         2.9310936885         6.5939213023
        0.0650000000         0.9539266506         3.1360801857         1.4450370565         2.8349876633         2.7981190401         6.8353614146
        0.0700000000         0.9785809043         3.1472227621         1.4654556714         2.8528508056         3.3300176339         7.0120214699
        0.0750000000         0.9939609555         3.1541984114         1.4731126519         2.8554026830         3.5294796066         7.1222272263
        0.0800000000         0.9999210442         3.1569067393         1.4731126519         2.8732658252         3.5294796066         7.1649342422
        0.0850000000         0.9964046856         3.1553085215         1.4807696325         2.8834733351         3.7289415793         7.1397377750
