% f=7.50Hz  n_cycles=5  N_total=133  dt=0.005000
% Amp=1.0000V  K_lin=8.382100
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3378393285         3.9680212551        -0.0116352817         0.0000000000
        0.0050000000         0.2334453639         2.8513317651         1.3352870017         3.9705731326        -0.0781226060         1.9567623844
        0.0100000000         0.4539904997         2.9615297926         1.3454963091         3.9756768875         0.1878266909         3.8053937679
        0.0150000000         0.6494480483         3.0633679028         1.3454963091         3.9756768875         0.1878266909         5.4437384859
        0.0200000000         0.8090169944         3.1497875664         1.3327346748         3.9705731326        -0.1446099302         6.7812613486
        0.0250000000         0.9238795325         3.2140233215         1.3352870017         3.9654693777        -0.0781226060         7.7440506295
        0.0300000000         0.9876883406         3.2505029189         1.3403916554         3.9705731326         0.0548520425         8.2789024397
        0.0350000000         0.9969173337         3.2558284050         1.4680079982         3.9833325199         3.3792182538         8.3562607831
        0.0400000000         0.9510565163         3.2294885441         1.5062929011         3.9960919072         4.3765281172         7.9718508252
        0.0450000000         0.8526401644         3.1739737635         1.4322754222         4.0037475396         2.4483957146         7.1469151216
        0.0500000000         0.7071067812         3.0942354410         1.4782173056         4.0114031719         3.6451675507         5.9270397506
        0.0550000000         0.5224985647         2.9967510567         1.5037405742         4.0343700691         4.3100407930         4.3796352193
        0.0600000000         0.3090169944         2.8885667094         1.4680079982         4.0547850888         3.3792182538         2.5902113486
        0.0650000000         0.0784590957         2.7765650941         1.4807696325         4.0598888437         3.7116548750         0.6576519863
        0.0700000000        -0.1564344650         2.1647092765         1.4654556714         4.0726482310         3.3127309296        -1.3112493294
        0.0750000000        -0.3826834324         2.0485792829         1.4526940371         4.0854076183         2.9802943085        -3.2076907984
        0.0800000000        -0.5877852523         1.9388651776         1.4067521537         4.0879594957         1.7835224724        -4.9268747632
        0.0850000000        -0.7604059656         1.8428377154         1.3786765582         4.0981670056         1.0521619059        -6.3737988443
        0.0900000000        -0.8910065242         1.7676882989         1.3480486360         4.1083745154         0.2543140152        -7.4685057864
