% f=0.25Hz  n_cycles=5  N_total=4000  dt=0.005000
% Amp=2.0000V  K_lin=4.959600
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3352870017         4.3839772810        -0.0608359017         0.0000000000
        0.0050000000         0.0157078018         2.5000000000         1.3429439823         4.3890810359         0.1386260710         0.0779044137
        0.0100000000         0.0314146346         2.5000000000         1.3378393285         4.3839772810         0.0056514226         0.1558040219
        0.0150000000         0.0471195297         2.5000000000         1.3352870017         4.3839772810        -0.0608359017         0.2336940193
        0.0200000000         0.0628215182         2.7343086565         1.3352870017         4.3839772810        -0.0608359017         0.3115696014
        0.0250000000         0.0785196315         2.7392173623         1.3454963091         4.3865291584         0.2051133952         0.3894259645
        0.0300000000         0.0942129014         2.7441248547         1.3454963091         4.3890810359         0.2051133952         0.4672583059
        0.0350000000         0.1099003598         2.7490308305         1.3378393285         4.3839772810         0.0056514226         0.5450618246
        0.0400000000         0.1255810391         2.7539349869         1.3378393285         4.3814254035         0.0056514226         0.6228317213
        0.0450000000         0.1412539719         2.7588370210         1.3301823480         4.3788735260        -0.1938105501         0.7005631988
        0.0500000000         0.1569181915         2.7637366300         1.3352870017         4.3737697711        -0.0608359017         0.7782514623
        0.0550000000         0.1725727316         2.7686335111         1.3276300211         4.3763216486        -0.2602978743         0.8558917196
        0.0600000000         0.1882166266         2.7735273619         1.3454963091         4.3890810359         0.2051133952         0.9334791815
        0.0650000000         0.2038489116         2.7784178798         1.3429439823         4.3763216486         0.1386260710         1.0110090619
        0.0700000000         0.2194686222         2.7833047626         1.3990951731         4.3890810359         1.6013472040         1.0884765786
        0.0750000000         0.2350747949         2.7881877080         1.3659149240         4.3916329133         0.7370119891         1.1658769529
        0.0800000000         0.2506664671         2.7930664142         1.3710195777         4.3941847908         0.8699866375         1.2432054104
        0.0850000000         0.2662426771         2.7979405794         1.3863335388         4.4018404232         1.2689105829         1.3204571811
        0.0900000000         0.2818024639         2.8028099020         1.3659149240         4.4018404232         0.7370119891         1.3976274998
        0.0950000000         0.2973448678         2.8076740808         1.3965428462         4.4145998105         1.5348598798         1.4747116063
        0.1000000000         0.3128689301         2.8125328149         1.3812288851         4.4222554428         1.1359359344         1.5517047456
        0.1050000000         0.3283736931         2.8173858034         1.3837812120         4.4299110752         1.2024232586         1.6286021685
        0.1100000000         0.3438582006         2.8222327459         1.3965428462         4.4273591978         1.5348598798         1.7053991315
        0.1150000000         0.3593214972         2.8270733423         1.3812288851         4.4350148301         1.1359359344         1.7820908974
        0.1200000000         0.3747626292         2.8319072929         1.3761242314         4.4324629527         1.0029612860         1.8586727356
        0.1250000000         0.3901806440         2.8367342983         1.3786765582         4.4426704625         1.0694486102         1.9351399221
        0.1300000000         0.4055745907         2.8415540593         1.3812288851         4.4477742174         1.1359359344         2.0114877401
        0.1350000000         0.4209435196         2.8463662774         1.3863335388         4.4477742174         1.2689105829         2.0877114800
        0.1400000000         0.4362864828         2.8511706543         1.3888858657         4.4605336047         1.3353979071         2.1638064401
        0.1450000000         0.4516025337         2.8559668922         1.3888858657         4.4656373597         1.3353979071         2.2397679263
        0.1500000000         0.4668907277         2.8607546938         1.3939905194         4.4681892371         1.4683725555         2.3155912532
        0.1550000000         0.4821501217         2.8655337622         1.3914381925         4.4809486244         1.4018852313         2.3912717434
        0.1600000000         0.4973797743         2.8703038011         1.4016475000         4.4809486244         1.6678345282         2.4668047288
        0.1650000000         0.5125787463         2.8750645144         1.3965428462         4.4860523793         1.5348598798         2.5421855500
        0.1700000000         0.5277460999         2.8798156070         1.3914381925         4.4886042568         1.4018852313         2.6174095572
        0.1750000000         0.5428808997         2.8845567839         1.4016475000         4.5039155215         1.6678345282         2.6924721103
        0.1800000000         0.5579822121         2.8892877509         1.3939905194         4.5013636441         1.4683725555         2.7673685790
        0.1850000000         0.5730491055         2.8940082144         1.4118568074         4.5115711539         1.9337838251         2.8420943434
        0.1900000000         0.5880806505         2.8987178812         1.4041998268         4.5217786637         1.7343218525         2.9166447940
        0.1950000000         0.6030759199         2.9034164590         1.4118568074         4.5294342961         1.9337838251         2.9910153323
        0.2000000000         0.6180339887         2.9081036558         1.4169614611         4.5396418060         2.0667584736         3.0652013706
        0.2050000000         0.6329539344         2.9127791807         1.4271707685         4.5498493158         2.3327077705         3.1391983329
        0.2100000000         0.6478348364         2.9174427430         1.4297230954         4.5600568256         2.3991950947         3.2130016546
