% f=4.30Hz  n_cycles=5  N_total=232  dt=0.005000
% Amp=1.5000V  K_lin=5.741200
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0000000000         0.0000000000         2.5000000000         1.3352870017         2.8451951732        -0.0452113805         0.0000000000
        0.0050000000         0.2020169842         2.7697600479         1.3378393285         2.8502989281         0.0212759438         1.1598199100
        0.0100000000         0.4003529840         2.8358170222         1.3352870017         2.8375395408        -0.0452113805         2.2985065516
        0.0150000000         0.5913940865         2.8987613217         1.3352870017         2.8451951732        -0.0452113805         3.3953117295
        0.0200000000         0.7716593007         2.9575594731         1.3378393285         2.8451951732         0.0212759438         4.4302503770
        0.0250000000         0.9378639845         3.0112735283         1.3403916554         2.8426432957         0.0877632680         5.3844647078
        0.0300000000         1.0869796953         3.0590687348         1.3429439823         2.8426432957         0.1542505922         6.2405678265
        0.0350000000         1.2162893712         3.1002193086         1.3378393285         2.8426432957         0.0212759438         6.9829605382
        0.0400000000         1.3234368397         3.1341126998         1.3403916554         2.8375395408         0.0877632680         7.5981155838
        0.0450000000         1.4064697489         3.1602526807         1.3429439823         2.8528508056         0.1542505922         8.0748241226
        0.0500000000         1.4638751429         3.1782615228         1.3352870017         2.8375395408        -0.0452113805         8.4043999705
        0.0550000000         1.4946070285         3.1878814674         1.3454963091         2.8528508056         0.2207379164         8.5808378718
        0.0600000000         1.4981054349         3.1889756401         1.3327346748         2.8400914183        -0.1116987047         8.6009229229
        0.0650000000         1.4743066172         3.1815285086         1.3327346748         2.8528508056        -0.1116987047         8.4642891507
        0.0700000000         1.4236442175         3.1656459331         1.3378393285         2.8451951732         0.0212759438         8.1734261814
        0.0750000000         1.3470413636         3.1415548157         1.3429439823         2.8502989281         0.1542505922         7.7336338769
        0.0800000000         1.2458938488         3.1096023109         1.3327346748         2.8426432957        -0.1116987047         7.1529257647
        0.0850000000         1.1220446984         3.0702545084         1.3352870017         2.8477470506        -0.0452113805         6.4418830222
        0.0900000000         0.9777505880         3.0240944548         1.3352870017         2.8502989281        -0.0452113805         5.6134616755
        0.0950000000         0.8156407242         2.9718193211         1.3250776943         2.8451951732        -0.3111606774         4.6827565256
        0.1000000000         0.6386689373         2.9142364674         1.3378393285         2.8451951732         0.0212759438         3.6667261031
        0.1050000000         0.4500598594         2.8522580900         1.3863335388         2.8554026830         1.2845351041         2.5838836646
        0.1100000000         0.2532501671         2.7868940771         1.5343684965         2.8630583154         5.1407999092         1.4539598592
        0.1150000000         0.0518259621         2.7192426417         1.5573394382         2.8834733351         5.7391858272         0.2975432134
        0.1200000000        -0.1505425723         2.2272763264         1.5318161696         2.9013364773         5.0743125850        -0.8642950160
