% Static Verify Step 21/48  OmegaCmd=+550.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=9.338976 rad/s  omega_target=9.599311 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0005907000       550.0000000000         3.2944155898         1.3352870017         1.1099185011        -0.0704765637         9.5993108860
        0.0055070000       550.0000000000         3.2944155898         1.3378393285         1.1150222560        -0.0039892395         9.5993108860
        0.0103900000       550.0000000000         3.2944155898         1.3454963091         1.1201260109         0.1954727332         9.5993108860
        0.0154883000       550.0000000000         3.2944155898         1.3352870017         1.0997109912        -0.0704765637         9.5993108860
        0.0205421000       550.0000000000         3.2944155898         1.3378393285         1.1175741334        -0.0039892395         9.5993108860
        0.0254411000       550.0000000000         3.2944155898         1.3429439823         1.1175741334         0.1289854090         9.5993108860
        0.0303953000       550.0000000000         3.2944155898         1.3352870017         1.1124703785        -0.0704765637         9.5993108860
        0.0356150000       550.0000000000         3.2944155898         1.3378393285         1.1124703785        -0.0039892395         9.5993108860
        0.0404757000       550.0000000000         3.2944155898         1.3352870017         1.0997109912        -0.0704765637         9.5993108860
        0.0456118000       550.0000000000         3.2944155898         1.3403916554         1.1124703785         0.0624980848         9.5993108860
        0.0504424000       550.0000000000         3.2944155898         1.3429439823         1.1175741334         0.1289854090         9.5993108860
        0.0553929000       550.0000000000         3.2944155898         1.3403916554         1.0997109912         0.0624980848         9.5993108860
        0.0604491000       550.0000000000         3.2944155898         1.3710195777         1.0971591138         0.8603459755         9.5993108860
        0.0654479000       550.0000000000         3.2944155898         1.3735719045         1.1201260109         0.9268332997         9.5993108860
        0.0704577000       550.0000000000         3.2944155898         1.4271707685         1.0971591138         2.3230671085         9.5993108860
        0.0754254000       550.0000000000         3.2944155898         1.5165022085         0.0100593162         4.6501234564         9.5993108860
        0.0806015000       550.0000000000         3.2944155898         1.5981766679         0.0049555613         6.7777178317         9.5993108860
        0.0855500000       550.0000000000         3.2944155898         1.5879673605        -0.0052519485         6.5117685348         9.5993108860
        0.0905353000       550.0000000000         3.2944155898         1.5981766679         0.0075074388         6.7777178317         9.5993108860
        0.0955231000       550.0000000000         3.2944155898         1.5879673605        -0.0027000711         6.5117685348         9.5993108860
        0.1004990000       550.0000000000         3.2944155898         1.5803103799         0.0100593162         6.3123065621         9.5993108860
        0.1054567000       550.0000000000         3.2944155898         1.5803103799         0.0432337232         6.3123065621         9.5993108860
        0.1105549000       550.0000000000         3.2944155898         1.5905196873         0.0662006203         6.5782558590         9.5993108860
        0.1154812000       550.0000000000         3.2944155898         1.5879673605         0.0891675175         6.5117685348         9.5993108860
        0.1205162000       550.0000000000         3.2944155898         1.6007289948         0.1197900470         6.8442051559         9.5993108860
        0.1254932000       550.0000000000         3.2944155898         1.6083859753         0.1529644539         7.0436671286         9.5993108860
        0.1305358000       550.0000000000         3.2944155898         1.5956243410         0.1733794736         6.7112305074         9.5993108860
        0.1354890000       550.0000000000         3.2944155898         1.6160429559         0.2091057580         7.2431291013         9.5993108860
        0.1403846000       550.0000000000         3.2944155898         1.6109383022         0.2320726552         7.1101544528         9.5993108860
        0.1454506000       550.0000000000         3.2944155898         1.6134906290         0.2601433072         7.1766417770         9.5993108860
        0.1504264000       550.0000000000         3.2944155898         1.6211476096         0.2933177142         7.3761037497         9.5993108860
        0.1555552000       550.0000000000         3.2944155898         1.6083859753         0.3111808564         7.0436671286         9.5993108860
        0.1604807000       550.0000000000         3.2944155898         1.6262522633         0.3494590183         7.5090783982         9.5993108860
        0.1654317000       550.0000000000         3.2944155898         1.6288045902         0.3698740379         7.5755657224         9.5993108860
