% Static Verify Step 20/51  Vcmd=+1.0000V
% Vg_offset=1.337814V  K_gimbal=26.049690  K_lin=8.298800
% omega_avg(last 2.0s)=7.483315 rad/s  omega_target=8.298800 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0007921000         1.0000000000         3.2486729361         1.3429439823         4.2742465502         0.1336395217         8.2988000000
        0.0055031000         1.0000000000         3.2486729361         1.3429439823         4.2767984277         0.1336395217         8.2988000000
        0.0104453000         1.0000000000         3.2486729361         1.3429439823         4.2742465502         0.1336395217         8.2988000000
        0.0154944000         1.0000000000         3.2486729361         1.3352870017         4.2691427953        -0.0658224510         8.2988000000
        0.0204073000         1.0000000000         3.2486729361         1.3403916554         4.2716946728         0.0671521975         8.2988000000
        0.0254993000         1.0000000000         3.2486729361         1.5011882474         4.2767984277         4.2558536238         8.2988000000
        0.0304852000         1.0000000000         3.2486729361         1.4705603251         4.3023172023         3.4580057330         8.2988000000
        0.0354196000         1.0000000000         3.2486729361         1.4680079982         4.3176284670         3.3915184088         8.2988000000
        0.0404043000         1.0000000000         3.2486729361         1.5011882474         4.3354916092         4.2558536238         8.2988000000
        0.0454164000         1.0000000000         3.2486729361         1.5062929011         4.3405953642         4.3888282722         8.2988000000
        0.0505544000         1.0000000000         3.2486729361         1.5011882474         4.3686660162         4.2558536238         8.2988000000
        0.0554560000         1.0000000000         3.2486729361         1.5190545354         4.3788735260         4.7212648933         8.2988000000
        0.0604464000         1.0000000000         3.2486729361         1.5267115159         4.4018404232         4.9207268660         8.2988000000
        0.0654410000         1.0000000000         3.2486729361         1.5216068622         4.4273591978         4.7877522176         8.2988000000
        0.0705132000         1.0000000000         3.2486729361         1.5369208233         4.4375667076         5.1866761629         8.2988000000
        0.0754450000         1.0000000000         3.2486729361         1.5267115159         4.4579817273         4.9207268660         8.2988000000
        0.0804377000         1.0000000000         3.2486729361         1.5343684965         4.4732929920         5.1201888387         8.2988000000
        0.0854015000         1.0000000000         3.2486729361         1.5420254771         4.5039155215         5.3196508114         8.2988000000
        0.0905048000         1.0000000000         3.2486729361         1.5471301308         4.5141230314         5.4526254598         8.2988000000
        0.0954042000         1.0000000000         3.2486729361         1.5445778039         4.5421936834         5.3861381356         8.2988000000
