% Static Verify Step 11/48  OmegaCmd=+300.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=5.119690 rad/s  omega_target=5.235988 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.4754207000       300.0000000000         3.0347054762         1.5165022085         0.6378211711         4.6501234564         5.2359877560
        0.4804752000       300.0000000000         3.0347054762         1.5216068622         0.6582361908         4.7830981049         5.2359877560
        0.4853913000       300.0000000000         3.0347054762         1.5292638428         0.6760993330         4.9825600775         5.2359877560
        0.4904399000       300.0000000000         3.0347054762         1.5139498816         0.7016181076         4.5836361322         5.2359877560
        0.4953888000       300.0000000000         3.0347054762         1.5190545354         0.7092737400         4.7166107806         5.2359877560
        0.5004454000       300.0000000000         3.0347054762         1.5241591891         0.7322406371         4.8495854291         5.2359877560
        0.5053993000       300.0000000000         3.0347054762         1.5190545354         0.7450000244         4.7166107806         5.2359877560
        0.5104345000       300.0000000000         3.0347054762         1.5165022085         0.7654150441         4.6501234564         5.2359877560
        0.5154372000       300.0000000000         3.0347054762         1.5216068622         0.7883819412         4.7830981049         5.2359877560
        0.5204465000       300.0000000000         3.0347054762         1.5139498816         0.8036932060         4.5836361322         5.2359877560
        0.5254021000       300.0000000000         3.0347054762         1.5292638428         0.8317638580         4.9825600775         5.2359877560
        0.5303930000       300.0000000000         3.0347054762         1.5241591891         0.8445232453         4.8495854291         5.2359877560
        0.5353928000       300.0000000000         3.0347054762         1.5241591891         0.8572826326         4.8495854291         5.2359877560
        0.5404295000       300.0000000000         3.0347054762         1.5343684965         0.8828014072         5.1155347260         5.2359877560
        0.5453915000       300.0000000000         3.0347054762         1.5216068622         0.8981126720         4.7830981049         5.2359877560
        0.5503895000       300.0000000000         3.0347054762         1.5216068622         0.9210795691         4.7830981049         5.2359877560
        0.5553885000       300.0000000000         3.0347054762         1.5394731502         0.9465983437         5.2485093745         5.2359877560
        0.5603895000       300.0000000000         3.0347054762         1.5318161696         0.9593577310         5.0490474018         5.2359877560
        0.5654667000       300.0000000000         3.0347054762         1.5267115159         0.9772208732         4.9160727533         5.2359877560
        0.5703900000       300.0000000000         3.0347054762         1.5267115159         0.9976358929         4.9160727533         5.2359877560
        0.5753925000       300.0000000000         3.0347054762         1.5394731502         1.0154990351         5.2485093745         5.2359877560
        0.5804740000       300.0000000000         3.0347054762         1.5343684965         1.0435696871         5.1155347260         5.2359877560
        0.5854634000       300.0000000000         3.0347054762         1.5343684965         1.0639847068         5.1155347260         5.2359877560
