% Static Verify Step 22/51  Vcmd=+1.1000V
% Vg_offset=1.336652V  K_gimbal=26.049690  K_lin=7.165500
% omega_avg(last 2.0s)=8.019036 rad/s  omega_target=7.882050 rad/s

Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0009044000         1.1000000000         3.2028202314         1.3378393285         1.5207707720         0.0309166058         7.8820500000
        0.0054391000         1.1000000000         3.2028202314         1.3352870017         1.5182188945        -0.0355707185         7.8820500000
        0.0105290000         1.1000000000         3.2028202314         1.3352870017         1.5156670170        -0.0355707185         7.8820500000
        0.0154670000         1.1000000000         3.2028202314         1.3378393285         1.5182188945         0.0309166058         7.8820500000
        0.0204212000         1.1000000000         3.2028202314         1.3454963091         1.5258745269         0.2303785784         7.8820500000
        0.0254702000         1.1000000000         3.2028202314         1.4680079982         1.5309782818         3.4217701413         7.8820500000
        0.0304549000         1.1000000000         3.2028202314         1.4782173056         1.5360820367         3.6877194382         7.8820500000
        0.0354650000         1.1000000000         3.2028202314         1.4501417102         1.5462895465         2.9563588717         7.8820500000
        0.0403994000         1.1000000000         3.2028202314         1.4577986908         1.5641526888         3.1558208444         7.8820500000
        0.0453824000         1.1000000000         3.2028202314         1.5292638428         1.5743601986         5.0174659228         7.8820500000
        0.0504420000         1.1000000000         3.2028202314         1.4884266131         1.5820158310         3.9536687351         7.8820500000
        0.0554677000         1.1000000000         3.2028202314         1.4858742862         1.5998789732         3.8871814109         7.8820500000
        0.0604256000         1.1000000000         3.2028202314         1.5165022085         1.6228458703         4.6850293016         7.8820500000
        0.0653845000         1.1000000000         3.2028202314         1.5267115159         1.6458127674         4.9509785985         7.8820500000
        0.0704076000         1.1000000000         3.2028202314         1.5267115159         1.6585721547         4.9509785985         7.8820500000
        0.0754427000         1.1000000000         3.2028202314         1.5318161696         1.6789871744         5.0839532470         7.8820500000
        0.0804672000         1.1000000000         3.2028202314         1.5369208233         1.6917465617         5.2169278954         7.8820500000
        0.0854857000         1.1000000000         3.2028202314         1.5190545354         1.7121615814         4.7515166259         7.8820500000
        0.0904386000         1.1000000000         3.2028202314         1.5573394382         1.7402322334         5.7488264893         7.8820500000
        0.0954443000         1.1000000000         3.2028202314         1.5445778039         1.7606472531         5.4163898681         7.8820500000
        0.1004837000         1.1000000000         3.2028202314         1.5445778039         1.7785103953         5.4163898681         7.8820500000
