% Static Verify Step 16/48  OmegaCmd=-400.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=-6.547505 rad/s  omega_target=-6.981317 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.8455924000      -400.0000000000         1.8253494656         1.0698450086         3.3785375621        -6.9851582833        -6.9813170080
        0.8505027000      -400.0000000000         1.8253494656         1.0749496623         3.3530187875        -6.8521836348        -6.9813170080
        0.8554697000      -400.0000000000         1.8253494656         1.0877112966         3.3326037679        -6.5197470137        -6.9813170080
        0.8604282000      -400.0000000000         1.8253494656         1.0775019892         3.3019812383        -6.7856963106        -6.9813170080
        0.8654217000      -400.0000000000         1.8253494656         1.0596357012         3.2713587088        -7.2511075802        -6.9813170080
        0.8704943000      -400.0000000000         1.8253494656         1.0800543160         3.2560474441        -6.7192089863        -6.9813170080
        0.8753924000      -400.0000000000         1.8253494656         1.0800543160         3.2254249146        -6.7192089863        -6.9813170080
        0.8804719000      -400.0000000000         1.8253494656         1.0749496623         3.1922505076        -6.8521836348        -6.9813170080
        0.8854001000      -400.0000000000         1.8253494656         1.0647403549         3.1718354879        -7.1181329317        -6.9813170080
        0.8904511000      -400.0000000000         1.8253494656         1.0698450086         3.1488685908        -6.9851582833        -6.9813170080
        0.8954850000      -400.0000000000         1.8253494656         1.0749496623         3.1156941838        -6.8521836348        -6.9813170080
        0.9004621000      -400.0000000000         1.8253494656         1.0723973355         3.0927272867        -6.9186709590        -6.9813170080
        0.9054477000      -400.0000000000         1.8253494656         1.0775019892         3.0748641445        -6.7856963106        -6.9813170080
        0.9104765000      -400.0000000000         1.8253494656         1.0647403549         3.0365859826        -7.1181329317        -6.9813170080
        0.9154175000      -400.0000000000         1.8253494656         1.0672926818         3.0110672080        -7.0516456075        -6.9813170080
        0.9204921000      -400.0000000000         1.8253494656         1.0698450086         2.9855484334        -6.9851582833        -6.9813170080
        0.9255006000      -400.0000000000         1.8253494656         1.0749496623         2.9676852912        -6.8521836348        -6.9813170080
        0.9304011000      -400.0000000000         1.8253494656         1.0621880280         2.9345108842        -7.1846202559        -6.9813170080
        0.9353844000      -400.0000000000         1.8253494656         1.0647403549         2.9064402322        -7.1181329317        -6.9813170080
        0.9404766000      -400.0000000000         1.8253494656         1.0647403549         2.8732658252        -7.1181329317        -6.9813170080
        0.9454496000      -400.0000000000         1.8253494656         1.0698450086         2.8554026830        -6.9851582833        -6.9813170080
        0.9504678000      -400.0000000000         1.8253494656         1.0647403549         2.8247801535        -7.1181329317        -6.9813170080
        0.9554423000      -400.0000000000         1.8253494656         1.0545310475         2.7916057465        -7.3840822286        -6.9813170080
        0.9606167000      -400.0000000000         1.8253494656         1.0723973355         2.7737426043        -6.9186709590        -6.9813170080
        0.9654890000      -400.0000000000         1.8253494656         1.0723973355         2.7507757072        -6.9186709590        -6.9813170080
        0.9704936000      -400.0000000000         1.8253494656         1.0621880280         2.7099456679        -7.1846202559        -6.9813170080
        0.9754417000      -400.0000000000         1.8253494656         1.0698450086         2.6869787707        -6.9851582833        -6.9813170080
        0.9805039000      -400.0000000000         1.8253494656         1.0672926818         2.6665637511        -7.0516456075        -6.9813170080
        0.9854566000      -400.0000000000         1.8253494656         1.0647403549         2.6410449765        -7.1181329317        -6.9813170080
        0.9904488000      -400.0000000000         1.8253494656         1.0672926818         2.6053186920        -7.0516456075        -6.9813170080
        0.9953916000      -400.0000000000         1.8253494656         1.0596357012         2.5746961625        -7.2511075802        -6.9813170080
        1.0004744000      -400.0000000000         1.8253494656         1.0621880280         2.5517292654        -7.1846202559        -6.9813170080
        1.0054723000      -400.0000000000         1.8253494656         1.0672926818         2.5313142457        -7.0516456075        -6.9813170080
        1.0104226000      -400.0000000000         1.8253494656         1.0698450086         2.5057954711        -6.9851582833        -6.9813170080
        1.0154775000      -400.0000000000         1.8253494656         1.0698450086         2.4675173092        -6.9851582833        -6.9813170080
        1.0204372000      -400.0000000000         1.8253494656         1.0672926818         2.4471022896        -7.0516456075        -6.9813170080
        1.0253981000      -400.0000000000         1.8253494656         1.0596357012         2.4113760052        -7.2511075802        -6.9813170080
        1.0304323000      -400.0000000000         1.8253494656         1.0698450086         2.3909609855        -6.9851582833        -6.9813170080
        1.0354006000      -400.0000000000         1.8253494656         1.0698450086         2.3628903334        -6.9851582833        -6.9813170080
        1.0404197000      -400.0000000000         1.8253494656         1.0698450086         2.3271640490        -6.9851582833        -6.9813170080
        1.0454676000      -400.0000000000         1.8253494656         1.0647403549         2.3067490293        -7.1181329317        -6.9813170080
        1.0504585000      -400.0000000000         1.8253494656         1.0775019892         2.2735746224        -6.7856963106        -6.9813170080
        1.0554455000      -400.0000000000         1.8253494656         1.0621880280         2.2455039703        -7.1846202559        -6.9813170080
        1.0604637000      -400.0000000000         1.8253494656         1.0621880280         2.2199851957        -7.1846202559        -6.9813170080
        1.0654279000      -400.0000000000         1.8253494656         1.0749496623         2.2021220535        -6.8521836348        -6.9813170080
        1.0704528000      -400.0000000000         1.8253494656         1.0672926818         2.1663957691        -7.0516456075        -6.9813170080
        1.0754033000      -400.0000000000         1.8253494656         1.0749496623         2.1459807494        -6.8521836348        -6.9813170080
        1.0803898000      -400.0000000000         1.8253494656         1.0749496623         2.1179100974        -6.8521836348        -6.9813170080
        1.0854488000      -400.0000000000         1.8253494656         1.0775019892         2.0974950777        -6.7856963106        -6.9813170080
        1.0903846000      -400.0000000000         1.8253494656         1.0749496623         2.0668725482        -6.8521836348        -6.9813170080
        1.0954939000      -400.0000000000         1.8253494656         1.0723973355         2.0362500187        -6.9186709590        -6.9813170080
        1.1004786000      -400.0000000000         1.8253494656         1.0800543160         2.0158349990        -6.7192089863        -6.9813170080
        1.1055066000      -400.0000000000         1.8253494656         1.0826066429         1.9903162244        -6.6527216621        -6.9813170080
        1.1105013000      -400.0000000000         1.8253494656         1.0672926818         1.9571418174        -7.0516456075        -6.9813170080
        1.1153907000      -400.0000000000         1.8253494656         1.0775019892         1.9367267978        -6.7856963106        -6.9813170080
        1.1204636000      -400.0000000000         1.8253494656         1.0979206040         1.9188636556        -6.2537977168        -6.9813170080
        1.1254140000      -400.0000000000         1.8253494656         1.0749496623         1.8831373711        -6.8521836348        -6.9813170080
        1.1304490000      -400.0000000000         1.8253494656         1.0826066429         1.8627223515        -6.6527216621        -6.9813170080
        1.1353902000      -400.0000000000         1.8253494656         1.0877112966         1.8346516994        -6.5197470137        -6.9813170080
