% Static Verify Step 27/48  OmegaCmd=+700.0000 deg/s
% Vg_offset=1.337992V  K_gimbal=26.049690
% omega_avg(last 2.0s)=11.923671 rad/s  omega_target=12.217305 rad/s

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0021464000       700.0000000000         3.4684250195         1.3378393285         3.1641798556        -0.0039892395        12.2173047640
        0.0054634000       700.0000000000         3.4684250195         1.3301823480         3.1590761006        -0.2034512121        12.2173047640
        0.0104462000       700.0000000000         3.4684250195         1.3480486360         3.1718354879         0.2619600575        12.2173047640
        0.0155225000       700.0000000000         3.4684250195         1.3403916554         3.1718354879         0.0624980848        12.2173047640
        0.0204644000       700.0000000000         3.4684250195         1.3352870017         3.1692836105        -0.0704765637        12.2173047640
        0.0254794000       700.0000000000         3.4684250195         1.3378393285         3.1667317330        -0.0039892395        12.2173047640
        0.0304254000       700.0000000000         3.4684250195         1.3378393285         3.1641798556        -0.0039892395        12.2173047640
        0.0355228000       700.0000000000         3.4684250195         1.3429439823         3.1718354879         0.1289854090        12.2173047640
        0.0404441000       700.0000000000         3.4684250195         1.3301823480         3.1616279781        -0.2034512121        12.2173047640
        0.0454336000       700.0000000000         3.4684250195         1.3352870017         3.1641798556        -0.0704765637        12.2173047640
        0.0504243000       700.0000000000         3.4684250195         1.3352870017         3.1667317330        -0.0704765637        12.2173047640
        0.0554617000       700.0000000000         3.4684250195         1.3378393285         3.1641798556        -0.0039892395        12.2173047640
        0.0605158000       700.0000000000         3.4684250195         1.3429439823         3.1743873654         0.1289854090        12.2173047640
        0.0654410000       700.0000000000         3.4684250195         1.3454963091         3.1590761006         0.1954727332        12.2173047640
        0.0705066000       700.0000000000         3.4684250195         1.6211476096         3.1871467527         7.3761037497        12.2173047640
        0.0754764000       700.0000000000         3.4684250195         1.7564209330         3.2305286695        10.8999319337        12.2173047640
        0.0804749000       700.0000000000         3.4684250195         1.7130313764         3.2534955666         9.7696474219        12.2173047640
        0.0855036000       700.0000000000         3.4684250195         1.6951650884         3.2968774834         9.3042361523        12.2173047640
        0.0904637000       700.0000000000         3.4684250195         1.6670894930         3.3275000129         8.5728755858        12.2173047640
        0.0955211000       700.0000000000         3.4684250195         1.6517755319         3.3708819297         8.1739516404        12.2173047640
        0.1004404000       700.0000000000         3.4684250195         1.6211476096         3.3912969494         7.3761037497        12.2173047640
        0.1055058000       700.0000000000         3.4684250195         1.6109383022         3.4270232338         7.1101544528        12.2173047640
        0.1105245000       700.0000000000         3.4684250195         1.6032813216         3.4525420084         6.9106924801        12.2173047640
        0.1155239000       700.0000000000         3.4684250195         1.5879673605         3.4729570281         6.5117685348        12.2173047640
        0.1204197000       700.0000000000         3.4684250195         1.5981766679         3.5061314351         6.7777178317        12.2173047640
        0.1256614000       700.0000000000         3.4684250195         1.6083859753         3.5367539646         7.0436671286        12.2173047640
        0.1304205000       700.0000000000         3.4684250195         1.6492232050         3.5520652293         8.1074643162        12.2173047640
        0.1354432000       700.0000000000         3.4684250195         1.7053743959         3.5979990236         9.5701854492        12.2173047640
        0.1404151000       700.0000000000         3.4684250195         1.6670894930         3.6209659207         8.5728755858        12.2173047640
        0.1454440000       700.0000000000         3.4684250195         1.6824034542         3.6694515924         8.9717995311        12.2173047640
        0.1504833000       700.0000000000         3.4684250195         1.6696418199         3.6898666121         8.6393629100        12.2173047640
        0.1554360000       700.0000000000         3.4684250195         1.6875081079         3.7332485289         9.1047741796        12.2173047640
        0.1604301000       700.0000000000         3.4684250195         1.6824034542         3.7664229359         8.9717995311        12.2173047640
        0.1654304000       700.0000000000         3.4684250195         1.6875081079         3.7995973429         9.1047741796        12.2173047640
        0.1705442000       700.0000000000         3.4684250195         1.6900604347         3.8378755047         9.1712615038        12.2173047640
        0.1755350000       700.0000000000         3.4684250195         1.6875081079         3.8633942793         9.1047741796        12.2173047640
        0.1805243000       700.0000000000         3.4684250195         1.6977174153         3.9093280736         9.3707234765        12.2173047640
        0.1854969000       700.0000000000         3.4684250195         1.7232406839         3.9527099904        10.0355967188        12.2173047640
        0.1905276000       700.0000000000         3.4684250195         1.7028220690         3.9833325199         9.5036981250        12.2173047640
        0.1955351000       700.0000000000         3.4684250195         1.7053743959         4.0190588043         9.5701854492        12.2173047640
        0.2004390000       700.0000000000         3.4684250195         1.7002697422         4.0522332113         9.4372108007        12.2173047640
        0.2054363000       700.0000000000         3.4684250195         1.7232406839         4.0981670056        10.0355967188        12.2173047640
        0.2104509000       700.0000000000         3.4684250195         1.7130313764         4.1389970449         9.7696474219        12.2173047640
        0.2154463000       700.0000000000         3.4684250195         1.7181360302         4.1721714519         9.9026220703        12.2173047640
        0.2205434000       700.0000000000         3.4684250195         1.7257930107         4.2155533687        10.1020840430        12.2173047640
        0.2255310000       700.0000000000         3.4684250195         1.7257930107         4.2512796531        10.1020840430        12.2173047640
        0.2304125000       700.0000000000         3.4684250195         1.7155837033         4.2819021826         9.8361347461        12.2173047640
        0.2355118000       700.0000000000         3.4684250195         1.7283453376         4.3252840994        10.1685713672        12.2173047640
        0.2404341000       700.0000000000         3.4684250195         1.7232406839         4.3661141388        10.0355967188        12.2173047640
        0.2455092000       700.0000000000         3.4684250195         1.7053743959         4.4069441781         9.5701854492        12.2173047640
        0.2504705000       700.0000000000         3.4684250195         1.7334499913         4.4477742174        10.3015460157        12.2173047640
        0.2554322000       700.0000000000         3.4684250195         1.7308976644         4.4911561342        10.2350586915        12.2173047640
        0.2604743000       700.0000000000         3.4684250195         1.7308976644         4.5243305412        10.2350586915        12.2173047640
        0.2654787000       700.0000000000         3.4684250195         1.7334499913         4.5753680904        10.3015460157        12.2173047640
        0.2704793000       700.0000000000         3.4684250195         1.7283453376         4.6059906199        10.1685713672        12.2173047640
        0.2754804000       700.0000000000         3.4684250195         1.7334499913         4.6519244142        10.3015460157        12.2173047640
        0.2804113000       700.0000000000         3.4684250195         1.7487639524         4.7004100859        10.7004699610        12.2173047640
        0.2854869000       700.0000000000         3.4684250195         1.7360023181         4.7437920027        10.3680333399        12.2173047640
        0.2904411000       700.0000000000         3.4684250195         1.7487639524         4.7820701646        10.7004699610        12.2173047640
        0.2954881000       700.0000000000         3.4684250195         1.7334499913         4.8126926941        10.3015460157        12.2173047640
        0.3004094000       700.0000000000         3.4684250195         1.7462116256         4.8662821207        10.6339826368        12.2173047640
        0.3054872000       700.0000000000         3.4684250195         1.7436592987         4.9096640375        10.5674953126        12.2173047640
        0.3104417000       700.0000000000         3.4684250195         1.7462116256         4.9530459543        10.6339826368        12.2173047640
        0.3154400000       700.0000000000         3.4684250195         1.7360023181         4.9862203613        10.3680333399        12.2173047640
        0.3204904000       700.0000000000         3.4684250195         1.7462116256         5.0117391359        10.6339826368        12.2173047640
        0.3254327000       700.0000000000         3.4684250195         1.7513162793         5.0066353810        10.7669572853        12.2173047640
        0.3304634000       700.0000000000         3.4684250195         1.7487639524         5.0040835035        10.7004699610        12.2173047640
        0.3354335000       700.0000000000         3.4684250195         1.7513162793         1.1048147461        10.7669572853        12.2173047640
        0.3404076000       700.0000000000         3.4684250195         1.7513162793         0.0024036839        10.7669572853        12.2173047640
        0.3454784000       700.0000000000         3.4684250195         1.7513162793        -0.0052519485        10.7669572853        12.2173047640
        0.3504829000       700.0000000000         3.4684250195         1.7589732599        -0.0001481936        10.9664192579        12.2173047640
        0.3554614000       700.0000000000         3.4684250195         1.7615255867         0.0228187035        11.0329065822        12.2173047640
        0.3604716000       700.0000000000         3.4684250195         1.7615255867         0.0636487429        11.0329065822        12.2173047640
        0.3655260000       700.0000000000         3.4684250195         1.7589732599         0.1070306597        10.9664192579        12.2173047640
        0.3704402000       700.0000000000         3.4684250195         1.7589732599         0.1478606990        10.9664192579        12.2173047640
        0.3754325000       700.0000000000         3.4684250195         1.7691825673         0.2040020031        11.2323685549        12.2173047640
        0.3804419000       700.0000000000         3.4684250195         1.7640779136         0.2371764101        11.0993939064        12.2173047640
        0.3854670000       700.0000000000         3.4684250195         1.7742872210         0.2907658367        11.3653432033        12.2173047640
        0.3904352000       700.0000000000         3.4684250195         1.7615255867         0.3213883662        11.0329065822        12.2173047640
        0.3954307000       700.0000000000         3.4684250195         1.7691825673         0.3749777929        11.2323685549        12.2173047640
        0.4004825000       700.0000000000         3.4684250195         1.7640779136         0.4183597097        11.0993939064        12.2173047640
        0.4054719000       700.0000000000         3.4684250195         1.7742872210         0.4693972588        11.3653432033        12.2173047640
        0.4104357000       700.0000000000         3.4684250195         1.7615255867         0.5051235433        11.0329065822        12.2173047640
        0.4154747000       700.0000000000         3.4684250195         1.7589732599         0.5459535826        10.9664192579        12.2173047640
        0.4204438000       700.0000000000         3.4684250195         1.7640779136         0.5918873769        11.0993939064        12.2173047640
        0.4255064000       700.0000000000         3.4684250195         1.7615255867         0.6352692937        11.0329065822        12.2173047640
        0.4304628000       700.0000000000         3.4684250195         1.7640779136         0.6812030879        11.0993939064        12.2173047640
        0.4356886000       700.0000000000         3.4684250195         1.7717348941         0.7245850047        11.2988558791        12.2173047640
        0.4404831000       700.0000000000         3.4684250195         1.7589732599         0.7577594117        10.9664192579        12.2173047640
        0.4455536000       700.0000000000         3.4684250195         1.7742872210         0.8113488384        11.3653432033        12.2173047640
        0.4504553000       700.0000000000         3.4684250195         1.7666302404         0.8572826326        11.1658812306        12.2173047640
        0.4554180000       700.0000000000         3.4684250195         1.7666302404         0.8955607945        11.1658812306        12.2173047640
        0.4604396000       700.0000000000         3.4684250195         1.7691825673         0.9440464662        11.2323685549        12.2173047640
        0.4654411000       700.0000000000         3.4684250195         1.7691825673         0.9772208732        11.2323685549        12.2173047640
        0.4705145000       700.0000000000         3.4684250195         1.7793918747         1.0333621773        11.4983178518        12.2173047640
        0.4754652000       700.0000000000         3.4684250195         1.7640779136         1.0614328293        11.0993939064        12.2173047640
