% Position Control  theta_d=+30.0000 deg (0.523599 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.338733V  K_gimbal=26.049690  samples=233

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.2554960000      -441.8457915382         1.7806273374         1.2587171960         3.1054866740        -2.0843776145         0.7063138067
        0.2606309000       503.1472234345         3.2445329247         1.0647403549         3.0723122670        -7.1374142557         0.6668990600
        0.2658293000       747.6156209427         3.5306885308         1.0417694132         3.0416897375        -7.7358001738         0.6305162169
        0.2706458000       687.7808803571         3.4531083449         1.0723973355         3.0289303502        -6.9379522831         0.6153566989
        0.2757260000       854.9298464578         3.6895784431         1.0749496623         2.9932040658        -6.8714649588         0.5729100487
        0.2807714000       927.9168170672         3.8164249546         1.0851589698         2.9702371687        -6.6055156619         0.5456229163
        0.2859609000      1059.4542747857         4.0960651221         1.0902636235         2.9396146392        -6.4725410135         0.5092400732
        0.2906077000      1145.1137750502         4.3224582717         1.1004729309         2.9140958646        -6.2065917166         0.4789210373
        0.2960229000      1146.8777288955         4.3275475449         1.1157868920         2.9013364773        -5.8076677712         0.4637615193
        0.3006017000      1048.3832726062         4.0695790393         1.1591764486         2.8860252125        -4.6773832593         0.4455700978
        0.3060738000       -89.2661941470         2.1803013761         1.4041998268         2.9166477420         1.7053998664         0.4819529409
        0.3105462000     -1044.5256581916         0.8507304619         1.6007289948         2.9498221490         6.8249238319         0.5213676876
        0.3155368000     -1632.5990362353         0.0000000000         1.7028220690         2.9855484334         9.4844168009         0.5638143379
        0.3205455000     -1661.4720032359         0.0000000000         1.6721941467         3.0161709629         8.6865689102         0.6001971810
        0.3255982000     -1787.5551730495         0.0000000000         1.6594325125         3.0518972474         8.3541322891         0.6426438313
        0.3305947000     -1888.2932835526         0.0000000000         1.6466708782         3.0825197769         8.0216956679         0.6790266744
        0.3355874000     -1894.8693985645         0.0000000000         1.6262522633         3.1003829191         7.4897970741         0.7002499995
