% Position Control  theta_d=+5.0000 deg (0.087266 rad)
% Kp=72.950000  Kd=2.695000
% Vg_offset=1.337890V  K_gimbal=26.049690  samples=140

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Theta[rad]          
        0.0004153000       511.7130839601         3.2535541951         1.3327346748         2.5364180006        -0.1343043949        -0.0301993057
        0.0054074000       534.0099359488         3.2772331799         1.3429439823         2.5491773879         0.1316449020        -0.0453588236
        0.0104056000       539.4642238538         3.2830738238         1.3352870017         2.5440736330        -0.0678170707        -0.0392950165
        0.0153948000       529.1977747821         3.2720966917         1.3378393285         2.5440736330        -0.0013297465        -0.0392950165
        0.0204115000       511.7130839601         3.2535541951         1.3327346748         2.5364180006        -0.1343043949        -0.0301993057
        0.0254017000       477.8655294232         3.2181092927         1.3506009628         2.5440736330         0.3311068746        -0.0392950165
        0.0303952000       186.7146213534         2.9132815504         1.4450370565         2.5619367752         2.7911378710        -0.0605183416
        0.0353892000       -75.4008933462         2.1988286047         1.5165022085         2.5670405302         4.6527829494        -0.0665821488
        0.0403866000        36.8879197052         2.7389390706         1.5011882474         2.5772480400         4.2538590040        -0.0787097632
        0.0454122000       153.3467671851         2.8760057891         1.5037405742         2.6027668146         4.3203463283        -0.1090287991
        0.0504152000       260.8234190698         2.9934753215         1.4833219594         2.6078705695         3.7884477344        -0.1150926063
        0.0554548000       408.0816137650         3.1461681589         1.4782173056         2.6333893441         3.6554730860        -0.1454116422
        0.0603969000       540.9033249600         3.2846182940         1.4577986908         2.6435968539         3.1235744922        -0.1575392565
        0.0653890000       615.1745490459         3.3667117269         1.4424847297         2.6461487314         2.7246505468        -0.1605711601
        0.0704079000       763.0748704794         3.5518759249         1.4246184417         2.6614599961         2.2592392772        -0.1787625817
        0.0753986000       839.7521751486         3.6652854337         1.4118568074         2.6665637511         1.9268026561        -0.1848263889
        0.0803973000       907.9269845913         3.7799263140         1.4169614611         2.6844268933         2.0597773045        -0.2060497140
        0.0853827000       961.6653105336         3.8813503823         1.4067521537         2.6869787707         1.7938280076        -0.2090816176
        0.0904084000       534.6444839473         3.2779116367         1.5318161696         2.7022900355         5.0517068947        -0.2272730392
        0.0954087000        58.0553658472         2.7647221400         1.6849557810         2.7303606875         9.0409463483        -0.2606239787
        0.1003960000       284.3969457951         3.0183634650         1.6696418199         2.7635350945         8.6420224030        -0.3000387254
        0.1053916000       497.4238693497         3.2385259964         1.6670894930         2.8043651338         8.5755350788        -0.3485491828
        0.1104135000       706.2807584757         3.4763972612         1.6466708782         2.8298839084         8.0436364849        -0.3788682188
        0.1154034000       961.0156050556         3.8800594869         1.6211476096         2.8605064379         7.3787632427        -0.4152510619
        0.1203777000      1123.9945367277         4.2629230219         1.6058336485         2.8809214576         6.9798392973        -0.4395062906
        0.1253869000      1309.2703203885         4.8828103028         1.6007289948         2.9140958646         6.8468646489        -0.4789210373
        0.1303849000      1487.3278622991         5.0000000000         1.5879673605         2.9396146392         6.5144280277        -0.5092400732
        0.1353870000      1603.7867097790         5.0000000000         1.5905196873         2.9651334138         6.5809153520        -0.5395591091
        0.1404855000      1177.8877102996         4.4200582352         1.7436592987         3.0034115756        10.5701548056        -0.5850376630
        0.1453931000       702.4204193065         3.4714891381         1.9248745055         3.0544491248        15.2907548257        -0.6456757349
        0.1503985000      1063.3476642946         4.1055219596         1.9044558907         3.1105904289        14.7588562318        -0.7123776139
        0.1554178000      1372.9426639237         5.0000000000         1.8967989101         3.1667317330        14.5593942592        -0.7790794929
        0.1603971000      1674.6772950645         5.0000000000         1.8942465832         3.2254249146        14.4929069349        -0.8488132755
        0.1653927000      2010.2594807422         5.0000000000         1.8738279684         3.2764624638        13.9610083411        -0.9094513474
        0.1703874000      2279.4308108225         5.0000000000         1.8636186610         3.3223962580        13.6950590442        -0.9640256120
        0.1754137000      2455.5619725184         5.0000000000         1.8891419295         3.3785375621        14.3599322865        -1.0307274911
        0.1803748000      2353.2147557998         5.0000000000         2.0091012918         3.4550938859        17.4848365251        -1.1216845988
        0.1853940000      2438.7118296949         5.0000000000         2.0729094632         3.5239945773        19.1470196308        -1.2035459958
        0.1903930000      2814.7176849215         5.0000000000         2.0550431752         3.5852396363        18.6816083612        -1.2763116820
        0.1954214000      3171.9545958497         5.0000000000         2.0575955021         3.6592440826        18.7480956854        -1.3642368862
        0.2003980000      3505.6104013128         5.0000000000         2.0754617901         3.7409041613        19.2135069550        -1.4612578011
        0.2054014000      3795.7943299053         5.0000000000         2.1009850586         3.8200123625        19.8783801973        -1.5552468125
        0.2103954000      4117.4197324514         5.0000000000         2.1060897123         3.8889130539        20.0113548457        -1.6371082095
        0.2153891000      4464.3901943078         5.0000000000         2.1111943660         3.9629175002        20.1443294942        -1.7250334136
        0.2203780000      4846.3300378082         5.0000000000         2.1265083272         4.0522332113        20.5432534396        -1.8311500394
        0.2254094000      5205.3309025815         5.0000000000         2.1443746152         4.1389970449        21.0086647091        -1.9342347615
        0.2304388000      5570.4281819982         5.0000000000         2.1418222883         4.2104496138        20.9421773849        -2.0191280621
        0.2354085000      5953.0101522367         5.0000000000         2.1443746152         4.2895578150        21.0086647091        -2.1131170734
        0.2403995000      6370.5615041192         5.0000000000         2.1571362495         4.3839772810        21.3411013303        -2.2252975063
        0.2454397000      6786.3489021565         5.0000000000         2.1545839226         4.4656373597        21.2746140061        -2.3223184213
        0.2505057000      7158.6644233233         5.0000000000         2.1596885763         4.5447455609        21.4075886545        -2.4163074326
        0.2554246000      7578.6218557891         5.0000000000         2.1750025375         4.6417169043        21.8065125999        -2.5315197691
        0.2606930000      8007.7239102198         5.0000000000         2.1596885763         4.7157213506        21.4075886545        -2.6194449733
        0.2654592000      8466.3410583895         5.0000000000         2.1622409032         4.8101408166        21.4740759787        -2.7316254062
        0.2704050000      8868.8138000334         5.0000000000         2.1724502106         4.8994565277        21.7400252756        -2.8377420319
        0.2753974000      9287.0072786540         5.0000000000         2.1724502106         4.9836684838        21.7400252756        -2.9377948505
        0.2803886000      9408.2782873008         5.0000000000         2.1801071912         5.0142910133        21.9394872483        -2.9741776936
        0.2854145000     -9960.1591869696         0.0000000000         2.1750025375         1.1099185011        21.8065125999         1.6646348023
        0.2904042000    -15462.4431378979         0.0000000000         2.1724502106        -0.0001481936        21.7400252756         2.9835128648
        0.2954052000    -15353.2025321681         0.0000000000         2.1673455569         0.0177149486        21.6070506272         2.9622895397
        0.3003652000    -14858.3317488782         0.0000000000         2.1545839226         0.1070306597        21.2746140061         2.8561729139
        0.3054199000    -14391.2121054820         0.0000000000         2.1392699615         0.1886907384        20.8756900607         2.7591519990
        0.3104038000    -13925.8564159309         0.0000000000         2.1086420392         0.2575914298        20.0778421700         2.6772906020
        0.3153992000    -13315.6486122680         0.0000000000         2.0703571363         0.3494590183        19.0805323066         2.5681420727
