% Potentiometer Recording  5.0 s
% Vg_offset=1.338069V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0006018000         1.3454963091         2.3782015982         0.1934781135
        0.0054350000         1.3429439823         2.3807534756         0.1269907893
        0.0103943000         1.3327346748         2.3654422109        -0.1389585076
        0.0153871000         1.3352870017         2.3756497207        -0.0724711834
        0.0203909000         1.3352870017         2.3730978433        -0.0724711834
        0.0254064000         1.3378393285         2.3705459658        -0.0059838592
        0.0304039000         1.3378393285         2.3730978433        -0.0059838592
        0.0353864000         1.3378393285         2.3730978433        -0.0059838592
        0.0404269000         1.3378393285         2.3730978433        -0.0059838592
        0.0454155000         1.3352870017         2.3730978433        -0.0724711834
        0.0504574000         1.3429439823         2.3782015982         0.1269907893
        0.0553997000         1.3327346748         2.3654422109        -0.1389585076
        0.0603967000         1.3378393285         2.3705459658        -0.0059838592
        0.0654403000         1.3403916554         2.3730978433         0.0605034650
        0.0704035000         1.3378393285         2.3730978433        -0.0059838592
        0.0754033000         1.3403916554         2.3730978433         0.0605034650
        0.0804295000         1.3301823480         2.3679940883        -0.2054458319
        0.0854314000         1.3429439823         2.3782015982         0.1269907893
        0.0904337000         1.3352870017         2.3730978433        -0.0724711834
        0.0954463000         1.3454963091         2.3807534756         0.1934781135
        0.1004298000         1.3506009628         2.3730978433         0.3264527620
        0.1054157000         1.3301823480         2.3679940883        -0.2054458319
        0.1104157000         1.3429439823         2.3782015982         0.1269907893
        0.1154269000         1.3327346748         2.3730978433        -0.1389585076
        0.1204971000         1.3301823480         2.3654422109        -0.2054458319
        0.1254257000         1.3378393285         2.3730978433        -0.0059838592
        0.1304301000         1.3378393285         2.3730978433        -0.0059838592
        0.1354127000         1.3301823480         2.3679940883        -0.2054458319
        0.1404284000         1.3454963091         2.3756497207         0.1934781135
        0.1454545000         1.3327346748         2.3654422109        -0.1389585076
        0.1504522000         1.3429439823         2.3782015982         0.1269907893
        0.1554234000         1.3352870017         2.3705459658        -0.0724711834
        0.1604296000         1.3301823480         2.3679940883        -0.2054458319
        0.1654144000         1.3608102703         2.3782015982         0.5924020589
        0.1704642000         1.3301823480         2.3679940883        -0.2054458319
        0.1754184000         1.3327346748         2.3679940883        -0.1389585076
        0.1804143000         1.3378393285         2.3730978433        -0.0059838592
        0.1854206000         1.3352870017         2.3679940883        -0.0724711834
        0.1904286000         1.3378393285         2.3705459658        -0.0059838592
        0.1958343000         1.3454963091         2.3807534756         0.1934781135
        0.2004771000         1.3378393285         2.3730978433        -0.0059838592
        0.2054147000         1.3378393285         2.3782015982        -0.0059838592
        0.2104529000         1.3301823480         2.3679940883        -0.2054458319
        0.2154134000         1.3378393285         2.3730978433        -0.0059838592
        0.2204186000         1.3352870017         2.3730978433        -0.0724711834
        0.2254191000         1.3352870017         2.3730978433        -0.0724711834
        0.2304030000         1.3429439823         2.3807534756         0.1269907893
        0.2354031000         1.3403916554         2.3730978433         0.0605034650
        0.2404618000         1.3378393285         2.3730978433        -0.0059838592
        0.2454231000         1.3557056165         2.3782015982         0.4594274104
        0.2504304000         1.3301823480         2.3679940883        -0.2054458319
        0.2554238000         1.3378393285         2.3730978433        -0.0059838592
        0.2604170000         1.3352870017         2.3730978433        -0.0724711834
        0.2654171000         1.3378393285         2.3730978433        -0.0059838592
        0.2703964000         1.3429439823         2.3730978433         0.1269907893
        0.2754117000         1.3454963091         2.3782015982         0.1934781135
        0.2803920000         1.3429439823         2.3807534756         0.1269907893
        0.2854028000         1.3327346748         2.3679940883        -0.1389585076
        0.2904115000         1.3378393285         2.3705459658        -0.0059838592
        0.2953905000         1.3454963091         2.3807534756         0.1934781135
        0.3004035000         1.3327346748         2.3679940883        -0.1389585076
        0.3054277000         1.3454963091         2.3807534756         0.1934781135
        0.3104286000         1.3454963091         2.3730978433         0.1934781135
        0.3154375000         1.3352870017         2.3679940883        -0.0724711834
        0.3203797000         1.3327346748         2.3654422109        -0.1389585076
        0.3254220000         1.3454963091         2.3756497207         0.1934781135
        0.3304302000         1.3301823480         2.3679940883        -0.2054458319
        0.3354067000         1.3327346748         2.3654422109        -0.1389585076
        0.3404457000         1.3378393285         2.3730978433        -0.0059838592
        0.3454255000         1.3378393285         2.3730978433        -0.0059838592
        0.3504366000         1.3352870017         2.3782015982        -0.0724711834
        0.3554247000         1.3301823480         2.3705459658        -0.2054458319
        0.3604415000         1.3378393285         2.3730978433        -0.0059838592
        0.3654137000         1.3327346748         2.3679940883        -0.1389585076
        0.3704272000         1.3429439823         2.3782015982         0.1269907893
        0.3754081000         1.3480486360         2.3730978433         0.2599654377
        0.3804122000         1.3378393285         2.3730978433        -0.0059838592
        0.3854217000         1.3352870017         2.3807534756        -0.0724711834
        0.3904524000         1.3429439823         2.3730978433         0.1269907893
        0.3954141000         1.3454963091         2.3705459658         0.1934781135
        0.4003908000         1.3378393285         2.3730978433        -0.0059838592
        0.4054045000         1.3327346748         2.3730978433        -0.1389585076
        0.4103989000         1.3327346748         2.3654422109        -0.1389585076
        0.4153973000         1.3429439823         2.3782015982         0.1269907893
        0.4204102000         1.3301823480         2.3654422109        -0.2054458319
        0.4254072000         1.3352870017         2.3756497207        -0.0724711834
        0.4304162000         1.3454963091         2.3782015982         0.1934781135
        0.4354425000         1.3327346748         2.3654422109        -0.1389585076
        0.4404137000         1.3301823480         2.3654422109        -0.2054458319
        0.4453787000         1.3454963091         2.3654422109         0.1934781135
        0.4504544000         1.3454963091         2.3730978433         0.1934781135
        0.4554232000         1.3454963091         2.3730978433         0.1934781135
        0.4604278000         1.3403916554         2.3807534756         0.0605034650
        0.4654152000         1.3454963091         2.3782015982         0.1934781135
        0.4704242000         1.3327346748         2.3679940883        -0.1389585076
        0.4753780000         1.3378393285         2.3730978433        -0.0059838592
        0.4804119000         1.3378393285         2.3730978433        -0.0059838592
        0.4853927000         1.3352870017         2.3705459658        -0.0724711834
        0.4904009000         1.3352870017         2.3730978433        -0.0724711834
        0.4953883000         1.3301823480         2.3654422109        -0.2054458319
