% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        0.0010355000         1.3965428462         3.0467934924         0.0299192959
        0.0054064000         1.3939905194         3.0467934924        -0.0365680283
        0.0104129000         1.4016475000         3.0493453699         0.1628939444
        0.0154567000         1.3939905194         3.0467934924        -0.0365680283
        0.0204232000         1.3965428462         3.0493453699         0.0299192959
        0.0254314000         1.3914381925         3.0416897375        -0.1030553526
        0.0304171000         1.3965428462         3.0493453699         0.0299192959
        0.0354510000         1.3888858657         3.0416897375        -0.1695426768
        0.0404311000         1.4041998268         3.0570010023         0.2293812686
        0.0454710000         1.3965428462         3.0467934924         0.0299192959
        0.0504260000         1.4016475000         3.0544491248         0.1628939444
        0.0554412000         1.3888858657         3.0416897375        -0.1695426768
        0.0604211000         1.3965428462         3.0467934924         0.0299192959
        0.0657672000         1.3965428462         3.0518972474         0.0299192959
        0.0705606000         1.3888858657         3.0416897375        -0.1695426768
        0.0753961000         1.3965428462         3.0493453699         0.0299192959
        0.0804149000         1.3965428462         3.0467934924         0.0299192959
        0.0856451000         1.3939905194         3.0467934924        -0.0365680283
        0.0908480000         1.4016475000         3.0493453699         0.1628939444
        0.0953898000         1.4041998268         3.0544491248         0.2293812686
        0.1003984000         1.3888858657         3.0416897375        -0.1695426768
        0.1054033000         1.3965428462         3.0493453699         0.0299192959
        0.1104118000         1.4016475000         3.0544491248         0.1628939444
        0.1153898000         1.3965428462         3.0467934924         0.0299192959
        0.1204015000         1.3888858657         3.0416897375        -0.1695426768
        0.1253833000         1.3888858657         3.0442416150        -0.1695426768
        0.1303951000         1.3965428462         3.0467934924         0.0299192959
        0.1353821000         1.4016475000         3.0570010023         0.1628939444
        0.1403917000         1.3888858657         3.0416897375        -0.1695426768
        0.1453959000         1.4016475000         3.0570010023         0.1628939444
        0.1503842000         1.3939905194         3.0493453699        -0.0365680283
        0.1554819000         1.4016475000         3.0467934924         0.1628939444
        0.1603984000         1.3965428462         3.0467934924         0.0299192959
        0.1653878000         1.3888858657         3.0416897375        -0.1695426768
        0.1704189000         1.4016475000         3.0544491248         0.1628939444
        0.1754294000         1.3914381925         3.0442416150        -0.1030553526
        0.1804073000         1.4016475000         3.0544491248         0.1628939444
        0.1853899000         1.3965428462         3.0467934924         0.0299192959
        0.1908355000         1.4016475000         3.0544491248         0.1628939444
        0.1953895000         1.3965428462         3.0467934924         0.0299192959
        0.2003899000         1.3888858657         3.0442416150        -0.1695426768
        0.2054012000         1.3965428462         3.0493453699         0.0299192959
        0.2103891000         1.3939905194         3.0467934924        -0.0365680283
        0.2153982000         1.4016475000         3.0544491248         0.1628939444
        0.2203942000         1.3965428462         3.0493453699         0.0299192959
        0.2254071000         1.3965428462         3.0467934924         0.0299192959
        0.2304957000         1.4016475000         3.0544491248         0.1628939444
