% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339026V  K_gimbal=26.049690  samples=3005

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0004512000        -7.1601417759         2.4244178794         1.3429439823         3.3708819297         5.8474951114        -5.8474951114         1.3993761929
        0.0054690000       -12.2235356109         2.3643399944         1.3454963091         3.3708819297         9.6569381807        -9.6569381807         1.3942737988
        0.0104849000        -5.2483246011         2.4471018610         1.3403916554         3.3657781748         2.0380520421        -2.0380520421         1.3917226017
        0.0154753000       -47.5520919926         2.2244806409         1.3659149240         3.3632262974        40.1324827351       -40.1324827351         1.3942737988
        0.0204382000        -3.0721692195         2.4729222529         1.3352870017         3.3606744199        -5.5808340965         5.5808340965         1.3942737988
        0.0254599000        10.3524546203         2.6322073163         1.3276300211         3.3555706650       -17.0091633045        17.0091633045         1.3968249959
        0.0304617000        -8.1384412887         2.4128102171         1.3403916554         3.3632262974         2.0380520421        -2.0380520421         1.4044785871
        0.0354739000       -16.8398503978         2.3095667655         1.3454963091         3.3683300523         9.6569381807        -9.6569381807         1.3993761929
        0.0404506000       -14.0649341733         2.3424915396         1.3429439823         3.3708819297         5.8474951114        -5.8474951114         1.3917226017
        0.0454512000       -19.1283280083         2.2824136545         1.3454963091         3.3683300523         9.6569381807        -9.6569381807         1.3968249959
        0.0504597000        -7.9528222133         2.4150126138         1.3378393285         3.3632262974        -1.7713910272         1.7713910272         1.3917226017
        0.0554842000         0.7092273300         2.5177890586         1.3327346748         3.3581225424        -9.3902771658         9.3902771658         1.3968249959
        0.0605158000        -6.3053432455         2.4345601851         1.3378393285         3.3632262974        -1.7713910272         1.7713910272         1.3968249959
        0.0654609000       -22.8450624140         2.2669998301         1.3480486360         3.3632262974        13.4663812500       -13.4663812500         1.3917226017
        0.0705190000       -41.6338996273         2.2344247625         1.3582579434         3.3606744199        28.7041535272       -28.7041535272         1.4044785871
        0.0755209000       -12.2683174617         2.3638086514         1.3378393285         3.3632262974        -1.7713910272         1.7713910272         1.3942737988
        0.0804397000        -3.6062679184         2.4665850962         1.3327346748         3.3606744199        -9.3902771658         9.3902771658         1.3968249959
        0.0854520000        -2.2202489233         2.4830304079         1.3327346748         3.3657781748        -9.3902771658         9.3902771658         1.4044785871
        0.0904381000       -13.4351142841         2.3499644418         1.3403916554         3.3632262974         2.0380520421        -2.0380520421         1.3968249959
        0.0954262000       -22.1365233932         2.2682592910         1.3454963091         3.3683300523         9.6569381807        -9.6569381807         1.3917226017
        0.1004373000        -2.5604280276         2.4789941346         1.3327346748         3.3581225424        -9.3902771658         9.3902771658         1.3993761929
        0.1054255000         3.0258857528         2.5452765389         1.3301823480         3.3581225424       -13.1997202352        13.1997202352         1.3968249959
        0.1104303000        -7.6267000968         2.4188820989         1.3378393285         3.3657781748        -1.7713910272         1.7713910272         1.4044785871
        0.1154346000       -74.5699566889         2.1808644413         1.3786765582         3.3708819297        59.1796980817       -59.1796980817         1.3968249959
        0.1204475000       -41.3020210423         2.2349867737         1.3531532897         3.3632262974        21.0852673886       -21.0852673886         1.3917226017
        0.1255495000       -19.2124694250         2.2814153047         1.3378393285         3.3632262974        -1.7713910272         1.7713910272         1.3942737988
        0.1304400000        -6.3501250964         2.4340288421         1.3301823480         3.3555706650       -13.1997202352        13.1997202352         1.3993761929
        0.1354414000        -8.6021213754         2.4073085872         1.3327346748         3.3555706650        -9.3902771658         9.3902771658         1.3968249959
        0.1404356000        -7.2161023803         2.4237538989         1.3327346748         3.3632262974        -9.3902771658         9.3902771658         1.3968249959
        0.1454460000       -26.8315573117         2.2599565965         1.3454963091         3.3683300523         9.6569381807        -9.6569381807         1.3968249959
        0.1504281000       -19.8563463020         2.2737756144         1.3403916554         3.3632262974         2.0380520421        -2.0380520421         1.3993761929
        0.1554374000        -7.5562814845         2.4197176257         1.3327346748         3.3657781748        -9.3902771658         9.3902771658         1.3917226017
        0.1604262000        -6.1702624895         2.4361629374         1.3327346748         3.3555706650        -9.3902771658         9.3902771658         1.3968249959
        0.1654344000       -25.7857174209         2.2617973388         1.3454963091         3.3683300523         9.6569381807        -9.6569381807         1.3917226017
