% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338988V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004956000       593.0780642462         3.4252559048         1.3378393285         2.0745281806        -1.7142493812        -4.0537443863       504.0537443863         1.3968249959
        0.0054652000       664.8610254988         3.5299873488         1.3403916554         2.0770800580         2.0951936881        -1.6810564487       501.6810564487         1.3840690105
        0.0104583000       690.3010490768         3.5691057610         1.4144091342         2.0821838129       112.5690426980        42.4045773361       457.5954226639         1.4070297842
        0.0154639000       719.8868137361         3.6160035274         1.4271707685         2.0872875679       131.6162580446        76.8286479882       423.1713520118         1.4019273900
        0.0204423000       726.6222839843         3.6268972574         1.4782173056         2.1025988326       207.8051194307       127.3684794419       372.6315205581         1.3968249959
        0.0254300000       740.9176151564         3.6502905172         1.4884266131         2.1128063424       223.0428917079       164.2863213802       335.7136786198         1.3993761929
        0.0304733000       734.6763334288         3.6400312888         1.5369208233         2.1383251170       295.4223100248       214.8877056641       285.1122943359         1.4044785871
        0.0354301000       736.0120156051         3.6422208462         1.5471301308         2.1536363818       310.6600823020       251.8433490700       248.1566509300         1.3866202076
        0.0404552000       726.5461833711         3.6267737182         1.5803103799         2.1766032789       360.1828422030       293.6482600011       206.3517399989         1.3866202076
        0.0454474000       723.8339055497         3.6223775206         1.5879673605         2.2072258084       371.6111714109       323.7317731611       176.2682268389         1.3917226017
        0.0504345000       719.7559940401         3.6157927509         1.6032813216         2.2276408281       394.4678298268       351.0266631685       148.9733368315         1.3993761929
        0.0554406000       721.6414352475         3.6188335374         1.6058336485         2.2557114802       398.2772728961       369.2592344495       130.7407655505         1.3942737988
        0.0604281000       720.4891230803         3.6169743632         1.6185952828         2.2863340097       417.3244882426       387.8061520655       112.1938479345         1.4095809812
        0.0654342000       718.0071671934         3.6129779856         1.6288045902         2.3093009068       432.5622605198       405.0761712750        94.9238287250         1.4044785871
        0.0704513000       707.3577070948         3.5959550655         1.6492232050         2.3373715588       463.0378050743       427.4418005421        72.5581994579         1.4044785871
        0.0754266000       693.1981332819         3.5736304757         1.6645371662         2.3756497207       485.8944634901       449.9969030035        50.0030969965         1.3840690105
        0.0804416000       691.7887508823         3.5714274691         1.6543278587         2.4062722502       470.6566912129       457.9688860816        42.0311139184         1.3891714046
        0.0854231000       697.4567496542         3.5803080224         1.6466708782         2.4368947797       459.2283620050       458.4548794832        41.5451205168         1.3993761929
        0.0904434000       690.2936591433         3.5690942378         1.6670894930         2.4700691867       489.7039065594       470.5129273458        29.4870726542         1.3993761929
        0.0954160000       684.8602344872         3.5606472299         1.6696418199         2.5032435937       493.5133496287       479.3880898291        20.6119101709         1.3942737988
        0.1005686000       691.6174446366         3.5711599340         1.6543278587         2.5313142457       470.6566912129       476.0189090170        23.9810909830         1.3993761929
        0.1054138000       682.8516065488         3.5575373370         1.6772988005         2.5670405302       504.9416788367       487.1793250502        12.8206749498         1.4019273900
        0.1104609000       677.1867854754         3.5488036583         1.6772988005         2.6078705695       504.9416788367       494.0332764256         5.9667235744         1.4019273900
        0.1154361000       676.6679250679         3.5480064293         1.6721941467         2.6308374666       497.3227926980       495.3026005732         4.6973994268         1.3993761929
        0.1204507000       668.3979280370         3.5353607289         1.6849557810         2.6716675060       516.3700080446       503.4318715105        -3.4318715105         1.3993761929
        0.1254256000       660.7659526018         3.5237919008         1.6875081079         2.7073937904       520.1794511139       509.8942524335        -9.8942524335         1.3968249959
        0.1304996000       658.1711366343         3.5198805188         1.6824034542         2.7431200748       512.5605649753       510.9231012411       -10.9231012411         1.4095809812
        0.1354799000       654.2414292665         3.5139779822         1.6849557810         2.7762944818       516.3700080446       513.0248966915       -13.0248966915         1.3866202076
        0.1404356000       641.1711287061         3.4945264342         1.7002697422         2.8120207662       539.2266664604       523.1353616729       -23.1353616729         1.4044785871
        0.1454686000       635.7724047978         3.4865719044         1.6926127616         2.8451951732       527.7983372525       524.9346619386       -24.9346619386         1.3968249959
        0.1504671000       630.8736318519         3.4793939490         1.6926127616         2.8860252125       527.7983372525       526.0396670293       -26.0396670293         1.3917226017
        0.1554614000       624.6611281800         3.4703451842         1.6951650884         2.9217514970       531.6077803218       528.1882323725       -28.1882323725         1.3942737988
        0.1604431000       617.4248559205         3.4598807748         1.6977174153         2.9574777814       535.4172233911       530.9776798484       -30.9776798484         1.3993761929
        0.1654301000       615.8259530057         3.4575794571         1.6900604347         2.9855484334       523.9888941832       528.2809203030       -28.2809203030         1.4019273900
        0.1704589000       611.8569665563         3.4518837167         1.6926127616         3.0314822277       527.7983372525       528.0947062008       -28.0947062008         1.3993761929
        0.1754230000       606.2154730884         3.4438289133         1.6951650884         3.0646566347       531.6077803218       529.4502945138       -29.4502945138         1.3993761929
        0.1804654000       602.5714072615         3.4386514254         1.6926127616         3.0978310416       527.7983372525       528.8128545168       -28.8128545168         1.3942737988
        0.1854419000       597.1294574433         3.4309563202         1.6951650884         3.1335573261       531.6077803218       529.8913312658       -29.8913312658         1.3866202076
        0.1904783000       590.3664057725         3.4214539620         1.6977174153         3.1743873654       535.4172233911       532.0236047464       -32.0236047464         1.3942737988
        0.1954849000       577.7127611666         3.4038531791         1.7079267227         3.2152174047       550.6549956683       539.2128910860       -39.2128910860         1.4044785871
        0.2007097000       581.6436137798         3.4092962657         1.6849557810         3.2381843019       516.3700080446       530.3985181981       -30.3985181981         1.4070297842
        0.2055017000       584.7460833630         3.4136078737         1.6824034542         3.2790143412       512.5605649753       523.5153953026       -23.5153953026         1.3993761929
        0.2104393000       579.4529550478         3.4062601273         1.6926127616         3.3121887482       527.7983372525       525.1680521645       -25.1680521645         1.3942737988
        0.2154551000       572.9982657336         3.3973538588         1.6951650884         3.3479150326       531.6077803218       527.6529471391       -27.6529471391         1.3942737988
        0.2204429000       565.6132598954         3.3872356238         1.6977174153         3.3887450720       535.4172233911       530.6489448844       -30.6489448844         1.3993761929
        0.2254479000       563.9230151602         3.3849304509         1.6900604347         3.4168157240       523.9888941832       528.0790341500       -28.0790341500         1.3993761929
        0.2304611000       558.2771670791         3.3772590060         1.6951650884         3.4601976408       531.6077803218       529.4406698301       -29.4406698301         1.4044785871
        0.2354471000       556.2511927895         3.3745167504         1.6900604347         3.4908201703       523.9888941832       527.3369956413       -27.3369956413         1.3993761929
        0.2404858000       550.3991629644         3.3666268316         1.6951650884         3.5290983322       531.6077803218       528.9849613831       -28.9849613831         1.4019273900
        0.2454671000       549.8673320247         3.3659120726         1.6875081079         3.5546171068       520.1794511139       525.5871831412       -25.5871831412         1.3917226017
