% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaU[deg/s]        Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Error[rad/s]        
        0.9705779000        21.2311989147         2.7481577390         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        0.9755370000        32.9071334746         2.7621254933         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        0.9806732000        29.4687274270         2.7580262916         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        0.9855252000        29.6683366535         2.7582645788         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        0.9906923000        38.2685354506         2.7684945172         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        0.9956297000        22.7915245582         2.7500323016         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
        1.0006654000        21.8665747623         2.7489213774         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.0055931000        16.7413301811         2.7080122298         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        1.0106964000        19.4543956593         2.7402031360         1.3429439823         1.0461215646         0.1093716484        -0.1093716484
        1.0157126000        26.9300354340         2.7549922337         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.0207301000        39.7305290163         2.7702265686         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        1.0256447000        20.6155028499         2.7474173545         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.0306428000        28.0911426246         2.7563806993         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.0357311000        28.2907518511         2.7566192590         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.0407151000        32.6906558628         2.7618677527         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        1.0456633000        25.0519550299         2.7527435393         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        1.0506005000        37.2901691011         2.7673343111         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.0556403000        38.6143373499         2.7689043754         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.0605959000        35.7382108135         2.7654920524         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        1.0655256000        23.8992151953         2.7513615547         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.0707263000        39.7754445406         2.7702797494         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.0757815000        24.2984336482         2.7518403184         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.0806810000        19.1731890670         2.7368665799         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        1.0858725000        26.0865493305         2.7539827365         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        1.0905934000        38.3247634017         2.7685611685         1.3327346748         1.0461215646        -0.1565776486         0.1565776486
        1.0957844000        39.6489316505         2.7701299511         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.1005863000        24.1719207582         2.7516886151         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.1054905000        44.2484448888         2.7755665681         1.3301823480         1.0410178097        -0.2230649728         0.2230649728
        1.1105937000        33.5340082929         2.7628716016         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.1155965000        33.7336175194         2.7631090976         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.1206356000        38.1335215312         2.7683344630         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        1.1256462000        26.2945259130         2.7542317125         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.1307315000       -20.8336665213         2.2705812435         1.3710195777         1.0435696871         0.8407322148        -0.8407322148
        1.1356726000        39.2610256245         2.7696705562         1.3301823480         1.0384659322        -0.2230649728         0.2230649728
        1.1405434000        15.9457046727         2.6985720204         1.3454963091         1.0486734420         0.1758589726        -0.1758589726
        1.1457704000        18.6587701509         2.7307629266         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        1.1506141000        13.5335255697         2.6699511737         1.3454963091         1.0435696871         0.1758589726        -0.1758589726
        1.1556451000        28.8474754038         2.7572844086         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        1.1606390000        25.4090693562         2.7531713993         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.1656456000        25.6086785827         2.7534104957         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.1706411000        34.2088773797         2.7636744096         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.1756343000        35.5330456286         2.7652483392         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.1806356000        15.8557399510         2.6975045763         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        1.1856588000        14.3685106438         2.6798583899         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        1.1905447000        25.4821656926         2.7532589604         1.3378393285         1.0435696871        -0.0236030001         0.0236030001
        1.1955585000        34.0823644897         2.7635239463         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.2005880000        31.2062379533         2.7600991626         1.3352870017         1.0435696871        -0.0900903243         0.0900903243
        1.2055689000        23.5675371203         2.7509636653         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        1.2106202000        23.2048668356         2.7505284683         1.3403916554         1.0435696871         0.0428843241        -0.0428843241
        1.2155726000        39.6433756921         2.7701233722         1.3301823480         1.0410178097        -0.2230649728         0.2230649728
        1.2204467000        28.9289390963         2.7573817122         1.3378393285         1.0410178097        -0.0236030001         0.0236030001
        1.2255759000        16.5276639668         2.7054770499         1.3454963091         1.0461215646         0.1758589726        -0.1758589726
        1.2306959000        15.0404346597         2.6878308635         1.3454963091         1.0512253195         0.1758589726        -0.1758589726
        1.2356957000        21.9537949232         2.7490261720         1.3403916554         1.0461215646         0.0428843241        -0.0428843241
        1.2406343000       -24.6121179998         2.2638688761         1.3684672508         1.0461215646         0.7742448906        -0.7742448906
        1.2456171000        19.2436745159         2.7377028998         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.2506935000        -5.7584849694         2.4410487360         1.3531532897         1.0461215646         0.3753209453        -0.3753209453
        1.2556264000        16.2692159017         2.7024105270         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.2605484000        16.4688251282         2.7047789187         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.2656710000        20.8687291400         2.7477219109         1.3352870017         1.0384659322        -0.0900903243         0.0900903243
        1.2705376000        17.4303230923         2.7161872283         1.3378393285         1.0486734420        -0.0236030001         0.0236030001
        1.2756834000         9.2293427482         2.6188814348         1.3429439823         1.0486734420         0.1093716484        -0.1093716484
        1.2806690000        16.7049825229         2.7075809597         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.2856928000        21.1048865347         2.7480058784         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        1.2907229000        17.6664804870         2.7189892692         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.2957469000        26.2666792841         2.7541983789         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.3007186000        27.5908475330         2.7557826057         1.3327346748         1.0384659322        -0.1565776486         0.1565776486
        1.3055767000        20.5144262112         2.7472957706         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.3105733000        33.3149197936         2.7626108850         1.3301823480         1.0410178097        -0.2230649728         0.2230649728
        1.3155602000        26.8007779831         2.7548375828         1.3352870017         1.0461215646        -0.0900903243         0.0900903243
        1.3208650000        14.9617823648         2.6868976429         1.3429439823         1.0512253195         0.1093716484        -0.1093716484
        1.3255844000        22.4374221395         2.7496071058         1.3378393285         1.0461215646        -0.0236030001         0.0236030001
        1.3306086000        31.0376209366         2.7598981302         1.3327346748         1.0333621773        -0.1565776486         0.1565776486
        1.3356101000        15.5606100443         2.6940028181         1.3429439823         1.0435696871         0.1093716484        -0.1093716484
