% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.9587  Ki_stab=62.0664  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338388V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004203000      1126.5343948390         4.4389810623         1.3403916554         1.3140686978         2.9904128094         8.7879491807       497.0095871906         1.3891714046
        0.0054470000      1232.4571605556         4.7135016069         1.3557056165         1.3217243302        25.8470712253        11.4801125852       474.1529287747         1.3866202076
        0.0104501000       840.0815787809         3.8232296477         1.5267115159         1.3319318400       281.0797568688        79.3643802783       218.9202431312         1.3968249959
        0.0154445000       779.1788520329         3.7147674126         1.5675487456         1.3472431047       342.0308459777       190.3782141914       157.9691540223         1.4095809812
        0.0204559000       779.8864870135         3.7159859885         1.5828627068         1.3702100019       364.8875043936       268.3495777095       135.1124956064         1.4070297842
        0.0254402000       773.5009671131         3.7050245630         1.5981766679         1.3931768990       387.7441628094       319.9698044639       112.2558371906         1.4095809812
        0.0304684000       703.6544833435         3.5900825417         1.6313569170         1.4263513060       437.2669227104       364.2124778275        62.7330772896         1.3942737988
        0.0354274000       698.9649387431         3.5826804316         1.6390138976         1.4569738355       448.6952519183       401.8728880107        51.3047480817         1.4019273900
        0.0404657000       650.4660959964         3.5083310592         1.6594325125         1.4850444875       479.1707964728       431.5447357172        20.8292035272         1.4070297842
        0.0454510000       632.7724341141         3.4821716912         1.6670894930         1.5156670170       490.5991256807       457.0474680797         9.4008743193         1.3891714046
        0.0504584000       667.9000037792         3.5346030061         1.6568801856         1.5539451789       475.3613534035       469.4463007723        24.6386465965         1.3917226017
        0.0554441000       683.5987109417         3.5586932501         1.6543278587         1.5820158310       471.5519103342       471.3636980077        28.4480896658         1.3968249959
        0.0604367000       636.0592574551         3.4869933913         1.6721941467         1.6049827281       498.2180118193       477.8284092257         1.7819881807         1.4019273900
        0.0654363000       612.4546331718         3.4527398723         1.6798511273         1.6432608900       509.6463410272       490.3089974498        -9.6463410272         1.4019273900
        0.0705307000       617.5136080126         3.4600086313         1.6772988005         1.6713315420       505.8368979579       498.6437859014        -5.8368979579         1.3993761929
        0.0754547000       623.7547753336         3.4690300697         1.6747464736         1.7070578265       502.0274548886       501.1722418125        -2.0274548886         1.3993761929
        0.0804424000       574.8103261467         3.3998482242         1.6900604347         1.7453359884       524.8841133045       507.0451808415       -24.8841133045         1.3968249959
        0.0854408000       591.2456193491         3.4226855081         1.6824034542         1.7810622728       513.4557840966       512.8422075241       -13.4557840966         1.3942737988
        0.0904323000       538.7545927217         3.3510625264         1.6977174153         1.8193404347       536.3124425124       518.5996166498       -36.3124425124         1.3917226017
        0.0954439000       543.5907643424         3.3575049734         1.6926127616         1.8525148416       528.6935563738       525.2470248285       -28.6935563738         1.3866202076
        0.1004491000       526.6336885000         3.3350483740         1.6951650884         1.8805854937       532.5029994431       527.8055362368       -32.5029994431         1.3942737988
        0.1054624000       564.8622291655         3.3862108741         1.6798511273         1.9112080232       509.6463410272       524.5874119591        -9.6463410272         1.3942737988
        0.1104421000       561.8686598652         3.3821339930         1.6798511273         1.9443824302       509.6463410272       517.4438700896        -9.6463410272         1.3968249959
        0.1154327000       542.7700022825         3.3564094513         1.6849557810         1.9801087146       517.2652271659       515.5371085596       -17.2652271659         1.3993761929
        0.1204428000       497.1493273160         3.2968539081         1.6977174153         2.0132831215       536.3124425124       520.9167214500       -36.3124425124         1.4044785871
        0.1254530000       510.0380430779         3.3134209364         1.6900604347         2.0566650383       524.8841133045       525.5456134644       -24.8841133045         1.4044785871
        0.1304321000       518.4207921391         3.3243029355         1.6849557810         2.0872875679       517.2652271659       523.4079909138       -17.2652271659         1.4019273900
        0.1354412000       513.0628378784         3.3173376906         1.6849557810         2.1204619748       517.2652271659       520.4710468200       -17.2652271659         1.4019273900
        0.1404232000       459.3896187708         3.2494003609         1.7002697422         2.1612920142       540.1218855817       524.4023474301       -40.1218855817         1.3866202076
        0.1454632000       487.2012303348         3.2841989304         1.6875081079         2.1995701761       521.0746702352       527.3647113058       -21.0746702352         1.4070297842
        0.1504463000       456.5034511705         3.2458359912         1.6951650884         2.2352964605       532.5029994431       527.0893764473       -32.5029994431         1.3993761929
        0.1554668000       462.5218152714         3.2532782694         1.6900604347         2.2684708674       524.8841133045       527.8563580461       -24.8841133045         1.3993761929
        0.1604384000       478.9571084738         3.2737962022         1.6824034542         2.2990933970       513.4557840966       523.7032602435       -13.4557840966         1.4044785871
        0.1654467000       458.6762584109         3.2485185787         1.6875081079         2.3424753138       521.0746702352       520.6251436174       -21.0746702352         1.3968249959
        0.1704329000       427.9784792466         3.2110502993         1.6951650884         2.3807534756       532.5029994431       523.5720934387       -32.5029994431         1.4044785871
        0.1754425000       458.1544757710         3.2478739358         1.6824034542         2.4113760052       513.4557840966       523.2887142079       -13.4557840966         1.4019273900
        0.1804323000       478.1363464139         3.2727646515         1.6747464736         2.4394466572       502.0274548886       515.8554236122        -2.0274548886         1.4019273900
        0.1854808000       429.1918972270         3.2125142990         1.6900604347         2.4853804515       524.8841133045       514.7081212917       -24.8841133045         1.3968249959
        0.1904510000       461.7322787117         3.2522998031         1.6772988005         2.5160029810       505.8368979579       515.0200356695        -5.8368979579         1.4044785871
        0.1954942000       467.9734460327         3.2600522155         1.6747464736         2.5440736330       502.0274548886       509.7187699752        -2.0274548886         1.4019273900
        0.2004426000       467.3442616927         3.2592688240         1.6747464736         2.5823517949       502.0274548886       506.0414411142        -2.0274548886         1.3942737988
        0.2054594000       458.6625332116         3.2485016182         1.6772988005         2.6155262019       505.8368979579       505.0329711924        -5.8368979579         1.3942737988
        0.2104638000       489.0613329560         3.2865565917         1.6670894930         2.6538043638       490.5991256807       501.7746406589         9.4008743193         1.3968249959
        0.2154511000       443.6634612097         3.2300803949         1.6824034542         2.6895306482       513.4557840966       501.8955147946       -13.4557840966         1.3968249959
        0.2204318000       439.4876994292         3.2249913193         1.6824034542         2.7201531777       513.4557840966       507.4226465616       -13.4557840966         1.3993761929
        0.2254725000       467.5221142133         3.2594902240         1.6721941467         2.7533275847       498.2180118193       506.6644772446         1.7819881807         1.3891714046
        0.2304276000       476.1276664946         3.2702432090         1.6696418199         2.7839501142       494.4085687500       501.7154252131         5.5914312500         1.3942737988
        0.2354911000       493.9679553973         3.2927945520         1.6645371662         2.8120207662       486.7896826114       496.4005618071        13.2103173886         1.4044785871
        0.2404445000       465.8573644134         3.2574191632         1.6747464736         2.8502989281       502.0274548886       495.4481611477        -2.0274548886         1.3891714046
        0.2454403000       473.2807242146         3.2666770314         1.6721941467         2.8885770900       498.2180118193       497.6831416541         1.7819881807         1.3840690105
        0.2504393000       489.9388206371         3.2876701579         1.6670894930         2.9140958646       490.5991256807       496.1175210402         9.4008743193         1.3891714046
        0.2554456000       476.7511254554         3.2710253494         1.6721941467         2.9523740265       498.2180118193       495.3004462606         1.7819881807         1.3968249959
        0.2604323000       509.5143101602         3.3127438852         1.6619848393         2.9881003109       482.9802395421       493.0526769704        17.0197604579         1.4044785871
        0.2654164000       547.0062647857         3.3620733731         1.6517755319         3.0187228404       467.7424672649       484.5941995826        32.2575327351         1.4070297842
        0.2704284000       508.7015479204         3.3116938466         1.6670894930         3.0544491248       490.5991256807       482.0011922027         9.4008743193         1.4070297842
        0.2754398000       495.5138527387         3.2947656205         1.6721941467         3.0901754092       498.2180118193       487.9333381821         1.7819881807         1.3993761929
        0.2804578000       463.8566843143         3.2549340372         1.6824034542         3.1156941838       513.4557840966       496.4932887676       -13.4557840966         1.3968249959
        0.2854354000       483.8385549572         3.2799466503         1.6747464736         3.1488685908       502.0274548886       501.8712781944        -2.0274548886         1.3866202076
        0.2904398000       523.4720913230         3.3309019096         1.6619848393         3.1820429978       482.9802395421       497.3925741100        17.0197604579         1.3942737988
        0.2954279000       504.5962369604         3.3064021112         1.6696418199         3.2075617724       494.4085687500       493.2338533858         5.5914312500         1.3968249959
        0.3004326000       498.2788934397         3.2982980281         1.6721941467         3.2483918117       498.2180118193       494.7061766565         1.7819881807         1.4019273900
        0.3054177000       482.7268132976         3.2785435739         1.6772988005         3.2841180961       505.8368979579       498.2065855514        -5.8368979579         1.4044785871
        0.3104548000       513.1256130420         3.3174190945         1.6670894930         3.3147406256       490.5991256807       498.2120486152         9.4008743193         1.3917226017
        0.3154337000       467.7277412957         3.2597462410         1.6824034542         3.3555706650       513.4557840966       500.0362494765       -13.4557840966         1.3993761929
        0.3204874000       463.5519795151         3.2545559186         1.6824034542         3.3887450720       513.4557840966       506.4523228534       -13.4557840966         1.3993761929
        0.3254281000       475.4813060169         3.2694327849         1.6772988005         3.4193676015       505.8368979579       507.9794290870        -5.8368979579         1.4070297842
        0.3304365000       497.8275616202         3.2977208345         1.6696418199         3.4525420084       494.4085687500       504.2230293496         5.5914312500         1.4095809812
        0.3354540000       491.5102180995         3.2896665101         1.6721941467         3.4857164154       498.2180118193       500.4412688289         1.7819881807         1.4070297842
        0.3404579000       475.9581379573         3.2700306057         1.6772988005         3.5239945773       505.8368979579       501.1996473001        -5.8368979579         1.4019273900
        0.3454251000       474.1467611372         3.2677609306         1.6772988005         3.5520652293       505.8368979579       503.4167838350        -5.8368979579         1.4019273900
        0.3504385000       456.2302960347         3.2454990897         1.6824034542         3.5903433912       513.4557840966       506.3952251284       -13.4557840966         1.3993761929
        0.3554412000       492.3172549600         3.2906928893         1.6696418199         3.6184140433       494.4085687500       505.2176059583         5.5914312500         1.3968249959
        0.3604502000       477.9473672980         3.2725272432         1.6747464736         3.6515884502       502.0274548886       501.8709988758        -2.0274548886         1.4019273900
        0.3654303000       477.3181829581         3.2717371010         1.6747464736         3.6873147347       502.0274548886       501.9458027559        -2.0274548886         1.4044785871
        0.3704429000       428.3737337712         3.2115270294         1.6900604347         3.7281447740       524.8841133045       507.4488911221       -24.8841133045         1.3993761929
        0.3754213000       501.1768359616         3.3020097772         1.6645371662         3.7587673035       486.7896826114       506.6781739015        13.2103173886         1.4070297842
        0.3804436000       489.1713332601         3.2866961385         1.6696418199         3.7919417105       494.4085687500       498.9905486496         5.5914312500         1.4019273900
        0.3854295000       490.9065338805         3.2888992382         1.6696418199         3.8251161174       494.4085687500       496.7998378627         5.5914312500         1.3917226017
        0.3904851000       508.7468227831         3.3117523181         1.6645371662         3.8480830146       486.7896826114       493.8351877854        13.2103173886         1.4019273900
        0.3954472000       545.0565849285         3.3594636968         1.6543278587         3.8787055441       471.5519103342       486.8239304392        28.4480896658         1.3917226017
        0.4004564000       513.6222197242         3.3180632388         1.6670894930         3.9169837060       490.5991256807       484.0755314070         9.4008743193         1.3993761929
        0.4054407000       516.5396128247         3.3218534337         1.6670894930         3.9450543580       490.5991256807       487.1945560771         9.4008743193         1.3968249959
        0.4104576000       527.5095500664         3.3361992958         1.6645371662         3.9756768875       486.7896826114       487.9116551075        13.2103173886         1.3968249959
        0.4154342000       451.0836942357         3.2391655282         1.6900604347         4.0190588043       524.8841133045       496.4819726842       -24.8841133045         1.3942737988
        0.4204584000       435.3088108735         3.2199151218         1.6926127616         4.0598888437       528.6935563738       510.9721213304       -28.6935563738         1.3993761929
        0.4254213000       498.8771764426         3.2990635185         1.6696418199         4.0828557408       494.4085687500       511.2489214973         5.5914312500         1.3968249959
        0.4304287000       516.7174653453         3.3220848312         1.6645371662         4.1134782703       486.7896826114       501.3759557852        13.2103173886         1.3942737988
        0.4354542000       496.6594185026         3.2962280335         1.6721941467         4.1492045547       498.2180118193       497.1340725007         1.7819881807         1.3968249959
        0.4404311000       505.2649707839         3.3072627387         1.6696418199         4.1874827166       494.4085687500       496.7416446652         5.5914312500         1.3840690105
        0.4454688000       450.6323624162         3.2386113744         1.6875081079         4.2308646334       521.0746702352       502.0008915492       -21.0746702352         1.3840690105
        0.4504234000       524.6176570869         3.3324028829         1.6619848393         4.2512796531       482.9802395421       502.0135918656        17.0197604579         1.3968249959
        0.4554411000       546.0045234301         3.3607318999         1.6568801856         4.2819021826       475.3613534035       491.0921213734        24.6386465965         1.3968249959
        0.4604429000       537.5455981691         3.3494567353         1.6619848393         4.3176284670       482.9802395421       485.3923637084        17.0197604579         1.3968249959
        0.4654334000       454.2493906773         3.2430581662         1.6900604347         4.3584585064       524.8841133045       494.2565160162       -24.8841133045         1.4019273900
        0.4704368000       527.0524928678         3.3355985813         1.6645371662         4.3916329133       486.7896826114       499.7932639269        13.2103173886         1.4070297842
        0.4754582000       498.9419018839         3.2991463583         1.6747464736         4.4248073203       502.0274548886       497.2187633689        -2.0274548886         1.4070297842
        0.4804380000       498.3127175439         3.2983412942         1.6747464736         4.4554298498       502.0274548886       499.5178682567        -2.0274548886         1.3942737988
        0.4854416000       537.9462539097         3.3499886779         1.6619848393         4.4860523793       482.9802395421       496.1643634637        17.0197604579         1.3993761929
        0.4904238000       535.1754878295         3.3463142285         1.6645371662         4.5243305412       486.7896826114       490.7715182265        13.2103173886         1.3917226017
        0.4954364000       499.0123527044         3.2992365314         1.6772988005         4.5626087031       505.8368979579       493.4211195107        -5.8368979579         1.3917226017
