% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.7520  Ki_stab=53.8007  (Tustin integrator)
% LPF=ON  fc=20.0 Hz
% Vg_offset=1.338209V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004255000      1011.6180901775         4.1701618494         1.3378393285         0.0483374781        -0.5523692451        -0.5523692451       500.5523692451         1.3917226017
        0.0054421000      1146.2684294378         4.4881747079         1.3378393285         0.0432337232        -0.5523692451        -0.5523692451       500.5523692451         1.4019273900
        0.0105184000      1181.2753625200         4.5776400357         1.4858742862         0.0534412330       220.3953287748        52.2667740067       447.7332259933         1.3968249959
        0.0155242000      1119.1474913761         4.4207964059         1.5318161696         0.0764081302       288.9653040223       149.0436129375       350.9563870625         1.4019273900
        0.0205005000      1010.0421565757         4.1666827788         1.6466708782         0.1044787822       460.3902421411       256.9225646891       243.0774353109         1.3942737988
        0.0254503000       879.8844415083         3.8981524132         1.6645371662         0.1402050666       487.0563436263       360.5781250071       139.4218749929         1.3968249959
        0.0305118000       779.2587899250         3.7149050208         1.7002697422         0.1682757187       540.3885465966       433.7986369588        66.2013630412         1.3942737988
        0.0354427000       692.3370057889         3.5722840389         1.7130313764         0.2116576355       559.4357619431       489.3141871029        10.6858128971         1.3942737988
        0.0405053000       625.0924498172         3.4709714780         1.7232406839         0.2524876748       574.6735342203       526.4830246305       -26.4830246305         1.3993761929
        0.0454410000       574.5023311722         3.3994239322         1.7232406839         0.2984214691       574.6735342203       549.5236034844       -49.5236034844         1.3993761929
        0.0504321000       536.7779931185         3.3484381813         1.7257930107         0.3392515084       578.4829772896       562.4588235995       -62.4588235995         1.3993761929
        0.0554393000       507.2411351112         3.3098090734         1.7232406839         0.3647702830       574.6735342203       569.2095280996       -69.2095280996         1.4019273900
        0.0604648000       492.2851432239         3.2906520358         1.7104790496         0.4081521998       555.6263188738       567.2685739474       -67.2685739474         1.4019273900
        0.0655082000       476.1006045279         3.2702092689         1.7232406839         0.4489822392       574.6735342203       566.2556180167       -66.2556180167         1.3942737988
        0.0704404000       445.5309869080         3.2323618475         1.7308976644         0.4949160334       586.1018634283       573.0123700201       -73.0123700201         1.3891714046
        0.0754275000       414.0841553821         3.1943808411         1.7308976644         0.5331941953       586.1018634283       579.2706459254       -79.2706459254         1.3942737988
        0.0805060000       402.0604715390         3.1800900897         1.7079267227         0.5663686023       551.8168758045       574.3406757527       -74.3406757527         1.3917226017
        0.0855016000       393.7882716322         3.1703269142         1.7206883570         0.6148542740       570.8640911510       568.1250960094       -68.1250960094         1.3917226017
        0.0905114000       390.1718056792         3.1660755570         1.6951650884         0.6429249261       532.7696604579       560.3279003210       -60.3279003210         1.4044785871
        0.0954219000       395.3639429546         3.1721823908         1.7002697422         0.6812030879       540.3885465966       548.9732574698       -48.9732574698         1.4095809812
