% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338069V  K_gimbal=26.049690  samples=6753

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        0.3157040000         6.1385132862         2.5822083055         1.3403916554         3.9705731326         0.0605034650        -0.0605034650         1.4657073169
        0.3204796000        14.0274285016         2.6758114019         1.3352870017         3.9629175002        -0.0724711834         0.0724711834         1.4682585140
        0.3260131000        -2.1608659724         2.4837349950         1.3454963091         3.9756768875         0.1934781135        -0.1934781135         1.4682585140
        0.3305212000        17.2043745765         2.7135063171         1.3327346748         3.9629175002        -0.1389585076         0.1389585076         1.4657073169
        0.3354917000         1.5783596137         2.5281014362         1.3429439823         3.9756768875         0.1269907893        -0.1269907893         1.4682585140
        0.3407573000         4.7047005327         2.5651959141         1.3403916554         3.9705731326         0.0605034650        -0.0605034650         1.4631561198
        0.3455024000        12.5936157481         2.6587990105         1.3352870017         3.9705731326        -0.0724711834         0.0724711834         1.4606049228
        0.3506211000         0.6056160594         2.5165596962         1.3429439823         3.9731250101         0.1269907893        -0.1269907893         1.4682585140
        0.3555673000         7.9322517636         2.6034912666         1.3378393285         3.9705731326        -0.0059838592         0.0059838592         1.4733609081
        0.3608463000         7.9828569196         2.6040917039         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4733609081
        0.3656846000         3.8331672903         2.5548550487         1.3403916554         3.9705731326         0.0605034650        -0.0605034650         1.4631561198
        0.3709229000        20.1226720763         2.7468244339         1.3301823480         3.9654693777        -0.2054458319         0.2054458319         1.4682585140
        0.3760232000        13.4595261953         2.6690731606         1.3352870017         3.9705731326        -0.0724711834         0.0724711834         1.4529513315
        0.3807693000         1.4715265066         2.5268338463         1.3429439823         3.9705731326         0.1269907893        -0.1269907893         1.4631561198
        0.3856071000        17.1987517814         2.7134396019         1.3327346748         3.9654693777        -0.1389585076         0.1389585076         1.4759121052
        0.3907658000         1.5727368186         2.5280347210         1.3429439823         3.9680212551         0.1269907893        -0.1269907893         1.4733609081
        0.3957090000        -3.7015118331         2.4654550136         1.3454963091         3.9756768875         0.1934781135        -0.1934781135         1.4657073169
        0.4004995000         7.2631391453         2.5955521506         1.3378393285         3.9705731326        -0.0059838592         0.0059838592         1.4606049228
        0.4055139000        15.7143338719         2.6958267731         1.3327346748         3.9629175002        -0.1389585076         0.1389585076         1.4682585140
        0.4104913000         4.2886136944         2.5602589848         1.3403916554         3.9680212551         0.0605034650        -0.0605034650         1.4682585140
        0.4154629000        -4.6236502314         2.4545137109         1.3454963091         3.9756768875         0.1934781135        -0.1934781135         1.4708097111
        0.4205047000        18.9418851028         2.7341221256         1.3301823480         3.9654693777        -0.2054458319         0.2054458319         1.4759121052
        0.4254636000         8.0784444365         2.6052258634         1.3378393285         3.9705731326        -0.0059838592         0.0059838592         1.4657073169
        0.4306056000        12.3293443778         2.6556633933         1.3352870017         3.9654693777        -0.0724711834         0.0724711834         1.4682585140
        0.4357532000         4.5416394744         2.5632611715         1.3403916554         3.9680212551         0.0605034650        -0.0605034650         1.4733609081
        0.4406118000         8.2302599045         2.6070271754         1.3378393285         3.9680212551        -0.0059838592         0.0059838592         1.4606049228
