% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=ON  fc=20.0 Hz
% Vg_offset=1.338873V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.1154465000       546.5148200157         3.3614150933         1.6875081079         3.1871467527       520.3508760520       530.2296379550       -30.2296379550         1.3993761929
        0.1204312000       548.7058164751         3.3643523535         1.6849557810         3.2279767920       516.5414329827       524.5957842849       -24.5957842849         1.4070297842
        0.1254650000       540.2796756031         3.3530908534         1.7028220690         3.2560474441       543.2075344678       527.1196067499       -27.1196067499         1.3968249959
        0.1304522000       531.7860238372         3.3418327149         1.6875081079         3.2968774834       520.3508760520       529.3474281158       -29.3474281158         1.4095809812
        0.1354448000       529.6193911486         3.3389757003         1.6926127616         3.3326037679       527.9697621906       526.8673963662       -26.8673963662         1.3917226017
        0.1404539000       521.0017745748         3.3276707553         1.6977174153         3.3708819297       535.5886483292       529.2158031603       -29.2158031603         1.3866202076
        0.1454769000       510.9224242356         3.3145649625         1.6977174153         3.4117119691       535.5886483292       532.2627525055       -32.2627525055         1.4044785871
        0.1504372000       501.0326869250         3.3018249155         1.7002697422         3.4423344986       539.3980913985       534.7635862324       -34.7635862324         1.4044785871
        0.1554872000       491.0641394454         3.2890995120         1.7002697422         3.4831645379       539.3980913985       536.9794101081       -36.9794101081         1.3968249959
        0.1604585000       484.8007067120         3.2811620486         1.6951650884         3.5112351900       531.7792052599       536.3144668090       -36.3144668090         1.3917226017
        0.1654853000       483.4424601774         3.2794466001         1.6900604347         3.5495133519       524.1603191213       532.3247429731       -32.3247429731         1.3942737988
        0.1704528000       484.0472216296         3.2802101521         1.6875081079         3.5775840039       520.3508760520       527.5105390927       -27.5105390927         1.3993761929
        0.1754533000       486.2097479980         3.2829438304         1.6824034542         3.6107584109       512.7319899134       522.2660509884       -22.2660509884         1.4019273900
        0.1804999000       487.1025413760         3.2840739522         1.6849557810         3.6490365728       516.5414329827       518.6183535314       -18.6183535314         1.3993761929
        0.1854548000       488.8184496210         3.2862485175         1.6772988005         3.6898666121       505.1131037748       514.8933231604       -14.8933231604         1.3968249959
        0.1904454000       486.0874477565         3.2827890893         1.6900604347         3.7255928965       524.1603191213       514.7706333934       -14.7706333934         1.3866202076
        0.1954903000       481.9881385141         3.2776120870         1.6798511273         3.7587673035       508.9225468441       515.6172782602       -15.6172782602         1.4070297842
        0.2004704000       479.6129703529         3.2746210344         1.6875081079         3.7944935879       520.3508760520       515.1484551008       -15.1484551008         1.3942737988
        0.2054551000       474.3913618780         3.2680672104         1.6849557810         3.8302198724       516.5414329827       516.7251328345       -16.7251328345         1.4044785871
        0.2104305000       463.4046932838         3.2543731808         1.7002697422         3.8684980342       539.3980913985       522.1013525833       -22.1013525833         1.3993761929
        0.2154801000       461.6005277697         3.2521365881         1.6721941467         3.9016724412       497.4942176362       520.3537495805       -20.3537495805         1.3968249959
        0.2204500000       469.4014214024         3.2618317316         1.6798511273         3.9297430933       508.9225468441       512.1563017521       -12.1563017521         1.3942737988
        0.2255338000       471.8651550792         3.2649070981         1.6747464736         3.9603656228       501.3036607055       508.7888470445        -8.7888470445         1.4070297842
        0.2304468000       467.4417245087         3.2593901466         1.6900604347         4.0011956621       524.1603191213       510.6741206176       -10.6741206176         1.3968249959
        0.2354862000       463.9449313462         3.2550435641         1.6747464736         4.0445775789       501.3036607055       511.6580176584       -11.6580176584         1.4019273900
        0.2404628000       472.7037701723         3.2659553863         1.6670894930         4.0675444760       489.8753314975       503.9754253566        -3.9754253566         1.4019273900
        0.2454692000       478.9945148859         3.2738432329         1.6721941467         4.1032707605       497.4942176362       499.0553165427         0.9446834573         1.3993761929
        0.2504583000       477.6349449017         3.2721348428         1.6772988005         4.1389970449       505.1131037748       500.1302823692        -0.1302823692         1.3840690105
        0.2554439000       479.4197425336         3.2743779760         1.6670894930         4.1645158195       489.8753314975       498.8699417365         1.1300582635         1.3968249959
        0.2604559000       477.9690583301         3.2725544910         1.6824034542         4.2130014912       512.7319899134       500.0335379361        -0.0335379361         1.3917226017
        0.2654364000       462.7022566491         3.2535019799         1.6951650884         4.2436240207       531.7792052599       510.6582257020       -10.6582257020         1.4019273900
        0.2704625000       457.8896472196         3.2475468567         1.6721941467         4.2819021826       497.4942176362       512.5603972153       -12.5603972153         1.3917226017
        0.2754619000       467.0920177779         3.2589548750         1.6696418199         4.3023172023       493.6847745669       504.4463642104        -4.4463642104         1.4044785871
        0.2805060000       467.0742167878         3.2589327220         1.6824034542         4.3482509965       512.7319899134       503.8544671450        -3.8544671450         1.3917226017
        0.2854705000       460.2254718938         3.2504342219         1.6824034542         4.3712178937       512.7319899134       508.0989390361        -8.0989390361         1.4019273900
        0.2904629000       473.7749940446         3.2672955417         1.6466708782         4.4043923006       459.3997869431       497.5646192241         2.4353807759         1.3993761929
        0.2955122000       483.4547595199         3.2794621248         1.6798511273         4.4426704625       508.9225468441       491.1562350223         8.8437649777         1.3942737988
        0.3004585000       483.4446991545         3.2794494262         1.6594325125         4.4732929920       478.4470022896       492.3651663089         7.6348336911         1.3917226017
        0.3054389000       497.1088818482         3.2968022271         1.6543278587         4.5090192765       470.8281161510       483.8893412452        16.1106587548         1.4044785871
        0.3104549000       501.3750673133         3.3022640357         1.6696418199         4.5498493158       493.6847745669       483.1086301312        16.8913698688         1.3942737988
        0.3154545000       497.4095005196         3.2971864011         1.6696418199         4.5779199678       493.6847745669       488.1652375818        11.8347624182         1.4044785871
        0.3204515000       498.5453319433         3.2986388790         1.6645371662         4.6110943748       486.0658884282       488.9828581890        11.0171418110         1.3993761929
        0.3254448000       502.6990423343         3.3039633981         1.6645371662         4.6493725367       486.0658884282       487.5882128043        12.4117871957         1.3968249959
        0.3304430000       500.9352508885         3.3016999740         1.6747464736         4.6748913113       501.3036607055       490.5030670613         9.4969329387         1.3917226017
        0.3354452000       499.2961459526         3.2995998296         1.6670894930         4.7182732281       489.8753314975       492.9349622702         7.0650377298         1.3917226017
        0.3404644000       506.7003725453         3.3091118254         1.6594325125         4.7437920027       478.4470022896       488.7400839437        11.2599160563         1.3917226017
        0.3454612000       509.4267524164         3.3126307279         1.6721941467         4.7948295519       497.4942176362       488.3721873167        11.6278126833         1.3942737988
        0.3504503000       509.3562987268         3.3125396820         1.6645371662         4.8203483265       486.0658884282       490.0015371495         9.9984628505         1.3917226017
        0.3554589000       517.9347146809         3.3236695926         1.6568801856         4.8560746109       474.6375592203       485.3878219857        14.6121780143         1.4070297842
        0.3604656000       517.7054088504         3.3233709155         1.6772988005         4.8892490178       505.1131037748       487.5333651154        12.4666348846         1.3917226017
        0.3654466000       510.6826442196         3.3142546925         1.6721941467         4.9275271797       497.4942176362       494.1171423795         5.8828576205         1.3968249959
        0.3704913000       512.1279097858         3.3161258867         1.6670894930         4.9632534642       489.8753314975       493.9104210818         6.0895789182         1.4044785871
        0.3754454000       509.5475579396         3.3127868562         1.6798511273         4.9989797486       508.9225468441       496.5345608740         3.4654391260         1.4019273900
        0.3804979000       503.0249914155         3.3043820806         1.6772988005         5.0066353810       505.1131037748       501.5467610546        -1.5467610546         1.4044785871
        0.3854738000       496.3499815307         3.2958328609         1.6849557810         5.0117391359       516.5414329827       505.9839056838        -5.9839056838         1.4019273900
        0.3904659000       495.7798992267         3.2951051164         1.6696418199         5.0066353810       493.6847745669       505.5675627104        -5.5675627104         1.3866202076
        0.3955341000       497.6211861344         3.2974569865         1.6798511273         4.9862203613       508.9225468441       503.5289295603        -3.5289295603         1.3917226017
        0.4004492000       491.9204388249         3.2901881306         1.6824034542         1.1175741334       512.7319899134       507.0183707901        -7.0183707901         1.4044785871
        0.4054669000       482.7027841738         3.2785132630         1.6900604347         0.0049555613       524.1603191213       512.4821592898       -12.4821592898         1.3917226017
        0.4104484000       482.7106738259         3.2785232151         1.6696418199         0.0024036839       493.6847745669       510.7802571530       -10.7802571530         1.4044785871
        0.4154705000       485.8060667102         3.2824331339         1.6824034542        -0.0052519485       512.7319899134       507.1600343646        -7.1600343646         1.3993761929
        0.4204631000       479.2740490208         3.2741947374         1.6849557810         0.0024036839       516.5414329827       510.7347416954       -10.7347416954         1.3942737988
        0.4254599000       475.8070519363         3.2698411571         1.6798511273         0.0330262134       508.9225468441       511.6896549231       -11.6896549231         1.3840690105
        0.4304538000       474.1174112938         3.2677241842         1.6824034542         0.0764081302       512.7319899134       511.2773354572       -11.2773354572         1.3993761929
        0.4354422000       477.4571248740         3.2719115498         1.6696418199         0.0968231498       493.6847745669       507.4194523501        -7.4194523501         1.3942737988
        0.4404436000       476.2846294317         3.2704400820         1.6875081079         0.1376531892       520.3508760520       507.2274286596        -7.2274286596         1.3917226017
        0.4454551000       475.0177517535         3.2688518474         1.6696418199         0.1682757187       493.6847745669       507.1272142697        -7.1272142697         1.3917226017
        0.4504498000       481.5496395585         3.2770594154         1.6721941467         0.2040020031       497.4942176362       501.6108645255        -1.6108645255         1.4044785871
        0.4554296000       473.5981336936         3.2670741952         1.6926127616         0.2397282875       527.9697621906       506.9280352428        -6.9280352428         1.4019273900
        0.4604702000       465.6440816030         3.2571540360         1.6772988005         0.2780064494       505.1131037748       511.5243395891       -11.5243395891         1.3917226017
        0.4654406000       476.9532232564         3.2712789755         1.6594325125         0.3086289789       478.4470022896       502.0843109362        -2.0843109362         1.4019273900
        0.4705505000       484.9304671095         3.2813260422         1.6747464736         0.3494590183       501.3036607055       496.2470214807         3.7529785193         1.4044785871
        0.4756857000       488.7306007038         3.2861371060         1.6619848393         0.3800815478       482.2564453589       494.1112993302         5.8887006698         1.3968249959
        0.4804888000       494.0970054366         3.2929589896         1.6696418199         0.4132559548       493.6847745669       491.1753470278         8.8246529722         1.3942737988
        0.4854701000       495.4043425812         3.2946259009         1.6670894930         0.4438784843       489.8753314975       491.4644657048         8.5355342952         1.4019273900
        0.4904769000       495.5457817566         3.2948063601         1.6721941467         0.4872604011       497.4942176362       492.5260274491         7.4739725509         1.4019273900
        0.4954606000       487.0529669482         3.2840111760         1.6849557810         0.5255385629       516.5414329827       499.4547653723         0.5452346277         1.3917226017
        0.5004481000       484.5817277540         3.2808853416         1.6670894930         0.5587129699       489.8753314975       501.2494238261        -1.2494238261         1.3968249959
        0.5054499000       490.8406096221         3.2888154748         1.6696418199         0.5867836220       493.6847745669       496.7219808435         3.2780191565         1.3917226017
        0.5104743000       497.4901995568         3.2972895479         1.6619848393         0.6148542740       482.2564453589       492.5378239925         7.4621760075         1.3993761929
        0.5154444000       498.1592088185         3.2981449442         1.6772988005         0.6505805584       505.1131037748       493.0861976323         6.9138023677         1.3993761929
        0.5204599000       500.4057548274         3.3010211999         1.6594325125         0.6863068429       478.4470022896       492.4617110289         7.5382889711         1.4044785871
        0.5254346000       506.2693683457         3.3085563474         1.6696418199         0.7245850047       493.6847745669       489.4037758416        10.5962241584         1.4019273900
        0.5304805000       509.3219617430         3.3124953113         1.6619848393         0.7577594117       482.2564453589       488.7185585297        11.2814414703         1.3942737988
        0.5354575000       513.3457652840         3.3177046151         1.6670894930         0.7883819412       489.8753314975       487.4502786305        12.5497213695         1.3993761929
        0.5404713000       511.5141773301         3.3153309751         1.6721941467         0.8215563482       497.4942176362       490.4310812088         9.5689187912         1.4095809812
        0.5454507000       511.1476940774         3.3148565200         1.6670894930         0.8547307552       489.8753314975       491.9867190101         8.0132809899         1.3993761929
        0.5504680000       510.2378241002         3.3136792886         1.6747464736         0.8930089170       501.3036607055       493.7092587876         6.2907412124         1.3917226017
        0.5554821000       514.0986167783         3.3186814513         1.6594325125         0.9159758142       478.4470022896       491.8762027606         8.1237972394         1.4019273900
        0.5604579000       518.3664413783         3.3242321038         1.6721941467         0.9517020986       497.4942176362       490.0088824191         9.9911175809         1.3968249959
        0.5654453000       515.1764343190         3.3200811373         1.6721941467         0.9899802605       497.4942176362       493.5877293287         6.4122706713         1.4019273900
        0.5704552000       511.1294714192         3.3148329329         1.6772988005         1.0154990351       505.1131037748       497.2768275937         2.7231724063         1.3993761929
        0.5754351000       511.5117575138         3.3153278418         1.6670894930         1.0563290744       489.8753314975       497.3807649137         2.6192350863         1.3993761929
        0.5804593000       508.0211190999         3.3108153841         1.6849557810         1.0920553588       516.5414329827       500.1670329503        -0.1670329503         1.3968249959
        0.5854358000       508.5159764371         3.3114542109         1.6619848393         1.1175741334       482.2564453589       499.7997962175         0.2002037825         1.3942737988
        0.5904391000       514.0623467688         3.3186343746         1.6747464736         1.1584041728       501.3036607055       495.9654411376         4.0345588624         1.3891714046
        0.5954508000       511.1840613168         3.3149035943         1.6747464736         1.1864748248       501.3036607055       498.5177210354         1.4822789646         1.3993761929
        0.6004371000       506.9442484816         3.3094262308         1.6798511273         1.2247529867       508.9225468441       501.6710688081        -1.6710688081         1.3891714046
        0.6054846000       502.9463449383         3.3042810475         1.6772988005         1.2553755162       505.1131037748       504.2274303371        -4.2274303371         1.3866202076
        0.6105414000       502.8209349944         3.3041199549         1.6747464736         1.2808942908       501.3036607055       503.7402087195        -3.7402087195         1.3993761929
        0.6155034000       505.0720564519         3.3070144129         1.6721941467         1.3166205752       497.4942176362       501.6645850290        -1.6645850290         1.3917226017
        0.6204609000       498.4549586409         3.2985232565         1.6900604347         1.3472431047       524.1603191213       506.0453963138        -6.0453963138         1.4019273900
        0.6254682000       483.5270590961         3.2795533874         1.6926127616         1.3957287765       527.9697621906       515.6170775020       -15.6170775020         1.3993761929
        0.6304486000       482.4597959609         3.2782067886         1.6721941467         1.4186956736       497.4942176362       514.2376754444       -14.2376754444         1.3891714046
        0.6354503000       492.4865714083         3.2909083183         1.6696418199         1.4518700806       493.6847745669       505.3217114862        -5.3217114862         1.4019273900
        0.6404505000       499.4390339264         3.2997827833         1.6696418199         1.4901482425       493.6847745669       499.7579238237         0.2420761763         1.3968249959
        0.6454896000       499.7328086058         3.3001590074         1.6772988005         1.5207707720       505.1131037748       499.5862880748         0.4137119252         1.3968249959
        0.6504507000       498.6342182965         3.2987526084         1.6721941467         1.5513933015       497.4942176362       500.4073887408        -0.4073887408         1.3866202076
        0.6554643000       505.7872322560         3.3079352329         1.6619848393         1.5794639535       482.2564453589       495.3718600138         4.6281399862         1.3917226017
        0.6604447000       513.0812232808         3.3173615315         1.6670894930         1.6126383605       489.8753314975       490.9225405533         9.0774594467         1.3968249959
        0.6654648000       510.3402915267         3.3138118158         1.6772988005         1.6509165224       505.1131037748       494.0645543091         5.9354456909         1.3968249959
        0.6704447000       505.2196908394         3.3072044489         1.6747464736         1.6917465617       501.3036607055       498.4363505458         1.5636494542         1.4019273900
        0.6754843000       506.1718981159         3.3084307585         1.6696418199         1.7121615814       493.6847745669       497.9859031905         2.0140968095         1.3993761929
        0.6805275000       506.9027044373         3.3093726671         1.6747464736         1.7504397433       501.3036607055       497.7508212235         2.2491787765         1.3993761929
        0.6856015000       508.8259685002         3.3118545389         1.6670894930         1.7785103953       489.8753314975       496.7174604575         3.2825395425         1.3942737988
        0.6904988000       498.4692884860         3.2985415893         1.6977174153         1.8218923121       535.5886483292       504.3742383558        -4.3742383558         1.3993761929
        0.6954635000       493.1840218593         3.2917960625         1.6645371662         1.8550667191       486.0658884282       507.4595252381        -7.4595252381         1.3942737988
        0.7004620000       495.9552338865         3.2953289016         1.6849557810         1.8882411261       516.5414329827       504.5163174699        -4.5163174699         1.3891714046
        0.7054428000       498.5878232705         3.2986932452         1.6619848393         1.9137599006       482.2564453589       502.0696249732        -2.0696249732         1.3968249959
        0.7104586000       511.7898635801         3.3156879899         1.6619848393         1.9469343076       482.2564453589       492.5966575542         7.4033424458         1.3968249959
        0.7154803000       519.0278088386         3.3250942670         1.6645371662         1.9750049597       486.0658884282       488.5635276000        11.4364724000         1.3917226017
        0.7204521000       517.7433977795         3.3234203927         1.6747464736         2.0107312441       501.3036607055       491.0120697626         8.9879302374         1.3968249959
        0.7254637000       517.6624782430         3.3233150044         1.6645371662         2.0388018961       486.0658884282       492.2899285427         7.7100714573         1.4019273900
        0.7304567000       518.2096435451         3.3240277801         1.6747464736         2.0796319355       501.3036607055       492.9568245785         7.0431754215         1.4019273900
        0.7354515000       511.2365750420         3.3149715718         1.6798511273         2.1102544650       508.9225468441       498.7689172867         1.2310827133         1.3866202076
        0.7404489000       513.6602470619         3.3181125761         1.6619848393         2.1383251170       482.2564453589       497.2487900843         2.7512099157         1.3942737988
        0.7454446000       525.8007856548         3.3339547976         1.6594325125         2.1714995240       478.4470022896       489.1700585897        10.8299414103         1.3968249959
        0.7504539000       530.0465075695         3.3395384420         1.6696418199         2.2123295633       493.6847745669       487.6859099889        12.3140900111         1.3968249959
        0.7554686000       524.4067245045         3.3321263860         1.6772988005         2.2404002154       505.1131037748       493.2860784615         6.7139215385         1.3993761929
        0.7604514000       520.2114961319         3.3266386779         1.6721941467         2.2837821322       497.4942176362       497.1194003641         2.8805996359         1.4044785871
        0.7654396000       513.9763861112         3.3185228082         1.6849557810         2.3220602941       516.5414329827       501.8519803352        -1.8519803352         1.4044785871
        0.7704588000       513.9914141296         3.3185423121         1.6645371662         2.3526828236       486.0658884282       501.5898207985        -1.5898207985         1.4044785871
        0.7754690000       511.2615797944         3.3150039409         1.6900604347         2.3858572306       524.1603191213       503.2743532911        -3.2743532911         1.4044785871
        0.7804596000       505.4357048124         3.3074825500         1.6721941467         2.4190316375       497.4942176362       506.8855111131        -6.8855111131         1.4044785871
        0.7854412000       511.8487922535         3.3157643147         1.6696418199         2.4471022896       493.6847745669       501.4847231401        -1.4847231401         1.3917226017
        0.7904773000       505.1432898963         3.3071061018         1.6926127616         2.4955879613       527.9697621906       505.9515289925        -5.9515289925         1.4044785871
        0.7954659000       495.4012681017         3.2946219785         1.6798511273         2.5287623683       508.9225468441       511.9253899685       -11.9253899685         1.3917226017
        0.8004635000       496.4435018187         3.2959522811         1.6772988005         2.5644886527       505.1131037748       509.5790124043        -9.5790124043         1.3993761929
        0.8055151000       496.3324592922         3.2958104871         1.6798511273         2.5925593047       508.9225468441       508.3544718522        -8.3544718522         1.4019273900
        0.8104493000       496.9275422572         3.2965705359         1.6747464736         2.6206299568       501.3036607055       506.8047269456        -6.8047269456         1.4019273900
        0.8154540000       503.3009231895         3.3047366137         1.6670894930         2.6665637511       489.8753314975       501.4425630501        -1.4425630501         1.4044785871
        0.8204338000       503.1147170861         3.3044973554         1.6824034542         2.6997381580       512.7319899134       501.3761518324        -1.3761518324         1.3942737988
        0.8254491000       497.6638541672         3.2975115329         1.6772988005         2.7354644424       505.1131037748       504.9841923119        -4.9841923119         1.4019273900
        0.8304570000       499.2184066498         3.2995003022         1.6721941467         2.7609832170       497.4942176362       503.2244769774        -3.2244769774         1.3942737988
        0.8354358000       497.2920278906         3.2970362651         1.6824034542         2.8018132564       512.7319899134       504.1274567346        -4.1274567346         1.3917226017
        0.8404487000       487.9614536619         3.2851620336         1.6875081079         2.8273320310       520.3508760520       510.0627581263       -10.0627581263         1.3866202076
        0.8454311000       486.7801749857         3.2836657888         1.6721941467         2.8630583154       497.4942176362       509.5176066394        -9.5176066394         1.3917226017
        0.8504688000       495.7949766067         3.2951243587         1.6670894930         2.8962327224       489.8753314975       501.9477008851        -1.9477008851         1.3917226017
        0.8554458000       497.1650562687         3.2968740069         1.6798511273         2.9370627617       508.9225468441       500.7291010870        -0.7291010870         1.3968249959
        0.8604697000       492.7041628761         3.2911852180         1.6772988005         2.9651334138       505.1131037748       503.7358309923        -3.7358309923         1.3917226017
        0.8654472000       485.7971067117         3.2824218007         1.6875081079         3.0008596982       520.3508760520       508.0370245420        -8.0370245420         1.3942737988
        0.8705140000       482.3121489347         3.2780205975         1.6747464736         3.0391378601       501.3036607055       509.3710804316        -9.3710804316         1.3993761929
        0.8754472000       484.7149124398         3.2810536305         1.6772988005         3.0672085121       505.1131037748       506.4246053924        -6.4246053924         1.4019273900
        0.8804822000       490.9014584979         3.2888927893         1.6645371662         3.0952791642       486.0658884282       501.2441831032        -1.2441831032         1.3993761929
        0.8855207000       498.4657681813         3.2985370856         1.6696418199         3.1310054486       493.6847745669       495.8085709022         4.1914290978         1.3917226017
        0.8904731000       499.4343899954         3.2997768369         1.6721941467         3.1718354879       497.4942176362       495.7038280750         4.2961719250         1.3993761929
        0.8954821000       500.3515292961         3.3009517053         1.6696418199         3.1948023851       493.6847745669       495.6491643067         4.3508356933         1.4044785871
        0.9004431000       502.5498043182         3.3037717433         1.6696418199         3.2330805470       493.6847745669       494.7099611921         5.2900388079         1.4044785871
        0.9054539000       499.0544335268         3.2992903953         1.6798511273         3.2662549539       508.9225468441       497.8625041901         2.1374958099         1.3917226017
        0.9104415000       494.4925727682         3.2934631473         1.6747464736         3.2968774834       501.3036607055       501.3291206025        -1.3291206025         1.4019273900
        0.9154744000       492.9426044692         3.2914887132         1.6772988005         3.3402594002       505.1131037748       502.2276227416        -2.2276227416         1.3993761929
        0.9204678000       490.5262583978         3.2884161281         1.6772988005         3.3632262974       505.1131037748       503.6072129107        -3.6072129107         1.4019273900
        0.9254749000       492.7120106201         3.2911952058         1.6696418199         3.4040563367       493.6847745669       501.5951764378        -1.5951764378         1.4019273900
        0.9304479000       492.6008160567         3.2910536955         1.6798511273         3.4397826211       508.9225468441       501.4557985546        -1.4557985546         1.3866202076
        0.9354285000       488.4971042782         3.2858410244         1.6772988005         3.4729570281       505.1131037748       504.1150839019        -4.1150839019         1.4044785871
        0.9404579000       489.6244782463         3.2872711447         1.6721941467         3.4984758027       497.4942176362       502.7709018544        -2.7709018544         1.3942737988
        0.9454509000       483.5511500877         3.2795837984         1.6900604347         3.5469614744       524.1603191213       506.6227670818        -6.6227670818         1.3968249959
        0.9504623000       474.1390508742         3.2677512771         1.6824034542         3.5673764941       512.7319899134       512.2756994298       -12.2756994298         1.4044785871
        0.9554488000       476.6614701212         3.2709128491         1.6721941467         3.6031027785       497.4942176362       508.8511589675        -8.8511589675         1.3968249959
        0.9604621000       477.5006815075         3.2719662417         1.6824034542         3.6464846953       512.7319899134       507.0639407754        -7.0639407754         1.3993761929
        0.9654346000       474.8454436262         3.2686359661         1.6772988005         3.6771072248       505.1131037748       507.9525671885        -7.9525671885         1.3968249959
        0.9704561000       472.6269776214         3.2658593624         1.6824034542         3.7077297543       512.7319899134       508.4163284754        -8.4163284754         1.4070297842
        0.9754499000       470.6364565487         3.2633725589         1.6772988005         3.7536635486       505.1131037748       508.6583587909        -8.6583587909         1.4044785871
        0.9804709000       470.0729003444         3.2626692655         1.6798511273         3.7817342006       508.9225468441       507.8739960323        -7.8739960323         1.3942737988
