% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338745V  K_gimbal=26.049690  samples=4545

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.1654341000        59.9655203269         2.7940034073         1.3684672508         3.3887450720        44.3609645421         5.6390354579         1.4070297842
        0.1704405000        43.9966712778         2.7752694711         1.3786765582         3.3989525818        59.5987368193        -9.5987368193         1.4044785871
        0.1754288000        -3.6233593131         2.4663823043         1.4067521537         3.3938488269       101.5026105817       -51.5026105817         1.3993761929
        0.1804489000        60.1797894612         2.7942533166         1.3633625971         3.3989525818        36.7420784035        13.2579215965         1.3968249959
        0.1854489000        28.5343202934         2.7569103021         1.3837812120         3.4015044592        67.2176229579       -17.2176229579         1.3993761929
        0.1904405000        46.9944472448         2.7788032012         1.3710195777         3.4066082142        48.1704076114         1.8295923886         1.3917226017
        0.1954482000        43.0642030405         2.7741686435         1.3735719045         3.4193676015        51.9798506807        -1.9798506807         1.3917226017
        0.2004524000        42.7719741102         2.7738234894         1.3735719045         3.4193676015        51.9798506807        -1.9798506807         1.3917226017
        0.2054399000        38.2794503947         2.7685074558         1.3761242314         3.4270232338        55.7892937500        -5.7892937500         1.3891714046
        0.2104510000        41.6252367385         2.7724683154         1.3735719045         3.4295751113        51.9798506807        -1.9798506807         1.3891714046
        0.2158593000        37.1327130230         2.7671475060         1.3761242314         3.4244713564        55.7892937500        -5.7892937500         1.4044785871
        0.2204460000        48.8790889374         2.7810206969         1.3684672508         3.4295751113        44.3609645421         5.6390354579         1.4044785871
        0.2254479000        45.5111242443         2.7770556895         1.3710195777         3.4321269888        48.1704076114         1.8295923886         1.4044785871
        0.2304387000        49.9814696105         2.7823163285         1.3684672508         3.4295751113        44.3609645421         5.6390354579         1.3993761929
        0.2354487000        55.0140944880         2.7882178764         1.3659149240         3.4346788662        40.5515214728         9.4484785272         1.3968249959
        0.2404553000        52.2084093060         2.7849304416         1.3684672508         3.4372307437        44.3609645421         5.6390354579         1.3993761929
        0.2454423000        36.2395602570         2.7660874309         1.3786765582         3.4499901310        59.5987368193        -9.5987368193         1.3917226017
        0.2504588000        39.0230670896         2.7693886740         1.3761242314         3.4499901310        55.7892937500        -5.7892937500         1.3942737988
        0.2554377000        46.5691482188         2.7783023542         1.3710195777         3.4525420084        48.1704076114         1.8295923886         1.3968249959
        0.2604679000        38.4386092291         2.7686961094         1.3761242314         3.4601976408        55.7892937500        -5.7892937500         1.3993761929
        0.2654313000        37.5841007877         2.7676829676         1.3761242314         3.4601976408        55.7892937500        -5.7892937500         1.3917226017
        0.2704691000        53.5307714874         2.7864806927         1.3659149240         3.4576457633        40.5515214728         9.4484785272         1.3891714046
        0.2754467000        63.3259706614         2.7979185501         1.3608102703         3.4729570281        32.9326353342        17.0673646658         1.3993761929
        0.2804647000        40.6433705753         2.7713070220         1.3761242314         3.4780607830        55.7892937500        -5.7892937500         1.3993761929
        0.2854468000        52.3897464898         2.7851431178         1.3684672508         3.4704051506        44.3609645421         5.6390354579         1.3968249959
        0.2904382000        44.8214870113         2.7762425541         1.3735719045         3.4857164154        51.9798506807        -1.9798506807         1.4019273900
        0.2954630000        44.5292580811         2.7758978648         1.3735719045         3.4831645379        51.9798506807        -1.9798506807         1.3917226017
        0.3004673000        52.6376187214         2.7854337824         1.3684672508         3.4831645379        44.3609645421         5.6390354579         1.3993761929
        0.3054606000        36.6687696724         2.7665969499         1.3786765582         3.4959239252        59.5987368193        -9.5987368193         1.3993761929
        0.3104465000        60.4537504315         2.7945727923         1.3633625971         3.4857164154        36.7420784035        13.2579215965         1.3968249959
        0.3154545000        58.2103447608         2.7919548759         1.3659149240         3.4908201703        40.5515214728         9.4484785272         1.3942737988
        0.3204371000        42.8037752229         2.7738610537         1.3761242314         3.4959239252        55.7892937500        -5.7892937500         1.3917226017
        0.3254729000        62.9507407080         2.7974818317         1.3633625971         3.4933720478        36.7420784035        13.2579215965         1.3891714046
        0.3304550000        56.5070402519         2.7899644607         1.3684672508         3.5035795576        44.3609645421         5.6390354579         1.3917226017
        0.3354592000        82.5411390558         2.8201395584         1.3531532897         3.5061314351        21.5043061262        28.4956938738         1.3917226017
        0.3404462000        48.9444931474         2.7810975963         1.3761242314         3.5188908224        55.7892937500        -5.7892937500         1.3993761929
        0.3454622000        64.8911638472         2.7997390264         1.3659149240         3.5086833125        40.5515214728         9.4484785272         1.3993761929
        0.3504483000        57.8851838799         2.7915750909         1.3710195777         3.5163389449        48.1704076114         1.8295923886         1.3942737988
        0.3554426000        49.7546448903         2.7820498273         1.3761242314         3.5265464547        55.7892937500        -5.7892937500         1.3917226017
        0.3604402000        44.6998416635         2.7760990806         1.3786765582         3.5290983322        59.5987368193        -9.5987368193         1.3891714046
        0.3654491000        51.6836432815         2.7843148254         1.3735719045         3.5342020871        51.9798506807        -1.9798506807         1.3891714046
        0.3704359000        51.3914143513         2.7839719017         1.3735719045         3.5290983322        51.9798506807        -1.9798506807         1.4044785871
        0.3754572000        51.0991854210         2.7836289045         1.3735719045         3.5367539646        51.9798506807        -1.9798506807         1.4044785871
        0.3804444000        71.8084304173         2.8077617424         1.3608102703         3.5393058420        32.9326353342        17.0673646658         1.4044785871
        0.3854581000        74.3275990430         2.8106745234         1.3608102703         3.5418577195        32.9326353342        17.0673646658         1.4044785871
        0.3904490000        60.0455885275         2.7940967979         1.3710195777         3.5418577195        48.1704076114         1.8295923886         1.3993761929
        0.3954314000        47.7147547526         2.7796510948         1.3786765582         3.5495133519        59.5987368193        -9.5987368193         1.3942737988
