% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338120V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0004636000       116.7274090215         2.8590707819         1.3378393285         0.4642935039        -0.4190387376       100.4190387376         1.3942737988
        0.0054614000       131.5494097677         2.8757550406         1.3378393285         0.4668453814        -0.4190387376       100.4190387376         1.4044785871
        0.0104575000       154.7720000846         2.9017147304         1.3327346748         0.4642935039        -8.0379248762       108.0379248762         1.3993761929
        0.0154443000       149.7170859267         2.8960801594         1.3454963091         0.4719491363        11.0092904703        88.9907095297         1.4019273900
        0.0204391000       179.6534272805         2.9293492585         1.3352870017         0.4617416265        -4.2284818069       104.2284818069         1.3891714046
        0.0254877000        85.8300431202         2.8239164151         1.4016475000         0.4719491363        94.8170379951         5.1829620049         1.3968249959
        0.0304800000       141.1988882954         2.8865658183         1.3684672508         0.4745010138        45.2942780941        54.7057219059         1.4019273900
        0.0354828000       132.4723557661         2.8767906923         1.3786765582         0.4796047687        60.5320503713        39.4679496287         1.3942737988
        0.0404836000       134.0975895480         2.8786135277         1.3812288851         0.4847085236        64.3414934406        35.6585065594         1.3891714046
        0.0454410000       130.9602490333         2.8750937460         1.3863335388         0.4847085236        71.9603795792        28.0396204208         1.3993761929
        0.0504397000       118.2977599256         2.8608433551         1.3965428462         0.5000197884        87.1981518564        12.8018481436         1.3993761929
        0.0554290000       136.9885110556         2.8818532752         1.3863335388         0.4923641560        71.9603795792        28.0396204208         1.4019273900
        0.0605685000       157.9283802303         2.9052290956         1.3761242314         0.5000197884        56.7226073020        43.2773926980         1.3942737988
        0.0654417000       139.1144195968         2.8842335883         1.3914381925         0.5127791757        79.5792657178        20.4207342822         1.4070297842
        0.0704512000       146.3288453933         2.8922987229         1.3888858657         0.5076754207        75.7698226485        24.2301773515         1.3993761929
        0.0754399000       145.7049611303         2.8916020112         1.3914381925         0.5255385629        79.5792657178        20.4207342822         1.3968249959
        0.0804417000       140.3185025709         2.8855809897         1.3965428462         0.5280904404        87.1981518564        12.8018481436         1.3968249959
        0.0854340000       142.2080745596         2.8876943720         1.3965428462         0.5331941953        87.1981518564        12.8018481436         1.3942737988
        0.0904363000       118.8958778366         2.8615181745         1.4118568074         0.5459535826       110.0548102723       -10.0548102723         1.3942737988
        0.0954702000       109.0111831876         2.8503425178         1.4169614611         0.5536092150       117.6736964109       -17.6736964109         1.3993761929
        0.1004568000       140.0048773692         2.8852300877         1.3965428462         0.5485054601        87.1981518564        12.8018481436         1.3993761929
        0.1054452000       133.4938597874         2.8779365220         1.4016475000         0.5612648474        94.8170379951         5.1829620049         1.4019273900
        0.1104319000       121.6579883978         2.8646322346         1.4093044805         0.5740242347       106.2453672030        -6.2453672030         1.3993761929
        0.1154479000       124.9364576159         2.8683237460         1.4067521537         0.5740242347       102.4359241337        -2.4359241337         1.4070297842
        0.1204417000       145.5783854864         2.8914606436         1.3939905194         0.5765761121        83.3887087871        16.6112912129         1.3993761929
        0.1254280000       118.6281734893         2.8612161620         1.4118568074         0.5867836220       110.0548102723       -10.0548102723         1.3942737988
        0.1304429000       129.7449527668         2.8737291861         1.4041998268         0.5944392543        98.6264810644         1.3735189356         1.3968249959
        0.1354483000       138.3482757925         2.8833759637         1.3990951731         0.5969911318        91.0075949257         8.9924050743         1.3968249959
        0.1404306000       127.0746839142         2.8707286935         1.4067521537         0.6071986416       102.4359241337        -2.4359241337         1.3993761929
        0.1456443000       143.5163169994         2.8891567981         1.3965428462         0.6097505191        87.1981518564        12.8018481436         1.3968249959
        0.1504820000       124.4044150617         2.8677250132         1.4093044805         0.6199580289       106.2453672030        -6.2453672030         1.3942737988
        0.1554521000       123.4825894944         2.8666873295         1.4093044805         0.6327174162       106.2453672030        -6.2453672030         1.3942737988
        0.1604509000       122.5607639272         2.8656492497         1.4093044805         0.6378211711       106.2453672030        -6.2453672030         1.3917226017
        0.1654581000       125.8392331453         2.8693393859         1.4067521537         0.6454768035       102.4359241337        -2.4359241337         1.3942737988
        0.1704433000       121.2793923040         2.8642056147         1.4093044805         0.6505805584       106.2453672030        -6.2453672030         1.4044785871
        0.1754323000       120.3575667368         2.8631665715         1.4093044805         0.6607880683       106.2453672030        -6.2453672030         1.3917226017
        0.1804500000        98.4342672431         2.8383252952         1.4220661148         0.6709955781       125.2925825495       -25.2925825495         1.3968249959
        0.1854216000       115.7025180464         2.8579132440         1.4093044805         0.6684437007       106.2453672030        -6.2453672030         1.3968249959
        0.1904401000       110.5803976939         2.8521200866         1.4118568074         0.6837549654       110.0548102723       -10.0548102723         1.3942737988
        0.1954420000       104.8959978302         2.8456745248         1.4144091342         0.6965143527       113.8642533416       -13.8642533416         1.3968249959
        0.2004516000       111.2502028112         2.8528784236         1.4093044805         0.6939624752       106.2453672030        -6.2453672030         1.3968249959
        0.2055090000       101.9277876734         2.8423016605         1.4144091342         0.7118256175       113.8642533416       -13.8642533416         1.3917226017
        0.2104793000       125.0831717956         2.8684888276         1.3990951731         0.7067218625        91.0075949257         8.9924050743         1.3993761929
        0.2154376000       122.2101694878         2.8652543359         1.4016475000         0.7169293724        94.8170379951         5.1829620049         1.3968249959
        0.2204494000       114.5745928836         2.8566387203         1.4067521537         0.7245850047       102.4359241337        -2.4359241337         1.3840690105
        0.2254544000       101.6141624717         2.8419449821         1.4144091342         0.7373443920       113.8642533416       -13.8642533416         1.3891714046
        0.2304645000        99.5677778821         2.8396162622         1.4144091342         0.7450000244       113.8642533416       -13.8642533416         1.3968249959
        0.2355631000       110.1222776484         2.8516012762         1.4067521537         0.7450000244       102.4359241337        -2.4359241337         1.3942737988
        0.2404670000       122.3636159483         2.8654271870         1.3990951731         0.7501037793        91.0075949257         8.9924050743         1.4019273900
        0.2454679000       111.0900240700         2.8526970949         1.4067521537         0.7577594117       102.4359241337        -2.4359241337         1.4044785871
        0.2504520000       110.7304780139         2.8522900247         1.4067521537         0.7603112892       102.4359241337        -2.4359241337         1.3968249959
        0.2554629000       118.7715215285         2.8613778854         1.4016475000         0.7679669216        94.8170379951         5.1829620049         1.3993761929
        0.2604502000       111.1359449243         2.8527490805         1.4067521537         0.7807263088       102.4359241337        -2.4359241337         1.3942737988
        0.2654299000        93.9752197271         2.8332392763         1.4169614611         0.7909338187       117.6736964109       -17.6736964109         1.3891714046
        0.2704639000       103.9674399822         2.8446199195         1.4093044805         0.7960375736       106.2453672030        -6.2453672030         1.3942737988
        0.2754429000        98.8453196297         2.8387935357         1.4118568074         0.8087969609       110.0548102723       -10.0548102723         1.3891714046
        0.2804568000        97.3612145513         2.8371024735         1.4118568074         0.8087969609       110.0548102723       -10.0548102723         1.3891714046
        0.2854451000       108.4779938288         2.8497382301         1.4041998268         0.8113488384        98.6264810644         1.3735189356         1.3993761929
        0.2904859000        91.8795481428         2.8308446775         1.4144091342         0.8215563482       113.8642533416       -13.8642533416         1.4044785871
        0.2954835000       106.6343426944         2.8476475344         1.4041998268         0.8317638580        98.6264810644         1.3735189356         1.4044785871
        0.3004513000        73.2347178671         2.8094114594         1.4246184417         0.8394194904       129.1020256188       -29.1020256188         1.3942737988
        0.3054292000        89.9406891593         2.8286267715         1.4118568074         0.8445232453       110.0548102723       -10.0548102723         1.3993761929
