% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338516V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.1154397000       596.6490755320         3.4302791488         1.6798511273         2.0872875679       509.4558688738        -1.0095024134        -9.4558688738         1.3968249959
        0.1204419000       595.2533751024         3.4283136251         1.6798511273         2.1230138523       509.4558688738        -1.0095024134        -9.4558688738         1.3993761929
        0.1254353000       598.0579694582         3.4322661643         1.6772988005         2.1485326269       505.6464258045        -1.0095024134        -5.6464258045         1.3993761929
        0.1305414000       622.4263172516         3.4671047831         1.6619848393         2.1893626662       482.7897673886        -1.0095024134        17.2102326114         1.3968249959
        0.1354504000       599.7648046886         3.4346773080         1.6772988005         2.2225370732       505.6464258045        -1.0095024134        -5.6464258045         1.4044785871
        0.1411283000       569.5293202731         3.3925915769         1.6951650884         2.2684708674       532.3125272896        -1.0095024134       -32.3125272896         1.4044785871
        0.1454384000       585.7614167029         3.4150219211         1.6824034542         2.2939896420       513.2653119431        -1.0095024134       -13.2653119431         1.4070297842
        0.1504392000       583.8034367621         3.4122963847         1.6824034542         2.3297159265       513.2653119431        -1.0095024134       -13.2653119431         1.3993761929
        0.1554395000       594.4463411772         3.4271784100         1.6747464736         2.3705459658       501.8369827352        -1.0095024134        -1.8369827352         1.3917226017
        0.1604447000       556.3725467023         3.3746808522         1.6977174153         2.3986166179       536.1219703589        -1.0095024134       -36.1219703589         1.3917226017
        0.1654504000       588.8435427621         3.4193234938         1.6747464736         2.4317910248       501.8369827352        -1.0095024134        -1.8369827352         1.3866202076
        0.1704404000       533.9685691460         3.3447167657         1.7079267227         2.4726210642       551.3597426362        -1.0095024134       -51.3597426362         1.3840690105
        0.1754556000       555.7898575904         3.3738930876         1.6900604347         2.5006917162       524.6936411510        -1.0095024134       -24.6936411510         1.3917226017
        0.1804335000       552.1450391160         3.3689758733         1.6900604347         2.5389698781       524.6936411510        -1.0095024134       -24.6936411510         1.3968249959
        0.1854507000       552.7005154270         3.3697241114         1.6875081079         2.5670405302       520.8841980817        -1.0095024134       -20.8841980817         1.3968249959
        0.1904325000       524.4162077520         3.3321388157         1.7028220690         2.6104224470       543.7408564976        -1.0095024134       -43.7408564976         1.4019273900
        0.1954390000       551.5623500041         3.3681914234         1.6824034542         2.6384930990       513.2653119431        -1.0095024134       -13.2653119431         1.4019273900
        0.2004263000       537.0034857074         3.3487373140         1.6900604347         2.6844268933       524.6936411510        -1.0095024134       -24.6936411510         1.3866202076
        0.2054396000       533.3586672331         3.3439102178         1.6900604347         2.7150494228       524.6936411510        -1.0095024134       -24.6936411510         1.3866202076
        0.2104432000       533.9141435440         3.3446447727         1.6875081079         2.7482238297       520.8841980817        -1.0095024134       -20.8841980817         1.3866202076
        0.2154539000       518.2307202250         3.3240552434         1.6951650884         2.7865019916       532.3125272896        -1.0095024134       -32.3125272896         1.3866202076
        0.2204415000       517.6616375136         3.3233139095         1.6926127616         2.8298839084       528.5030842203        -1.0095024134       -28.5030842203         1.3917226017
        0.2254452000       509.2542447427         3.3124078104         1.6951650884         2.8630583154       532.3125272896        -1.0095024134       -32.3125272896         1.3917226017
        0.2304326000       517.0857516019         3.3225641185         1.6875081079         2.8911289674       520.8841980817        -1.0095024134       -20.8841980817         1.4044785871
        0.2354466000       505.6026230681         3.3076974823         1.6926127616         2.9294071293       528.5030842203        -1.0095024134       -28.5030842203         1.4044785871
        0.2404310000       526.5972937944         3.3350005706         1.6772988005         2.9574777814       505.6464258045        -1.0095024134        -5.6464258045         1.4044785871
        0.2454391000       521.5635780907         3.3284049231         1.6798511273         2.9932040658       509.4558688738        -1.0095024134        -9.4558688738         1.4019273900
        0.2504434000       524.3681724464         3.3320758568         1.6772988005         3.0263784728       505.6464258045        -1.0095024134        -5.6464258045         1.4044785871
        0.2554391000       519.3344567427         3.3254941984         1.6798511273         3.0646566347       509.4558688738        -1.0095024134        -9.4558688738         1.3891714046
        0.2604422000       522.1390510984         3.3291573607         1.6772988005         3.0978310416       505.6464258045        -1.0095024134        -5.6464258045         1.3866202076
        0.2654557000       508.7047458242         3.3116979765         1.6849557810         3.1335573261       517.0747550124        -1.0095024134       -17.0747550124         1.3866202076
        0.2704304000       497.7838968016         3.2976650056         1.6900604347         3.1718354879       524.6936411510        -1.0095024134       -24.6936411510         1.3942737988
        0.2754496000       506.7399626832         3.3091628603         1.6824034542         3.2075617724       513.2653119431        -1.0095024134       -13.2653119431         1.3891714046
        0.2804263000       483.7805088159         3.2798733590         1.6951650884         3.2407361793       532.3125272896        -1.0095024134       -32.3125272896         1.3993761929
        0.2854403000       500.0126052456         3.3005174242         1.6824034542         3.2688068314       513.2653119431        -1.0095024134       -13.2653119431         1.3891714046
        0.2904316000       506.4552148755         3.3087958392         1.6772988005         3.3019812383       505.6464258045        -1.0095024134        -5.6464258045         1.3942737988
        0.2954326000       497.2212043865         3.2969457568         1.6824034542         3.3351556453       513.2653119431        -1.0095024134       -13.2653119431         1.4019273900
        0.3004414000       499.4635192310         3.2998141367         1.6798511273         3.3734338072       509.4558688738        -1.0095024134        -9.4558688738         1.4070297842
        0.3054537000       481.2666396603         3.2767028434         1.6900604347         3.4142638465       524.6936411510        -1.0095024134       -24.6936411510         1.4019273900
        0.3104399000       490.2227055418         3.2880306062         1.6824034542         3.4448863760       513.2653119431        -1.0095024134       -13.2653119431         1.3917226017
        0.3154525000       513.4664943128         3.3178612164         1.6670894930         3.4729570281       490.4086535272        -1.0095024134         9.5913464728         1.3942737988
        0.3204304000       514.8821914392         3.3196988841         1.6670894930         3.4984758027       490.4086535272        -1.0095024134         9.5913464728         1.3968249959
        0.3254441000       520.4981833509         3.3270129925         1.6645371662         3.5367539646       486.5992104579        -1.0095024134        13.4007895421         1.4044785871
        0.3304459000       488.8738017061         3.2863187204         1.6849557810         3.5775840039       517.0747550124        -1.0095024134       -17.0747550124         1.3917226017
        0.3354374000       503.1547213954         3.3045487540         1.6747464736         3.6005509010       501.8369827352        -1.0095024134        -1.8369827352         1.3993761929
        0.3404423000       502.8835799882         3.3042004218         1.6747464736         3.6388290629       501.8369827352        -1.0095024134        -1.8369827352         1.4095809812
        0.3454709000       494.2118490104         3.2931053413         1.6798511273         3.6796591023       509.4558688738        -1.0095024134        -9.4558688738         1.3968249959
        0.3504356000       505.4170329367         3.3074585093         1.6721941467         3.7077297543       498.0275396659        -1.0095024134         1.9724603341         1.4070297842
        0.3554573000       493.1072866848         3.2916983634         1.6798511273         3.7485597937       509.4558688738        -1.0095024134        -9.4558688738         1.3968249959
        0.3604401000       495.9118810405         3.2952735657         1.6772988005         3.7740785683       505.6464258045        -1.0095024134        -5.6464258045         1.3891714046
        0.3654559000       486.6778705516         3.2835362807         1.6824034542         3.8098048527       513.2653119431        -1.0095024134       -13.2653119431         1.3917226017
        0.3704299000       501.5210697520         3.3024513331         1.6721941467         3.8378755047       498.0275396659        -1.0095024134         1.9724603341         1.4044785871
        0.3754511000       493.4116182854         3.2920858774         1.6772988005         3.8761536666       505.6464258045        -1.0095024134        -5.6464258045         1.4044785871
        0.3804510000       484.1776077964         3.2803748268         1.6824034542         3.9042243187       513.2653119431        -1.0095024134       -13.2653119431         1.3968249959
        0.3854328000       490.6202174263         3.2885354803         1.6772988005         3.9373987256       505.6464258045        -1.0095024134        -5.6464258045         1.3993761929
        0.3904426000       489.7867965079         3.2874771708         1.6772988005         3.9756768875       505.6464258045        -1.0095024134        -5.6464258045         1.4044785871
        0.3954275000       480.5527860189         3.2758038010         1.6824034542         4.0114031719       513.2653119431        -1.0095024134       -13.2653119431         1.4070297842
        0.4004346000       491.1956904340         3.2892666992         1.6747464736         4.0547850888       501.8369827352        -1.0095024134        -1.8369827352         1.4019273900
        0.4054265000       495.1248438122         3.2942693623         1.6721941467         4.0905113732       498.0275396659        -1.0095024134         1.9724603341         1.3942737988
        0.4104300000       503.8165714868         3.3053993896         1.6670894930         4.1160301478       490.4086535272        -1.0095024134         9.5913464728         1.3942737988
        0.4154422000       484.2307946867         3.2804420061         1.6798511273         4.1492045547       509.4558688738        -1.0095024134        -9.4558688738         1.3942737988
        0.4204290000       495.4359786130         3.2946662626         1.6721941467         4.1874827166       498.0275396659        -1.0095024134         1.9724603341         1.3968249959
