% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339600V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0704214000       147.3087124348         2.8933927004         1.3888858657         3.9833325199        73.5603456683        26.4396543317         1.3993761929
        0.0754344000       151.2112450736         2.8977465010         1.3888858657         3.9858843974        73.5603456683        26.4396543317         1.3993761929
        0.0804425000       150.9134829271         2.8974144833         1.3914381925         3.9935400297        77.3697887376        22.6302112624         1.3993761929
        0.0854570000       150.0534412695         2.8964553387         1.3939905194         4.0011956621        81.1792318069        18.8207681931         1.3968249959
        0.0904413000       136.0302357447         2.8807797438         1.4041998268         4.0139550494        96.4170040842         3.5829959158         1.3917226017
        0.0954542000       140.7593861017         2.8860742129         1.4016475000         4.0190588043        92.6075610149         7.3924389851         1.3891714046
        0.1004164000       141.8505211846         2.8872945700         1.4016475000         4.0267144367        92.6075610149         7.3924389851         1.3942737988
        0.1054403000       130.3407719115         2.8743982635         1.4093044805         4.0394738240       104.0358902228        -4.0358902228         1.3968249959
        0.1104251000       129.7450684608         2.8737293160         1.4093044805         4.0394738240       104.0358902228        -4.0358902228         1.3942737988
        0.1154407000       141.7502493660         2.8871824415         1.4016475000         4.0420257015        92.6075610149         7.3924389851         1.3968249959
        0.1204200000       134.4407948783         2.8789983218         1.4067521537         4.0547850888       100.2264471535        -0.2264471535         1.3993761929
        0.1254546000       134.4073709387         2.8789608498         1.4067521537         4.0624407211       100.2264471535        -0.2264471535         1.3942737988
        0.1304219000       146.9748313551         2.8930199742         1.3990951731         4.0624407211        88.7981179455        11.2018820545         1.3968249959
        0.1354336000       127.6267720227         2.8713493147         1.4118568074         4.0752001084       107.8453332921        -7.8453332921         1.4044785871
        0.1404377000       126.4687890608         2.8700474294         1.4118568074         4.0879594957       107.8453332921        -7.8453332921         1.3993761929
        0.1454580000        79.1075634605         2.8161886280         1.4399324028         4.0981670056       149.7492070545       -49.7492070545         1.3942737988
        0.1504326000       130.5686328697         2.8746541005         1.4041998268         4.0956151281        96.4170040842         3.5829959158         1.3993761929
        0.1554427000       126.8971936561         2.8705291417         1.4067521537         4.1007188830       100.2264471535        -0.2264471535         1.4044785871
        0.1604214000       131.0640645019         2.8752102828         1.4041998268         4.1083745154        96.4170040842         3.5829959158         1.3917226017
        0.1654532000       144.1938044294         2.8899138878         1.3965428462         4.1109263928        84.9886748762        15.0113251238         1.3891714046
        0.1704565000       146.4094985347         2.8923887809         1.3965428462         4.1160301478        84.9886748762        15.0113251238         1.3891714046
        0.1754696000       131.8240134987         2.8760632151         1.4067521537         4.1236857801       100.2264471535        -0.2264471535         1.3968249959
        0.1804574000       131.7905895592         2.8760257067         1.4067521537         4.1313414125       100.2264471535        -0.2264471535         1.3968249959
        0.1854785000       135.9574604050         2.8806982005         1.4041998268         4.1466526773        96.4170040842         3.5829959158         1.4044785871
        0.1904864000       119.6851368354         2.8624083782         1.4144091342         4.1517564322       111.6547763614       -11.6547763614         1.4044785871
        0.1954419000       138.9663482888         2.8840678543         1.4016475000         4.1492045547        92.6075610149         7.3924389851         1.4044785871
        0.2004519000       119.0560094452         2.8616988112         1.4144091342         4.1696195744       111.6547763614       -11.6547763614         1.4044785871
        0.2054387000       108.9351574015         2.8502563638         1.4195137880         4.1798270842       119.2736625000       -19.2736625000         1.4019273900
        0.2104202000       118.6912202619         2.8612872918         1.4118568074         4.1900345941       107.8453332921        -7.8453332921         1.3993761929
        0.2154765000       104.9323529441         2.8457158050         1.4195137880         4.1951383490       119.2736625000       -19.2736625000         1.3942737988
        0.2204697000       118.8887105898         2.8615100892         1.4093044805         4.1900345941       104.0358902228        -4.0358902228         1.4044785871
        0.2254825000       122.4933019244         2.8655732642         1.4067521537         4.1976902265       100.2264471535        -0.2264471535         1.3891714046
        0.2304532000       122.4598779849         2.8655356165         1.4067521537         4.2130014912       100.2264471535        -0.2264471535         1.3942737988
        0.2354241000       114.0258644747         2.8560184369         1.4118568074         4.2206571236       107.8453332921        -7.8453332921         1.3942737988
        0.2404268000       112.8678815128         2.8547089398         1.4118568074         4.2283127560       107.8453332921        -7.8453332921         1.3993761929
        0.2454174000       115.9101933362         2.8581478406         1.4093044805         4.2359683883       104.0358902228        -4.0358902228         1.3917226017
        0.2504491000       127.9153742414         2.8716736884         1.4016475000         4.2436240207        92.6075610149         7.3924389851         1.4044785871
        0.2554288000       116.4056249684         2.8587074079         1.4093044805         4.2487277756       104.0358902228        -4.0358902228         1.4044785871
        0.2604554000       103.2090371617         2.8437582022         1.4169614611         4.2589352855       115.4642194307       -15.4642194307         1.3993761929
        0.2654296000       113.5273795333         2.8554548140         1.4093044805         4.2640390404       104.0358902228        -4.0358902228         1.4044785871
        0.2704445000       121.3322656532         2.8642651990         1.4041998268         4.2665909178        96.4170040842         3.5829959158         1.4044785871
        0.2754251000        96.6593525131         2.8363022733         1.4195137880         4.2844540601       119.2736625000       -19.2736625000         1.3917226017
        0.2804315000       106.4154153735         2.8473991465         1.4118568074         4.2870059375       107.8453332921        -7.8453332921         1.4044785871
        0.2854408000       101.0571376263         2.8413113496         1.4144091342         4.2870059375       111.6547763614       -11.6547763614         1.3993761929
        0.2904491000       103.5371699385         2.8441310757         1.4118568074         4.2997653248       107.8453332921        -7.8453332921         1.3917226017
        0.2954392000       106.5794817619         2.8475852935         1.4093044805         4.3150765896       104.0358902228        -4.0358902228         1.3993761929
        0.3004472000       110.1840730965         2.8516712647         1.4067521537         4.3227322219       100.2264471535        -0.2264471535         1.3993761929
        0.3054299000       110.1506491569         2.8516334096         1.4067521537         4.3227322219       100.2264471535        -0.2264471535         1.3942737988
        0.3105464000       105.9169304321         2.8468334817         1.4093044805         4.3303878543       104.0358902228        -4.0358902228         1.3968249959
        0.3154248000       113.7218165520         2.8556746738         1.4041998268         4.3329397318        96.4170040842         3.5829959158         1.4044785871
        0.3204818000        93.2491981972         2.8324100081         1.4169614611         4.3533547515       115.4642194307       -15.4642194307         1.3942737988
        0.3254439000       103.5675405688         2.8441655843         1.4093044805         4.3584585064       104.0358902228        -4.0358902228         1.3968249959
        0.3304530000        98.7715423327         2.8387095015         1.4118568074         4.3661141388       107.8453332921        -7.8453332921         1.3942737988
        0.3354407000        80.8123802296         2.8181513456         1.4220661148         4.3737697711       123.0831055693       -23.0831055693         1.3917226017
        0.3404463000        90.0061635788         2.8287017087         1.4144091342         4.3661141388       111.6547763614       -11.6547763614         1.3968249959
        0.3454286000       113.4876698175         2.8554099098         1.3990951731         4.3763216486        88.7981179455        11.2018820545         1.3993761929
        0.3504407000       110.9407896263         2.8525281432         1.4016475000         4.3890810359        92.6075610149         7.3924389851         1.4044785871
        0.3554431000       103.6313351386         2.8442380689         1.4067521537         4.3967366683       100.2264471535        -0.2264471535         1.4044785871
        0.3604580000       111.9985007696         2.8537253463         1.4016475000         4.3992885457        92.6075610149         7.3924389851         1.4044785871
        0.3654242000        96.2884567113         2.8358792899         1.4118568074         4.4043923006       107.8453332921        -7.8453332921         1.3942737988
        0.3704510000       111.9316528906         2.8536497000         1.4016475000         4.4094960556        92.6075610149         7.3924389851         1.3891714046
        0.3754331000       108.8224931882         2.8501286845         1.4041998268         4.4197035654        96.4170040842         3.5829959158         1.3917226017
        0.3804462000       105.1510539745         2.8459641181         1.4067521537         4.4273591978       100.2264471535        -0.2264471535         1.3917226017
        0.3854529000       105.1176300350         2.8459261703         1.4067521537         4.4350148301       100.2264471535        -0.2264471535         1.3917226017
        0.3904228000       113.4847956661         2.8554066596         1.4016475000         4.4426704625        92.6075610149         7.3924389851         1.4070297842
        0.3954288000       106.1753411783         2.8471267353         1.4067521537         4.4477742174       100.2264471535        -0.2264471535         1.4070297842
        0.4004683000        89.3407380976         2.8279399827         1.4169614611         4.4630854822       115.4642194307       -15.4642194307         1.3993761929
        0.4054431000       108.0596700398         2.8492640160         1.4041998268         4.4630854822        96.4170040842         3.5829959158         1.4070297842
        0.4104317000       112.7888203968         2.8546195086         1.4016475000         4.4656373597        92.6075610149         7.3924389851         1.3866202076
        0.4154361000       122.2805450503         2.8653336125         1.3965428462         4.4707411146        84.9886748762        15.0113251238         1.3866202076
        0.4204346000       128.6965339408         2.8725514863         1.3939905194         4.4860523793        81.1792318069        18.8207681931         1.3942737988
        0.4254336000        93.6718544896         2.8328928101         1.4169614611         4.4911561342       115.4642194307       -15.4642194307         1.3917226017
        0.4304270000        99.7899020759         2.8398691520         1.4118568074         4.5064673990       107.8453332921        -7.8453332921         1.3968249959
        0.4354321000        90.2313295434         2.8289593958         1.4169614611         4.5166749088       115.4642194307       -15.4642194307         1.3993761929
        0.4404554000        37.5452501354         2.7676368883         1.4475893834         4.5217786637       161.1775362624       -61.1775362624         1.3993761929
        0.4454424000        41.1162383727         2.7718664129         1.4399324028         4.5268824187       149.7492070545       -49.7492070545         1.3993761929
        0.4504437000       100.9778973525         2.8412211967         1.3990951731         4.5243305412        88.7981179455        11.2018820545         1.4044785871
        0.4554512000        90.0304275906         2.8287294788         1.4067521537         4.5370899285       100.2264471535        -0.2264471535         1.3942737988
        0.4604671000        89.9970036511         2.8286912251         1.4067521537         4.5498493158       100.2264471535        -0.2264471535         1.3891714046
        0.4654380000        81.5629901410         2.8190148621         1.4118568074         4.5549530707       107.8453332921        -7.8453332921         1.3891714046
        0.4704307000        97.2061863203         2.8369257500         1.4016475000         4.5549530707        92.6075610149         7.3924389851         1.4044785871
        0.4754544000        77.2958474766         2.8141005885         1.4144091342         4.5677124580       111.6547763614       -11.6547763614         1.3891714046
        0.4804405000        96.5770589300         2.8362084299         1.4016475000         4.5702643355        92.6075610149         7.3924389851         1.4019273900
        0.4854361000       110.2690783688         2.8517675369         1.3939905194         4.5677124580        81.1792318069        18.8207681931         1.3968249959
        0.4904393000        71.0441041322         2.8068770592         1.4195137880         4.5779199678       119.2736625000       -19.2736625000         1.3993761929
        0.4954205000        93.4010513485         2.8325834835         1.4041998268         4.5881274777        96.4170040842         3.5829959158         1.3942737988
