% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.4421  Ki_stab=42.5092  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338452V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004737000       828.8357871369         3.8026474789         1.3378393285         3.5979990236        -0.9142663366        -0.9142663366       500.9142663366         1.3993761929
        0.0054701000       941.2015495832         4.0200776591         1.3352870017         3.5954471461        -4.7237094059        -1.8249412203       504.7237094059         1.4044785871
        0.0104625000       747.6581766514         3.6614508928         1.4654556714         3.6082065334       189.5578871287        43.2335348972       310.4421128713         1.3942737988
        0.0154333000       736.9617016576         3.6437796308         1.4986359205         3.6235177982       239.0806470297       125.0320951669       260.9193529703         1.3942737988
        0.0204410000       745.2315561056         3.6574234636         1.5190545354         3.6388290629       269.5561915842       186.8457545664       230.4438084158         1.3917226017
        0.0254526000       752.9223942543         3.6702253896         1.5369208233         3.6592440826       296.2222930693       232.7655336261       203.7777069307         1.3942737988
        0.0304679000       684.1641936741         3.5595687929         1.5854150336         3.6745553474       368.6017113862       280.4079498792       131.3982886138         1.3891714046
        0.0354396000       706.1939355322         3.5941069723         1.5879673605         3.7000741219       372.4111544555       323.4853362941       127.5888455445         1.3840690105
        0.0404792000       692.0233627425         3.5717939530         1.6058336485         3.7306966515       399.0772559406       353.2522009847       100.9227440594         1.3993761929
        0.0454487000       695.7787719207         3.5776731826         1.6134906290         3.7485597937       410.5055851485       377.8938464548        89.4944148515         1.3993761929
        0.0505036000       703.0035742326         3.5890528279         1.6185952828         3.7842860781       418.1244712871       395.3073396406        81.8755287129         1.3866202076
        0.0554805000       679.1168188035         3.5517731521         1.6364615707         3.8123567301       444.7905727723       412.5912641105        55.2094272277         1.3840690105
        0.0605153000       649.5622901682         3.5069826347         1.6543278587         3.8480830146       471.4566742574       434.3609429578        28.5433257426         1.3942737988
        0.0654560000       673.3243762621         3.5428799579         1.6466708782         3.8710499117       460.0283450495       449.3649233715        39.9716549505         1.4019273900
        0.0704349000       687.7186304288         3.5650846852         1.6441185513         3.8991205638       456.2189019802       453.5525844489        43.7810980198         1.3942737988
        0.0754712000       626.2428621659         3.4726433309         1.6747464736         3.9450543580       501.9322188119       465.7554879853        -1.9322188119         1.4019273900
        0.0804322000       643.5274931669         3.4980128960         1.6670894930         3.9731250101       490.5038896040       480.3200809958         9.4961103960         1.4044785871
        0.0854500000       604.2567818923         3.4410435361         1.6849557810         4.0114031719       517.1699910891       491.5638312047       -17.1699910891         1.3942737988
        0.0904275000       600.6073689662         3.4358691397         1.6849557810         4.0471294564       517.1699910891       503.8065061833       -17.1699910891         1.4019273900
        0.0954290000       602.8563948338         3.4390556203         1.6824034542         4.0752001084       513.3605480198       509.2851064984       -13.3605480198         1.3942737988
        0.1004438000       623.6104189686         3.4688207268         1.6721941467         4.1058226379       498.1227757426       507.5909344340         1.8772242574         1.3993761929
        0.1054307000       576.8219051272         3.4026226549         1.6926127616         4.1441007998       528.5983202971       510.3494700442       -28.5983202971         1.4044785871
        0.1104444000       588.4387629219         3.4187577779         1.6849557810         4.1798270842       517.1699910891       516.3424843443       -17.1699910891         1.4095809812
        0.1154479000       561.1955948217         3.3812190529         1.6951650884         4.2206571236       532.4077633664       520.3808268088       -32.4077633664         1.4019273900
        0.1204335000       566.1043319363         3.3879060921         1.6900604347         4.2589352855       524.7888772278       524.3097291655       -24.7888772278         1.3917226017
