% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.5454  Ki_stab=46.1255  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338044V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0004691000       893.5635550399         3.9246606270         1.3352870017         4.2844540601        -4.1141985148         7.4808742278       504.1141985148         1.3891714046
        0.0054323000       952.8886019925         4.0442331272         1.3582579434         4.2870059375        30.1707891089        10.1331763858       469.8292108911         1.3968249959
        0.0104494000       808.1883589257         3.7655178192         1.4603510177         4.2870059375       182.5485118812        56.1404438626       317.4514881188         1.4044785871
        0.0154281000       792.8318792112         3.7384487239         1.4960835936         4.3048690797       235.8807148515       129.3274157988       264.1192851485         1.3993761929
        0.0204372000       777.8283158263         3.7124443991         1.5267115159         4.3252840994       281.5940316832       191.2001860788       218.4059683168         1.3866202076
        0.0254771000       726.9764265237         3.6274722984         1.5675487456         4.3508028740       342.5451207921       248.9895877406       157.4548792079         1.4044785871
        0.0304421000       731.6578792530         3.6350951797         1.5803103799         4.3712178937       361.5923361386       298.2732141283       138.4076638614         1.3968249959
        0.0354671000       725.6201258399         3.6252712250         1.5956243410         4.3967366683       384.4489945545       334.0110504487       115.5510054455         1.3891714046
        0.0404541000       676.3526315278         3.5475222029         1.6262522633         4.4248073203       430.1623113862       369.0542588176        69.8376886138         1.3840690105
        0.0454679000       679.8063340885         3.5528355505         1.6313569170         4.4503260949       437.7811975248       400.0922513595        62.2188024752         1.3917226017
        0.0504519000       725.7876733816         3.6255429498         1.6185952828         4.4835005019       418.7339821782       413.5585066034        81.2660178218         1.3993761929
        0.0554380000       662.2867236013         3.5260894427         1.6517755319         4.5115711539       468.2567420792       427.8717497344        31.7432579208         1.3993761929
        0.0604317000       637.9756193922         3.4898125442         1.6645371662         4.5498493158       487.3039574258       451.7337724437        12.6960425742         1.4095809812
        0.0654514000       634.5772814659         3.4848172514         1.6670894930         4.5855756002       491.1134004951       469.6510666576         8.8865995049         1.3968249959
        0.0704392000       668.2587481185         3.5351488884         1.6543278587         4.6110943748       472.0661851485       475.3591441181        27.9338148515         1.3942737988
        0.0754522000       624.0898981228         3.4695161831         1.6747464736         4.6570281691       502.5417297030       481.0701319299        -2.5417297030         1.3942737988
        0.0804507000       629.8300998408         3.4778697859         1.6721941467         4.6850988211       498.7322866337       490.4253381465         1.2677133663         1.3942737988
        0.0854807000       604.8168914650         3.4418394590         1.6824034542         4.7233769830       513.9700589109       498.0397097651       -13.9700589109         1.3942737988
        0.0906277000       582.6158282484         3.4106459006         1.6900604347         4.7616551449       525.3983881188       508.3882644920       -25.3983881188         1.4044785871
        0.0955144000       602.0638394327         3.4379318471         1.6798511273         4.7871739195       510.1606158416       512.8783508124       -10.1606158416         1.3993761929
        0.1005055000       568.0885495775         3.3906185754         1.6926127616         4.8356595912       529.2078311881       516.1323368774       -29.2078311881         1.4070297842
        0.1054813000       548.6996315200         3.3643440530         1.6977174153         4.8790415080       536.8267173268       524.2052693792       -36.8267173268         1.3917226017
        0.1104601000       533.8799832847         3.3445995882         1.7002697422         4.9071121601       540.6361603961       531.1504408714       -40.6361603961         1.3917226017
        0.1155443000       549.8137451431         3.3658400750         1.6900604347         4.9479421994       525.3983881188       532.0430008839       -25.3983881188         1.3968249959
        0.1204957000       518.6506004471         3.3246024695         1.7002697422         4.9836684838       540.6361603961       532.5088150593       -40.6361603961         1.3917226017
        0.1254891000       534.5843623055         3.3455315882         1.6900604347         5.0066353810       525.3983881188       532.7519167478       -25.3983881188         1.4044785871
        0.1304962000       497.0948231244         3.2967842634         1.7028220690         5.0066353810       544.4456034654       533.7894628905       -44.4456034654         1.3917226017
        0.1354897000       512.1500226514         3.3161545360         1.6926127616         5.0066353810       529.2078311881       535.2416181163       -29.2078311881         1.3993761929
        0.1404639000       511.7402880491         3.3156237826         1.6900604347         4.9964278711       525.3983881188       531.4461025309       -25.3983881188         1.3968249959
        0.1454906000       505.8827212932         3.3080582252         1.6900604347         1.0997109912       525.3983881188       528.5546028978       -25.3983881188         1.4095809812
        0.1504663000       481.0459710822         3.2764248686         1.6977174153         0.0024036839       536.8267173268       529.7775956644       -36.8267173268         1.3993761929
        0.1554501000       485.2055063020         3.2816737041         1.6926127616         0.0024036839       529.2078311881       531.3265328041       -29.2078311881         1.4044785871
        0.1604394000       472.1429827296         3.2652543054         1.6951650884        -0.0001481936       533.0172742575       531.2242258358       -33.0172742575         1.4044785871
        0.1654542000       445.5491078557         3.2323840015         1.7028220690         0.0177149486       544.4456034654       534.8135328417       -44.4456034654         1.3942737988
        0.1704290000       473.2570963527         3.2666474710         1.6875081079         0.0355780908       521.5889450495       533.9547156616       -21.5889450495         1.3917226017
        0.1754441000       455.6253029582         3.2447531793         1.6926127616         0.0789600076       529.2078311881       529.8638118483       -29.2078311881         1.3942737988
        0.1804432000       474.1947518111         3.2678210176         1.6824034542         0.1070306597       513.9700589109       525.9074784830       -13.9700589109         1.3942737988
        0.1858652000       445.6672941094         3.2325284998         1.6926127616         0.1555163314       529.2078311881       523.8427252576       -29.2078311881         1.3917226017
        0.1904871000       457.9103484772         3.2475724214         1.6849557810         0.1835869834       517.7795019802       523.6758352629       -17.7795019802         1.4044785871
        0.1954398000       453.8099063842         3.2425171603         1.6849557810         0.2193132679       517.7795019802       520.8567131348       -17.7795019802         1.3968249959
        0.2004927000       449.7094642913         3.2374788543         1.6849557810         0.2575914298       517.7795019802       519.3854540247       -17.7795019802         1.3866202076
        0.2054718000       464.5882056535         3.2558422032         1.6772988005         0.2856620818       506.3511727723       515.8856004997        -6.3511727723         1.3968249959
        0.2104892000       482.1026340101         3.2777564290         1.6696418199         0.3264921211       494.9228435644       508.5950282063         5.0771564356         1.3840690105
        0.2154484000       426.3360155406         3.2090707925         1.6926127616         0.3698740379       529.2078311881       510.2542331568       -29.2078311881         1.4019273900
        0.2204614000       470.2110423335         3.2628416293         1.6721941467         0.3979446900       498.7322866337       512.0308231332         1.2677133663         1.4019273900
        0.2254839000       476.8298063830         3.2711240861         1.6696418199         0.4311190970       494.9228435644       504.7619258222         5.0771564356         1.3917226017
        0.2304766000       503.3063162190         3.3047435438         1.6594325125         0.4591897490       479.6850712871       496.4150189127        20.3149287129         1.4019273900
        0.2355047000       438.4011581053         3.2236698759         1.6875081079         0.5000197884       521.5889450495       498.4336129719       -21.5889450495         1.3917226017
        0.2405220000       477.7069150761         3.2722252274         1.6696418199         0.5408498277       494.9228435644       503.1297875828         5.0771564356         1.3942737988
        0.2454931000       434.5930855767         3.2190473678         1.6875081079         0.5765761121       521.5889450495       505.5806532656       -21.5889450495         1.4019273900
        0.2504901000       454.9196590924         3.2438836435         1.6772988005         0.6097505191       506.3511727723       509.5917493082        -6.3511727723         1.3917226017
        0.2554719000       478.7604819341         3.2735490106         1.6670894930         0.6276136613       491.1134004951       504.3996833145         8.8865995049         1.3942737988
        0.2604718000       461.8307927063         3.2524218553         1.6747464736         0.6684437007       502.5417297030       500.7793441996        -2.5417297030         1.3917226017
        0.2654478000       486.5501778794         3.2833746500         1.6645371662         0.6990662302       487.3039574258       497.9792666357        12.6960425742         1.3993761929
        0.2704536000       445.1934730429         3.2319492736         1.6824034542         0.7475519019       513.9700589109       499.2499712595       -13.9700589109         1.3993761929
        0.2754690000       479.9299601916         3.2750198603         1.6670894930         0.7730706765       491.1134004951       500.8238085281         8.8865995049         1.3942737988
        0.2804884000       475.6530599339         3.2696480903         1.6696418199         0.8036932060       494.9228435644       497.0917970427         5.0771564356         1.4044785871
        0.2854602000       489.4767807998         3.2870837024         1.6645371662         0.8343157355       487.3039574258       494.2334392821        12.6960425742         1.3942737988
        0.2905317000       486.0784428736         3.2827776964         1.6670894930         0.8700420199       491.1134004951       491.8310287785         8.8865995049         1.3942737988
        0.2954823000       488.1279371009         3.2853730333         1.6670894930         0.9134239367       491.1134004951       491.4879203284         8.8865995049         1.3942737988
        0.3004765000       458.5454589030         3.2483569546         1.6798511273         0.9389427113       510.1606158416       495.8622314036       -10.1606158416         1.3866202076
        0.3057057000       462.5285359581         3.2532866011         1.6772988005         0.9746689957       506.3511727723       501.7878206917        -6.3511727723         1.3891714046
        0.3105163000       480.0429643146         3.2751620649         1.6696418199         1.0129471576       494.9228435644       501.2376005982         5.0771564356         1.3993761929
        0.3154410000       500.1930796656         3.3007486588         1.6619848393         1.0461215646       483.4945143565       495.4863993787        16.5054856435         1.3993761929
        0.3204888000       503.9996985559         3.3056348432         1.6619848393         1.0741922166       483.4945143565       489.7529059001        16.5054856435         1.3968249959
        0.3254510000       514.1327119312         3.3187257066         1.6594325125         1.0946072363       479.6850712871       485.8500036031        20.3149287129         1.4019273900
        0.3304748000       525.1442876379         3.3330934496         1.6568801856         1.1354372756       475.8756282178       481.9917855130        24.1243717822         1.4044785871
        0.3354485000       492.7496642809         3.2912431285         1.6721941467         1.1635079277       498.7322866337       484.5316116506         1.2677133663         1.3993761929
        0.3404516000       531.0004007555         3.3407960685         1.6568801856         1.1992342121       475.8756282178       485.8571102184        24.1243717822         1.3917226017
        0.3454391000       530.2377498237         3.3397904859         1.6594325125         1.2349604965       479.6850712871       481.9954943529        20.3149287129         1.3968249959
        0.3504683000       553.9021145005         3.3713441072         1.6517755319         1.2553755162       468.2567420792       478.1588230550        31.7432579208         1.3942737988
        0.3554622000       548.5701937465         3.3641703521         1.6568801856         1.2885499232       475.8756282178       475.2458448502        24.1243717822         1.3942737988
        0.3604546000       528.8283593596         3.3379340974         1.6670894930         1.3217243302       491.1134004951       479.1896529115         8.8865995049         1.3993761929
        0.3654332000       530.8778535869         3.3406344358         1.6670894930         1.3548987371       491.1134004951       484.8905688962         8.8865995049         1.4044785871
        0.3704690000       501.2953753890         3.3021618145         1.6798511273         1.3931768990       510.1606158416       492.4191690045       -10.1606158416         1.3917226017
        0.3754883000       536.9104248692         3.3486138539         1.6645371662         1.4237994285       487.3039574258       495.4375617500        12.6960425742         1.4070297842
        0.3805007000       482.9009310627         3.2787632288         1.6875081079         1.4671813453       521.5889450495       499.7448419675       -21.5889450495         1.3968249959
        0.3854618000       490.5747156084         3.2884776800         1.6824034542         1.4952519974       513.9700589109       508.3674734703       -13.9700589109         1.3993761929
        0.3904656000       493.6792303319         3.2924267232         1.6798511273         1.5335301593       510.1606158416       510.1354756276       -10.1606158416         1.3942737988
        0.3954486000       510.3150963570         3.3137792282         1.6721941467         1.5616008113       498.7322866337       507.4154708762         1.2677133663         1.3917226017
        0.4004573000       516.9338604065         3.3223664273         1.6696418199         1.5947752183       494.9228435644       502.3532401583         5.0771564356         1.4044785871
        0.4054584000       492.7992143622         3.2913061944         1.6798511273         1.6305015027       510.1606158416       502.4433597328       -10.1606158416         1.3917226017
        0.4105023000       477.8031079621         3.2723460412         1.6849557810         1.6662277871       517.7795019802       507.9544411386       -17.7795019802         1.3942737988
