% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=2.0620  Ki_stab=66.4207  (Tustin integrator)
% LPF=ON  fc=20.0 Hz
% Vg_offset=1.338656V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0005346000      1199.9702143153         4.6265695207         1.3378393285         0.2805583269        -1.2190217822        -1.2190217822       501.2190217822         1.3968249959
        0.0054879000      1360.3397134111         5.0000000000         1.3454963091         0.2856620818        10.2093074257         1.5130028688       498.4869971312         1.3891714046
        0.0104450000      1512.5670704897         5.0000000000         1.3506009628         0.2907658367        17.8281935644         7.4921814822       492.5078185178         1.3968249959
        0.0154734000      1433.8105544294         5.0000000000         1.6415662245         0.3009733466       452.1047034654       116.2509149216       383.7490850784         1.4044785871
        0.0204687000      1168.9885858481         4.5459189720         1.6849557810         0.3418033859       516.8652356436       292.3089364005       207.6910635995         1.3993761929
        0.0254470000       941.9389723651         4.0215930329         1.7564209330         0.3775296703       623.5296415842       425.1714440254        74.8285559746         1.3917226017
        0.0304553000       723.0215118405         3.6210633317         1.7972581627         0.4234634646       684.4807306931       534.5801621415       -34.5801621415         1.3993761929
        0.0354487000       566.0568954310         3.3878413117         1.7793918747         0.4719491363       657.8146292079       599.8750654272       -99.8750654272         1.3942737988
        0.0404494000       469.1380899958         3.2615034100         1.7819442016         0.5051235433       661.6240722773       628.4874828201      -128.4874828201         1.3942737988
        0.0454821000       403.3419249421         3.1816074395         1.7666302404         0.5561610925       638.7674138614       638.8665156693      -138.8665156693         1.3968249959
        0.0504491000       357.3294386171         3.1279038216         1.7666302404         0.6020948867       638.7674138614       638.8191336632      -138.8191336632         1.3917226017
        0.0554573000       315.3402752260         3.0800783527         1.7615255867         0.6480286810       631.1485277228       636.9730559115      -136.9730559115         1.4019273900
        0.0604397000       271.9976410443         3.0315532382         1.7666302404         0.6965143527       638.7674138614       636.0096146035      -136.0096146035         1.3968249959
        0.0654767000       234.0357423155         2.9894736997         1.7538686061         0.7398962695       619.7201985149       632.7747838530      -132.7747838530         1.3993761929
        0.0704526000       218.0505635453         2.9718079338         1.7360023181         0.7679669216       593.0540970297       620.1584738148      -120.1584738148         1.3968249959
        0.0762539000       207.0188233727         2.9596194722         1.7360023181         0.8215563482       593.0540970297       607.1994796909      -107.1994796909         1.3993761929
        0.0804540000       196.6312179179         2.9481382729         1.7232406839         0.8496270002       574.0068816832       595.8829934609       -95.8829934609         1.3993761929
        0.0855004000       186.0629378792         2.9364471937         1.7257930107         0.8930089170       577.8163247525       586.3343832546       -86.3343832546         1.3917226017
        0.0904434000       190.8133350278         2.9417039240         1.6951650884         0.9261833240       532.1030079208       571.3336778186       -71.3336778186         1.3917226017
        0.0954650000       206.8851499666         2.9594717654         1.6977174153         0.9695652408       535.9124509901       553.4876026500       -53.4876026500         1.4070297842
        0.1004699000       215.9600246198         2.9694982712         1.6875081079         0.9976358929       520.6746787129       541.4419691947       -41.4419691947         1.4019273900
        0.1056743000       218.2325506367         2.9720089982         1.6951650884         1.0461215646       532.1030079208       534.2448522367       -34.2448522367         1.3891714046
        0.1104644000       223.3445597960         2.9776571818         1.6772988005         1.0792959716       505.4369064357       526.8460813400       -26.8460813400         1.3968249959
