% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.6487  Ki_stab=49.8893  (Tustin integrator)
% LPF=ON  fc=20.0 Hz
% Vg_offset=1.338541V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0005128000       939.8300042488         4.0172623252         1.3378393285         4.5779199678        -1.0475968441         4.7499395272       495.2500604728         1.4044785871
        0.0054489000      1065.0541013316         4.2914332039         1.3429439823         4.5804718453         6.5712892945         3.7994033971       496.2005966029         1.4095809812
        0.0104380000      1102.4986987875         4.3802694770         1.4756649788         4.5881274777       204.6623288985        52.4797760406       447.5202239594         1.4019273900
        0.0154478000      1056.0253596005         4.2704900059         1.5216068622         4.6059906199       273.2323041461       141.6326010827       358.3673989173         1.3891714046
        0.0204551000       985.3851995559         4.1129701953         1.5981766679         4.6340612719       387.5155962253       231.8725668769       268.1274331231         1.3891714046
        0.0254615000       896.0738570913         3.9295679819         1.6364615707         4.6621319240       444.6572422649       319.9478710724       180.0521289276         1.3993761929
        0.0304487000       811.0210646398         3.7705616784         1.6747464736         4.6902025760       501.7988883045       393.2333463982       106.7666536018         1.3968249959
        0.0354295000       740.7559521873         3.6500238795         1.6824034542         4.7259288605       513.2272175124       447.8721251050        52.1278748950         1.3968249959
        0.0404427000       695.1145085170         3.5766314758         1.6875081079         4.7591032674       520.8461036510       480.9406887518        19.0593112482         1.4070297842
        0.0454842000       657.9579545050         3.5195596638         1.7002697422         4.7999333068       539.8933189975       504.5734185557        -4.5734185557         1.3917226017
        0.0504340000       630.0994372334         3.4782630115         1.6951650884         4.8433152236       532.2744328589       519.6390234641       -19.6390234641         1.3942737988
        0.0554656000       612.8719850662         3.4533380493         1.6977174153         4.8815933855       536.0838759282       526.5908701260       -26.5908701260         1.4019273900
        0.0604490000       586.8847887433         3.4165881655         1.7155837033         4.9173196699       562.7499774134       537.5043375332       -37.5043375332         1.4044785871
        0.0654373000       565.8137752836         3.3875093503         1.7002697422         4.9607015867       539.8933189975       544.1105933873       -44.1105933873         1.4070297842
        0.0704215000       551.9263180082         3.3686813650         1.7104790496         4.9938759937       555.1310912748       545.7369531083       -45.7369531083         1.3993761929
        0.0754318000       539.0121602240         3.3514048734         1.7002697422         5.0091872584       539.8933189975       546.5857267503       -46.5857267503         1.3866202076
        0.0804210000       531.4509894184         3.3413905336         1.7028220690         5.0015316260       543.7027620669       544.2966648007       -44.2966648007         1.3968249959
        0.0856396000       525.7499471562         3.3338880765         1.6951650884         4.9989797486       532.2744328589       541.2806866724       -41.2806866724         1.3917226017
        0.0904344000       523.0890204439         3.3304003582         1.6951650884         1.1150222560       532.2744328589       536.9746666089       -36.9746666089         1.3968249959
        0.0955147000       516.2361320555         3.3214586753         1.6977174153         1.1022628687       536.0838759282       535.6380918314       -35.6380918314         1.3968249959
        0.1004289000       495.6632706850         3.2949562793         1.7155837033        -0.0001481936       562.7499774134       542.2259518340       -42.2259518340         1.3942737988
        0.1054635000       483.8779684624         3.2799964175         1.6900604347         0.0100593162       524.6555467203       542.9320361421       -42.9320361421         1.3993761929
        0.1105135000       482.2052964257         3.2778858656         1.7002697422         0.0024036839       539.8933189975       537.8364820397       -37.8364820397         1.4070297842
        0.1154627000       475.8681638750         3.2699177831         1.6926127616         0.0177149486       528.4649897896       536.0878608539       -36.0878608539         1.3968249959
        0.1204396000       466.8695521081         3.2586780445         1.7028220690         0.0585449879       543.7027620669       536.0859556034       -36.0859556034         1.4095809812
        0.1254301000       453.0247641031         3.2415511334         1.7002697422         0.0942712724       539.8933189975       538.8169859316       -38.8169859316         1.3993761929
        0.1304342000       435.9693327462         3.2207163739         1.7104790496         0.1402050666       555.1310912748       542.9742958551       -42.9742958551         1.3840690105
        0.1354200000       426.2468910928         3.2089634493         1.6926127616         0.1708275961       528.4649897896       542.4119111916       -42.4119111916         1.3917226017
        0.1404565000       424.2629488353         3.2065758115         1.6977174153         0.2167613904       536.0838759282       537.5650363423       -37.5650363423         1.3942737988
        0.1454373000       419.3783808650         3.2007123463         1.6926127616         0.2524876748       528.4649897896       535.0355223824       -35.0355223824         1.3968249959
        0.1504471000       414.5950302532         3.1949907496         1.6951650884         0.2805583269       532.2744328589       532.8047307075       -32.8047307075         1.3942737988
        0.1554291000       419.7817402520         3.2011957394         1.6747464736         0.3111808564       501.7988883045       525.2657885756       -25.2657885756         1.4070297842
        0.1604499000       417.2267253736         3.1981361787         1.7002697422         0.3622184056       539.8933189975       523.1526733610       -23.1526733610         1.3968249959
        0.1654295000       405.3320507679         3.1839665873         1.6875081079         0.3953928125       520.8461036510       526.6032434774       -26.6032434774         1.3942737988
        0.1704685000       408.4224755249         3.1876365609         1.6798511273         0.4209115871       509.4177744431       521.1186471008       -21.1186471008         1.4044785871
        0.1754229000       416.3056884097         3.1970346620         1.6747464736         0.4540859941       501.7988883045       513.7029410707       -13.7029410707         1.3917226017
        0.1804642000       421.3659634403         3.2030956920         1.6772988005         0.4923641560       505.6083313738       508.9221163464        -8.9221163464         1.3968249959
        0.1854409000       421.9501286271         3.2037968408         1.6772988005         0.5357460728       505.6083313738       507.3377478760        -7.3377478760         1.3891714046
        0.1904760000       428.0461721506         3.2111319359         1.6670894930         0.5638167248       490.3705590966       502.8681893264        -2.8681893264         1.4095809812
        0.1954337000       434.6974199724         3.2191738342         1.6721941467         0.5995430093       497.9894452352       498.7142415248         1.2857584752         1.4044785871
        0.2004439000       442.0927502212         3.2281641683         1.6619848393         0.6327174162       482.7516729579       494.7250064128         5.2749935872         1.3942737988
        0.2054308000       445.4856996278         3.2323064823         1.6747464736         0.6658918232       501.7988883045       493.5537571249         6.4462428751         1.4019273900
        0.2104432000       457.8677837168         3.2475198572         1.6466708782         0.6965143527       459.8950145421       487.4784497409        12.5215502591         1.4070297842
        0.2154300000       468.2290952434         3.2603706418         1.6721941467         0.7398962695       497.9894452352       483.3971597049        16.6028402951         1.3866202076
        0.2204314000       472.9179233910         3.2662232040         1.6517755319         0.7654150441       467.5139006807       483.0885431657        16.9114568343         1.3942737988
        0.2254196000       477.4220591138         3.2718675209         1.6721941467         0.7960375736       497.9894452352       482.9274806525        17.0725193475         1.3968249959
        0.2304580000       481.8298065283         3.2774125053         1.6517755319         0.8266601031       467.5139006807       482.8434244538        17.1565755462         1.3917226017
        0.2354727000       500.7223583840         3.3014270223         1.6492232050         0.8623863875       463.7044576114       474.6034827852        25.3965172148         1.4019273900
        0.2404551000       503.3786101839         3.3048364466         1.6696418199         0.8981126720       494.1800021659       476.6779004582        23.3220995418         1.3891714046
        0.2454342000       510.5063270243         3.3140265861         1.6441185513         0.9236314466       456.0855714728       475.9391593049        24.0608406951         1.3993761929
