% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339281V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0005006000       112.6149902118         2.8544228664         1.3429439823         3.3810894396         5.4665508045        94.5334491955         1.3968249959
        0.0054555000       143.3694482544         2.8889926510         1.3327346748         3.3708819297        -9.7712214728       109.7712214728         1.4044785871
        0.0104631000       159.5718452006         2.9070578167         1.3327346748         3.3708819297        -9.7712214728       109.7712214728         1.4044785871
        0.0155624000       154.7727682204         2.9017155861         1.3454963091         3.3836413170         9.2759938738        90.7240061262         1.3891714046
        0.0204371000       176.5643571812         2.9259258991         1.3403916554         3.3734338072         1.6571077352        98.3428922648         1.3942737988
        0.0255026000       115.4746094584         2.8576557660         1.3863335388         3.3708819297        70.2270829827        29.7729170173         1.3993761929
        0.0304342000       103.0679575283         2.8435978674         1.3965428462         3.3810894396        85.4648552599        14.5351447401         1.3942737988
        0.0354740000       130.4151354065         2.8744817596         1.3812288851         3.3912969494        62.6081968441        37.3918031559         1.3840690105
        0.0404532000       131.7339268547         2.8759621187         1.3837812120         3.3912969494        66.4176399134        33.5823600866         1.3840690105
        0.0454395000       124.0898492212         2.8673709559         1.3914381925         3.4015044592        77.8459691213        22.1540308787         1.3993761929
        0.0504489000       127.3598174099         2.8710492388         1.3914381925         3.4040563367        77.8459691213        22.1540308787         1.3993761929
        0.0554296000       130.6297855986         2.8747227575         1.3914381925         3.4015044592        77.8459691213        22.1540308787         1.3968249959
        0.0604457000       129.6994590021         2.8736780924         1.3939905194         3.4091600916        81.6554121906        18.3445878094         1.3968249959
        0.0654231000       128.2068528943         2.8720012577         1.3965428462         3.4244713564        85.4648552599        14.5351447401         1.4019273900
        0.0704606000        58.9472507106         2.7928152536         1.4399324028         3.4219194789       150.2253874381       -50.2253874381         1.3942737988
        0.0754180000       131.3395091073         2.8755194577         1.3914381925         3.4219194789        77.8459691213        22.1540308787         1.3968249959
        0.0804634000       143.0100668667         2.8885909575         1.3863335388         3.4244713564        70.2270829827        29.7729170173         1.3993761929
        0.0854457000       113.8022357954         2.8557656021         1.4067521537         3.4448863760       100.7026275371        -0.7026275371         1.3866202076
        0.0904626000       105.2979373464         2.8461308743         1.4118568074         3.4525420084       108.3215136757        -8.3215136757         1.3866202076
        0.0954341000       120.8708485868         2.8637451717         1.4016475000         3.4525420084        93.0837413985         6.9162586015         1.4044785871
        0.1004477000       159.6943517985         2.9071941022         1.3786765582         3.4550938859        58.7987537748        41.2012462252         1.4044785871
        0.1054361000       127.9730644755         2.8717385248         1.4016475000         3.4704051506        93.0837413985         6.9162586015         1.3942737988
        0.1104450000       116.3930302635         2.8586931843         1.4093044805         3.4780607830       104.5120706064        -4.5120706064         1.3993761929
        0.1154289000       119.9273366592         2.8626814941         1.4067521537         3.4729570281       100.7026275371        -0.7026275371         1.4044785871
        0.1204321000       132.4245121367         2.8767370151         1.3990951731         3.4806126605        89.2742983292        10.7257016708         1.3993761929
        0.1254389000       121.4067574360         2.8643491434         1.4067521537         3.4857164154       100.7026275371        -0.7026275371         1.3968249959
        0.1304252000       108.7021642016         2.8499923114         1.4144091342         3.5010276801       112.1309567451       -12.1309567451         1.3917226017
        0.1354411000       111.1119115749         2.8527218732         1.4118568074         3.5061314351       108.3215136757        -8.3215136757         1.3917226017
        0.1404482000       101.4830541035         2.8417958587         1.4169614611         3.5188908224       115.9403998144       -15.9403998144         1.3942737988
        0.1454257000       111.7311115362         2.8534227495         1.4093044805         3.5214426998       104.5120706064        -4.5120706064         1.3993761929
        0.1504465000        98.4642387907         2.8383594400         1.4169614611         3.5342020871       115.9403998144       -15.9403998144         1.3993761929
        0.1554274000       104.5120014381         2.8452384621         1.4118568074         3.5367539646       108.3215136757        -8.3215136757         1.4044785871
        0.1604352000        94.8831439667         2.8342758523         1.4169614611         3.5495133519       115.9403998144       -15.9403998144         1.3993761929
        0.1654437000       109.3314961847         2.8507054687         1.4067521537         3.5520652293       100.7026275371        -0.7026275371         1.3942737988
        0.1709722000       100.8271977357         2.8410497331         1.4118568074         3.5622727392       108.3215136757        -8.3215136757         1.3993761929
        0.1754633000        91.1983402643         2.8300657025         1.4169614611         3.5622727392       115.9403998144       -15.9403998144         1.3840690105
        0.1804797000       105.6466924823         2.8465267661         1.4067521537         3.5673764941       100.7026275371        -0.7026275371         1.3866202076
        0.1854496000       105.5429836038         2.8464090474         1.4067521537         3.5775840039       100.7026275371        -0.7026275371         1.3993761929
        0.1904578000        97.0386851548         2.8367347916         1.4118568074         3.5903433912       108.3215136757        -8.3215136757         1.3993761929
        0.1954690000       100.0107120393         2.8401205165         1.4093044805         3.5903433912       104.5120706064        -4.5120706064         1.3891714046
        0.2004508000        78.3432497232         2.8153080256         1.4220661148         3.6056546560       123.5592859530       -23.5592859530         1.3968249959
        0.2054586000        87.4667481335         2.8257932363         1.4144091342         3.6082065334       112.1309567451       -12.1309567451         1.3917226017
        0.2104972000        89.8764955068         2.8285532975         1.4118568074         3.6082065334       108.3215136757        -8.3215136757         1.3993761929
        0.2154962000        97.0488171766         2.8367463430         1.4067521537         3.6209659207       100.7026275371        -0.7026275371         1.3942737988
        0.2204839000        96.9451082982         2.8366281026         1.4067521537         3.6286215531       100.7026275371        -0.7026275371         1.3917226017
        0.2254751000        96.8413994197         2.8365098557         1.4067521537         3.6362771855       100.7026275371        -0.7026275371         1.3942737988
        0.2304756000        96.7376905413         2.8363916022         1.4067521537         3.6464846953       100.7026275371        -0.7026275371         1.3891714046
        0.2354696000       100.8342764482         2.8410577875         1.4041998268         3.6541403277        96.8931844678         3.1068155322         1.3891714046
        0.2405058000        97.0925522957         2.8367962043         1.4067521537         3.6541403277       100.7026275371        -0.7026275371         1.4044785871
        0.2455079000        96.9888434172         2.8366779666         1.4067521537         3.6643478375       100.7026275371        -0.7026275371         1.4044785871
        0.2504738000       101.0854293241         2.8413435367         1.4041998268         3.6694515924        96.8931844678         3.1068155322         1.4044785871
        0.2554477000        72.1419364598         2.8081476281         1.4220661148         3.6694515924       123.5592859530       -23.5592859530         1.4044785871
        0.2604518000        35.0621922318         2.7646888666         1.4424847297         3.6847628572       154.0348305074       -54.0348305074         1.4044785871
        0.2654391000        85.8906971908         2.8239859994         1.4067521537         3.6822109797       100.7026275371        -0.7026275371         1.3968249959
        0.2704181000        85.7869883124         2.8238670197         1.4067521537         3.6975222445       100.7026275371        -0.7026275371         1.3815178134
        0.2754572000        89.8835742193         2.8285613997         1.4041998268         3.7000741219        96.8931844678         3.1068155322         1.4019273900
        0.2804409000        77.7412604962         2.8146141528         1.4118568074         3.7179372642       108.3215136757        -8.3215136757         1.3840690105
        0.2854566000        76.5129925954         2.8131976065         1.4118568074         3.7204891416       108.3215136757        -8.3215136757         1.3968249959
        0.2904390000        96.2861986211         2.8358767144         1.3990951731         3.7230410191        89.2742983292        10.7257016708         1.3993761929
        0.2954471000        93.6690334909         2.8328895880         1.4016475000         3.7306966515        93.0837413985         6.9162586015         1.4044785871
        0.3004365000        48.4866409966         2.7805591949         1.4297230954         3.7409041613       134.9876151609       -34.9876151609         1.4044785871
        0.3054412000        68.5241852292         2.8039572113         1.4144091342         3.7536635486       112.1309567451       -12.1309567451         1.3968249959
        0.3104501000        70.9339326025         2.8067495030         1.4118568074         3.7536635486       108.3215136757        -8.3215136757         1.3942737988
        0.3154343000        78.1062542723         2.8150348876         1.4067521537         3.7613191810       100.7026275371        -0.7026275371         1.3942737988
        0.3204398000       103.2043141057         2.8437528347         1.3914381925         3.7638710584        77.8459691213        22.1540308787         1.3993761929
        0.3254698000        93.8733979385         2.8331229945         1.3990951731         3.7689748133        89.2742983292        10.7257016708         1.3917226017
        0.3305404000        95.4565275937         2.8349302201         1.3990951731         3.7817342006        89.2742983292        10.7257016708         1.3968249959
        0.3354635000        80.2384781076         2.8174908525         1.4093044805         3.7919417105       104.5120706064        -4.5120706064         1.3917226017
        0.3404697000        96.3736688592         2.8359764764         1.3990951731         3.7919417105        89.2742983292        10.7257016708         1.3815178134
        0.3454568000        85.3559141585         2.8233723941         1.4067521537         3.7970454654       100.7026275371        -0.7026275371         1.3917226017
        0.3504685000       102.0533844213         2.8424444826         1.3965428462         3.8021492203        85.4648552599        14.5351447401         1.3968249959
        0.3554520000        91.5979092317         2.8305226536         1.4041998268         3.8123567301        96.8931844678         3.1068155322         1.3993761929
        0.3605523000        96.2567746498         2.8358431546         1.4016475000         3.8174604851        93.0837413985         6.9162586015         1.4044785871
        0.3654787000        84.6767404378         2.8225928391         1.4093044805         3.8302198724       104.5120706064        -4.5120706064         1.3993761929
        0.3704616000       100.8119311894         2.8410323623         1.3990951731         3.8302198724        89.2742983292        10.7257016708         1.4044785871
        0.3754684000        98.1947660593         2.8380524263         1.4016475000         3.8276679949        93.0837413985         6.9162586015         1.4044785871
        0.3804566000        99.2156162033         2.8392152637         1.4016475000         3.8429792597        93.0837413985         6.9162586015         1.3917226017
        0.3854982000       112.8373507031         2.8546744048         1.3939905194         3.8480830146        81.6554121906        18.3445878094         1.4044785871
        0.3904657000        90.3432706689         2.8290874926         1.4093044805         3.8633942793       104.5120706064        -4.5120706064         1.3917226017
        0.3954484000        89.6772822792         2.8283252675         1.4093044805         3.8633942793       104.5120706064        -4.5120706064         1.3942737988
        0.4004511000        97.4118834602         2.8371602301         1.4041998268         3.8684980342        96.8931844678         3.1068155322         1.3917226017
        0.4054678000       102.0707488783         2.8424642278         1.4016475000         3.8736017892        93.0837413985         6.9162586015         1.3942737988
        0.4104443000        98.8913042370         2.8388459117         1.4041998268         3.8889130539        96.8931844678         3.1068155322         1.3993761929
        0.4154559000        90.9492852991         2.8297808291         1.4093044805         3.8940168088       104.5120706064        -4.5120706064         1.3993761929
        0.4204352000        98.6838864801         2.8386096551         1.4041998268         3.8940168088        96.8931844678         3.1068155322         1.4044785871
        0.4254362000       111.7433414688         2.8534365906         1.3965428462         3.8965686863        85.4648552599        14.5351447401         1.3968249959
        0.4304500000       101.2878662793         2.8415738324         1.4041998268         3.9093280736        96.8931844678         3.1068155322         1.4070297842
        0.4354427000       118.5476160532         2.8611252737         1.3939905194         3.9067761961        81.6554121906        18.3445878094         1.3968249959
        0.4404222000        83.4526516631         2.8211870426         1.4169614611         3.9220874609       115.9403998144       -15.9403998144         1.3917226017
        0.4454364000        89.5004143105         2.8281227935         1.4118568074         3.9348468482       108.3215136757        -8.3215136757         1.3917226017
        0.4504454000        96.6727359803         2.8363175347         1.4067521537         3.9322949707       100.7026275371        -0.7026275371         1.3917226017
        0.4554249000       109.1699114577         2.8505223819         1.3990951731         3.9399506031        89.2742983292        10.7257016708         1.3993761929
        0.4604593000        98.1521567570         2.8380038770         1.4067521537         3.9527099904       100.7026275371        -0.7026275371         1.3993761929
        0.4654412000       110.6493322345         2.8521981437         1.3990951731         3.9501581129        89.2742983292        10.7257016708         1.4044785871
        0.4704371000       103.8318723190         2.8444659081         1.4041998268         3.9603656228        96.8931844678         3.1068155322         1.3891714046
        0.4754367000       108.4907377371         2.8497526751         1.4016475000         3.9629175002        93.0837413985         6.9162586015         1.3891714046
        0.4804335000        92.7104087399         2.8317943838         1.4118568074         3.9756768875       108.3215136757        -8.3215136757         1.3917226017
        0.4854327000        95.6824356244         2.8351879794         1.4093044805         3.9807806424       104.5120706064        -4.5120706064         1.3891714046
        0.4904515000        95.0164472347         2.8344280013         1.4093044805         3.9858843974       104.5120706064        -4.5120706064         1.3917226017
        0.4954315000        77.5492797039         2.8143928150         1.4195137880         3.9960919072       119.7498428837       -19.7498428837         1.3993761929
        0.5004507000        83.0347628401         2.8207068874         1.4144091342         4.0037475396       112.1309567451       -12.1309567451         1.4044785871
        0.5054241000        93.8450997840         2.8330906765         1.4067521537         4.0011956621       100.7026275371        -0.7026275371         1.3993761929
        0.5104358000       102.1419804762         2.8425452239         1.4016475000         4.0165069269        93.0837413985         6.9162586015         1.3993761929
        0.5154166000       103.1628306202         2.8437056904         1.4016475000         4.0216106818        93.0837413985         6.9162586015         1.3840690105
        0.5204572000       108.3839755494         2.8496316588         1.3990951731         4.0241625592        89.2742983292        10.7257016708         1.3993761929
        0.5254326000        97.3662208487         2.8371081801         1.4067521537         4.0369219465       100.7026275371        -0.7026275371         1.3840690105
        0.5304532000       101.4628067556         2.8417728284         1.4041998268         4.0445775789        96.8931844678         3.1068155322         1.3840690105
        0.5354324000       118.7225565296         2.8613226449         1.3939905194         4.0445775789        81.6554121906        18.3445878094         1.3968249959
        0.5404665000       113.0296556365         2.8548919229         1.3990951731         4.0573369662        89.2742983292        10.7257016708         1.3891714046
        0.5454301000       118.8130800770         2.8614247694         1.3965428462         4.0573369662        85.4648552599        14.5351447401         1.3993761929
        0.5504481000        99.9570153168         2.8400593921         1.4093044805         4.0624407211       104.5120706064        -4.5120706064         1.4070297842
        0.5554453000        86.6901425713         2.8249029193         1.4169614611         4.0752001084       115.9403998144       -15.9403998144         1.3993761929
        0.5604576000        75.9367260775         2.8125326312         1.4220661148         4.0803038633       123.5592859530       -23.5592859530         1.3917226017
        0.5654422000       101.8614036290         2.8422261683         1.4041998268         4.0930632506        96.8931844678         3.1068155322         1.3993761929
        0.5704389000       119.1211534030         2.8617722934         1.3939905194         4.0930632506        81.6554121906        18.3445878094         1.3968249959
        0.5754319000       109.2279577246         2.8505881540         1.4016475000         4.1032707605        93.0837413985         6.9162586015         1.3891714046
        0.5804432000       110.2488078686         2.8517445800         1.4016475000         4.1032707605        93.0837413985         6.9162586015         1.3815178134
        0.5854491000       123.8705423685         2.8671240896         1.3939905194         4.1083745154        81.6554121906        18.3445878094         1.3891714046
        0.5904467000       126.5782310460         2.8701704974         1.3939905194         4.1160301478        81.6554121906        18.3445878094         1.3917226017
        0.5954296000       108.2844457971         2.8495188349         1.4067521537         4.1313414125       100.7026275371        -0.7026275371         1.3993761929
        0.6004450000        99.7801473480         2.8398580468         1.4118568074         4.1364451674       108.3215136757        -8.3215136757         1.3993761929
