% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
        0.1258891000        -0.5139597353         2.5032757708         1.3352870017         4.2997653248        -0.0757955496         0.0757955496         1.4606049228
        0.1308658000       -12.4738454485         2.3613700327         1.3429439823         4.3023172023         0.1236664231        -0.1236664231         1.4631561198
        0.1355830000         3.2814938019         2.5483093646         1.3327346748         4.2946615699        -0.1422828738         0.1422828738         1.4682585140
        0.1407939000        -3.9158176147         2.4629122452         1.3378393285         4.2972134474        -0.0093082254         0.0093082254         1.4733609081
        0.1455831000       -16.4379828391         2.3143349810         1.3454963091         4.3048690797         0.1901537473        -0.1901537473         1.4657073169
        0.1507405000        -5.4452178852         2.4447656943         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4657073169
        0.1555529000         3.0340908170         2.5453738931         1.3327346748         4.2946615699        -0.1422828738         0.1422828738         1.4682585140
        0.1605044000        -8.3635153850         2.4101396811         1.3403916554         4.2997653248         0.0571790988        -0.0571790988         1.4631561198
        0.1654858000        -4.6467809793         2.4542392613         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4759121052
        0.1705530000        -0.3677670624         2.5050103675         1.3352870017         4.2997653248        -0.0757955496         0.0757955496         1.4606049228
        0.1756304000         0.2732315803         2.5126159072         1.3352870017         4.2972134474        -0.0757955496         0.0757955496         1.4708097111
        0.1805147000        -3.2860645622         2.4703843543         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.1857322000       -24.2088193571         2.2645821978         1.3506009628         4.3048690797         0.3231283957        -0.3231283957         1.4657073169
        0.1908584000       -14.3406134256         2.3392205662         1.3429439823         4.3048690797         0.1236664231        -0.1236664231         1.4657073169
        0.1959354000        -2.7855689606         2.4763228055         1.3352870017         4.2997653248        -0.0757955496         0.0757955496         1.4606049228
        0.2005230000        -6.3448651031         2.4340912526         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4657073169
        0.2056040000         2.1344435991         2.5346994515         1.3327346748         4.2946615699        -0.1422828738         0.1422828738         1.4657073169
        0.2106537000        -5.0628678176         2.4493023320         1.3378393285         4.2946615699        -0.0093082254         0.0093082254         1.4682585140
        0.2159003000       -17.5850330419         2.3007250679         1.3454963091         4.3023172023         0.1901537473        -0.1901537473         1.4657073169
        0.2206386000        -6.5922680880         2.4311557812         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.2259078000         1.8870406142         2.5317639800         1.3327346748         4.2921096924        -0.1422828738         0.1422828738         1.4657073169
        0.2309438000        -9.5105655878         2.3965297680         1.3403916554         4.2972134474         0.0571790988        -0.0571790988         1.4606049228
        0.2360315000         2.6067583885         2.5403035333         1.3327346748         4.2997653248        -0.1422828738         0.1422828738         1.4733609081
        0.2406075000        -8.7908478135         2.4050693213         1.3403916554         4.2997653248         0.0571790988        -0.0571790988         1.4733609081
        0.2455138000        -5.0741134078         2.4491689015         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.2510792000        -4.9953942762         2.4501029152         1.3378393285         4.2972134474        -0.0093082254         0.0093082254         1.4733609081
        0.2555741000         7.6842092112         2.6005482066         1.3301823480         4.2972134474        -0.2087701981         0.2087701981         1.4733609081
        0.2605361000        -3.1511174795         2.4719855206         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4733609081
        0.2655783000         5.3281912227         2.5725937194         1.3327346748         4.2921096924        -0.1422828738         0.1422828738         1.4657073169
        0.2705459000       -10.2697097646         2.3875224148         1.3429439823         4.3048690797         0.1236664231        -0.1236664231         1.4606049228
        0.2755037000        -2.9149600848         2.4747875615         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4708097111
        0.2805456000         5.5643486174         2.5753957603         1.3327346748         4.2946615699        -0.1422828738         0.1422828738         1.4657073169
        0.2855823000        -5.8332575846         2.4401615483         1.3403916554         4.2997653248         0.0571790988        -0.0571790988         1.4606049228
        0.2905417000       -10.5171127495         2.3845869433         1.3429439823         4.2997653248         0.1236664231        -0.1236664231         1.4733609081
        0.2955496000        -3.1623630697         2.4718520901         1.3378393285         4.2921096924        -0.0093082254         0.0093082254         1.4708097111
        0.3005296000       -15.6845282941         2.3232748259         1.3454963091         4.3023172023         0.1901537473        -0.1901537473         1.4657073169
        0.3055880000        -4.6917633402         2.4537055392         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4606049228
        0.3107818000       -17.2139285645         2.3051282751         1.3454963091         4.2997653248         0.1901537473        -0.1901537473         1.4631561198
        0.3156139000        -6.2211636106         2.4355589884         1.3378393285         4.2997653248        -0.0093082254         0.0093082254         1.4606049228
        0.3207548000         6.4584398768         2.5860042798         1.3301823480         4.2946615699        -0.2087701981         0.2087701981         1.4657073169
        0.3259620000        -4.3768868139         2.4574415938         1.3378393285         4.3023172023        -0.0093082254         0.0093082254         1.4657073169
