% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339077V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0004886000        73.3133153526         2.8095023254         1.3301823480         2.7227050552       -13.2759090965        63.2759090965         1.4044785871
        0.0054427000        57.4511657373         2.7910680256         1.3454963091         2.7303606875         9.5807493193        40.4192506807         1.3917226017
        0.0104240000        76.0179921226         2.8126264217         1.3378393285         2.7303606875        -1.8475798886        51.8475798886         1.4044785871
        0.0154682000        92.0713622561         2.8310639675         1.3327346748         2.7329125650        -9.4664660272        59.4664660272         1.4044785871
        0.0204260000        84.0475227002         2.8218703454         1.3429439823         2.7354644424         5.7713062500        44.2286937500         1.3968249959
        0.0254559000        94.7760390261         2.8341535974         1.3403916554         2.7303606875         1.9618631807        48.0381368193         1.3942737988
        0.0304440000         9.4600548012         2.6216188660         1.3965428462         2.7405681974        85.7696107055       -35.7696107055         1.3968249959
        0.0354843000        75.5854179568         2.8121271259         1.3531532897         2.7380163199        21.0090785272        28.9909214728         1.3968249959
        0.0404726000        67.2636370966         2.8024947873         1.3608102703         2.7405681974        32.4374077352        17.5625922648         1.4044785871
        0.0454431000        74.0561968441         2.8103609406         1.3582579434         2.7431200748        28.6279646658        21.3720353342         1.3917226017
        0.0504279000        73.0104465322         2.8091521557         1.3608102703         2.7456719523        32.4374077352        17.5625922648         1.4044785871
        0.0554393000        79.8030062797         2.8169895223         1.3582579434         2.7405681974        28.6279646658        21.3720353342         1.3993761929
        0.0604510000        70.3566663971         2.8060809972         1.3659149240         2.7456719523        40.0562938738         9.9437061262         1.3968249959
        0.0654575000        76.0246671222         2.8126341252         1.3633625971         2.7507757072        36.2468508045        13.7531491955         1.3917226017
        0.0704459000        78.0546525732         2.8149754112         1.3633625971         2.7533275847        36.2468508045        13.7531491955         1.4019273900
        0.0754533000        80.0846380242         2.8173137617         1.3633625971         2.7584313396        36.2468508045        13.7531491955         1.4044785871
        0.0804414000        77.9143286899         2.8148136634         1.3659149240         2.7609832170        40.0562938738         9.9437061262         1.3917226017
        0.0854509000        62.5808554885         2.7970512241         1.3761242314         2.7686388494        55.2940661510        -5.2940661510         1.3968249959
        0.0904314000        78.6006225247         2.8156046034         1.3659149240         2.7609832170        40.0562938738         9.9437061262         1.4044785871
        0.0954448000        71.6677388939         2.8075989293         1.3710195777         2.7660869720        47.6751800124         2.3248199876         1.3968249959
        0.1004242000        59.4100014554         2.7933553128         1.3786765582         2.7813982367        59.1035092203        -9.1035092203         1.3968249959
        0.1054812000        62.2666046245         2.7966852983         1.3761242314         2.7813982367        55.2940661510        -5.2940661510         1.3968249959
        0.1104460000        82.4866664460         2.8200769420         1.3633625971         2.7788463592        36.2468508045        13.7531491955         1.4044785871
        0.1154812000        80.3163571117         2.8175804955         1.3659149240         2.7916057465        40.0562938738         9.9437061262         1.3993761929
        0.1204603000        85.9843578368         2.8240934450         1.3633625971         2.7890538691        36.2468508045        13.7531491955         1.4044785871
        0.1254438000        71.2131641466         2.8070727785         1.3735719045         2.7865019916        51.4846230817        -1.4846230817         1.3891714046
        0.1304592000        75.1943263381         2.8116755941         1.3710195777         2.7941576240        47.6751800124         2.3248199876         1.3840690105
        0.1354467000        71.3371784702         2.8072163351         1.3735719045         2.7967095015        51.4846230817        -1.4846230817         1.3917226017
        0.1404821000        83.7189302323         2.8214929351         1.3659149240         2.7941576240        40.0562938738         9.9437061262         1.3993761929
        0.1455277000        76.7860466015         2.8135126100         1.3710195777         2.7992613789        47.6751800124         2.3248199876         1.4019273900
        0.1504525000        68.7286039483         2.8041942527         1.3761242314         2.8069170113        55.2940661510        -5.2940661510         1.3993761929
        0.1554735000        76.3477814139         2.8130069878         1.3710195777         2.8069170113        47.6751800124         2.3248199876         1.4070297842
        0.1604622000        59.8897491901         2.7939150239         1.3812288851         2.8171245211        62.9129522896       -12.9129522896         1.4070297842
        0.1654498000        66.3843676333         2.8014739774         1.3761242314         2.8171245211        55.2940661510        -5.2940661510         1.3917226017
        0.1704521000        48.8017763872         2.7809297913         1.3863335388         2.8298839084        70.5318384282       -20.5318384282         1.3993761929
        0.1754840000        70.9730149492         2.8067947535         1.3710195777         2.8222282761        47.6751800124         2.3248199876         1.3917226017
        0.1804512000        62.9155722960         2.7974408945         1.3761242314         2.8324357859        55.2940661510        -5.2940661510         1.3840690105
        0.1854427000        62.1341601910         2.7965310512         1.3761242314         2.8349876633        55.2940661510        -5.2940661510         1.4044785871
        0.1904690000        48.7518637301         2.7808711003         1.3837812120         2.8477470506        66.7223953589       -16.7223953589         1.3891714046
        0.1954374000        37.8830235210         2.7680374611         1.3888858657         2.8451951732        74.3412814975       -24.3412814975         1.3917226017
        0.2005149000        46.8910982159         2.7786815085         1.3812288851         2.8502989281        62.9129522896       -12.9129522896         1.3993761929
        0.2054608000        44.9851270885         2.7764355370         1.3812288851         2.8579545605        62.9129522896       -12.9129522896         1.3968249959
        0.2104353000        64.0806298877         2.7987965359         1.3684672508         2.8477470506        43.8657369431         6.1342630569         1.4044785871
        0.2154562000        43.9845823897         2.7752552046         1.3812288851         2.8630583154        62.9129522896       -12.9129522896         1.4044785871
        0.2217151000        46.2789060477         2.7779604626         1.3786765582         2.8656101929        59.1035092203        -9.1035092203         1.4044785871
        0.2254577000        57.5360987874         2.7911672655         1.3710195777         2.8707139478        47.6751800124         2.3248199876         1.3942737988
        0.2304716000        49.4786561342         2.7817255017         1.3761242314         2.8732658252        55.2940661510        -5.2940661510         1.3942737988
        0.2354365000        65.4984231704         2.8004448103         1.3659149240         2.8707139478        40.0562938738         9.9437061262         1.4044785871
        0.2404501000        71.1664238955         2.8070186698         1.3633625971         2.8809214576        36.2468508045        13.7531491955         1.4044785871
        0.2454245000        64.7958197759         2.7996281869         1.3684672508         2.8809214576        43.8657369431         6.1342630569         1.3993761929
        0.2504396000        53.1003618486         2.7859762723         1.3761242314         2.8834733351        55.2940661510        -5.2940661510         1.3968249959
        0.2554282000        39.7180653877         2.7702118112         1.3837812120         2.8987845998        66.7223953589       -16.7223953589         1.3942737988
        0.2604398000        33.0495199638         2.7622949954         1.3863335388         2.9038883547        70.5318384282       -20.5318384282         1.3917226017
        0.2654419000        34.2192845994         2.7636867864         1.3837812120         2.9064402322        66.7223953589       -16.7223953589         1.3993761929
        0.2704599000        44.3519183167         2.7756886519         1.3761242314         2.9038883547        55.2940661510        -5.2940661510         1.4044785871
        0.2754395000        39.3702114264         2.7697998785         1.3786765582         2.9064402322        59.1035092203        -9.1035092203         1.3917226017
        0.2804489000        46.4271093808         2.7781350485         1.3735719045         2.9115439871        51.4846230817        -1.4846230817         1.3993761929
        0.2854321000        33.6070924311         2.7629585619         1.3812288851         2.9140958646        62.9129522896       -12.9129522896         1.3917226017
        0.2904722000        31.7011213038         2.7606890232         1.3812288851         2.9243033744        62.9129522896       -12.9129522896         1.3917226017
        0.2954480000        42.3960345323         2.7733793496         1.3735719045         2.9191996195        51.4846230817        -1.4846230817         1.4044785871
        0.3004437000        29.5760175826         2.7581543761         1.3812288851         2.9396146392        62.9129522896       -12.9129522896         1.3993761929
        0.3054470000        44.4712255964         2.7758294053         1.3710195777         2.9268552519        47.6751800124         2.3248199876         1.4044785871
        0.3104378000        28.0131933726         2.7562875288         1.3812288851         2.9396146392        62.9129522896       -12.9129522896         1.3993761929
        0.3154398000        34.5078118158         2.7640298750         1.3761242314         2.9396146392        55.2940661510        -5.2940661510         1.4044785871
        0.3204510000        25.3258101403         2.7530716577         1.3812288851         2.9472702715        62.9129522896       -12.9129522896         1.3917226017
        0.3254366000        23.4198390129         2.7507864468         1.3812288851         2.9523740265        62.9129522896       -12.9129522896         1.3968249959
        0.3304510000        46.7156365973         2.7784748822         1.3659149240         2.9421665166        40.0562938738         9.9437061262         1.4044785871
        0.3354470000        39.7827529665         2.7702884025         1.3710195777         2.9549259039        47.6751800124         2.3248199876         1.3993761929
        0.3404344000        14.9241311721         2.6864509061         1.3863335388         2.9574777814        70.5318384282       -20.5318384282         1.4019273900
        0.3454455000        32.8950749488         2.7621111374         1.3735719045         2.9549259039        51.4846230817        -1.4846230817         1.3968249959
        0.3504268000        41.0765319257         2.7718194490         1.3684672508         2.9727890461        43.8657369431         6.1342630569         1.3968249959
        0.3554559000        33.5813687837         2.7629279548         1.3735719045         2.9651334138        51.4846230817        -1.4846230817         1.4044785871
        0.3604479000        33.3622361899         2.7626671957         1.3735719045         2.9702371687        51.4846230817        -1.4846230817         1.3993761929
        0.3654788000        45.7439879520         2.7773301575         1.3659149240         2.9702371687        40.0562938738         9.9437061262         1.3968249959
        0.3704419000        47.2116938918         2.7790589765         1.3659149240         2.9753409236        40.0562938738         9.9437061262         1.3968249959
        0.3754361000        23.4776311197         2.7508557924         1.3812288851         2.9804446785        62.9129522896       -12.9129522896         1.3917226017
        0.3804388000        25.7719547777         2.7536060416         1.3786765582         2.9906521883        59.1035092203        -9.1035092203         1.3993761929
        0.3854468000        28.6285579468         2.7570228921         1.3761242314         2.9957559433        55.2940661510        -5.2940661510         1.3917226017
        0.3904312000        48.8486197683         2.7809848713         1.3633625971         2.9855484334        36.2468508045        13.7531491955         1.3968249959
        0.3954370000        46.6783104340         2.7784309228         1.3659149240         2.9957559433        40.0562938738         9.9437061262         1.3942737988
        0.4004270000        48.1460163738         2.7801585253         1.3659149240         2.9906521883        40.0562938738         9.9437061262         1.4070297842
        0.4054415000        53.8140170989         2.7868125577         1.3633625971         2.9881003109        36.2468508045        13.7531491955         1.3993761929
        0.4104499000        43.2431181940         2.7743799233         1.3710195777         3.0034115756        47.6751800124         2.3248199876         1.3942737988
        0.4154314000        47.7865598967         2.7797355935         1.3684672508         3.0059634531        43.8657369431         6.1342630569         1.3968249959
        0.4204361000        61.2928706812         2.7955509422         1.3608102703         3.0034115756        32.4374077352        17.5625922648         1.3866202076
        0.4254440000        55.4845460727         2.7887684551         1.3659149240         3.0136190855        40.0562938738         9.9437061262         1.3840690105
        0.4304345000        40.1510728713         2.7707244266         1.3761242314         3.0161709629        55.2940661510        -5.2940661510         1.4044785871
        0.4354539000        60.3711346929         2.7944764575         1.3633625971         3.0136190855        36.2468508045        13.7531491955         1.3993761929
        0.4404318000        54.0005305732         2.7870310493         1.3684672508         3.0289303502        43.8657369431         6.1342630569         1.3993761929
