% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338631V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0005992000       115.3096861134         2.8574694287         1.3301823480         1.7019540715       -12.6092565594         0.0249183008        98.5722865289         1.4044785871
        0.0054613000       126.1066784036         2.8696401958         1.3454963091         1.7096097039        10.2474018564         0.0843162037        95.1690373838         1.3968249959
        0.0104689000       144.3323559183         2.8900686983         1.3352870017         1.7045059490        -4.9903704208         0.0181725306        98.9587906950         1.3917226017
        0.0154584000       158.2634863976         2.9056020379         1.3403916554         1.7019540715         2.6285157178         0.0288625536        98.3462974915         1.3917226017
        0.0204308000       172.3648033502         2.9212689216         1.3403916554         1.7019540715         2.6285157178         0.0354276223        97.9701467619         1.4044785871
        0.0254267000       188.1914028371         2.9388028966         1.3378393285         1.7019540715        -1.1809273515         0.0138039974        99.2090892074         1.3840690105
        0.0304384000       198.8114540585         2.9505486769         1.3454963091         1.7096097039        10.2474018564         0.0774905715        95.5601173024         1.3891714046
        0.0354947000       169.9262573702         2.9185630658         1.4093044805         1.7019540715       105.4834785891         0.7579882750        56.5704709210         1.3993761929
        0.0404305000       164.8407939880         2.9129157479         1.3888858657         1.7070578265        75.0079340347         0.9706591708        44.3853261659         1.4044785871
        0.0454594000       161.5203114188         2.9092249489         1.3914381925         1.7172653363        78.8173771040         1.1269222784        35.4321096102         1.3968249959
        0.0504578000       157.4460249420         2.9046922220         1.3965428462         1.7300247236        86.4362632426         1.2741990788        26.9937705255         1.3968249959
        0.0554337000       145.9918080976         2.8919223593         1.4118568074         1.7300247236       109.2929216584         1.5185788486        12.9918411195         1.3917226017
        0.0604408000       151.3942737574         2.8979505717         1.3914381925         1.7325766011        78.8173771040         1.4634164393        16.1524143576         1.4044785871
        0.0654499000       141.3316545780         2.8867143098         1.4144091342         1.7402322334       113.1023647277         1.6604384258         4.8638860601         1.3942737988
        0.0704339000       148.9925420436         2.8952718582         1.3914381925         1.7402322334        78.8173771040         1.5505367260        11.1607896195         1.3993761929
        0.0754528000       146.7999518274         2.8928247332         1.4041998268         1.7529916207        97.8645924505         1.6113199129         7.6781695458         1.3942737988
        0.0804285000       145.5750373745         2.8914569041         1.4041998268         1.7555434982        97.8645924505         1.6486487191         5.5393864957         1.3891714046
        0.0854461000       140.0821045641         2.8853164974         1.4118568074         1.7708547629       109.2929216584         1.7485397765        -0.1839495044         1.3866202076
        0.0904282000       142.6625129471         2.8882024392         1.4016475000         1.7683028855        94.0551493812         1.7072641828         2.1809678111         1.4044785871
        0.0954652000       142.9650429963         2.8885406293         1.4041998268         1.7734066404        97.8645924505         1.7075710172         2.1633874937         1.3968249959
        0.1004424000       138.4101603728         2.8834452459         1.4118568074         1.7938216601       109.2929216584         1.7847257543        -2.2572533073         1.3917226017
        0.1054305000       115.6344005347         2.8578362915         1.4424847297         1.7887179052       155.0062384901         2.1399740307       -22.6114802240         1.3968249959
        0.1104332000       111.4803633750         2.8531389506         1.4220661148         1.8065810474       124.5306939357         2.1528993478       -23.3520463459         1.3993761929
        0.1154591000       109.1528646821         2.8505030658         1.4195137880         1.8065810474       120.7212508663         2.1351817452       -22.3369024909         1.4044785871
        0.1204413000       108.1640654279         2.8493823682         1.4169614611         1.8167885572       116.9118077970         2.0986453922       -20.2435236693         1.3942737988
        0.1254430000       103.3520712939         2.8439207465         1.4220661148         1.8295479445       124.5306939357         2.1275181723       -21.8978121097         1.3993761929
        0.1304536000       111.9658620515         2.8536884120         1.4016475000         1.8269960670        94.0551493812         1.9400063574       -11.1541765084         1.3993761929
        0.1354371000       114.3529101249         2.8563881485         1.4067521537         1.8372035769       101.6740355198         1.8761605084        -7.4960788177         1.3942737988
        0.1404491000       109.2404611266         2.8506023213         1.4169614611         1.8448592093       116.9118077970         1.9395725622       -11.1293218757         1.3840690105
        0.1454290000       111.6206031279         2.8532976792         1.4067521537         1.8474110867       101.6740355198         1.8758941015        -7.4808148308         1.3968249959
        0.1504631000       108.1246787384         2.8493377165         1.4144091342         1.8576185965       113.1023647277         1.9137535201        -9.6499997323         1.3840690105
        0.1554304000        97.1276517296         2.8368362193         1.4271707685         1.8678261064       132.1495800743         2.0652813099       -18.3319025637         1.3917226017
        0.1604563000        91.7844973274         2.8307360027         1.4220661148         1.8754817388       124.5306939357         2.1070282732       -20.7238273705         1.3917226017
        0.1654450000        90.3474913594         2.8290923223         1.4169614611         1.8729298613       116.9118077970         2.0813554877       -19.2528851118         1.3968249959
        0.1704564000        83.6394739943         2.8214016634         1.4246184417         1.8933448810       128.3401370050         2.1425553489       -22.7593788660         1.3993761929
        0.1754428000        87.6303609272         2.8259807546         1.4093044805         1.8958967584       105.4834785891         2.0262074462       -16.0931350850         1.3993761929
        0.1804540000        91.3897408684         2.8302846029         1.4067521537         1.9010005134       101.6740355198         1.9290992222       -10.5292436951         1.3942737988
        0.1854310000        96.8446776927         2.8365135936         1.4016475000         1.9010005134        94.0551493812         1.8181512373        -4.1723924164         1.3917226017
        0.1904723000       100.5333090393         2.8407153129         1.4016475000         1.9086561457        94.0551493812         1.7500147009        -0.2684564488         1.4044785871
        0.1954462000        95.0333692090         2.8344473148         1.4144091342         1.9290711654       113.1023647277         1.8364471466        -5.2206707982         1.3840690105
        0.2005502000        90.9094444762         2.8297352548         1.4144091342         1.9341749203       113.1023647277         1.8895279438        -8.2619764493         1.3891714046
        0.2054180000        87.6305725212         2.8259809971         1.4144091342         1.9367267978       113.1023647277         1.9221264779       -10.1297348724         1.3917226017
        0.2104309000        83.2499073750         2.8209541039         1.4169614611         1.9469343076       116.9118077970         1.9678016640       -12.7467302666         1.3917226017
        0.2154407000        79.5963967740         2.8167516197         1.4169614611         1.9571418174       116.9118077970         1.9958521869       -14.3539068386         1.3993761929
        0.2204650000        82.8725172768         2.8205204347         1.4067521537         1.9596936949       101.6740355198         1.9104571330        -9.4611306609         1.3993761929
        0.2254324000        86.4099039243         2.8245815494         1.4041998268         1.9596936949        97.8645924505         1.8323579962        -4.9863797370         1.4070297842
