% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339141V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.0754524000       153.2519766437         2.9000212461         1.3863335388         4.5447455609        70.4366023515        84.2019741096        15.7980258904         1.4019273900
        0.0804322000       153.3365755259         2.9001155179         1.3990951731         4.5498493158        89.4838176980        86.2400766923        13.7599233077         1.3968249959
        0.0854390000       149.1251811218         2.8954198433         1.4067521537         4.5677124580       100.9121469059        91.9015817512         8.0984182488         1.3891714046
        0.0904449000       151.3491818175         2.8979002967         1.3990951731         4.5728162129        89.4838176980        90.9686402359         9.0313597641         1.3968249959
        0.0954422000       159.7970200890         2.9073083149         1.3888858657         4.5753680904        74.2460454208        84.5159001818        15.4840998182         1.3891714046
        0.1004486000       163.2103776904         2.9111038570         1.3939905194         4.5779199678        81.8649315594        83.4929721254        16.5070278746         1.3993761929
        0.1054257000       156.6149109572         2.9037670133         1.4093044805         4.5906793551       104.7215899753        91.6844492381         8.3155507619         1.3993761929
        0.1104737000       147.4332186612         2.8935316824         1.4169614611         4.6034387424       116.1499191832       101.1249289964        -1.1249289964         1.3968249959
        0.1154585000       145.7369418946         2.8916377285         1.4093044805         4.6059906199       104.7215899753       102.5127709321        -2.5127709321         1.3993761929
        0.1204300000       144.4262888758         2.8901736504         1.4093044805         4.6161981297       104.7215899753       103.3650869315        -3.3650869315         1.3993761929
        0.1254758000       148.2147566587         2.8944039665         1.4016475000         4.6187500072        93.2932607673        99.4786759513         0.5213240487         1.3942737988
        0.1304537000       144.4402885703         2.8901892921         1.4118568074         4.6289575170       108.5310330446       102.9717048649        -2.9717048649         1.3942737988
        0.1354420000       141.6363884304         2.8870551126         1.4118568074         4.6391650269       108.5310330446       105.1168803006        -5.1168803006         1.3917226017
        0.1404921000       145.9116069784         2.8918327943         1.4016475000         4.6340612719        93.2932607673       100.5545056099        -0.5545056099         1.4019273900
        0.1455361000       139.1945356827         2.8843232576         1.4169614611         4.6519244142       116.1499191832       106.5723007510        -6.5723007510         1.3993761929
        0.1505379000       134.1495602181         2.8786717991         1.4169614611         4.6544762916       116.1499191832       110.2680120185       -10.2680120185         1.3917226017
        0.1554440000       136.6145330791         2.8814343606         1.4067521537         4.6570281691       100.9121469059       106.6578686036        -6.6578686036         1.3993761929
        0.1604382000       138.0763967261         2.8830715665         1.4067521537         4.6621319240       100.9121469059       104.4407695859        -4.4407695859         1.4019273900
        0.1654546000       135.6806887792         2.8803880641         1.4118568074         4.6774431887       108.5310330446       106.0190776860        -6.0190776860         1.4044785871
        0.1704734000       128.8612297179         2.8727365225         1.4195137880         4.6927544535       119.9593622525       111.3982089502       -11.3982089502         1.3993761929
        0.1754465000       126.7779399451         2.8703950572         1.4144091342         4.6978582084       112.3404761139       111.7618011520       -11.7618011520         1.3993761929
        0.1804553000       128.0372090504         2.8718106132         1.4093044805         4.7004100859       104.7215899753       109.0451980678        -9.0451980678         1.3942737988
        0.1854546000       130.1624126004         2.8741979903         1.4067521537         4.7055138408       100.9121469059       105.9069013158        -5.9069013158         1.4019273900
