% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339077V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         Error[deg/s]           disturbance[V]      
        0.0004756000        53.1552606929         2.7860406200         1.3429439823         4.2461758982         5.7713062500        44.2286937500         1.3968249959
        0.0054310000        68.0840718041         2.8034467528         1.3378393285         4.2410721433        -1.8475798886        51.8475798886         1.3993761929
        0.0104438000        46.3347888699         2.7780262957         1.3557056165         4.2487277756        24.8185215965        25.1814784035         1.3942737988
        0.0154175000        50.0516128545         2.7823987322         1.3557056165         4.2436240207        24.8185215965        25.1814784035         1.3815178134
        0.0204580000        62.1690264096         2.7965716584         1.3506009628         4.2436240207        17.1996354579        32.8003645421         1.4044785871
        0.0254359000        62.8101146313         2.7973181325         1.3531532897         4.2461758982        21.0090785272        28.9909214728         1.3942737988
        0.0304480000        58.6886285565         2.7925133490         1.3582579434         4.2538315306        28.6279646658        21.3720353342         1.3891714046
        0.0354361000        49.2422886739         2.7814476839         1.3659149240         4.2538315306        40.0562938738         9.9437061262         1.3993761929
        0.0404463000        46.5096998284         2.7782323329         1.3684672508         4.2512796531        43.8657369431         6.1342630569         1.3917226017
        0.0454346000         5.4121784040         2.5735902392         1.3939905194         4.2538315306        81.9601676361       -31.9601676361         1.3917226017
        0.0504401000        55.2986419296         2.7885509100         1.3608102703         4.2512796531        32.4374077352        17.5625922648         1.3993761929
        0.0554457000        66.2914964623         2.8013661213         1.3557056165         4.2589352855        24.8185215965        25.1814784035         1.4044785871
        0.0604340000        53.2071413057         2.7861014276         1.3659149240         4.2563834080        40.0562938738         9.9437061262         1.3993761929
        0.0654433000        63.0754368161         2.7976269740         1.3608102703         4.2589352855        32.4374077352        17.5625922648         1.3993761929
        0.0704494000        65.6677017783         2.8006415020         1.3608102703         4.2589352855        32.4374077352        17.5625922648         1.4044785871
        0.0754344000        47.2584928140         2.7791140697         1.3735719045         4.2640390404        51.4846230817        -1.4846230817         1.3866202076
        0.0804496000        63.8405393614         2.7985172587         1.3633625971         4.2665909178        36.2468508045        13.7531491955         1.3866202076
        0.0854292000        53.2696404565         2.7861746779         1.3710195777         4.2767984277        47.6751800124         2.3248199876         1.3917226017
        0.0904421000        45.2121978033         2.7767032846         1.3761242314         4.2793503051        55.2940661510        -5.2940661510         1.3917226017
        0.0954433000        52.8313752689         2.7856609522         1.3710195777         4.2844540601        47.6751800124         2.3248199876         1.3993761929
        0.1004369000        48.9742274010         2.7811325553         1.3735719045         4.2870059375        51.4846230817        -1.4846230817         1.3942737988
        0.1054476000        44.5548000219         2.7759279951         1.3761242314         4.2895578150        55.2940661510        -5.2940661510         1.4044785871
        0.1104255000        60.5745670581         2.7947136615         1.3659149240         4.2921096924        40.0562938738         9.9437061262         1.4044785871
        0.1154590000        32.6402095008         2.7618076842         1.3837812120         4.2972134474        66.7223953589       -16.7223953589         1.3917226017
        0.1204204000        46.9731380034         2.7787781105         1.3735719045         4.3023172023        51.4846230817        -1.4846230817         1.3968249959
        0.1254412000        46.7540054096         2.7785200682         1.3735719045         4.3125247121        51.4846230817        -1.4846230817         1.3866202076
        0.1304416000        33.9339884599         2.7633474613         1.3812288851         4.3074209572        62.9129522896       -12.9129522896         1.3815178134
        0.1354638000        44.6289016885         2.7760154049         1.3735719045         4.3125247121        51.4846230817        -1.4846230817         1.3840690105
        0.1404359000        36.0091795241         2.7658138715         1.3786765582         4.3227322219        59.1035092203        -9.1035092203         1.3968249959
        0.1454526000        34.6654879079         2.7642173344         1.3786765582         4.3252840994        59.1035092203        -9.1035092203         1.3942737988
        0.1504358000        45.9226806476         2.7775407432         1.3710195777         4.3227322219        47.6751800124         2.3248199876         1.4044785871
        0.1554391000       -16.7385942145         2.3107681845         1.4093044805         4.3278359769       104.8168260520       -54.8168260520         1.4044785871
        0.1604516000        38.1747818145         2.7683833774         1.3710195777         4.3303878543        47.6751800124         2.3248199876         1.4044785871
        0.1654331000        93.1217609408         2.8322644140         1.3378393285         4.3252840994        -1.8475798886        51.8475798886         1.3993761929
        0.1704457000        62.9718884360         2.7975064479         1.3608102703         4.3278359769        32.4374077352        17.5625922648         1.3993761929
        0.1754296000        44.5626794717         2.7759372898         1.3735719045         4.3405953642        51.4846230817        -1.4846230817         1.3840690105
        0.1804408000        56.9444312338         2.7904758082         1.3659149240         4.3380434867        40.0562938738         9.9437061262         1.3815178134
        0.1854311000        37.4106632471         2.7674772489         1.3786765582         4.3508028740        59.1035092203        -9.1035092203         1.3993761929
        0.1904366000        36.0669716309         2.7658824999         1.3786765582         4.3508028740        59.1035092203        -9.1035092203         1.3942737988
        0.1954819000        47.3241643707         2.7791913772         1.3710195777         4.3533547515        47.6751800124         2.3248199876         1.3968249959
        0.2004568000        39.2667217175         2.7696773031         1.3761242314         4.3584585064        55.2940661510        -5.2940661510         1.3968249959
        0.2054379000        -3.5176382405         2.4676366998         1.4016475000         4.3584585064        93.3884968441       -43.3884968441         1.4044785871
        0.2104242000        57.2828711073         2.7908713643         1.3608102703         4.3508028740        32.4374077352        17.5625922648         1.3968249959
        0.2154387000        72.4760204254         2.8085340994         1.3531532897         4.3508028740        21.0090785272        28.9909214728         1.4019273900
        0.2204411000        59.9539447800         2.7939899053         1.3633625971         4.3584585064        36.2468508045        13.7531491955         1.4019273900
