% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=53.8007  Kd=1.7520  K_pot=68.073520deg/V
% Vg_offset=1.338707V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.2254741000       -32.1708884256         2.2506358325         1.3659149240         2.7941576240        40.6086631188        19.2755361807
        0.2304435000        39.9151859490         2.7704451937         1.3454963091         2.7890538691        10.1331185644        18.9281056182
        0.2354475000        65.2712086533         2.8001807653         1.3250776943         2.7967095015       -20.3424259901        19.4492514619
        0.2404553000       -42.8579029085         2.2323560445         1.3557056165         2.8043651338        25.3708908416        19.9703973057
        0.2454437000       -29.5093894819         2.2552659922         1.3506009628         2.8043651338        17.7520047030        19.9703973057
        0.2504321000       -42.8579029085         2.2323560445         1.3557056165         2.8043651338        25.3708908416        19.9703973057
        0.2554334000         5.2028982335         2.5711071003         1.3480486360         2.7967095015        13.9425616337        19.4492514619
        0.2604258000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.2654880000        18.5514116602         2.7294891029         1.3429439823         2.7967095015         6.3236754950        19.4492514619
        0.2704395000       -16.1608760553         2.3176228923         1.3454963091         2.8043651338        10.1331185644        19.9703973057
        0.2754894000         6.5336477054         2.5868966313         1.3403916554         2.8018132564         2.5142324257        19.7966820244
        0.2804337000        31.8999250868         2.7609259138         1.3378393285         2.7967095015        -1.2952106436        19.4492514619
        0.2854424000        25.2256683735         2.7529516821         1.3403916554         2.7967095015         2.5142324257        19.4492514619
        0.2904252000        61.2687055608         2.7955227812         1.3301823480         2.7941576240       -12.7235398515        19.2755361807
        0.2954365000        45.2484385134         2.7767460131         1.3327346748         2.7967095015        -8.9140967822        19.4492514619
        0.3004476000        15.8796580394         2.6977883678         1.3403916554         2.7992613789         2.5142324257        19.6229667432
        0.3054438000      -118.9464803757         2.1148203847         1.3812288851         2.8069170113        63.4653215347        20.1441125869
        0.3104434000       -25.5068863893         2.2622889383         1.3454963091         2.8069170113        10.1331185644        20.1441125869
        0.3154552000        -8.1558698701         2.4126034246         1.3352870017         2.8094688888        -5.1046537129        20.3178278682
        0.3204430000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.3254531000        13.2079044187         2.6660876326         1.3378393285         2.8018132564        -1.2952106436        19.7966820244
        0.3304272000        61.2687055608         2.7955227812         1.3301823480         2.7941576240       -12.7235398515        19.2755361807
        0.3354431000        38.5741818001         2.7688567872         1.3352870017         2.7967095015        -5.1046537129        19.4492514619
        0.3404319000        74.6172189874         2.8110090957         1.3250776943         2.7941576240       -20.3424259901        19.2755361807
        0.3454400000        27.8974219942         2.7561491394         1.3429439823         2.7941576240         6.3236754950        19.2755361807
        0.3504470000       -98.9237102357         2.1438330209         1.3735719045         2.8069170113        52.0369923267        20.1441125869
        0.3554270000       -70.8959339107         2.1866317223         1.3557056165         2.8120207662        25.3708908416        20.4915431494
        0.3604359000       -41.5271534367         2.2346054780         1.3480486360         2.8094688888        13.9425616337        20.3178278682
        0.3654797000       -41.5271534367         2.2346054780         1.3480486360         2.8094688888        13.9425616337        20.3178278682
        0.3704299000        33.2306745586         2.7625106203         1.3301823480         2.8018132564       -12.7235398515        19.7966820244
        0.3754417000        15.8796580394         2.6977883678         1.3403916554         2.7992613789         2.5142324257        19.6229667432
        0.3804815000        10.5361507980         2.6343868975         1.3352870017         2.8043651338        -5.1046537129        19.9703973057
        0.3854762000        51.9226952267         2.7845952926         1.3301823480         2.7967095015       -12.7235398515        19.4492514619
        0.3904441000        29.2281714660         2.7577390713         1.3352870017         2.7992613789        -5.1046537129        19.6229667432
        0.3954275000        -2.8123626287         2.4760048949         1.3403916554         2.8043651338         2.5142324257        19.9703973057
        0.4004467000        10.5361507980         2.6343868975         1.3352870017         2.8043651338        -5.1046537129        19.9703973057
        0.4054257000       -30.8503936308         2.2529291286         1.3403916554         2.8120207662         2.5142324257        20.4915431494
        0.4104623000        -9.4866193420         2.3968138936         1.3429439823         2.8043651338         6.3236754950        19.9703973057
        0.4154533000       -24.1761369175         2.2646400365         1.3378393285         2.8120207662        -1.2952106436        20.4915431494
        0.4204544000       -44.1989070574         2.2300968429         1.3454963091         2.8120207662        10.1331185644        20.4915431494
        0.4254164000         1.1901404639         2.5234951610         1.3352870017         2.8069170113        -5.1046537129        20.1441125869
        0.4304478000        17.2104075113         2.7135778988         1.3327346748         2.8043651338        -8.9140967822        19.9703973057
        0.4354269000        10.5361507980         2.6343868975         1.3352870017         2.8043651338        -5.1046537129        19.9703973057
        0.4404464000         1.1901404639         2.5234951610         1.3352870017         2.8069170113        -5.1046537129        20.1441125869
        0.4454220000       -30.8503936308         2.2529291286         1.3403916554         2.8120207662         2.5142324257        20.4915431494
        0.4504431000       -14.8301265834         2.3334124233         1.3378393285         2.8094688888        -1.2952106436        20.3178278682
        0.4554445000        -8.1558698701         2.4126034246         1.3352870017         2.8094688888        -5.1046537129        20.3178278682
        0.4604300000         7.8643971772         2.6026861623         1.3327346748         2.8069170113        -8.9140967822        20.1441125869
        0.4654464000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.4704536000        13.2079044187         2.6660876326         1.3378393285         2.8018132564        -1.2952106436        19.7966820244
        0.4754345000        29.2281714660         2.7577390713         1.3352870017         2.7992613789        -5.1046537129        19.6229667432
        0.4804428000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.4854279000       -16.1608760553         2.3176228923         1.3454963091         2.8043651338        10.1331185644        19.9703973057
        0.4904387000        -5.4841162494         2.4443041597         1.3378393285         2.8069170113        -1.2952106436        20.1441125869
        0.4954280000       -28.1786400100         2.2575929504         1.3429439823         2.8094688888         6.3236754950        20.3178278682
        0.5004302000       -28.1786400100         2.2575929504         1.3429439823         2.8094688888         6.3236754950        20.3178278682
        0.5054458000        -9.4866193420         2.3968138936         1.3429439823         2.8043651338         6.3236754950        19.9703973057
        0.5104505000        -2.8123626287         2.4760048949         1.3403916554         2.8043651338         2.5142324257        19.9703973057
        0.5154463000        35.9024281794         2.7656870954         1.3327346748         2.7992613789        -8.9140967822        19.6229667432
        0.5204586000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.5254333000        23.8846642246         2.7513441013         1.3301823480         2.8043651338       -12.7235398515        19.9703973057
        0.5304502000       -34.8528967234         2.2460017266         1.3454963091         2.8094688888        10.1331185644        20.3178278682
        0.5354505000       -37.5246503441         2.2414166430         1.3429439823         2.8120207662         6.3236754950        20.4915431494
        0.5404663000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.5454391000        22.5539147527         2.7497470009         1.3378393285         2.7992613789        -1.2952106436        19.6229667432
        0.5504328000        15.8796580394         2.6977883678         1.3403916554         2.7992613789         2.5142324257        19.6229667432
        0.5554416000       -44.1989070574         2.2300968429         1.3454963091         2.8120207662        10.1331185644        20.4915431494
        0.5604205000         3.8618940847         2.5551958962         1.3378393285         2.8043651338        -1.2952106436        19.9703973057
        0.5654637000       -44.1989070574         2.2300968429         1.3454963091         2.8120207662        10.1331185644        20.4915431494
