% Designation Loop (PD + Notch)  psi_cmd=+30.000deg
% Kp=72.9511  Kd=2.6949  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395445V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.5207111000        -2.9483642312         2.4648789859         1.4016475000         2.9472702715         0.1615641979        29.6984530553
        0.5256856000        27.8498401512         2.7278061410         1.3939905194         2.9472702715        -0.0378977748        29.6984530553
        0.5309700000        27.8498401512         2.7278061410         1.3939905194         2.9472702715        -0.0378977748        29.6984530553
        0.5356039000        -5.3550169572         2.4383255828         1.3990951731         2.9498221490         0.0950768736        29.8721683365
        0.5405884000        73.7274181132         2.7835531898         1.3888858657         2.9421665166        -0.1708724233        29.3510224928
        0.5455671000       -18.0277378107         2.2985032226         1.3990951731         2.9523740265         0.0950768736        30.0458836178
        0.5505117000       -66.3119684987         2.2111739538         1.4016475000         2.9600296588         0.1615641979        30.5670294615
        0.5556528000        15.1771192977         2.6648634972         1.3939905194         2.9498221490        -0.0378977748        29.8721683365
        0.5604976000        38.1159082787         2.7404459187         1.3914381925         2.9472702715        -0.1043850990        29.6984530553
        0.5656058000        43.5686709541         2.7471203494         1.3837812120         2.9523740265        -0.3038470717        30.0458836178
        0.5710783000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        0.5756393000        35.7092555526         2.7374914537         1.3888858657         2.9498221490        -0.1708724233        29.8721683365
        0.5805719000        -7.1222124599         2.4188275248         1.3837812120         2.9625815363        -0.3038470717        30.7407447427
        0.5855507000       -10.1683224093         2.3852187768         1.3939905194         2.9549259039        -0.0378977748        30.2195988990
        0.5906299000       -33.1071113903         2.2577130025         1.3965428462         2.9574777814         0.0285895494        30.3933141803
        0.5955070000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        0.6006940000      -117.0028519127         2.1442825894         1.4016475000         2.9702371687         0.1615641979        31.2618905865
        0.6056458000        -7.7616696833         2.4117721798         1.3965428462         2.9523740265         0.0285895494        30.0458836178
        0.6105506000       -20.4343905368         2.2761056636         1.3965428462         2.9549259039         0.0285895494        30.2195988990
        0.6156960000        25.4431874252         2.7248290355         1.3914381925         2.9498221490        -0.1043850990        29.8721683365
        0.6207039000       -76.5780366262         2.1972414907         1.4041998268         2.9600296588         0.2280515221        30.5670294615
        0.6256247000       -86.8441047537         2.1835118465         1.4067521537         2.9600296588         0.2945388463        30.5670294615
        0.6306220000        48.3819764061         2.7529896449         1.3888858657         2.9472702715        -0.1708724233        29.6984530553
        0.6355473000       -74.1713839002         2.2004891817         1.4067521537         2.9574777814         0.2945388463        30.3933141803
        0.6406264000       -76.5780366262         2.1972414907         1.4041998268         2.9600296588         0.2280515221        30.5670294615
        0.6455937000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.6507767000       -63.9053157727         2.2144702376         1.4041998268         2.9574777814         0.2280515221        30.3933141803
        0.6556735000       -63.9053157727         2.2144702376         1.4041998268         2.9574777814         0.2280515221        30.3933141803
        0.6606818000        97.3056643175         2.8114800748         1.3735719045         2.9498221490        -0.5697963686        29.8721683365
        0.6656307000       -51.2325949192         2.2320216610         1.4041998268         2.9549259039         0.2280515221        30.2195988990
        0.6706490000       102.1189697696         2.8171227065         1.3786765582         2.9447183941        -0.4368217202        29.5247377740
        0.6755894000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.6806607000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.6856238000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.6905559000       -40.9665267917         2.2464858853         1.4016475000         2.9549259039         0.1615641979        30.2195988990
        0.6955556000       -51.2325949192         2.2320216610         1.4041998268         2.9549259039         0.2280515221        30.2195988990
        0.7006853000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.7055838000        40.5225610047         2.7433951046         1.3939905194         2.9447183941        -0.0378977748        29.5247377740
        0.7105551000       -63.9053157727         2.2144702376         1.4041998268         2.9574777814         0.2280515221        30.3933141803
        0.7156970000       -15.6210850847         2.3250566256         1.4016475000         2.9498221490         0.1615641979        29.8721683365
        0.7206973000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.7255651000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.7306205000        91.8529016421         2.8050641042         1.3812288851         2.9447183941        -0.3703343959        29.5247377740
        0.7356035000       -51.2325949192         2.2320216610         1.4041998268         2.9549259039         0.2280515221        30.2195988990
        0.7406516000         7.3177038963         2.5781479430         1.3990951731         2.9472702715         0.0950768736        29.6984530553
        0.7456009000       -40.9665267917         2.2464858853         1.4016475000         2.9549259039         0.1615641979        30.2195988990
        0.7506376000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.7554775000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.7604668000        27.8498401512         2.7278061410         1.3939905194         2.9472702715        -0.0378977748        29.6984530553
        0.7656424000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.7706522000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.7756192000        50.7886291322         2.7559164445         1.3914381925         2.9447183941        -0.1043850990        29.5247377740
        0.7806618000        53.1952818582         2.7588380290         1.3939905194         2.9421665166        -0.0378977748        29.3510224928
        0.7898032000        61.0546972597         2.7683428983         1.3888858657         2.9447183941        -0.1708724233        29.5247377740
        0.7914196000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.8041126000       -18.0277378107         2.2985032226         1.3990951731         2.9523740265         0.0950768736        30.0458836178
        0.8060926000         7.3177038963         2.5781479430         1.3990951731         2.9472702715         0.0950768736        29.6984530553
        0.8077215000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.8106181000       -30.7004586642         2.2611781175         1.3990951731         2.9549259039         0.0950768736        30.2195988990
        0.8156213000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.8205718000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.8256071000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.8306184000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.8357547000       -38.5598740657         2.2499094244         1.4041998268         2.9523740265         0.2280515221        30.0458836178
        0.8406214000       -61.4986630467         2.2177781586         1.4067521537         2.9549259039         0.2945388463        30.2195988990
        0.8455965000       -61.4986630467         2.2177781586         1.4067521537         2.9549259039         0.2945388463        30.2195988990
        0.8506138000       -61.4986630467         2.2177781586         1.4067521537         2.9549259039         0.2945388463        30.2195988990
        0.8555159000       -53.6392476452         2.2286630487         1.4016475000         2.9574777814         0.1615641979        30.3933141803
        0.8606225000        53.1952818582         2.7588380290         1.3939905194         2.9421665166        -0.0378977748        29.3510224928
        0.8655031000        53.1952818582         2.7588380290         1.3939905194         2.9421665166        -0.0378977748        29.3510224928
        0.8705549000        48.3819764061         2.7529896449         1.3888858657         2.9472702715        -0.1708724233        29.6984530553
        0.8754934000       125.0577587505         2.8437493369         1.3761242314         2.9421665166        -0.5033090444        29.3510224928
        0.8807049000        -5.3550169572         2.4383255828         1.3990951731         2.9498221490         0.0950768736        29.8721683365
        0.8856466000        17.5837720237         2.6914169002         1.3965428462         2.9472702715         0.0285895494        29.6984530553
        0.8905902000        89.4462489161         2.8022242624         1.3786765582         2.9472702715        -0.4368217202        29.6984530553
        0.8956282000       -61.4986630467         2.2177781586         1.4067521537         2.9549259039         0.2945388463        30.2195988990
        0.9006441000        40.5225610047         2.7433951046         1.3939905194         2.9447183941        -0.0378977748        29.5247377740
        0.9056481000       -18.0277378107         2.2985032226         1.3990951731         2.9523740265         0.0950768736        30.0458836178
        0.9106136000         4.9110511702         2.5515945400         1.3965428462         2.9498221490         0.0285895494        29.8721683365
        0.9156115000        73.7274181132         2.7835531898         1.3888858657         2.9421665166        -0.1708724233        29.3510224928
