% Designation Loop (PD + Notch)  psi_cmd=+20.000deg
% Kp=56.9305  Kd=1.8754  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.338835V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0907322000       -97.1695153647         2.1699001259         1.4169614611         2.8043651338         2.0351769946        19.9703973057
        0.0955171000      -121.1441591555         2.1390174299         1.3990951731         2.8094688888         1.5697657250        20.3178278682
        0.1005562000      -212.0844428462         2.0296183259         1.3939905194         2.8222282761         1.4367910765        21.1864042744
        0.1055281000      -206.4188321486         2.0361333383         1.3761242314         2.8196763986         0.9713798070        21.0126889931
        0.1105684000      -207.6564577410         2.0347072676         1.3582579434         2.8196763986         0.5059685374        21.0126889931
        0.1155794000      -256.4004722823         1.9797138584         1.3531532897         2.8247801535         0.3729938889        21.3601195556
        0.1205836000      -262.6728847012         1.9727826490         1.3403916554         2.8273320310         0.0405572678        21.5338348369
        0.1255644000      -221.1055461395         2.0193128942         1.3250776943         2.8222282761        -0.3583666776        21.1864042744
        0.1304513000      -206.0637612788         2.0365427762         1.3199730405         2.8196763986        -0.4913413260        21.0126889931
        0.1356223000       -33.4996398618         2.2571490575         1.2689265034         2.8120207662        -1.8210878106        20.4915431494
        0.1407385000       106.4701516317         2.8222068416         1.2280892737         2.8069170113        -2.8848849982        20.1441125869
        0.1456238000        70.5230491056         2.7797205679         1.2434032349         2.8094688888        -2.4859610528        20.3178278682
        0.1505062000       150.8387175801         2.8731709939         1.2459555617         2.7941576240        -2.4194737286        19.2755361807
        0.1556798000       223.3713718558         2.9533565324         1.2536125423         2.7788463592        -2.2200117559        18.2332444932
        0.1607028000       237.9743296047         2.9690910624         1.2663741766         2.7762944818        -1.8875751348        18.0595292120
        0.1657345000       283.1977011037         3.0171033369         1.2765834840         2.7686388494        -1.6216258379        17.5383833683
        0.1707330000       278.4389633801         3.0120969307         1.2944497720         2.7686388494        -1.1562145683        17.5383833683
        0.1755424000       289.5646159147         3.0237866297         1.3097637331         2.7660869720        -0.7572906229        17.3646680870
        0.1807079000       376.4801252897         3.1137541215         1.3097637331         2.7533275847        -0.7572906229        16.4960916808
        0.1856300000       379.0859373937         3.1164285035         1.3225253674         2.7507757072        -0.4248540018        16.3223763996
        0.1906158000       366.1469055000         3.1031423758         1.3378393285         2.7482238297        -0.0259300564        16.1486611183
        0.1956393000       333.3526234696         3.0693517983         1.3429439823         2.7558794621         0.1070445920        16.6698069620
        0.2006176000       298.6200596121         3.0332640001         1.3454963091         2.7635350945         0.1735319162        17.1909528058
        0.2055974000       300.4550963590         3.0351807116         1.3454963091         2.7609832170         0.1735319162        17.0172375245
        0.2106771000       282.3911768412         3.0162555236         1.3454963091         2.7609832170         0.1735319162        17.0172375245
        0.2156341000       286.8345878972         3.0209230008         1.3378393285         2.7584313396        -0.0259300564        16.8435222433
        0.2206849000       256.0968227996         2.9884534166         1.3403916554         2.7558794621         0.0405572678        16.6698069620
        0.2255886000       216.7516336372         2.9461824110         1.3378393285         2.7584313396        -0.0259300564        16.8435222433
        0.2307032000       172.7956783150         2.8978297834         1.3403916554         2.7584313396         0.0405572678        16.8435222433
        0.2357010000       145.1816682648         2.8667593742         1.3378393285         2.7584313396        -0.0259300564        16.8435222433
        0.2407053000        77.0726271578         2.7875446642         1.3480486360         2.7609832170         0.2400192405        17.0172375245
        0.2457194000        80.7221879694         2.7918881528         1.3454963091         2.7558794621         0.1735319162        16.6698069620
        0.2507313000      -180.6329127586         2.0662375060         1.4246184417         2.7635350945         2.2346389673        17.1909528058
        0.2555143000      -420.1882967843         1.8038320526         1.4960835936         2.7762944818         4.0962840456        18.0595292120
        0.2605649000      -348.9495389009         1.8796170028         1.4603510177         2.7890538691         3.1654615064        18.9281056182
        0.2654681000      -339.2487806540         1.8899545850         1.4475893834         2.8018132564         2.8330248853        19.7966820244
        0.2705143000      -286.7229701501         1.9464526417         1.4271707685         2.8094688888         2.3011262915        20.3178278682
        0.2754868000      -260.5963053302         1.9750741527         1.4195137880         2.8145726437         2.1016643188        20.6652584306
        0.2810463000      -295.4495466951         1.9369835409         1.4195137880         2.8298839084         2.1016643188        21.7075501181
        0.2855784000      -276.3186890470         1.9577983139         1.4067521537         2.8400914183         1.7692276977        22.4024112431
        0.2905688000      -242.3341604618         1.9953675393         1.3939905194         2.8451951732         1.4367910765        22.7498418056
        0.2956037000      -249.5667177083         1.9872991093         1.3939905194         2.8502989281         1.4367910765        23.0972723680
        0.3006505000      -173.0646592642         2.0752246043         1.3684672508         2.8502989281         0.7719178343        23.0972723680
        0.3056154000      -160.4246353264         2.0904002340         1.3557056165         2.8554026830         0.4394812131        23.4447029305
        0.3106508000      -168.0004922405         2.0812792003         1.3480486360         2.8605064379         0.2400192405        23.7921334930
        0.3155806000      -113.8118022817         2.1483589612         1.3301823480         2.8554026830        -0.2253920291        23.4447029305
        0.3205235000      -148.2767309177         2.1051912326         1.3352870017         2.8554026830        -0.0924173807        23.4447029305
        0.3257011000      -143.4031965781         2.1111846198         1.3327346748         2.8502989281        -0.1589047049        23.0972723680
        0.3307204000      -213.2157571424         2.0283214219         1.3429439823         2.8554026830         0.1070445920        23.4447029305
        0.3355638000      -244.2721085277         1.9932014020         1.3403916554         2.8605064379         0.0405572678        23.7921334930
        0.3406765000      -224.9844680313         2.0149064707         1.3276300211         2.8605064379        -0.2918793534        23.7921334930
        0.3456845000       -52.9246588837         2.2296590349         1.2842404646         2.8426432957        -1.4221638652        22.5761265243
        0.3505630000       148.6629397518         2.8707078915         1.2000136783         2.8451951732        -3.6162455647        22.7498418056
        0.3556802000       176.3917571892         2.9018349250         1.2025660052         2.8298839084        -3.5497582405        21.7075501181
        0.3606455000       196.1247950450         2.9236524654         1.2102229857         2.8145726437        -3.3502962678        20.6652584306
        0.3655715000       212.1834850211         2.9412160574         1.2255369469         2.7967095015        -2.9513723224        19.4492514619
        0.3706525000       174.5961486574         2.8998362117         1.2459555617         2.7916057465        -2.4194737286        19.1018208995
        0.3757178000       192.6725837809         2.9198547234         1.2536125423         2.7839501142        -2.2200117559        18.5806750557
        0.3806409000       244.6896887299         2.9762863476         1.2587171960         2.7711907269        -2.0870371075        17.7120986495
        0.3856581000       237.8093941463         2.9689140263         1.2765834840         2.7660869720        -1.6216258379        17.3646680870
        0.3906493000       281.6159334470         3.0154403305         1.2816881377         2.7584313396        -1.4886511894        16.8435222433
        0.3956202000       206.6593820692         2.9351929739         1.3097637331         2.7660869720        -0.7572906229        17.3646680870
        0.4007028000       300.5304363706         3.0352593782         1.3097637331         2.7507757072        -0.7572906229        16.3223763996
        0.4057134000       232.5882666843         2.9633019310         1.3352870017         2.7584313396        -0.0924173807        16.8435222433
        0.4105598000       262.1085615169         2.9948388390         1.3429439823         2.7533275847         0.1070445920        16.4960916808
        0.4155260000       243.8481909985         2.9753860611         1.3480486360         2.7609832170         0.2400192405        17.0172375245
        0.4206752000       262.5562330610         2.9953136219         1.3480486360         2.7609832170         0.2400192405        17.0172375245
        0.4256931000       326.3186583554         3.0620729779         1.3352870017         2.7558794621        -0.0924173807        16.6698069620
        0.4304932000       350.3412801032         3.0868824190         1.3327346748         2.7507757072        -0.1589047049        16.3223763996
        0.4354624000       272.0665896522         3.0053772499         1.3429439823         2.7609832170         0.1070445920        17.0172375245
        0.4405570000       249.4755842608         2.9813993817         1.3454963091         2.7609832170         0.1735319162        17.0172375245
        0.4455155000       228.3042294191         2.9586854583         1.3454963091         2.7609832170         0.1735319162        17.0172375245
        0.4505827000       276.3177581193         3.0098621381         1.3327346748         2.7507757072        -0.1589047049        16.3223763996
        0.4555569000       170.1560245308         2.8948839815         1.3531532897         2.7558794621         0.3729938889        16.6698069620
        0.4607038000       -78.1875597040         2.1950757230         1.4271707685         2.7609832170         2.3011262915        17.0172375245
        0.4656352000      -338.4225127749         1.8908360226         1.4960835936         2.7762944818         4.0962840456        18.0595292120
        0.4706111000      -335.2111924185         1.8942633298         1.4629033445         2.7992613789         3.2319488307        19.6229667432
        0.4756523000      -296.1975462254         1.9361737459         1.4450370565         2.8018132564         2.7665375611        19.7966820244
        0.4805417000      -288.9837321716         1.9439955900         1.4348277491         2.8069170113         2.5005882642        20.1441125869
        0.4855413000      -317.1885068825         1.9135532015         1.4271707685         2.8196763986         2.3011262915        21.0126889931
        0.4905476000      -373.6393646987         1.8533661031         1.4271707685         2.8349876633         2.3011262915        22.0549806806
        0.4954809000      -317.3370105062         1.9133938167         1.4118568074         2.8324357859         1.9022023461        21.8812653993
        0.5006948000      -304.7364224186         1.9269486408         1.3939905194         2.8426432957         1.4367910765        22.5761265243
        0.5057329000      -327.3370565439         1.9026786935         1.3888858657         2.8528508056         1.3038164281        23.2709876493
        0.5105259000      -242.1585046858         1.9955640338         1.3659149240         2.8477470506         0.7054305100        22.9235570868
        0.5156981000      -301.0891248371         1.9308848389         1.3659149240         2.8630583154         0.7054305100        23.9658487743
        0.5206808000      -247.8124892652         1.9892521600         1.3506009628         2.8605064379         0.3065065647        23.7921334930
        0.5255723000      -157.1659649164         2.0943475754         1.3276300211         2.8528508056        -0.2918793534        23.2709876493
        0.5306156000      -166.8456659642         2.0826645968         1.3327346748         2.8502989281        -0.1589047049        23.0972723680
        0.5355875000      -244.5851154760         1.9928518326         1.3454963091         2.8605064379         0.1735319162        23.7921334930
        0.5406099000      -163.9927434887         2.0860947452         1.3301823480         2.8502989281        -0.2253920291        23.0972723680
        0.5457116000      -176.6636426686         2.0709418791         1.3301823480         2.8528508056        -0.2253920291        23.2709876493
        0.5506557000        29.1911749308         2.7294631031         1.2612695229         2.8477470506        -2.0205497832        22.9235570868
        0.5556810000       345.4103751739         3.0818007117         1.1591764486         2.8349876633        -4.6800427523        22.0549806806
        0.5607687000       361.1920046050         3.0980492676         1.1693857560         2.8171245211        -4.4140934554        20.8389737119
        0.5656886000       345.8095992579         3.0822123291         1.1923566977         2.7992613789        -3.8157075374        19.6229667432
        0.5707549000       287.2503589991         3.0213593160         1.2229846200         2.7890538691        -3.0178596466        18.9281056182
        0.5756072000       355.0993532654         3.0917815963         1.2178799663         2.7737426043        -3.1508342951        17.8858139307
        0.5807093000       382.1085897198         3.1195300361         1.2255369469         2.7609832170        -2.9513723224        17.0172375245
        0.5856198000       341.5209573896         3.0777887665         1.2459555617         2.7584313396        -2.4194737286        16.8435222433
        0.5905356000       378.7627770527         3.1160968697         1.2587171960         2.7431200748        -2.0870371075        15.8012305558
        0.5956705000       374.3495948522         3.1115670841         1.2740311571         2.7380163199        -1.6881131621        15.4537999933
        0.6006274000       298.6145208266         3.0332582129         1.2995544257         2.7456719523        -1.0232399198        15.9749458371
        0.6054902000       378.8952202400         3.1162327866         1.3021067526         2.7303606875        -0.9567525956        14.9326541496
        0.6106235000       339.7275022063         3.0759376823         1.3225253674         2.7329125650        -0.4248540018        15.1063694309
        0.6155984000       289.1934047675         3.0233974310         1.3403916554         2.7405681974         0.0405572678        15.6275152746
        0.6206179000       344.7563999120         3.0811263624         1.3403916554         2.7329125650         0.0405572678        15.1063694309
        0.6256421000       403.9270009893         3.1419071056         1.3327346748         2.7278088101        -0.1589047049        14.7589388684
        0.6307356000       402.6416881152         3.1405889694         1.3403916554         2.7252569326         0.0405572678        14.5852235871
        0.6356308000       212.6264698123         2.9416982245         1.4041998268         2.7303606875         1.7027403734        14.9326541496
        0.6405782000      -235.7581004459         2.0027417599         1.5318161696         2.7584313396         5.0271065848        16.8435222433
        0.6456406000      -226.3400423881         2.0133699492         1.5216068622         2.7686388494         4.7611572879        17.5383833683
        0.6507145000      -197.8285267730         2.0460775625         1.4935312668         2.7839501142         4.0297967214        18.5806750557
        0.6555081000      -225.7339700708         2.0140567069         1.4782173056         2.8018132564         3.6308727760        19.7966820244
        0.6606035000      -266.9102468816         1.9681161921         1.4680079982         2.8171245211         3.3649234791        20.8389737119
        0.6657058000      -346.2063234209         1.8825384192         1.4654556714         2.8349876633         3.2984361549        22.0549806806
        0.6705613000      -299.8642774537         1.9322080930         1.4399324028         2.8349876633         2.6335629126        22.0549806806
        0.6754880000      -369.2628689921         1.8580158055         1.4322754222         2.8502989281         2.4341009399        23.0972723680
        0.6806906000      -430.1533580838         1.7931742359         1.4246184417         2.8630583154         2.2346389673        23.9658487743
        0.6855390000      -426.6479458459         1.7969267142         1.4041998268         2.8681620703         1.7027403734        24.3132793367
        0.6905133000      -477.5323939058         1.7419575378         1.3965428462         2.8783695801         1.5032784008        25.0081404617
        0.6955647000      -426.7961620563         1.7967681290         1.3710195777         2.8758177027         0.8384051585        24.8344251805
        0.7004815000      -398.0244729828         1.8274511313         1.3506009628         2.8758177027         0.3065065647        24.8344251805
        0.7057843000      -404.7614077364         1.8202816678         1.3378393285         2.8809214576        -0.0259300564        25.1818557430
        0.7105723000      -402.4248622073         1.8227690110         1.3352870017         2.8783695801        -0.0924173807        25.0081404617
        0.7155708000      -356.7325399376         1.8713350157         1.3199730405         2.8758177027        -0.4913413260        24.8344251805
        0.7206596000        25.6529590757         2.7250887417         1.1872520440         2.8707139478        -3.9486821858        24.4869946180
        0.7255486000       293.2883258703         3.0276877203         1.1106822383         2.8528508056        -5.9433019126        23.2709876493
        0.7305602000       332.0925574197         3.0680488308         1.1311008532         2.8247801535        -5.4114033188        21.3601195556
        0.7355441000       308.8793937484         3.0439643351         1.1566241217         2.8120207662        -4.7465300765        20.4915431494
        0.7406832000       345.7672398708         3.0821686563         1.1719380829         2.7941576240        -4.3476061312        19.2755361807
        0.7456498000       472.1676055629         3.2121897153         1.1719380829         2.7660869720        -4.3476061312        17.3646680870
        0.7505953000       469.1982902086         3.2091093631         1.1923566977         2.7584313396        -3.8157075374        16.8435222433
        0.7555943000       540.9841428549         3.2847050725         1.2025660052         2.7405681974        -3.5497582405        15.6275152746
        0.7607231000       558.4322587743         3.3035532755         1.2229846200         2.7303606875        -3.0178596466        14.9326541496
        0.7654885000       682.5697761844         3.4466513060         1.2229846200         2.7073937904        -3.0178596466        13.3692166184
        0.7707061000       659.2463044289         3.4182699607         1.2434032349         2.7073937904        -2.4859610528        13.3692166184
        0.7756503000       601.3086401829         3.3509790124         1.2765834840         2.7073937904        -1.6216258379        13.3692166184
        0.7806267000       605.0633802357         3.3552183627         1.3046590794         2.6946344031        -0.8902652714        12.5006402122
        0.7857570000       180.4986099297         2.9063977551         1.4629033445         2.6997381580         3.2319488307        12.8480707747
        0.7906695000      -352.1409846707         1.8762198549         1.6339092439         2.7278088101         7.6865995538        14.7589388684
        0.7957085000      -319.5438840794         1.9110261877         1.6032813216         2.7558794621         6.8887516631        16.6698069620
        0.8007341000      -324.1713290467         1.9060671898         1.5905196873         2.7762944818         6.5563150420        18.0595292120
        0.8055820000      -371.5666150773         1.8555681685         1.5726533993         2.8069170113         6.0909037724        20.1441125869
        0.8106586000      -381.2216851066         1.8453110247         1.5522347845         2.8247801535         5.5590051786        21.3601195556
        0.8154759000      -395.3884627912         1.8302546697         1.5369208233         2.8349876633         5.1600812332        22.0549806806
        0.8206298000      -549.1776325506         1.6617062840         1.5343684965         2.8681620703         5.0935939090        24.3132793367
        0.8256441000      -588.5560862744         1.6154796989         1.5113975548         2.8834733351         4.4952079910        25.3555710242
        0.8304900000      -615.9408952741         1.5822014531         1.4833219594         2.8962327224         3.7638474245        26.2241474304
        0.8356260000      -655.9420620735         1.5316489540         1.4603510177         2.9064402322         3.1654615064        26.9190085554
        0.8407459000      -718.4937023681         1.4471878224         1.4373800759         2.9217514970         2.5670755884        27.9613002429
        0.8455479000      -118.2949358801         2.1426368387         1.2076706589         2.9115439871        -3.4167835920        27.2664391179
        0.8507298000       283.1567943042         3.0170603426         1.0519787206         2.8936808449        -7.4725103698        26.0504321492
        0.8557221000       250.8307187139         2.9828449440         1.0698450086         2.8630583154        -7.0070991003        23.9658487743
        0.8606810000       240.5866940632         2.9718930690         1.0800543160         2.8375395408        -6.7411498033        22.2286959618
        0.8659733000       277.1226619895         3.0107103783         1.0928159503         2.8043651338        -6.4087131822        19.9703973057
        0.8706991000       221.0669617343         2.9508621399         1.1208915457         2.7916057465        -5.6773526157        19.1018208995
        0.8758714000       261.5702080730         2.9942677526         1.1362055069         2.7711907269        -5.2784286704        17.7120986495
        0.8805923000       357.5381106297         3.0942911324         1.1413101606         2.7507757072        -5.1454540219        16.3223763996
        0.8854964000       444.0363448517         3.1831098969         1.1617287755         2.7278088101        -4.6135554281        14.7589388684
        0.8906326000       528.0106899481         3.2708319098         1.1795950634         2.7124975453        -4.1481441585        13.7166471809
        0.8955228000       650.0164004436         3.4072596317         1.1923566977         2.6946344031        -3.8157075374        12.5006402122
        0.9006114000       685.8909311613         3.4507614388         1.2178799663         2.6920825256        -3.1508342951        12.3269249310
        0.9056108000       629.0818289167         3.3827137862         1.3072114063         2.6691156285        -0.8237779472        10.7634873998
        0.9104891000       -72.6994688811         2.2024810110         1.5701010725         2.6920825256         6.0244164482        12.3269249310
        0.9181083000      -140.1911165932         2.1151539780         1.5854150336         2.7329125650         6.4233403935        15.1063694309
        0.9204682000        21.9760667832         2.7205307173         1.5675487456         2.7329125650         5.9579291240        15.1063694309
        0.9254460000         1.9567255166         2.5189984787         1.5649964188         2.7609832170         5.8914417997        17.0172375245
        0.9306725000        45.5186925881         2.7495007121         1.5420254771         2.7788463592         5.2930558817        18.2332444932
        0.9355608000       -13.4624579383         2.3488734796         1.5394731502         2.7992613789         5.2265685575        19.6229667432
        0.9406494000       -33.0096981846         2.2578530088         1.5139498816         2.8171245211         4.5616953152        20.8389737119
        0.9456388000      -153.9549915316         2.0982515966         1.5062929011         2.8400914183         4.3622333425        22.4024112431
        0.9505537000      -202.5594993877         2.0405909078         1.4807696325         2.8502989281         3.6973601002        23.0972723680
        0.9556132000      -401.3950373670         1.8238650227         1.4807696325         2.8758177027         3.6973601002        24.8344251805
        0.9607818000      -488.0623313503         1.7304111915         1.4577986908         2.8860252125         3.0989741822        25.5292863054
        0.9657810000      -538.3463111276         1.6741255115         1.4297230954         2.8885770900         2.3676136157        25.7030015867
        0.9705367000      -702.3537961456         1.4696731893         1.4220661148         2.9064402322         2.1681516430        26.9190085554
        0.9755583000      -753.2506193265         1.3969720785         1.3990951731         2.9089921097         1.5697657250        27.0927238366
        0.9807016000      -826.7193866478         1.2818611069         1.3863335388         2.9140958646         1.2373291039        27.4401543991
        0.9856951000      -634.9173551698         1.5585245890         1.3021067526         2.9064402322        -0.9567525956        26.9190085554
        0.9905613000        36.9462195907         2.7390106407         1.0468740669         2.8987845998        -7.6054850183        26.3978627117
        0.9955910000        96.0631496340         2.8100202975         1.0494263938         2.8656101929        -7.5389976941        24.1395640555
        1.0006389000       147.2566850463         2.8691140115         1.0621880280         2.8349876633        -7.2065610729        22.0549806806
        1.0056480000       178.1068794464         2.9037419175         1.0800543160         2.8145726437        -6.7411498033        20.6652584306
