% Designation Loop  psi_cmd=+0.000deg  (absolute, NEUTRAL ref)
% Kp=16.6052  Kd=0.5122  K_pot=68.073520deg/V
% Vg_offset=1.338784V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.3354300000       -18.4227135257         2.2907858703         1.3403916554         2.5262104908         2.3999491337         1.0354316502
        0.3404579000        -1.9645619063         2.4860641705         1.3301823480         2.5185548584       -12.8378231436         0.5142858064
        0.3454465000       -14.5204943521         2.3370862535         1.3352870017         2.5262104908        -5.2189370049         1.0354316502
        0.3504369000        -6.8002425838         2.4286881343         1.3327346748         2.5211067359        -9.0283800743         0.6880010877
        0.3554441000         0.9200091845         2.5202900151         1.3301823480         2.5160029810       -12.8378231436         0.3405705252
        0.3604785000       -26.1429652940         2.2611680018         1.3429439823         2.5313142457         6.2093922030         1.3828622126
        0.3654445000       -14.5204943521         2.3370862535         1.3352870017         2.5262104908        -5.2189370049         1.0354316502
        0.3704415000         1.9376572673         2.5323645538         1.3250776943         2.5185548584       -20.4567092822         0.5142858064
        0.3754335000       -25.2095037900         2.2628136363         1.3454963091         2.5287623683        10.0188352723         1.2091469314
        0.3804162000       -28.0940748808         2.2577410907         1.3454963091         2.5313142457        10.0188352723         1.3828622126
        0.3854665000         3.8887668541         2.5555147454         1.3225253674         2.5185548584       -24.2661523515         0.5142858064
        0.3904363000       -17.4050654429         2.3028604090         1.3352870017         2.5287623683        -5.2189370049         1.2091469314
        0.3954484000       -11.7201098402         2.3703132124         1.3429439823         2.5185548584         6.2093922030         0.5142858064
        0.4004297000        -7.7337040878         2.4176124814         1.3301823480         2.5236586133       -12.8378231436         0.8617163689
        0.4054426000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.4104313000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.4154588000       -10.7024617574         2.3823877511         1.3378393285         2.5211067359        -1.4094939356         0.6880010877
        0.4204478000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.4254387000       -12.6535713442         2.3592375595         1.3403916554         2.5211067359         2.3999491337         0.6880010877
        0.4304140000       -20.5421962702         2.2711017808         1.3582579434         2.5160029810        29.0660506188         0.3405705252
        0.4354506000       -25.2095037900         2.2628136363         1.3454963091         2.5287623683        10.0188352723         1.2091469314
        0.4404307000       -21.3072846165         2.2697362501         1.3403916554         2.5287623683         2.3999491337         1.2091469314
        0.4454397000        -1.0311004023         2.4971398235         1.3327346748         2.5160029810        -9.0283800743         0.3405705252
        0.4504256000        -6.8002425838         2.4286881343         1.3327346748         2.5211067359        -9.0283800743         0.6880010877
        0.4554451000       -18.5069001046         2.2897869846         1.3480486360         2.5211067359        13.8282783416         0.6880010877
        0.4604329000       -13.5870328482         2.3481619065         1.3378393285         2.5236586133        -1.4094939356         0.8617163689
        0.4654410000        -9.6848136746         2.3944622897         1.3327346748         2.5236586133        -9.0283800743         0.8617163689
        0.4704412000       -22.3249326993         2.2679241584         1.3454963091         2.5262104908        10.0188352723         1.0354316502
        0.4754594000        -3.9156714931         2.4629139789         1.3327346748         2.5185548584        -9.0283800743         0.5142858064
        0.4804416000         0.9200091845         2.5202900151         1.3301823480         2.5160029810       -12.8378231436         0.3405705252
        0.4854626000       -24.2760422861         2.2644632476         1.3480486360         2.5262104908        13.8282783416         1.0354316502
        0.4904583000        -8.7513521706         2.4055379427         1.3352870017         2.5211067359        -5.2189370049         0.6880010877
        0.4954394000       -16.5557905178         2.3129371762         1.3454963091         2.5211067359        10.0188352723         0.6880010877
        0.5004314000       -11.7201098402         2.3703132124         1.3429439823         2.5185548584         6.2093922030         0.5142858064
        0.5054696000       -11.6359232614         2.3713120981         1.3352870017         2.5236586133        -5.2189370049         0.8617163689
        0.5104486000         3.8045802752         2.5545158597         1.3301823480         2.5134511035       -12.8378231436         0.1668552439
        0.5154874000       -18.5069001046         2.2897869846         1.3480486360         2.5211067359        13.8282783416         0.6880010877
        0.5204535000       -10.7024617574         2.3823877511         1.3378393285         2.5211067359        -1.4094939356         0.6880010877
        0.5254480000         2.8711187712         2.5434402067         1.3276300211         2.5160029810       -16.6472662129         0.3405705252
        0.5304607000       -12.6535713442         2.3592375595         1.3403916554         2.5211067359         2.3999491337         0.6880010877
        0.5354512000       -12.6535713442         2.3592375595         1.3403916554         2.5211067359         2.3999491337         0.6880010877
        0.5404562000       -23.2583942033         2.2662661832         1.3429439823         2.5287623683         6.2093922030         1.2091469314
