% Designation Loop (PD + Notch)  psi_cmd=+20.000deg
% Kp=72.9511  Kd=2.6949  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395445V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.0005231000      1269.8305306218         4.7309571407         1.4016475000         2.5440736330         0.1615641979         2.2514386189
        0.0056261000      1384.5244755267         5.0000000000         1.3888858657         2.5313142457        -0.1708724233         1.3828622126
        0.0107164000      1262.6105724437         4.7044198638         1.3939905194         2.5517292654        -0.0378977748         2.7725844626
        0.0156537000      1033.2226826340         4.0342598043         1.4195137880         2.5772480400         0.6269754675         4.5097372750
        0.0206167000      1039.9543597562         4.0498087022         1.3863335388         2.6027668146        -0.2373597475         6.2468900875
        0.0256227000       923.4932193487         3.8082266813         1.3837812120         2.6282855892        -0.3038470717         7.9840428999
        0.0306249000       595.1302154369         3.3440356705         1.4118568074         2.6716675060         0.4275134948        10.9372026810
        0.0355728000       604.2685452851         3.3543196729         1.3812288851         2.6946344031        -0.3703343959        12.5006402122
        0.0407043000       278.3121940994         3.0119634290         1.4118568074         2.7354644424         0.4275134948        15.2800847121
        0.0457810000        91.2674912463         2.8043737779         1.4016475000         2.7813982367         0.1615641979        18.4069597745
        0.0505836000         5.6045552212         2.5592462017         1.3914381925         2.8069170113        -0.1043850990        20.1441125869
        0.0555137000      -133.7953741673         2.1231039743         1.3914381925         2.8349876633        -0.1043850990        22.0549806806
        0.0605095000      -364.9504594797         1.8625982835         1.4016475000         2.8732658252         0.1615641979        24.6607098992
        0.0657232000      -575.5734085371         1.6309188274         1.4067521537         2.9115439871         0.2945388463        27.2664391179
        0.0705895000      -654.0163863842         1.5341399729         1.4041998268         2.9294071293         0.2280515221        28.4824460866
        0.0755338000      -635.8909028553         1.5572954118         1.3965428462         2.9319590068         0.0285895494        28.6561613678
        0.0861849000      -505.4781271475         1.7111473859         1.3735719045         2.9243033744        -0.5697963686        28.1350155241
        0.0879676000      -643.7503182567         1.5473187059         1.4016475000         2.9294071293         0.1615641979        28.4824460866
        0.0905104000      -559.8545777343         1.6493455809         1.3965428462         2.9166477420         0.0285895494        27.6138696804
        0.0960451000      -551.9951623328         1.6584561478         1.3914381925         2.9191996195        -0.1043850990        27.7875849616
