% Designation Loop (PD + Notch)  psi_cmd=-20.000deg
% Kp=72.9511  Kd=2.1545  K_pot=68.073520deg/V
% Notch f=8.44Hz  zeta=0.100
% Vg_offset=1.395420V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.1554396000      -211.2756334094         2.0305463324         1.4016475000         2.2557114802         0.1622290711       -17.3783881616
        0.1604041000      -237.3441815449         2.0009597415         1.3939905194         2.2659189900        -0.0372329016       -16.6835270366
        0.1654568000      -226.1176735485         2.0136218812         1.3786765582         2.2735746224        -0.4361568469       -16.1623811929
        0.1704419000      -225.3945671200         2.0144414461         1.3863335388         2.2684708674        -0.2366948742       -16.5098117554
        0.1754560000      -299.9846793839         1.9320779861         1.4016475000         2.2735746224         0.1622290711       -16.1623811929
        0.1804297000      -253.7590717306         1.9826414529         1.3990951731         2.2659189900         0.0957417469       -16.6835270366
        0.1854146000      -228.4136300236         2.0110229225         1.3990951731         2.2608152351         0.0957417469       -17.0309575991
        0.1904997000      -169.5153015168         2.0794646174         1.3965428462         2.2506077252         0.0292544227       -17.7258187241
        0.1954642000      -151.6541984740         2.1010579330         1.4067521537         2.2404002154         0.2952037196       -18.4206798491
        0.2003984000      -160.5847499954         2.0902066585         1.4016475000         2.2455039703         0.1622290711       -18.0732492866
        0.2054531000       -50.9955380746         2.2323531412         1.3990951731         2.2250889506         0.0957417469       -19.4629715365
        0.2104326000        28.7829563786         2.7289590023         1.3939905194         2.2123295633        -0.0372329016       -20.3315479428
        0.2154187000       -37.5997107925         2.2512788047         1.4067521537         2.2174333183         0.2952037196       -19.9841173803
        0.2204557000       111.5805137353         2.8281578969         1.3761242314         2.2072258084        -0.5026441712       -20.6789785052
        0.2254888000        50.3862287534         2.7554274372         1.3990951731         2.2046739310         0.0957417469       -20.8526937865
        0.2304428000       125.6994474459         2.8444880119         1.3914381925         2.1944664211        -0.1037202258       -21.5475549115
        0.2354518000       120.5110652567         2.8385059301         1.3812288851         2.2021220535        -0.3696695227       -21.0264090677
        0.2404117000         0.4184517680         2.5020261909         1.4067521537         2.2097776859         0.2952037196       -20.5052632240
        0.2454657000        96.6118364068         2.8106650874         1.3965428462         2.1970182986         0.0292544227       -21.3738396302
        0.2504307000       133.9068925387         2.8539069180         1.3888858657         2.1944664211        -0.1702075500       -21.5475549115
        0.2554433000        29.5060628071         2.7298518472         1.4016475000         2.2072258084         0.1622290711       -20.6789785052
        0.2604381000        54.8515045141         2.7608455976         1.4016475000         2.2021220535         0.1622290711       -21.0264090677
        0.2654436000       109.2845572603         2.8254869188         1.3965428462         2.1944664211         0.0292544227       -21.5475549115
        0.2704642000       100.3540057389         2.8150559091         1.3914381925         2.1995701761        -0.1037202258       -21.2001243490
        0.2754654000       -16.7195448462         2.3129369524         1.4041998268         2.2148814408         0.2287163953       -20.1578326615
        0.2804360000       -33.8575414604         2.2566351582         1.4016475000         2.2199851957         0.1622290711       -19.8104020990
        0.2854052000        11.6449597644         2.6258920018         1.3914381925         2.2174333183        -0.1037202258       -19.9841173803
        0.2904497000         7.9027904322         2.5846033981         1.3965428462         2.2148814408         0.0292544227       -20.1578326615
        0.2954761000        16.1102355251         2.6751588801         1.3939905194         2.2148814408        -0.0372329016       -20.1578326615
        0.3004387000       -12.9773755141         2.3542255560         1.3990951731         2.2174333183         0.0957417469       -19.9841173803
        0.3054371000        -9.2352061819         2.3955141596         1.3939905194         2.2199851957        -0.0372329016       -19.8104020990
        0.3104395000        -4.7699304213         2.4447810379         1.3965428462         2.2174333183         0.0292544227       -19.9841173803
        0.3154322000      -105.4285908207         2.1591499161         1.4041998268         2.2327445830         0.2287163953       -18.9418256928
        0.3204120000       -42.0649865532         2.2449274622         1.4041998268         2.2199851957         0.2287163953       -19.8104020990
