% Designation Loop  psi_cmd=+20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        0.2304513000       -34.3124806597         2.2469329392         1.3454963091         2.8069170113         8.8950495668        20.1441125869
        0.2354389000        10.1483750857         2.6297858837         1.3454963091         2.7992613789         8.8950495668        19.6229667432
        0.2404422000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.2454292000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.2504414000        86.9360749350         2.8251849046         1.3327346748         2.7941576240       -10.1521657797        19.2755361807
        0.2554437000       -24.8830547893         2.2633900833         1.3429439823         2.8069170113         5.0856064975        20.1441125869
        0.2604410000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.2654385000        38.4366526971         2.7686937904         1.3378393285         2.7992613789        -2.5332796411        19.6229667432
        0.2704736000        81.5452155569         2.8189944184         1.3301823480         2.7967095015       -13.9616088490        19.4492514619
        0.2754385000       -80.1073171263         2.1722645744         1.3659149240         2.8018132564        39.3705941213        19.7966820244
        0.2804517000      -113.7864541157         2.1221821832         1.3710195777         2.8043651338        46.9894802599        19.9703973057
        0.2854260000        57.2955044380         2.7908861279         1.3327346748         2.7992613789       -10.1521657797        19.6229667432
        0.2904401000       -24.8830547893         2.2633900833         1.3429439823         2.8069170113         5.0856064975        20.1441125869
        0.2954306000       -43.7419065302         2.2308659055         1.3480486360         2.8069170113        12.7044926361        20.1441125869
        0.3004564000        51.9046450599         2.7845741170         1.3301823480         2.8018132564       -13.9616088490        19.7966820244
        0.3054431000         4.7575157077         2.5658225736         1.3429439823         2.8018132564         5.0856064975        19.7966820244
        0.3104520000         4.7575157077         2.5658225736         1.3429439823         2.8018132564         5.0856064975        19.7966820244
        0.3154417000        23.6163674486         2.7510222504         1.3378393285         2.8018132564        -2.5332796411        19.7966820244
        0.3204938000         4.7575157077         2.5658225736         1.3429439823         2.8018132564         5.0856064975        19.7966820244
        0.3254316000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.3304406000       -43.7419065302         2.2308659055         1.3480486360         2.8069170113        12.7044926361        20.1441125869
        0.3354502000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.3404400000        38.4366526971         2.7686937904         1.3378393285         2.7992613789        -2.5332796411        19.6229667432
        0.3454407000        14.1869415781         2.6777040472         1.3403916554         2.8018132564         1.2761634282        19.7966820244
        0.3504553000        96.3655008054         2.8359671608         1.3301823480         2.7941576240       -13.9616088490        19.2755361807
        0.3554413000        72.1157896865         2.8081173778         1.3327346748         2.7967095015       -10.1521657797        19.4492514619
        0.3604452000       -81.4596100120         2.1701809562         1.3582579434         2.8069170113        27.9422649134        20.1441125869
        0.3654328000       -76.0687506339         2.1785258524         1.3608102703         2.8043651338        31.7517079827        19.9703973057
        0.3704709000       104.4426337902         2.8451596799         1.3199730405         2.7992613789       -29.1993811262        19.6229667432
        0.3754302000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.3804392000       -19.4921954112         2.2780963163         1.3454963091         2.8043651338         8.8950495668        19.9703973057
        0.3854305000       -30.2739141673         2.2539327302         1.3403916554         2.8094688888         1.2761634282        20.3178278682
        0.3905077000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        0.3954412000       -39.7033400378         2.2377005941         1.3429439823         2.8094688888         5.0856064975        20.3178278682
        0.4004289000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.4054385000         4.7575157077         2.5658225736         1.3429439823         2.8018132564         5.0856064975        19.7966820244
        0.4104190000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.4154488000        62.6863638160         2.7971740644         1.3352870017         2.7967095015        -6.3427227104        19.4492514619
        0.4204367000        51.9046450599         2.7845741170         1.3301823480         2.8018132564       -13.9616088490        19.7966820244
        0.4254482000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        0.4304393000        53.2569379456         2.7861597906         1.3378393285         2.7967095015        -2.5332796411        19.4492514619
        0.4354428000       -73.3824770272         2.1827230744         1.3480486360         2.8120207662        12.7044926361        20.4915431494
        0.4404300000      -158.2473098612         2.0610794832         1.3710195777         2.8120207662        46.9894802599        20.4915431494
        0.4454394000        50.5523521743         2.7829868728         1.3225253674         2.8069170113       -25.3899380569        20.1441125869
        0.4504467000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.4554323000        33.0457933190         2.7622905593         1.3352870017         2.8018132564        -6.3427227104        19.7966820244
        0.4604472000       -45.0941994159         2.2285927411         1.3403916554         2.8120207662         1.2761634282        20.4915431494
        0.4654314000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.4704266000        -0.6333436704         2.5018592635         1.3403916554         2.8043651338         1.2761634282        19.9703973057
        0.4754495000       -45.0941994159         2.2285927411         1.3403916554         2.8120207662         1.2761634282        20.4915431494
        0.4804568000       -24.8830547893         2.2633900833         1.3429439823         2.8069170113         5.0856064975        20.1441125869
        0.4854423000       -63.9530511568         2.1976673997         1.3454963091         2.8120207662         8.8950495668        20.4915431494
        0.4904277000         3.4052228220         2.5497774270         1.3352870017         2.8069170113        -6.3427227104        20.1441125869
        0.4954444000       -45.0941994159         2.2285927411         1.3403916554         2.8120207662         1.2761634282        20.4915431494
        0.5004437000        66.7249303084         2.8018694333         1.3301823480         2.7992613789       -13.9616088490        19.6229667432
        0.5054382000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.5104403000       -24.8830547893         2.2633900833         1.3429439823         2.8069170113         5.0856064975        20.1441125869
        0.5154558000        -6.0242030484         2.4378959533         1.3378393285         2.8069170113        -2.5332796411        20.1441125869
        0.5204424000       -73.3824770272         2.1827230744         1.3480486360         2.8120207662        12.7044926361        20.4915431494
        0.5254189000       -34.3124806597         2.2469329392         1.3454963091         2.8069170113         8.8950495668        20.1441125869
        0.5304279000        46.5137856819         2.7782371455         1.3276300211         2.8043651338       -17.7710519183        19.9703973057
        0.5354433000       -26.2353476750         2.2610053531         1.3352870017         2.8120207662        -6.3427227104        20.4915431494
